Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1993;177;217;180;1441;2218;3951;6540;4755;3640;1751;202;25;2091.4166666667
1994;248;218;307;940;1898;3545;3211;4070;2752;1150;5;17;1530.0833333333
1995;60;213;151;439;2191;6715;7900;5192;7185;866;547;91;2629.1666666667
1996;236;111;187;494;3663;2712;8229;5404;3657;1620;1;1;2192.9166666667
1997;98;233;317;913;1386;6195;4733;3952;4675;246;85;297;1927.5
1998;35;115;715;995;1705;5650;7627;7267;5645;2011;75;0;2653.3333333333
1999;0;0;40;984;3698;4142;7124;7790;3367;2238;17;17;2451.4166666667
2000;43;193;237;1188;2995;6112;6239;4577;4338;545;389;0;2238
2001;12;55;187;955;2933;4952;4073;4068;4640;3178;123;74;2104.1666666667
2002;161;6;419;1880;1241;3587;8647;4340;3325;710;43;29;2032.3333333333
2003;88;661;447;1426;1865;5914;5205;3462;3516;2223;55;131;2082.75
2004;93;108;208;1346;2285;4578;7142;2877;3996;2206;60;0;2074.9166666667
2005;135;133;495;1100;1982;3684;5860;5431;2294;2224;39;0;1948.0833333333
2006;3;60;122;648;2487;3893;5506;2929;4606;1055;107;104;1793.3333333333
2007;4;421;172;802;1652;4335;5693;4813;4397;693;52;6;1920
2008;215;52;402;923;1169;5905;6520;7114;3008;691;43;20;2171.8333333333
2009;9;10;204;1048;2490;3497;4655;5579;1876;2144;11;8;1794.25
2010;9;33;169;1148;2878;5780;6777;5728;4411;730;147;8;2318.1666666667
2011;29;87;218;855;1835;4469;5859;4445;3876;331;107;12;1843.5833333333
