Year,Mean_asmmeg,Mean_chattisgarh,Mean_coastalkar,Mean_gnbwl,Mean_gujarat,Mean_kerala,Mean_kngoa,Mean_marathwada,Mean_mpmah,Mean_nwest,Mean_orissa,Mean_pen,Mean_saurashtra,Mean_shwbl,Mean_southkar,Mean_telangana,Mean_vidarbha,Mean_wmp,Mean_westup
1938,4113.75,3268.75,6814.25,2482.5,1876.75,4398,6367,2379.75,1887.75,906.25,2561,1881.5,738.25,6358.75,1433,2619,2926,2291.75,1623.75
1939,3725.25,3464,6219.75,3429.75,1501.75,4667,5694.5,1280.5,1209,654.25,3241.75,1422.5,369.5,5242.75,1059.5,1274.75,1918.75,2075.75,1731
1940,3547.25,3289.75,8319,3000.75,1638,5322.25,6208.25,1798.25,1371,1031.5,3634.5,1732.75,779.25,4621.75,1304.5,1698.75,3052.5,2460.25,1825
1941,3539.75,2119.75,4926.75,3503.25,2522,4664.25,3120.25,1193.25,1247.75,1069,2832.25,1495.25,1013,4436.5,1317.5,1262.5,1946.5,1798.25,1130.5
1942,4049,3566,7226.25,3301,2676.75,4860.5,6660,2007,1569,1541.25,3228.25,1549.5,690.75,4230.25,1211.75,1735,2763.25,2839,2601.5
1943,3880,3469.25,6982,3109.5,2034.75,4984.5,5657.75,1718.25,1366.25,1193,3598,1443.5,1132.75,5393.25,1025.75,1685.5,1862.75,2152.5,2109.25
1944,3569.5,3357.5,6379.75,2962.75,3265.5,3434.75,5613.75,1438.75,1710,1729.5,3232.5,1542.5,1584.25,4700,1146,1790.5,2795,3127.25,1413
1945,4113.5,3841.5,8467,2202,3162.75,4229.25,6247.5,1384.25,1294,1715.5,3135.5,1552.25,1580.25,4823.5,1000.75,1976.25,2831.25,2515.75,2073
1946,3688,3491.25,8415.75,3130.5,2698,6112.5,6026.25,1534.25,1745,1366.75,2912.75,1748.25,1105.25,4631.75,1359.5,1674,2440,2753.5,1945.25
1947,4543.25,3945.75,7348.5,2710.25,2050.25,6089.25,6087.75,1895.25,1584.25,1315.25,2965.5,1951.25,1073.25,4299.25,1400.5,2259.75,2471,2583.5,1891.5
1948,4203,3245.25,7808.5,2691.75,968.5,5245.5,6846,1779.25,1445,889.75,2807.5,1563.25,360.75,5002.75,1305.25,1621.25,2392.25,2916.75,2354.25
1949,4044.75,3038.75,7708.5,2913.75,1951.75,5170.75,7239.5,2219.75,1614.5,1203.25,2578.5,1968,1331.25,4779.5,1167,1916,2899.5,2084.5,2097.25
1950,3910.75,2734,8525,3300,2770.75,5579,5582,1573.5,1389.75,1571.25,2907.75,1715.75,1382,6516.5,1384,1823.25,1708,2097.5,2068
1951,4329.75,2789,7291,2449,1184.75,4319.25,6297.5,1422.25,973.5,695.75,2743,1592.25,593,4534.75,1292,1617.5,2076.5,1486,1548.5
1952,4204.75,3133.75,5797.25,2840.75,2073,3580,4568.25,1375.5,1048,1214.75,3136.5,1160.5,963.75,5399.5,903.5,1290.75,1684.75,2111.5,1845.5
1953,4053.75,2863.75,7397,3147.75,2523.25,4229.5,7210.75,2088.5,1392.5,1444.25,3060,1710,1618.75,4413.5,1558.75,2264.75,2438.75,1945.25,1880.5
1954,3655,2805.75,6950.5,2350,3405.75,5018.75,8494.5,2257.25,1656.75,1449.25,2524.25,1708.75,1295.5,5103.25,1357.5,2232,2664,2564,1725.75
1955,4101,3102.25,8120.5,2510.75,2195,4435.75,8144.75,2519.25,1544.25,1367.5,2859.25,1661.75,815.25,5845.25,1166.75,2409.25,2664.75,2397,1983.75
1956,4086.5,3467.75,6482.25,3390.75,3110.75,3806.75,7058.25,1845.75,1722.5,1588.5,3957.5,1705,1566,4728.25,1264.25,2238.5,2406.25,2231.25,2014
1957,3314.5,2592.25,6372.25,2697,1543.25,5136.75,6048.75,1738.5,1337.5,1098.75,2624.25,1616.25,918.5,4060,984.25,1808.75,2253.25,1954.5,2073.25
1958,3248.75,2962.5,7242.75,2400.5,2754.25,4360.75,8773.75,2162.5,1650.75,1464.25,2915.75,1643.5,1216,5595.25,1362.25,1800.5,2692.25,2575.75,2474
1959,3052.75,3546,8487.25,2925,3405,5871.25,6624.25,2306.75,1716,1825.5,2903.25,1939.5,2680,3609.5,1842.25,2521.75,3355.5,2630.75,1551.75
1960,4411.75,2848.75,6390,2664.25,1643.25,4669.25,6045.5,1474.75,1436.75,1072.5,3067.75,1672.75,694.5,4641.75,1131,1646,2077,2011.5,2289.25
1961,3146.5,4691,11173.25,3096.5,2427.25,7357.75,7096,1829.25,1490.25,1609.75,3202.75,2257,1880.5,4184.5,1591.75,2044.75,2939,3169.75,2705.75
1962,3259.25,2236.25,7133.25,2363.25,1598.75,4871.75,6235.75,1855,1352,1195.5,2833,1729.75,911,4506.25,1224.75,2115.75,2290.5,2059.5,1772.25
1963,4138,3005.5,6471.75,2534.75,2586.5,4554.75,7702.5,2258.75,1492.5,1133,2989.5,1615.75,705.5,5098.5,1148.5,2022.25,2295.5,2087,2361.5
