EUPRA1985R 222 0 3 49 153 736 3177 2308 3522 1833 0 88 1007.5833333333
EUPRA1986R 106 330 20 50 315 1213 2752 2616 1099 252 17 325 757.9166666667
EUPRA1987R 148 93 27 136 253 108 1906 1728 2326 805 6 45 631.75
EUPRA1988R 58 49 146 108 121 1383 3270 3453 923 442 0 146 841.5833333333
EUPRA1989R 181 69 116 0 37 1421 3830 1840 2303 108 32 160 841.4166666667
EUPRA1990R 4 395 93 50 450 1206 4817 2470 2233 73 6 91 990.6666666667
EUPRA1991R 111 95 98 40 71 953 1283 3212 1635 0 40 130 639
EUPRA1992R 101 75 0 0 182 497 2671 2380 1628 879 63 0 706.3333333333
EUPRA1993R 25 65 245 141 395 2226 1401 2058 2303 12 1 0 739.3333333333
EUPRA1994R 236 322 0 106 83 1486 2827 2453 2140 55 0 0 809
EUPRA1995R 288 282 30 24 32 1423 1588 2808 2592 6 6 116 766.25
EUPRA1996R 495 412 8 55 15 1790 2113 3528 1668 764 0 0 904
EUPRA1997R 71 6 17 195 207 1010 3182 2308 2441 452 192 665 895.5
EUPRA1998R 70 113 165 113 206 605 3062 4010 1513 372 177 0 867.1666666667
EUPRA1999R 113 133 0 0 261 1671 2583 3602 2727 572 0 50 976
EUPRA2000R 29 56 30 141 505 2443 2491 2408 2616 3 0 0 893.5
EUPRA2001R 22 29 16 61 404 2662 3486 2186 1223 765 30 0 907
EUPRA2002R 166 350 8 30 340 760 1214 2293 2550 296 32 35 672.8333333333
EUPRA2003R 188 502 34 73 34 1265 2310 3043 3865 71 0 146 960.9166666667
EUPRA2004R 340 5 0 146 231 2250 2076 1936 1078 208 2 0 689.3333333333
EUPRA2005R 120 88 86 11 129 608 3567 2505 1608 297 0 44 755.25
EUPRA2006R 0 0 186 147 422 1474 3861 1372 546 193 28 14 686.9166666667
EUPRA2007R 0 671 289 37 455 1098 2575 2617 1538 105 0 17 783.5
EUPRA2008R 32 51 0 75 367 3105 5128 3392 1483 112 14 0 1146.5833333333
EUPRA2009R 0 11 21 7 373 389 1741 2042 1413 837 89 49 581
EUPRA2010R 27 140 0 1 181 326 2345 2358 1923 154 68 2 627.0833333333
EUPRA2011R 18 105 46 41 339 1848 2205 2594 1718 10 0 0 743.6666666667
