Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1893,362.4166666667,103.2237715098,-290.4787905073,329.8272022084,-114.1741767756,195.7408536715,-354.1756029699,356.3558894792,-212.0933941821,347.4056609687,-216.7208170509,150.1993906818,343.9623491538,-305.0104235625,-76.847137479,66.002426556,-293.8745181572
1894,777,-258.5191683933,-448.8093170593,624.7752251241,-357.0743344494,498.2682264409,-737.9631935,748.2554766558,-403.9073174212,732.7324474685,-634.2706022833,461.9360540931,690.0919646522,-596.2027964706,-243.1857829711,209.3865842278,-663.7679405738
1895,335.3333333333,-276.0761241714,-99.6767712967,222.3222219182,-198.7756278692,245.5786054426,-305.7781027104,313.5329950068,-151.3148217552,190.3428961293,-320.1764914985,251.0403833764,270.0679436913,-228.3409577656,-137.6524476617,118.934879184,-299.2528515513
1896,515.3333333333,-515.1801339805,6.2828629274,254.0306926867,-366.610292504,418.3856869738,-445.2409056206,463.5175888701,-195.7574269013,-12.5647919289,-515.2950320718,448.3713322878,362.1675549722,-300.8685117786,-259.4782850386,225.2107662889,-476.7048083011
1897,428.6666666667,-340.6350788124,137.3612160089,129.1906317457,-348.3082583768,376.6330808745,-345.7852141042,367.2303287994,-131.2382776104,-260.2361508199,-406.062812195,408.7357236409,249.8729042087,-204.7013275535,-253.3529096302,221.1266531221,-408.0828660958
1898,360.75,-103.2996921781,215.4938497345,34.867530523,-322.3972462597,336.0438126866,-267.132012436,291.1318532287,-83.1737816617,-345.6439441042,-289.3146439892,359.0610224116,161.8659263222,-131.2063963954,-242.4480365602,213.0324072427,-351.0308883049
1899,69.5,23.0192454537,56.7013560642,-7.8042926746,-66.2230860292,67.3967784706,-46.3025466855,52.185128596,-10.6711180523,-65.577163241,-40.18962827,69.0604301742,21.089164914,-16.9683308483,-51.8297614353,45.9016595933,-68.6758854294
1900,567.25,466.4970801779,541.4762373507,-179.4405246146,-560.7695418517,563.099656542,-331.651115566,390.6495404953,-42.8721348,-322.7274960171,-169.0445115481,538.1204889484,85.4990259091,-68.4933522486,-460.1957192802,411.2973364985,-565.6275652386
1901,142.4166666667,142.3796784821,142.4074193203,-72.143282504,-142.4143548113,142.4151870778,-70.7393141324,88.4323330115,0.4057380523,3.2456277978,1.6229192777,122.7919123314,-0.8114728115,0.6491795138,-123.6060531711,111.6343559241,-142.4160887017
1902,342.3333333333,272.36192745,324.3691397221,-230.9650096639,-337.8124331213,339.4376577698,-138.0671747185,187.6721987258,27.8177536769,207.3911559996,109.4384407191,252.6801840707,-55.4515206264,44.4318309192,-313.2563907989,286.3062293009,-341.2012363569
1903,471.0833333333,135.6119990678,378.0238481269,-383.1488481117,-447.2137304464,455.7598088527,-143.9174597003,221.917589229,74.9819047948,451.1417655829,281.1004752607,274.0738351888,-148.0519714312,119.1742571992,-448.561335536,415.5383141603,-465.0776503959
1904,158.75,-52.3413016914,91.9031578796,-145.4914759915,-141.0517437209,147.3453916911,-32.4406433842,61.9370613427,37.4806495696,149.8731151249,129.4425435155,63.5121477658,-72.8420763934,59.0838222139,-155.4000230271,146.1689533801,-154.2619959933
1905,214.6666666667,-176.3436034642,64.1353421841,-210.2904022863,-172.987713292,187.6670404277,-21.6730026415,65.7077616673,66.8845348011,122.4120553501,204.8619917426,43.124523001,-127.1103018162,104.2250436071,-213.5697982728,204.3630784522,-203.980971618
1906,429.9166666667,-429.8200686865,-4.5568125743,-429.9059332005,-302.3816219657,346.7353756666,1.5189628068,94.3956937373,165.5739129529,-9.1131131992,429.8925164933,-3.037906652,-305.6038202889,254.1710438645,-429.9139832918,419.4255515365,-396.7538526937
1907,360.75,-287.3620171584,-115.0537153031,-352.3361640081,-210.5171426564,261.941855191,38.9569719952,47.3580866637,164.6154659908,-218.0908837954,341.9111070073,-77.458311575,-292.9557904323,248.0464210568,-358.6403725642,357.6279828643,-321.0020418263
1908,358.75,-103.8213534032,-213.8406555903,-326.7266331102,-161.2237998978,227.5371739615,75.7904442252,15.0424526251,188.2319370971,-343.3987319102,288.0516212707,-148.1596089238,-320.4815889353,277.3596887899,-350.652778492,358.4344948788,-305.4018669829
1909,496.5833333333,162.98111948,-404.6780909107,-399.7656481829,-151.0606031251,264.3829534088,155.0452334282,-23.7136615465,292.900007775,-469.0758591502,287.803143974,-294.588583413,-473.0493643669,420.3530193674,-471.7583942397,496.0168033449,-401.004479264
1910,542.3333333333,445.0209303882,-517.4336329545,-360.2070613986,-82.1703641998,228.9569772567,222.2309026057,-74.3286088494,353.2433417113,-309.9706695171,162.4434668799,-405.433493144,-536.0722672287,491.6341597264,-494.7108957477,537.2156944384,-411.5149887684
1911,105.5833333333,105.5630404378,-105.5782599875,-52.1929566652,0.5175233123,32.2330377786,53.0901777005,-23.7827236617,74.8414394375,2.0699689137,-1.0350341909,-91.7809106095,-105.5820649892,100.5428841507,-91.2648525419,102.869929197,-74.475494095
1912,536.8333333333,428.1407601897,-508.9352901923,-162.6046986034,86.5349625668,98.5576064763,316.9372220258,-167.2967853076,409.0506571211,323.8603360122,-170.8066104536,-511.6148353692,-529.8129179544,527.7086563469,-433.2906934984,510.0998072961,-347.6601612014
1913,590.0833333333,171.668008391,-474.0763498087,-57.9685858671,185.0051182105,34.8171056288,396.2272352455,-233.3870512339,478.208519955,564.5603910768,-351.3544575352,-587.2290722796,-560.3315505249,589.0552685728,-437.2668731192,541.9675493921,-345.7093457229
