Year,annual_Mean_saurashtra,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1975,474.1666666667,-383.3914836619,-146.7013393624,146.4083583304,-278.6333995565,-470.4184485668,383.5726730487,146.5757836383,-215.3083341259,279.0071648423,-450.9021454896,-450.9973618424,383.6632070311,59.5021934539,-278.7580174059,450.9429758059,-422.4646127592
1976,433.5,-433.4997386054,-0.2380278952,216.6125600049,-306.4466225197,-433.4999895442,375.3823349347,96.5291265543,-165.948243645,0.4760557185,-433.4999346513,-375.5013300218,306.6149336648,0.0952111621,-216.8187091073,422.6161115323,-400.4790012362
1977,440.75,-356.9409012772,135.902281552,294.7646062009,-356.482463169,-437.2901889152,402.6028208316,59.2517048236,-136.2734692783,-258.5609318816,-419.2745310282,-327.6803159044,259.1926232611,-55.1167232203,-179.3642415825,436.7491247564,-419.1540338239
1978,393.6666666667,-122.2991752332,231.1150533764,318.3491310953,-350.6820049016,-381.332857579,374.3640512382,17.7592754049,-91.9826845522,-374.1875949063,-318.6836621907,-231.575635971,178.8730719886,-97.7685848068,-121.7579631276,393.2658802662,-382.7696829518
1979,811.5,249.1817073502,656.0271356867,741.1160058422,-771.6535072848,-754.6362598603,793.7089796459,-36.1699585291,-127.1523276201,-772.2957508118,-477.661645145,-330.5742214459,251.1635218241,-298.4231313155,-168.9920283018,810.6935204502,-801.4764722565
1980,524,423.1930485371,498.1611975222,512.4630322272,-517.4999843003,-459.3044203648,521.1077762263,-70.1622515059,-41.2674704013,-309.0042777534,-162.5159108619,-109.3509972544,82.2785892514,-252.2210328924,-54.9789555783,519.2814828815,-522.3724685382
1981,525.6666666667,525.6647636177,525.6661909042,525.6664552167,-525.6665477261,-425.4394866501,525.6666138042,-116.7748273572,-0.1768093965,-1.4144734921,-0.7072373862,-0.4714916698,0.3536187731,-308.7502026613,-0.2357458586,512.5320323064,-525.6666369315
1982,303.8333333333,246.3426527469,289.1036179043,297.2570639188,-300.1283145181,-221.6101098111,302.1847936543,-93.7654275746,23.724546536,177.8482270985,93.4547620996,62.872350002,-47.3042204135,-207.8548860959,31.6076719887,289.0030086975,-302.9056624365
1983,521.9166666667,162.9320922796,422.749323737,477.0297906185,-496.5062561665,-332.9497877137,510.5716429478,-204.898133095,81.4313107684,495.8327744813,306.0719134851,211.7535969162,-160.8680966881,-401.9221887454,108.22940618,480.0143352012,-515.5249252665
1984,323.3333333333,-98.7935306932,190.5271671621,261.8129692261,-288.2258042694,-173.4497113441,307.5689390155,-153.0691950776,75.3373559309,307.8705616612,261.2352254533,189.7324790051,-146.5275748713,-272.8729412732,99.728592677,284.8056635018,-314.4339791526
1985,223.4166666667,-180.225780223,69.4606502979,149.7142334913,-180.8779614803,-95.2864655655,204.1612866628,-122.9739341172,68.9342284974,132.0366429726,212.3445902411,165.8332151125,-131.1417934725,-202.077946408,90.7368501362,186.5272593274,-212.51606783
1986,182.3333333333,-182.3316605953,0.3905098524,91.3920348008,-129.0671286725,-56.4926368362,157.9703434031,-113.5957202703,69.6857397529,0.7810179136,182.3329151483,157.7749676577,-128.7909963494,-173.3609714663,91.0539128733,142.6234790653,-168.4913710536
1987,59.25,-48.0940194924,-18.1795468188,18.3956765019,-34.8814015701,-11.1559060056,47.9609546024,-40.9172982998,26.8685639454,-34.6053144627,56.3920790312,56.3219458652,-47.8941575195,-58.1902763458,34.789500336,42.8525051758,-52.8076014558
1988,598.0833333333,-187.6145209745,-350.353075857,63.4922370302,-272.1794795341,-38.1413617019,444.7905812711,-450.1227753874,312.183970782,-567.8947658947,484.723009407,594.7036316082,-532.5617377653,-596.8659063296,399.8312299254,393.818690121,-510.141982195
1989,440.5833333333,133.9506068577,-355.7598055447,-45.2882286297,-136.6964385384,27.2037031057,295.0935740411,-356.2454824628,258.7349039703,-419.727183458,259.9012011705,438.2495293308,-418.840968987,-439.7426885673,327.1596799283,259.2350860435,-356.6089217596
1990,362.1666666667,291.8113888273,-344.1286477696,-111.277374973,-57.1522929428,67.4677992709,213.1475292785,-310.7539612907,235.0170621647,-214.5013002179,112.8723536955,344.6477045674,-357.6287318657,-355.8269108794,292.801682384,186.0018010305,-275.5570266496
1991,227.6666666667,227.6627361395,-227.6656840328,-113.4469260139,-0.3344495404,70.0983561039,114.0263733133,-205.0375853675,160.8663546226,-1.3377909438,0.6688983589,197.38770501,-227.6664210081,-216.6063978341,197.0535391718,98.9530176285,-161.1028462243
1992,403.6666666667,328.0367206841,-384.294332095,-269.4857156232,62.5298557576,171.4202575294,164.5666692224,-377.8011414814,306.7474500453,235.241764278,-123.5501683426,300.539892282,-398.7941761319,-365.461178631,368.5981404712,142.1726952448,-262.3981319836
1993,235.75,74.3095334987,-191.1760118612,-190.4244621015,72.485576854,126.061769312,73.094102223,-227.1957895486,190.612876327,223.7323305453,-137.9485229673,138.9841240335,-224.3298991399,-199.2146902664,224.1323598239,62.9296091787,-138.7256064263
1994,542.3333333333,-164.0626021895,-320.2724047773,-494.9425397416,245.3885119427,345.1249935007,113.3613846464,-533.5230500317,462.1730271705,516.9225348224,-437.6654329309,221.7145164361,-483.6423499353,-418.3469652162,530.353317059,97.3580994537,-283.763171325
1995,319.25,-256.9303366515,-99.7385395021,-312.1145334806,187.1884528543,232.4104708699,33.7490569225,-317.9353958756,284.3241777212,189.492386676,-303.2701538859,67.1198963809,-258.6136995946,-218.8742459268,317.4611214887,28.9421241351,-145.1906486766
1996,361.4166666667,-361.4065863131,-1.3496680694,-361.4155466228,255.0825497851,292.0745725609,0.449890286,-361.4164609443,333.7761913413,2.6993173168,-361.4141465695,0.8997798748,-256.036910893,-212.8719122097,361.4163866556,0.3856202715,-138.6198435945
1997,461.1666666667,-375.1912200537,140.7995208261,-451.336436099,372.5632430421,403.7769211152,-47.6097398831,-459.3558491743,438.4566360319,-268.1533942338,-439.1471158731,-94.7106957737,-271.7927967743,-222.7978734619,458.7025257318,-40.827665545,-142.9352047751
1998,513.8333333333,-162.7391730546,300.336380322,-469.9730866837,457.3551890307,477.4428716908,-106.152853793,-505.681723982,499.5142819486,-487.3814276292,-416.9205596987,-207.7257620938,-234.2027444569,-189.928930698,502.7487106657,-91.1629775459,-120.4581942989
1999,307.6666666667,92.6058414285,248.1436160009,-249.4144065923,292.4075041508,297.8714138276,-94.6632945837,-296.677531152,303.8279281832,-293.3989364519,-181.8887671513,-180.142253683,-95.6902779497,-77.0155737638,292.7415898644,-81.4936824997,-48.4496422453
2000,252.5,202.9714153041,239.7983865295,-169.5016112834,249.3043748099,250.4532424229,-102.364772141,-236.5099331753,251.6998258238,-150.1960537745,-79.0758105735,-187.1508850429,-40.0447087722,-32.0846280928,230.8196339667,-88.4268144253,-20.0860070759
2001,386.8333333333,386.8174520728,386.8293629978,-194.4276658091,386.8323407482,386.8326980787,-192.9105047951,-348.7417665676,386.8330851869,-3.5052174915,-1.7526267341,-334.4217554912,-0.8763156156,-0.7010527084,335.299216995,-167.3893904316,-0.4381580889
2002,285.3333333333,232.4024961959,271.7786691645,-89.0208913476,281.9243025288,283.149985404,-167.353642695,-245.139940438,284.4797990186,165.5421120833,86.8991720229,-271.0911138617,43.974978735,35.2306241332,231.1014266243,-146.0189053278,22.0534591718
2003,504.75,160.6246420424,409.7852184809,-54.3832964621,480.4225491837,489.1349138582,-337.1369110693,-408.7619922514,498.6310480708,478.5104877312,294.700928425,-501.8117371743,154.8119399009,124.5776807655,375.6477947421,-296.118550906,78.3558574695
2004,401.9166666667,-120.3639497358,237.8662749107,40.6768479394,358.5661914271,373.9883304877,-298.2328872532,-303.0500730958,390.9288524669,383.470372452,323.9701254816,-399.852974212,181.5689767278,147.2064387297,269.4330193296,-264.0031441879,93.336162624
2005,479.5,-384.9899759255,150.5283304626,146.60165875,388.6506043073,420.6656596667,-387.4375726298,-331.8759072865,456.2226511065,285.837311135,455.2597848791,-456.5393779859,280.8397368101,230.1318160906,282.5108445966,-346.0904970708,147.5843576309
2006,575.1666666667,-575.1340234997,3.063924083,285.8125577667,407.7860722525,466.0389261847,-497.5975033029,-359.2945593033,531.6773694333,6.12776122,575.158505817,-499.127114338,405.6195430713,337.0822061829,288.4673623673,-449.137077182,219.3988816675
2007,796.8333333333,-649.7520100208,-242.0736469818,531.0161516368,470.133497038,582.0621485415,-727.3495484544,-440.0149619932,710.4792054197,-461.2653104071,759.173043876,-594.1087508293,643.3644815141,544.1939142864,325.4320135977,-664.3268731078,360.780625557
2008,481.1666666667,-153.8461084345,-280.6205105976,388.2047913596,219.65441656,307.5436218501,-457.3360725734,-228.6929663965,410.6164539725,-455.9086926466,390.8624951861,-284.2857736092,428.1043078466,370.0517285062,149.5495831967,-423.3448809563,250.8296012001
2009,474.4166666667,141.3547960297,-382.1859787858,432.6512024558,147.9117566471,255.1345582301,-463.8577987431,-187.1808828583,384.2154188476,-452.8686291305,281.0783720436,-194.6384099419,450.7696594234,399.9719125237,99.5344973181,-435.929456109,278.2978360155
2010,783.75,628.5270425245,-743.9328370487,765.9692200965,124.9133729092,335.3953664848,-779.2921271098,-243.4618852009,596.726452622,-468.2070261277,246.6333239056,-165.9976396363,773.7316794396,708.3600854371,83.4736073541,-744.9767600096,508.1157380373
2011,570.3333333333,570.2905637965,-570.3226408489,570.3285811098,1.7461787252,177.570736263,-570.3321452762,-127.8837118676,403.9034631221,-6.9845512163,3.4923410818,-2.328235471,570.3306602059,541.9859266938,1.1641201605,-555.8109996663,402.6687268576
,,-9.8191421439,-5.8583812644,15.5606385876,100.6293515556,27.1900708251,-83.3489333863,16.4507869876,-8.4308144982,-22.6701953648,-1.3454026061,-54.8966351851,23.2687154588,-23.1786838603,75.116302179,-26.6444992891,-87.912604162
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,610.3533103212,,,,,,,,,,,,,,,,
20,36.130739212,,,,,,,,,,,,,,,,
30,3255.7740279057,,,,,,,,,,,,,,,,
40,10667.6995135958,,,,,,,,,,,,,,,,
50,1276.5513369697,,,,,,,,,,,,,,,,
60,12589.5035496777,,,,,,,,,,,,,,,,
70,980.5577348752,,,,,,,,,,,,,,,,
80,7799.7046036412,,,,,,,,,,,,,,,,
