Year,annual_mean_westrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1977,307.3333333333,-248.8935609586,94.7641547294,205.5382619907,-248.5738937733,-304.9208199506,280.7334473864,41.315993078,-95.0229825483,-180.2935747361,-292.3585688092,-228.4902637654,180.7340507822,-38.4326858076,-125.0700175754,304.5435379281,-292.2745465575
1978,324.6666666667,-100.8631639942,190.6063183646,262.5504264918,-289.2161496818,-314.4946683166,308.7473208349,14.6465150249,-75.8604019931,-308.6017929202,-262.8263225858,-190.9861722572,147.5210602175,-80.6321774782,-100.4168129435,324.3361281789,-315.6796538485
1979,317.0833333333,97.364591956,256.3342833526,289.5816802453,-301.513821649,-294.8645480353,310.1317177605,-14.1329525779,-49.6831594367,-301.7647701621,-186.6402300038,-129.1676845966,98.1389608278,-116.6050538771,-66.0314918554,316.7682116772,-313.1667669887
1980,177.6666666667,143.4872104773,168.9058004322,173.7549594002,-175.4627809365,-155.7310789151,176.6860335424,-23.7891094483,-13.9920876106,-104.7705343782,-55.1024048915,-37.0763877459,27.8972570426,-85.5176911779,-18.6410835389,176.0668132162,-177.1148382512
1981,233.8333333333,233.8324867963,233.8331216989,233.8332392736,-233.8332804247,-189.2490804597,233.8333098184,-51.9451752638,-0.0786504703,-0.6292030151,-0.3146017923,-0.2097345633,0.1573009317,-137.3419576201,-0.1048672922,227.9906281946,-233.8333201062
1982,292.6666666667,237.2889183892,278.4783066594,286.3320922883,-289.0978169468,-213.4653608494,291.0787151163,-90.3193037965,22.8526076342,171.3118413522,90.0200560872,60.5616273195,-45.5656670577,-200.2156774462,30.4460076863,278.381395103,-291.7730900925
1983,412.8333333333,128.8784264974,334.3924875926,377.3280508899,-392.7338325161,-263.3615277556,403.859479349,-162.0733436616,64.4117377529,392.2011120518,242.1012708614,167.4959794224,-127.2458168598,-317.9183335533,85.6088900233,379.6888099292,-407.7774995641
1984,180.3333333333,-55.1003093866,106.2630901388,146.021460156,-160.7527423812,-96.7384472548,171.5410268117,-85.3715819969,42.0180510914,171.7092514007,145.6992339899,105.8198671565,-81.7231113458,-152.1899600297,55.6218233384,158.8452205716,-175.3698790944
1985,217.0833333333,-175.1168062219,67.4916053809,145.4701895729,-175.7504996852,-92.5853199546,198.3737977458,-119.487914351,66.9801063915,128.2937168756,206.3251240499,161.1322362432,-127.4242342394,-196.3495152528,88.1646753467,181.2396533189,-206.4917406553
1986,167.75,-167.7484610505,0.3592762034,84.0823428035,-118.744117924,-51.9742586614,145.3356038713,-104.5101393529,64.112154535,0.7185507587,167.7496152622,145.1558546138,-118.4900711387,-159.4952630538,83.7712644488,131.2162081164,-155.0151416504
1987,132.6666666667,-107.6873122812,-40.7058207251,41.1897566681,-78.1029413496,-24.979187568,107.3893667046,-91.6179168683,60.1613977511,-77.4847547463,126.2674962275,126.1104610652,-107.2398013659,-130.2938395815,77.8971653094,95.9510383121,-118.2414929925
1988,243.4166666667,-76.3580905346,-142.5917980463,25.8409954529,-110.7755691402,-15.5233269515,181.0273495741,-183.1975236041,127.0571796927,-231.1300837646,197.2796308316,242.04114643,-216.7497333165,-242.9211804917,162.7291378866,160.2820668585,-207.625014629
1989,232.1666666667,70.5856611889,-187.4686624263,-23.8647635639,-72.0325851651,14.3350703334,155.5004156003,-187.7245912883,136.3411088446,-221.1764579372,136.9556925404,230.9368618717,-220.7094646488,-231.7236864666,172.3977431966,136.6046812403,-187.916106681
1990,442.5,356.5389955529,-420.4609111036,-135.9601613222,-69.829423729,82.4330451285,260.4264566196,-379.6832799019,287.1469397364,-262.080511771,137.9089273177,421.0951015308,-436.9554915339,-434.7540029383,357.7489492543,227.259448567,-336.6792019119
1991,148.5,148.4974362374,-148.499359058,-73.9979583297,-0.2181512009,45.7230126563,74.3759140718,-133.7397427251,104.9282005627,-0.8726000959,0.4363019311,128.7499598564,-148.4998397644,-141.285725088,128.5319937058,64.5440254077,-105.0824567978
1992,450.75,366.2986420685,-429.1180929607,-300.9182980606,69.8232844328,191.4145691528,183.7615841915,-421.8675421702,342.5262091856,262.6801616391,-137.9609538739,335.5946072157,-445.3091863537,-408.0882566505,411.5911110258,158.7555963211,-293.0040247521
1993,270.9166666667,85.3942359152,-219.6936071265,-218.8299492019,83.2982009023,144.8663174385,83.9974995853,-261.0864304781,219.0464690489,257.1063296581,-158.5262100271,159.7162909978,-257.7930371524,-228.9314097052,257.5660310313,72.3167760481,-159.4192104955
1994,307.1666666667,-92.9217504103,-181.3958334372,-280.3254765655,138.9831061802,195.4718386668,64.2056029205,-302.1766998183,261.7654852721,292.7745026668,-247.884877963,125.5746323884,-273.9252768688,-236.9432873059,300.3814269637,55.1416648104,-160.7177396288
1995,298.5833333333,-240.2979368891,-93.28195955,-291.9097816395,175.0707978535,217.365365995,31.5643098286,-297.3538301806,265.9184361198,177.22558639,-283.6379434542,62.7748861218,-241.8723272377,-204.7054093333,296.9102579728,27.0685541049,-135.7917238863
1996,377,-376.9894850081,-1.4078621965,-376.9988316627,266.0810364832,304.6680577048,0.4692883684,-376.9997854074,348.1677402878,2.8157047593,-376.9973712429,0.9385760096,-267.0765471247,-222.0503875574,376.9997079156,0.4022472005,-144.5967656032
1997,359.9166666667,-292.8172893769,109.8867239696,-352.2446815164,290.7662896095,315.1269465661,-37.1569328795,-358.5034175251,342.1926655261,-209.2798174369,-342.7315492331,-73.916786239,-212.1201823759,-173.8821856672,357.9935324604,-31.8638755852,-111.5535145327
1998,309,-97.8652049443,180.610979279,-282.6241007822,275.0361727093,287.1161479451,-63.8363253105,-304.0979293748,300.3890621903,-293.0928208967,-250.720310633,-124.9184440227,-140.8407032835,-114.2161003938,302.3341257133,-54.8219787123,-72.4390179144
1999,194,58.3928490914,156.4675888543,-157.2688890972,184.3782962251,187.8235783831,-59.6901814168,-187.0707726224,191.5794736756,-185.0034463868,-114.6904252243,-113.5891567102,-60.337748393,-48.5623661219,184.5889548224,-51.3860489868,-30.5500452728
2000,178.5833333333,143.55371056,169.5999809679,-119.8818326667,176.3231931411,177.1357420832,-72.3985830687,-167.2741870609,178.0174015645,-106.2277700458,-55.927215201,-132.3644708405,-28.3220498016,-22.6921973607,163.2496619111,-62.5408129747,-14.2060439484
2001,224.5833333333,224.5741131702,224.5810282807,-112.8786211451,224.5827570694,224.5829645244,-111.9978049166,-202.4685611589,224.5831892673,-2.0350196337,-1.0175202603,-194.1548106524,-0.5087614356,-0.4070092738,194.6642373549,-97.1810442079,-0.254380881
2002,95.6666666667,77.9199958041,91.122053797,-29.8469577299,94.5236855442,94.9346329568,-56.1103918849,-82.1906108712,95.3804933626,55.5030212242,29.1355868815,-90.8915299981,14.7439473095,11.8121368297,77.4837727117,-48.9572731649,7.3940920354
2003,254.25,80.9089950258,206.4148425929,-27.39366642,241.9959051609,246.3844514085,-169.8208214748,-205.8994284892,251.167793902,241.0327716803,148.4451927728,-252.7699537921,77.9810514508,62.7516103707,189.2193200856,-149.15927007,39.4689980418
2004,141.6666666667,-42.425609486,83.8425600971,14.3376822511,126.3865903848,131.8225506592,-105.1204454345,-106.8183960736,137.793707069,135.164759106,114.1922482519,-140.9392610741,63.9990172999,51.8869885633,94.9691339126,-93.0552239518,32.8989169523
2005,174.8333333333,-140.3734740166,54.8850256014,53.4532985849,141.7081973995,153.3813962427,-141.2659067392,-121.0072390488,166.3460413662,104.220833987,165.9949650115,-166.4615250285,102.39863883,83.909723698,103.0079513319,-126.1901047714,53.8116062408
2006,265.9166666667,-265.9015747591,1.4165432844,132.1396510915,188.5316367079,215.463664656,-230.0541340249,-166.1125671888,245.8102703364,2.833046371,265.912893663,-230.7613187268,187.5299857926,155.8431353129,133.367046264,-207.6494368716,101.4346321937
2007,212.3333333333,-173.1403599177,-64.505715594,141.5006436279,125.2771544084,155.1029444137,-193.8178884607,-117.2514247185,189.3224236989,-122.9140358625,202.2979414135,-158.3130199867,171.4382659378,145.0121411422,86.718340373,-177.0241448106,96.1377362392
2008,280.5833333333,-89.7124778488,-163.638597018,226.3743561669,128.0873606784,179.3383052943,-266.6869685407,-133.3580217972,239.4432976317,-265.8546186596,227.9241463961,-165.7759265227,249.6410122133,215.788737423,87.2070395953,-246.8656415275,146.266585944
2009,134,39.925963818,-107.9492453693,122.2032554978,41.7779913382,72.0633004802,-131.0176252202,-52.8696398447,108.522465046,-127.9137108101,79.3911860611,-54.9760342854,127.3208523367,112.9729203123,28.113731194,-123.1292052386,78.6058177258
2010,387,310.3540229116,-367.3390850882,378.2202082007,61.6797133217,165.6114919676,-384.7987919509,-120.2165863767,294.6515306727,-231.1912205569,121.7825790768,-81.9662986147,382.0531546324,349.7739752015,41.2175898514,-367.8545532679,250.8973405046
2011,353.9166666667,353.8901263069,-353.9100315145,353.9137177051,1.0835799307,110.1903735986,-353.9159294255,-79.3574114994,250.6396855464,-4.3342181495,2.167149704,-1.4447714853,353.9150078748,336.3258665501,0.7223872475,-344.9049262979,249.8734779317
,,-5.7524556146,-19.950715236,-8.6045219401,41.1226943517,6.3833349814,-22.8693306368,-5.3351978789,0.9818780708,8.0338332271,-21.6355319616,-22.387648359,-12.035778358,-32.4520237401,55.6471963306,0.1188215002,-64.8214082285
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,97.6332219183,,,,,,,,,,,,,,,,
20,866.1272816871,,,,,,,,,,,,,,,,
30,575.2445968657,,,,,,,,,,,,,,,,
40,1835.935951425,,,,,,,,,,,,,,,,
50,1093.8808103101,,,,,,,,,,,,,,,,
60,3619.6167432312,,,,,,,,,,,,,,,,
70,28.4784549555,,,,,,,,,,,,,,,,
80,4202.7790492667,,,,,,,,,,,,,,,,
