Year,annual_mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1892,1070.3333333333,849.492224701,-1013.6205623776,1045.0024165426,-174.2147657054,460.6896088687,-1063.981758369,1065.665644045,-692.5119398072,651.1347054312,-343.7830710924,231.4808714872,1056.0599698192,-966.1151736335,-116.4313630534,99.8507864091,-816.1131402378
1893,1097.8333333333,312.6856670201,-879.9189666918,999.1132586555,-345.856657816,592.9386080174,-1072.8694857495,1079.4740142558,-642.4737583248,1052.3619631182,-656.491157468,454.9843119895,1041.9314756845,-923.9382202832,-232.7855114161,199.9346901468,-890.2053120723
1894,974,-324.0639253734,-562.6000962879,783.1802693319,-447.6066946637,624.5987806351,-925.0658307194,937.9676116638,-506.3136771792,918.5088852437,-795.0830973281,579.0549764307,865.0573662435,-747.3636084458,-304.842924857,262.474302494,-832.0591687502
1895,812.3333333333,-668.7848057712,-241.4635105866,538.5678477284,-481.5270428601,594.9056276974,-740.7368154128,759.5227721984,-366.5548912699,461.0990436056,-775.616411314,608.13659472,654.2301975901,-553.1480259192,-333.4582653594,288.1156069298,-724.9296215017
1896,916.8333333333,-916.5607752351,11.1778877632,451.9478785478,-652.2390747297,744.353060816,-792.1313783372,824.6475602764,-348.2734816896,-22.3541139719,-916.7651912765,797.7007435042,644.3349676269,-535.27738787,-461.6397302709,400.674134979,-848.1090396069
1897,823,-653.9875657759,263.7207172052,248.0339578383,-668.7193545352,723.1003706679,-663.8753449636,705.0479640791,-251.9652468274,-499.6291262631,-779.6027086387,784.7344491986,479.7326597909,-393.0074476901,-486.4139454719,424.5425400922,-783.4810236319
1898,860,-246.2584484356,513.7206119796,83.1214864858,-768.5700118735,801.1023670421,-636.8219839083,694.0357415848,-198.2798398587,-823.9883352173,-689.7036558025,855.973608521,385.8758049538,-312.7858652809,-577.977301294,507.8527241267,-836.8303920781
1899,370.25,122.631304018,302.0672961549,-41.5761059389,-352.7927712563,359.0454277519,-246.6693224502,278.0078253621,-56.8486540842,-349.3517221581,-214.1037390932,367.9082629066,112.3491123655,-90.3960359223,-276.114664337,244.5336613585,-365.8596630251
1900,968.0833333333,796.135827887,924.0971719264,-306.2377808796,-957.0236179949,961.0002512191,-566.0042617204,666.6924800843,-73.1666798841,-550.7749847555,-288.4956795437,918.3701660222,145.9148206238,-116.8925037567,-785.3817644892,701.9305359341,-965.3144447445
1901,916.4166666667,916.1786566804,916.3571622383,-464.2245042108,-916.4017904388,916.4071458716,-455.1903086681,569.040588723,2.6108258406,20.8848267361,10.443091455,790.1361380387,-5.2216304904,4.1773125296,-795.3749366426,718.3399719703,-916.4129476022
1902,633.5,504.0154266005,600.2566212677,-427.4089589741,-625.133913483,628.1414494563,-255.4982137804,347.2940736888,51.4777418334,383.7847049437,202.5197240377,467.59366098,-102.6150096889,82.2226822414,-579.6920844337,529.8198527619,-631.4050143099
1903,1029.25,296.2929065074,825.9282767053,-837.1256718605,-977.0983167775,995.7702811144,-314.439155273,484.8583308983,163.8247843837,985.6805141898,614.1645091005,598.8123011529,-323.4724746413,260.3787812962,-980.0426419964,907.8920428435,-1016.1284380046
1904,630.8333333333,-207.9914193197,365.2004751436,-578.1472300552,-560.5048293789,585.514233649,-128.9111130804,246.1226007161,148.9388541951,595.5587829373,514.3727319749,252.3816055577,-289.4564400516,234.784532367,-617.5213513465,580.839358051,-612.9991126873
1905,771.4166666667,-633.7005967656,230.4739373438,-755.6903159798,-621.6410178353,674.392000481,-77.8831465266,236.124514656,240.3533146946,439.8945638106,736.1830192394,154.9703840919,-456.7779751213,374.5385204466,-767.4750087777,734.390146441,-733.0170241723
1906,984.75,-984.5287365124,-10.4376534582,-984.7254143496,-692.6233042777,794.2182466081,3.4792757294,216.2190178123,379.2570128637,-20.8741342653,984.6946825744,-6.9585080261,-700.0039434685,582.1940735311,-984.7438535682,960.719469375,-908.788578655
1907,814.75,-649.0040290501,-259.8475801614,-795.7474417896,-475.4507054173,591.5928662977,87.9839027945,106.9577300325,371.7822617214,-492.5559184263,772.2025625341,-174.9387646728,-661.6375059035,560.2101775635,-809.9854290968,807.6989578341,-724.9796634178
