Year,annual_Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1890,2438.1666666667,2009.5165418129,-2328.5395576206,2389.2384691001,365.5743173687,469.4559260273,-2425.9037788546,2429.1551922106,-1848.7817352574,-1380.760646392,722.883270688,-486.000238906,2410.6040970937,-2392.5442165115,244.2284794684,-209.4319617464,-1589.5479828629
1891,1871.3333333333,1870.7019795015,-1871.1754882183,1871.2631794009,-12.1527944361,587.5124166263,-1871.315794768,1871.3204478514,-1318.9288296043,48.606052439,-24.3050763286,16.2036373266,1871.2938716385,-1776.7153977929,-8.1018945961,6.9444868382,-1327.5221982637
1892,3299,2618.3196972488,-3124.1989118192,3220.9246080731,-536.9677783204,1419.9455182103,-3279.4230652687,3284.6131669616,-2134.4723351828,2006.9387043452,-1059.6141559021,713.4743647178,3255.0063909378,-2977.7769770946,-358.8667705201,307.7618290534,-2515.4381030627
1893,2426.9166666667,691.2361227135,-1945.1859774531,2208.6819061655,-764.5653139194,1310.7750934638,-2371.7305323732,2386.3307816285,-1420.2795858278,2326.3957379605,-1451.2670395432,1005.8075085829,2303.3376625445,-2042.4967959093,-514.6054690277,441.98405808,-1967.9254063672
1894,2346.5,-780.7145799677,-1355.3810327922,1886.7890164141,-1078.3461078321,1504.7443929777,-2228.6108539868,2259.6930192701,-1219.7793054426,2212.8142702509,-1915.4645666123,1395.0231028693,2084.0422072798,-1800.5017527906,-734.4085453562,632.3367051357,-2004.5450097251
1895,2461.1666666667,-2026.2505594632,-731.5739968881,1631.7257709081,-1458.906409913,1802.4151424308,-2244.2471385312,2301.1638853208,-1110.5695690156,1397.0146854584,-2349.9235834785,1842.5016606955,1982.1537398058,-1675.9000612946,-1010.2950768492,872.9181714264,-2196.3552976437
1896,2527.4166666667,-2526.6653110441,30.8138663852,1245.8759505978,-1798.0148061697,2051.9436449273,-2183.6532061072,2273.2899341597,-960.0787516964,-61.6231523954,-2527.2288207804,2199.006167037,1776.2257074311,-1475.5887926476,-1272.5932902551,1104.5306162315,-2337.96573916
1897,2533.1666666667,-2012.9520073367,811.7236089107,763.4402845656,-2058.295963868,2225.6789254318,-2043.386263285,2170.1142175048,-775.5406615086,-1537.841857042,-2399.59124516,2415.3865721689,1476.6011940386,-1209.663871495,-1497.1659694669,1306.7278385705,-2411.5285699029
1898,2782.0833333333,-796.6413082385,1661.8762239282,268.8963979001,-2486.3090936431,2591.5506321416,-2060.106776432,2245.1921737217,-641.4314393104,-2665.5862956616,-2231.177960171,2769.0580349294,1248.3007508124,-1011.856212442,-1869.7453685756,1642.8937204427,-2707.1301007294
1899,1693.9166666667,561.0458061609,1381.976576399,-190.2132580285,-1614.0487646469,1642.6550551233,-1128.5274178361,1271.9030083584,-260.0861110892,-1598.3057520389,-979.537858327,1683.2030745223,514.0041429337,-413.5674594177,-1263.2416794911,1118.7566361547,-1673.830603266
1900,2952.5,2428.0874909217,2818.3492124776,-933.9764635073,-2918.7696294706,2930.8977275281,-1726.2228624217,2033.3058938959,-223.1467218984,-1679.7759929317,-879.8658798515,2800.8827564921,445.0169660585,-356.5035213998,-2395.2893101362,2140.7763525993,-2944.0553307481
1901,2603.3333333333,2602.6572005724,2603.1642946551,-1318.7572530276,-2603.2910733208,2603.3062868989,-1293.0931383823,1616.5161400115,7.4167681424,59.329088591,29.6664705878,2244.5987953377,-14.8334760863,11.8668039853,-2259.4810421672,2040.6420591389,-2603.3227683087
1902,3178.6666666667,2528.9613828267,3011.8637939536,-2144.5787070649,-3136.6887655742,3151.7794590977,-1281.9947206576,1742.5921003403,258.2961042481,1925.6884747927,1016.1684232694,2346.210550437,-514.8838370922,412.5627455163,-2908.6786199208,2658.4383667126,-3168.1548100288
1903,2883.9166666667,830.200681362,2314.2174619011,-2345.5921080138,-2737.7897699555,2790.1078551152,-881.0457328582,1358.5533363613,459.0303872696,2761.8367382856,1720.8639921011,1677.8477294145,-906.3567265736,729.5707622312,-2746.0396495481,2543.8766032455,-2847.1505832746
1904,2640.75,-870.6790075064,1528.7764672161,-2420.19915102,-2346.3457778321,2451.038381784,-539.6386079795,1030.3010692331,623.4773250448,2493.0861654559,2153.2308459119,1056.5020737804,-1211.7021306202,982.8384473155,-2585.0243200554,2431.4687473289,-2566.0936435865
1905,2384.1666666667,-1958.5366828846,712.3106133096,-2335.5622707335,-1921.2649368333,2084.2989233836,-240.708309617,729.7744803186,742.8441539822,1359.5531457946,2275.2723539416,478.9567558462,-1411.7335927644,1157.5615285705,-2371.9844443263,2269.7312401076,-2265.4874215804
1906,2261.5,-2260.9918635418,-23.9703003765,-2261.443538514,-1590.6246282041,1823.9396442796,7.990233117,496.5517225515,870.9720584831,-47.9379077339,2261.3729623173,-15.98036649,-1607.5744281839,1337.0214747809,-2261.4858845845,2206.313358712,-2087.0529277768
1907,2409.25,-1919.1321963657,-768.3802178629,-2353.0586365532,-1405.9277226468,1749.3649746888,260.1720991808,316.2785039347,1099.3757766826,-1456.5085565738,2283.4354388283,-517.3012811144,-1956.4899185002,1656.565044854,-2395.1609635488,2388.3997719077,-2143.7953410117
1908,3018.5833333333,-873.5704725489,-1799.2915371542,-2749.1332941119,-1356.5643911028,1914.536365251,637.7136495166,126.5697471402,1583.815437275,-2889.4151605071,2423.7151863622,-1246.6400729493,-2696.5864334505,2333.7514534348,-2950.4519385168,3015.9286197433,-2569.7030958706
1909,2699.0833333333,885.8525723842,-2199.5500396888,-2172.8494007379,-821.0608952206,1437.0027652221,842.7185879351,-128.8910528326,1592.0017371749,-2549.5717405631,1564.2987129006,-1601.1796657435,-2571.1689650074,2284.7481027505,-2564.1521448281,2696.0040683904,-2179.5828291464
1910,2386.6666666667,1958.4203205774,-2277.0896201317,-1585.1767422338,-361.6102075419,1007.5795680134,977.9798787074,-327.1007002838,1554.5312394917,-1364.0995659142,714.8710650646,-1784.2063988393,-2359.1133579333,2163.5529094293,-2177.0928171811,2364.1452809952,-1810.9694650165
1911,1934.3333333333,1933.961558518,-1934.2403873964,-956.1980348175,9.4812558212,590.5234987511,972.6355207448,-435.7100091833,1371.1282495852,37.9227454024,-18.9622838509,-1681.4668485152,-1934.3100967095,1841.9900764844,-1672.0124366254,1884.6225702622,-1364.4239691657
1912,2698.5,2152.1350662003,-2558.264912606,-817.3650031317,434.9852775284,495.4194990555,1593.1482650791,-840.950714348,2056.1748492541,1627.9486806503,-858.5935516467,-2571.7341817644,-2663.2104795404,2652.6329881753,-2178.0222348441,2564.1185904785,-1747.5832567563
1913,2199.8333333333,639.9791110727,-1767.3587745021,-216.1071500805,689.699916752,129.7983271273,1477.1369236001,-870.0679817078,1782.7635234815,2104.6836892595,-1309.8510055097,-2189.1926352262,-2088.9185525713,2196.0007032602,-1630.1328790567,2020.4574733588,-1288.8060031626
1914,3189.1666666667,-1041.9011529322,-1850.4036858055,353.0702776019,1461.0849176434,-212.1205984993,2376.6345941369,-1518.723354426,2723.0889945332,3014.170866971,-2597.4584168636,-3169.5623367986,-2834.7865688995,3182.1044733746,-2126.5916471504,2804.3294029944,-1659.9910709489
1915,2195.4166666667,-1799.4861179594,-659.2543232602,691.1673172554,1298.560050868,-419.284067943,1780.0638454892,-1214.2426799638,1958.4093952263,1257.6581616439,-2094.0960048529,-2083.7807177906,-1770.1966372603,2155.0070094195,-1285.0007962099,1829.0623429595,-992.2131731475
1916,2842.3333333333,-2841.8721878917,25.6000884796,1435.9213758558,2018.863883797,-888.0625664532,2465.7885116549,-1777.8786085312,2628.4161476217,-51.1981002141,-2842.2180446348,-2452.9550709579,-2000.7617040712,2700.0377137814,-1413.770063896,2217.6578706159,-1081.7981940729
1917,2971.0833333333,-2372.3801424731,943.079284042,2001.0314371297,2411.358882087,-1274.5318449388,2717.771819519,-2058.6267292489,2827.6920234411,-1788.616401918,-2817.4345844441,-2196.1806303739,-1735.7086493392,2683.8227865952,-1200.4384659946,2142.286666913,-911.8629251036
1918,2152.4166666667,-629.46356141,1280.2401427674,1748.6404691419,1922.0441888225,-1159.6314085434,2048.9876032731,-1624.4340104172,2094.031691861,-2058.3180346588,-1730.2839893473,-1255.0513999928,-968.8362313405,1813.3263642445,-659.2020241002,1412.1301826477,-497.9244726126
1919,2476,805.1814608171,2015.4658638865,2267.6282414189,2358.0574080144,-1584.7612519139,2423.3472229288,-2006.6666395577,2446.3366634872,-2341.4223914442,-1438.2188121105,-994.202272538,-755.0769897888,1902.3952729211,-507.9017987008,1450.4706124862,-382.1163813267
1920,2134.9166666667,1747.9469044919,2035.8769796404,2090.7078451496,2110.0114773063,-1561.1713483577,2123.8357042568,-1835.3299317225,2128.6812635257,-1225.7857858079,-642.7084077415,-432.2150851615,-325.1472577878,1456.2325345487,-217.2350683828,1090.6113951976,-163.0498449126
1921,2408.25,2407.9253150527,2408.1688273952,2408.2139231742,2408.2297067633,-1952.9535634034,2408.2409807767,-2172.2034942737,2408.2449266855,39.544147839,19.7727403805,13.1819092004,9.886453499,1409.1275462817,6.5909792843,1039.8076947038,4.9432371631
1922,2612.5,2088.5571526849,2478.0548633343,2552.4583507742,2578.6696745086,-2293.3925818116,2597.4462161321,-2448.0187763566,2604.0286840446,1569.4219540865,827.2849232914,556.877560657,419.0691586953,1251.202108251,280.0525027585,912.337832497,210.2162283771
1923,2803,823.9914271034,2254.601624475,2554.6341634536,2662.3727531474,-2609.4078445936,2740.2051529183,-2703.6624737768,2767.6199004806,2679.1504489409,1665.4070117886,1153.5394622273,876.6871296525,1023.620877363,589.9870506374,739.6068062768,443.9471662979
1924,2627.0833333333,-850.3552210091,1527.6800731422,2117.3664863067,2336.1196137072,-2546.5573071369,2496.4039183406,-2585.8950829046,2553.3064585083,2485.6513911609,2137.2319561531,1555.0967825003,1201.71210809,645.455437459,818.250766435,463.3718382545,618.2175743354
1925,2740.6666666667,-2241.391125549,827.148062025,1823.5573263993,2211.1299034394,-2720.0837949251,2500.9014931617,-2730.1587520309,2604.9207089472,1577.1555408673,2612.8681293296,2045.945369533,1619.3079780863,335.2579997017,1121.0466088793,239.7643978719,851.8461585731
1926,2259.5,-2259.2515945619,-16.7521951891,1120.0642658426,1591.773957723,-2259.4900636077,1953.9863687692,-2259.4949304103,2085.8995071042,-33.5034695122,2259.4378977871,1962.3445901224,1603.6196299357,-6.7009296447,1134.5825314468,-4.7863817542,868.541015878
1927,2652.0833333333,-2122.7366853727,-837.8160366728,807.3299861897,1551.0622262961,-2630.1951892939,2141.8044270916,-2640.9083745994,2360.8358992386,-1589.8223081581,2516.2691222598,2526.2154105189,2151.2210432919,-340.0283417008,1564.0395784747,-243.2056000899,1208.304541004
1928,2978,-879.9680182115,-1767.475493715,297.2722674892,1342.561354225,-2882.3270265226,2208.3660036985,-2929.05827693,2536.3982054167,-2845.0202612504,2396.7716576923,2963.1255793472,2658.197323402,-748.7822862338,1997.8997957126,-537.681699845,1560.5025291742
1929,3297.6666666667,1062.4443231842,-2681.2490255661,-359.8620158557,1008.151751425,-3062.7129506975,2200.8975975904,-3177.0832952999,2664.5031309853,-3121.8291920889,1919.7679826858,3277.9726621784,3139.7827139061,-1222.4544269929,2455.7392388781,-883.5989922873,1942.9432594428
1930,2416.5,1974.0616173115,-2303.2360005255,-757.1154921332,369.9340851626,-2114.4314595127,1415.9630403475,-2260.7632000323,1834.859390634,-1393.7549931956,731.1471643133,2294.8307958479,2388.0161269629,-1169.893949477,1958.1932791147,-853.4764222753,1572.5022310325
1931,3081.1666666667,3080.8967848494,-3081.0991954736,-1552.3408897227,-10.1953418536,-2487.9133217372,1534.6932955905,-2773.5025105043,2175.1062595082,40.7802511339,-20.3905720784,2661.5457519782,3081.1497988223,-1817.6565493241,2671.7605649174,-1342.1146940573,2182.3154647361
1932,2631.8333333333,2109.0385453505,-2497.7174219057,-1769.4451700097,-420.101610462,-1913.8631800382,1065.284448987,-2256.799381953,1706.0054619847,1574.3262395928,-829.4301506173,1948.2326567363,2598.0880145468,-1806.5642591777,2406.598374717,-1354.0322167736,2004.0189764877
1933,3721.75,1105.3997819193,-2997.1190083861,-3020.1193155756,-1161.226806666,-2365.0994857726,1142.6491149422,-3007.0168836432,2182.8452985486,3553.8028060984,-2206.5132476536,2174.9258337211,3535.9546611885,-2873.6261908777,3542.0017027977,-2193.0053634191,3014.4003491747
1934,2431.1666666667,-779.6082716705,-1416.9004407453,-2225.0103574765,-1110.3716133768,-1297.6388331492,500.5998137366,-1828.0333190288,1267.0976495631,2302.7770851418,-1975.5921902374,979.7450026582,2162.786684192,-2055.8951383314,2379.0693952885,-1602.7680885368,2074.8578041839
1935,2302.5,-1878.8165087915,-698.402190184,-2254.0756810676,-1358.939882243,-975.3699477022,236.1111966234,-1588.3255845346,1042.2444941412,1330.9976620162,-2194.0238446166,469.7329816179,1858.7061753944,-2085.7036498792,2290.3619261656,-1666.951735208,2053.1031791979
1936,2917.0833333333,-2916.8856143989,16.9817933116,-2917.0613643422,-2068.684664207,-894.9655913144,-5.6606261912,-1814.9757737858,1112.3959766492,-33.9630111082,-2917.0339031809,-11.321231067,2056.6766721305,-2776.4026660364,2917.0778410804,-2283.6895835865,2696.655403411
1937,2665.0833333333,-2138.2199956952,837.8945936344,-2604.7346520237,-2160.5240209491,-493.4562964702,-283.5791465771,-1464.5861436325,819.9672597468,-1590.8125042317,-2529.9410711653,-563.938441816,1560.3862113313,-2619.0017291107,2649.9532149149,-2226.5795744798,2535.8081288919
1938,2685.75,-801.7800699299,1590.5772913766,-2449.5305852234,-2396.3666270851,-162.7390272359,-563.2167847447,-1268.9726397143,623.3824643853,-2563.2794974336,-2164.0972581326,-1101.3868414664,1212.7159812143,-2680.8150013595,2626.0312099977,-2367.0575620708,2612.4026040404
1939,2333.1666666667,744.6617314098,1894.8729012934,-1882.673914935,-2220.8918237177,151.4776968222,-724.9395395188,-913.7162614324,361.9087737772,-2211.1412438418,-1361.2947448618,-1378.1166947933,715.0567822127,-2328.2442315638,2217.6855860304,-2146.8090944559,2304.9270560926
