Year,annual_Mean_eastmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1895,894.75,-736.6375112398,-265.9616037309,593.2091691691,-530.3811919562,655.2627948899,-815.8895349905,836.5814531282,-403.7443442311,507.8806351245,-854.3078999055,669.8361322844,720.6062404109,-609.2686042568,-367.2898435745,317.3468682402,-798.4785952055
1896,958.9166666667,-958.6315979487,11.6909611426,472.6926230185,-682.1773343861,778.519421088,-828.4907989936,862.4994979187,-364.259494074,-23.3801844642,-958.8453968387,834.3158021727,673.9104228761,-559.8470189257,-482.8293379592,419.0653764046,-887.0378766367
1897,990.5,-787.089530864,317.3941317032,298.5147451262,-804.8195876878,870.2684290967,-798.9897073954,848.5419300369,-303.2461445717,-601.3154915718,-938.2703315998,944.4465029541,577.3696227496,-472.9937751362,-585.4107083717,510.9470060283,-942.9379755861
1898,1187.4166666667,-340.0132395115,709.302810087,114.7672539667,-1061.1777227893,1106.095700386,-879.2709737122,958.2669846746,-273.7683564096,-1137.6947469488,-952.2855999544,1181.8573592845,532.7853047274,-431.8687785259,-798.0231168739,701.2009172559,-1155.4259938684
1899,589.5,195.2495711508,480.9417179833,-66.1961227576,-561.7051685498,571.6604447258,-392.7388672097,442.6350116164,-90.5125768606,-556.2264421667,-340.8890052544,585.7715624131,178.8786002417,-143.9256264043,-439.6207822462,389.3385371259,-582.5098483546
1900,1014.0833333333,833.9654721147,968.007100385,-320.7891499977,-1002.4980982508,1006.6636874482,-592.8988431501,698.3714203448,-76.6433095902,-576.945923172,-302.2040048522,962.0079668007,152.8481924913,-122.4468346575,-822.7004125048,735.2838677612,-1011.1828766546
1901,1117.0833333333,1116.7932065836,1117.010799291,-565.8751913199,-1117.0651996756,1117.071727781,-554.8627887328,693.6427290926,3.1825152672,25.4579523867,12.7298027602,963.1513076665,-6.3650047035,5.0920136819,-969.5372397648,875.6340205748,-1117.0787999097
1902,850.1666666667,676.396393341,805.5535451425,-573.5893448374,-838.9392509015,842.9754100701,-342.8825015769,466.0739463001,69.0839150466,515.0449302599,271.7845599359,627.5178281134,-137.7109088196,110.3440942155,-777.955622914,711.026327003,-847.355163903
1903,990.6666666667,285.1858207886,794.9668329263,-805.7444730855,-940.4699854143,958.4419967524,-302.6518239726,466.682522688,157.6835103841,948.730463338,591.1414204669,576.364718331,-311.3465127144,250.6180027568,-943.3039371754,873.8580362176,-978.036990608
1904,952.75,-314.1302373953,551.5636766601,-873.1779763833,-846.5325910554,884.3043901334,-194.6949479324,371.7199067355,224.9429220624,899.4747114032,776.8591076181,381.1729057254,-437.1671702919,354.5959786727,-932.6448626083,877.2439076087,-925.8149082371
1905,762.4166666667,-626.3073090427,227.7850332461,-746.8737929025,-614.3884273712,666.5239723886,-76.9744957947,233.3696861389,237.5491494157,434.7623813658,727.594084803,153.162368376,-451.4488165048,370.1688369413,-758.520995496,725.8221291767,-724.4650269151
1906,1093.75,-1093.5042453013,-11.5929763594,-1093.7226930134,-769.2883869548,882.1286694366,3.864389773,240.1518666994,421.2362100225,-23.1846502692,1093.6885595996,-7.728731306,-777.4859742764,646.6359664124,-1093.743173232,1067.0595781965,-1009.3805614662
1907,868.5,-691.8195756122,-276.9900256154,-848.2438210424,-506.8167384534,630.62093204,93.7883026413,114.0138552111,396.3091676036,-525.0504021518,823.1456588658,-186.4796773468,-705.286497548,597.1678910265,-863.4211048426,860.9837924258,-772.8074104674
1908,1185.4166666667,-343.0566207108,-706.593107032,-1079.6019409973,-532.7313713231,751.850476098,250.4341623934,49.704736026,621.9742869237,-1134.6915125256,951.808202689,-489.5633999863,-1058.9664582126,916.4788787541,-1158.661039268,1184.3741439375,-1009.138573248
1909,952.75,312.6972879703,-776.4196364124,-766.9945721892,-289.8264600654,507.2479117844,297.4714136238,-45.4972801579,561.9610318664,-899.973871063,552.1821354346,-565.2007508242,-907.5974799139,806.4937188165,-905.1206110661,951.6630496127,-769.3714065155
1910,1032.6666666667,847.3723677582,-985.2546987665,-685.8767524358,-156.4620702465,435.9611035902,423.1538637201,-141.5304426647,672.6170083723,-590.2207339668,309.3115306662,-771.9932155872,-1020.7448579438,936.1294571805,-941.9879256462,1022.9220782854,-783.5731009248
1911,1015.0833333333,1014.8882364427,-1015.0345579388,-501.7856394155,4.9754944493,309.8900025111,510.4115663533,-228.648269079,719.5292610804,19.9007824292,-9.9508693602,-882.3861658523,-1015.0711394114,966.6242082395,-877.4247583376,988.9965331882,-716.0110446496
1912,953.25,760.2456000947,-903.7117020351,-288.7356639745,153.6593351135,175.007833046,562.7825027559,-297.0673590707,726.3474801006,575.0758124254,-303.2997232193,-908.4697456983,-940.783913145,937.0473952114,-769.3902891848,905.7795243186,-617.3369425618
1913,811.75,236.1556375846,-652.1646269575,-79.7446681163,254.5028748042,47.8962612526,545.071246791,-321.0596336774,657.8490598619,776.6392839259,-483.3418685003,-807.8235267724,-770.8218660731,810.3357394673,-601.5275541666,745.5593699518,-475.5761526179
1914,1085.9166666667,-354.7691121991,-630.0655978503,120.2210291986,497.5018960494,-72.227424067,809.2481159184,-517.1278816704,927.2164276917,1026.3302996472,-884.4390026169,-1079.2413590495,-965.2496414771,1083.5119778559,-724.108067782,954.8789247562,-565.2297790838
1915,1181.8333333333,-968.6966075118,-354.8887763324,372.0681303213,699.0388552442,-225.7083564839,958.2412395797,-653.6492574396,1054.2479424216,677.02061296,-1127.2905500407,-1121.7376405278,-952.9295391773,1160.0800686121,-691.7396580698,984.6180355988,-534.126673812
1916,1250.5833333333,-1250.3804363695,11.26364864,631.7835137641,888.2693298974,-390.7339901127,1084.9093524805,-782.2394827673,1156.4630329353,-22.5263835439,-1250.5326080636,-1079.2628342285,-880.3046467983,1187.9754301254,-622.0372742139,975.7356533462,-475.974712632
1917,1390.3333333333,-1110.1671751892,441.3186765477,936.3926877702,1128.4074717062,-596.4235632614,1271.7949411509,-963.3446933158,1323.2326513643,-836.992007674,-1318.4326313877,-1027.7137306022,-812.2335597446,1255.9083210825,-561.7511953175,1002.4937803488,-426.7108249636
1918,796.25,-232.8593568962,473.6031036487,646.8798514325,711.0276133106,-428.9859502355,757.9881741172,-600.9317809259,774.6514698878,-761.4398087872,-640.0891834067,-464.2849559383,-358.4045139362,670.8093000254,-243.8605962398,522.3935845444,-184.1987043948
1919,1457.0833333333,473.8354147276,1186.0669301984,1334.4601440902,1387.6761503477,-932.6046879952,1426.0980813445,-1180.88873831,1439.626970957,-1377.8867297523,-846.3669874041,-585.0709052008,-444.3497969325,1119.5268358584,-298.8914563235,853.5769608011,-224.8689057451
1920,782.1666666667,640.3930538101,745.8816242205,765.9699377249,773.0421845504,-571.9643341148,778.106948755,-672.4074608356,779.8822100571,-449.0895579684,-235.4682507148,-158.3500835054,-119.1237816307,533.5180361948,-79.5881319271,399.5658907578,-59.7363614641
1921,989.8333333333,989.6998820788,989.7999699574,989.81850512,989.8249924542,-802.6984472163,989.829626273,-892.8140456411,989.8312481113,16.2533439922,8.1269459234,5.4179977675,4.063507203,579.1763380994,2.7090090294,427.3793486865,2.0317578817
1922,1073.9166666667,858.5402241356,1018.6504951767,1049.235431146,1060.0100827877,-942.7416332315,1067.7285291003,-1006.3036035378,1070.4343748416,645.1400549382,340.0708391214,228.9148683951,172.2661642139,514.3298746102,115.1207847862,375.0334177796,86.4132866059
1923,1225.5,360.2574006119,985.7346738474,1116.9119398189,1164.0163428406,-1140.8595481803,1198.0454566184,-1182.0686270473,1210.0314620189,1171.3517214331,728.1328194602,504.3391405493,383.2964956793,447.5374189113,257.9483162883,323.3635894014,194.0981991787
1924,1079.5,-349.4211429961,627.7420354476,870.0512438895,959.9395234247,-1046.4108915671,1025.8022635427,-1062.5752546851,1049.1841986841,1021.3839213671,878.2142033309,639.0078896276,493.797895264,265.2253683376,336.2290381728,190.405037042,254.033004217
1925,1108.9166666667,-906.9019614352,334.6770634081,737.8398608123,894.6577969189,-1100.5885143234,1011.903921476,-1104.6649997956,1053.9917256739,638.1418384311,1057.2073764592,827.821546837,655.19737486,135.6506385925,453.5930194709,97.0124313574,344.6703001743
1926,1412.9166666667,-1412.7613331046,-10.4755281195,700.401623787,995.3724073613,-1412.9104532149,1221.8720543808,-1412.9134965371,1304.3603357289,-20.9504804005,1412.8778327425,1227.0986400209,1002.779775229,-4.1902434951,709.4802250012,-2.9930332169,543.1184231103
1927,1006.8333333333,-805.8728871225,-318.0673481565,306.493665142,588.8431678903,-998.5237479041,813.1117388255,-1002.5908870985,896.2645509693,-603.5579929981,955.2730097453,959.0490051811,816.6866502766,-129.0879002177,593.7698723372,-92.3302454135,458.7191033593
1928,925.5833333333,-273.5002456423,-549.3438076084,92.3943103594,417.2775061948,-895.84750066,686.3756772744,-910.3719017758,788.3303914138,-884.252295772,744.9334789005,920.9602588373,826.1864134493,-232.7267979964,620.9613003968,-167.1152518519,485.0151553486
1929,1060.5833333333,341.6994061752,-862.3333758309,-115.7374880167,324.2380304353,-985.0183898596,707.8445295798,-1021.8017562741,856.9476232702,-1004.0311363518,617.4286646023,1054.2494205889,1009.8052815092,-393.1612628206,789.8057538967,-284.1798335904,624.8822112334
1930,998.3333333333,815.5479059035,-951.5403574831,-312.7885921703,152.8315863248,-873.5391711484,584.9795580165,-933.9934870124,758.0390199253,-575.80470441,302.0602465161,948.0678989674,986.565735603,-483.3205570982,808.9921885576,-352.598370193,649.6508975712
1931,1143.75,1143.6498180359,-1143.7249542347,-576.2394848121,-3.7845801628,-923.5303278207,569.6885779731,-1029.5429749735,807.4142211216,15.1379062804,-7.5691188883,987.9838655785,1143.7437385416,-674.726460201,991.7756735406,-498.2020927121,810.0903270813
1932,970.6666666667,777.8507053462,-921.2023472345,-652.6026641845,-154.9409017371,-705.8665797317,392.8957400355,-832.3475144383,629.2049781901,580.6393527572,-305.9085046669,718.5426504232,958.2207964487,-666.2928405707,887.5960315593,-499.3910221322,739.117631503
1933,1118.0833333333,332.0827763375,-900.3906257252,-907.3003483369,-348.8542590859,-710.5201361503,343.2731729066,-903.3641326401,655.7675683622,1067.6288540208,-662.8778630968,653.3884129561,1062.2669373539,-863.2910728153,1064.0835817925,-658.8198419425,905.5822638292
1934,1225.25,-392.9039699174,-714.0840193418,-1121.3521384101,-559.6008031631,-653.9790143207,252.2903633842,-921.2851816576,638.58698641,1160.5447138836,-995.6513324556,493.7681077015,1089.9928915361,-1036.1221025189,1198.9942181026,-807.7568796105,1045.6788337189
1935,1031.5,-841.6934761426,-312.8781147339,-1009.8063257421,-608.7932632068,-436.9572643018,105.7757651757,-711.5560653409,466.9164802201,596.2753912572,-982.903624635,210.4362955652,832.6842214633,-934.3771182846,1026.0622483561,-746.7798978793,919.772390594
1936,1234.25,-1234.1663429471,7.1851832806,-1234.2407046786,-875.2832041585,-378.6697721171,-2.3950731187,-767.9361858461,470.6669564391,-14.3701230545,-1234.2290855596,-4.7901372185,870.2024908135,-1174.7264644098,1234.2476761675,-966.2541471933,1140.9845216375
1937,1178.75,-945.7215796601,370.5956357512,-1152.0581486782,-955.5865131273,-218.2526910844,-125.4253159167,-647.7774616704,362.666486011,-703.6066061836,-1118.9774069489,-249.4265113501,690.1492435909,-1158.3683893021,1172.0580414925,-984.8024790037,1121.5723705693
1938,1128.8333333333,-336.9919273719,668.527102578,-1029.5492043636,-1007.2041431783,-68.3999771304,-236.7226586662,-533.3551577017,262.0105762687,-1077.3584061632,-909.5802370121,-462.9180599616,509.7102200357,-1126.7591302372,1103.7332455437,-994.8854055605,1098.0050784799
1939,1108.3333333333,353.7395895332,900.1289230374,-894.3339905934,-1054.9989733354,71.9570457795,-344.3708791913,-434.0462274823,171.918947469,-1050.3671170475,-646.6611938946,-654.6521908976,339.6762341392,-1105.9950096363,1053.4759016431,-1019.8071632353,1094.9185601125
