Year,annual_Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1904,1855.0833333333,-611.6376466944,1073.9402611852,-1700.1499984491,-1648.2692215065,1721.8140495722,-379.0872243438,723.7695131496,437.9825407183,1751.3519243022,1512.6091659832,742.1752868322,-851.200767766,690.4278038338,-1815.9369619979,1708.0667040389,-1802.6384739146
1905,1159.0833333333,-952.1596197917,346.2959916296,-1135.4538840836,-934.0396367149,1013.3000253527,-117.0224354583,354.7862022632,361.140137635,660.9585705996,1106.1434173706,232.8489869649,-686.3265481216,562.7585914326,-1153.1608401305,1103.4495567513,-1101.3863875135
1906,1766.75,-1766.3530289244,-18.7263003273,-1766.7058906344,-1242.6425212821,1424.915041579,6.2422040059,387.9207410205,680.4288677095,-37.4504967892,1766.6507544436,-12.484330089,-1255.8842011912,1044.5203142026,-1766.7389726242,1723.636580369,-1630.4668406587
1907,1956.25,-1558.2867527821,-623.9052822224,-1910.6240355949,-1141.577713989,1420.4400671309,211.2531572159,256.8101373133,892.6652954801,-1182.6480704773,1854.0917618379,-420.035542671,-1588.6202772922,1345.088873714,-1944.8100591231,1939.3201426977,-1740.70753797
1908,1802.8333333333,-521.7354609812,-1074.6175942024,-1641.9056865753,-810.2010887314,1143.4469736311,380.8711894002,75.593128941,945.9256044504,-1725.6883080477,1447.5513994357,-744.5493564361,-1610.522344954,1393.8210237586,-1762.142209035,1801.2478193282,-1534.7419257396
1909,2057.75,675.3637830709,-1676.9115789323,-1656.5553197821,-625.9673557591,1095.5543326941,642.4789308679,-98.2650519496,1213.7237610319,-1943.7640862554,1192.6032948734,-1220.7209079072,-1960.2295610525,1741.8655994695,-1954.8800182852,2055.4024039261,-1661.6888079321
1910,1826.75,1498.9710840565,-1742.8799428389,-1213.2911789981,-276.7757457935,771.1994312298,748.5438869115,-250.3622364148,1189.8351711207,-1044.0791405169,547.1609154078,-1365.6280889998,-1805.6607513707,1655.9791664664,-1666.342585385,1809.5121754433,-1386.1124875219
1911,1466.25,1465.968189821,-1466.1795457626,-724.8106334058,7.1869160854,447.6245459472,737.270463015,-330.2738933129,1039.3331704055,28.7459376769,-14.3736595018,-1274.5738927979,-1466.2323863349,1396.252601919,-1267.4073247641,1428.5685905465,-1034.2512380437
1912,1900.9166666667,1516.0383236087,-1802.1302242436,-575.7801583113,306.418663631,348.9906180271,1122.2687009672,-592.3947484711,1448.4406301753,1146.7833164818,-604.8229728433,-1811.6184429692,-1876.057508764,1868.6063582628,-1534.2741399244,1806.2537572542,-1231.0580467503
1913,1837.75,534.6412355666,-1476.4589383323,-180.5368202411,576.1782053236,108.434067283,1234.0063859442,-726.8584438443,1489.3281302879,1758.2615879703,-1094.2550278243,-1828.8607161392,-1745.0913266102,1834.5482047503,-1361.8198493006,1687.8986536852,-1076.6739445316
1914,2549.6666666667,-832.9764221352,-1479.3559229398,282.2717066503,1168.1043673953,-169.5856240315,1900.0656399847,-1214.1849948267,2177.0481023449,2409.7614801632,-2076.6092950708,-2533.9934480452,-2266.3477883995,2544.0206027533,-1700.1619554798,2241.9979726683,-1327.1253411746
1915,2021.6666666667,-1657.0709137102,-607.079517263,636.4668482298,1195.789213667,-386.1010244182,1639.1857616841,-1118.144900965,1803.4166607777,1158.1243879856,-1928.3647400923,-1918.8658270488,-1630.0994655508,1984.4551166641,-1183.303067605,1684.3064126095,-913.6872871725
1916,2661.8333333333,-2661.4014725471,23.9743762817,1344.7343903948,1890.6576221485,-831.6668962604,2309.2006754802,-1664.9759151432,2461.5007795042,-47.9468077003,-2661.7253659471,-2297.1822116963,-1873.7050061992,2528.5740780347,-1323.9897789658,2076.8273631762,-1013.0995049571
1917,2544.5833333333,-2031.8241845123,807.6999393661,1713.7827092462,2065.2075130992,-1091.5723749812,2327.6347715203,-1763.1101780387,2421.7758936352,-1531.8599229396,-2412.9909134155,-1880.9181709384,-1486.5470958285,2298.5591335564,-1028.1151252109,1834.760703845,-780.9646991288
1918,1193.0833333333,-348.9112938444,709.6363825158,969.2704168455,1065.3879999757,-642.7830297772,1135.7526623586,-900.4228474638,1160.720575027,-1140.9245151655,-959.0954305426,-695.6742767314,-537.0253716405,1005.1257716864,-365.3953067886,782.7429565591,-275.9992517865
1919,1920,624.3733460294,1562.8814453401,1758.4193148321,1828.5420934522,-1228.8940241012,1879.1707059868,-1556.0581372984,1896.9977358221,-1815.6425652556,-1115.2585295849,-770.9484504333,-585.5201213225,1475.2015040422,-393.849536957,1124.7591179215,-296.3099564407
1920,1257,1029.159260992,1198.6872384127,1230.9706521034,1242.3362786872,-919.1892196662,1250.4757314106,-1080.6087938679,1253.3287083423,-721.7203166839,-378.4149897487,-254.4803600678,-191.4407758489,857.4031598084,-127.904046664,642.1321005956,-96.0007752317
1921,2106.5,2106.2159975744,2106.428998197,2106.4684435446,2106.4822494745,-1708.2515026718,2106.4921108714,-1900.0297563324,2106.495562364,34.5893272803,17.2952465947,11.530236367,8.6476961676,1232.5660443237,5.7651397747,909.5213988969,4.3238571926
