Year,Annual_Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1885,1370.8333333333,-1131.0643219036,405.3907702256,435.7119407243,1103.3828004434,-576.7450993716,-1112.7606390985,1179.5820354949,-1302.2553417153,774.5176095445,1309.5198933936,-1299.7457953338,813.468145328,-1243.6032800409,800.592148257,-698.4055049293,-428.1530716363
1886,894.4166666667,-894.0767728972,-12.3289628993,454.3077045739,628.0740178161,-271.695407501,-776.6342628217,807.3637478616,-825.1487875063,-24.6555830779,894.3316891875,-770.4451201584,636.7921181638,-852.1518521684,443.6444470774,-384.8960278439,-345.1241111369
1887,1283.1666666667,-1017.1672745208,-413.1110948372,867.2325593167,747.1366367403,-233.5682625065,-1174.5894190754,1203.0915209857,-1141.3188691499,-782.2323376648,1214.8481048127,-945.7401241914,1043.2178777633,-1261.7299874356,516.581446667,-446.1922081087,-586.4366405392
1888,1066.25,-302.0618650038,-638.2850456261,868.2059736443,477.6597285732,-61.2174179856,-1015.5327867426,1028.9091800832,-907.2468649963,-1022.569162556,854.0967527336,-618.9567430996,953.2734372673,-1064.4911884253,324.9341803364,-279.7051333827,-560.1715705518
1889,1200,401.0591953513,-980.1201544764,1100.5413110626,363.2188146478,81.72228302,-1174.8722426875,1181.5216187358,-968.4685275158,-1130.9958098173,692.3615260752,-478.3396519677,1143.7097939101,-1197.2140445459,244.2851067144,-209.7776548159,-708.5680709793
1890,1108.1666666667,913.3416834038,-1058.3402500936,1085.9284011926,166.1565135132,213.3715532269,-1102.5930839842,1104.0708779143,-840.2864008289,-627.566992813,328.5563515486,-220.8910785759,1095.6392536453,-1087.4308903948,111.003838949,-95.1885374018,-722.4625427613
1891,1221.25,1220.8379724615,-1221.1469887709,1221.204216874,-7.9310296785,383.4162124002,-1221.2385541649,1221.2415908115,-860.7455467515,31.7207738909,-15.8617248662,10.5746484245,1221.2242469212,-1159.5014318959,-5.2873737667,4.5320384135,-866.3536611843
1892,1219.5,967.8814400712,-1154.883471647,1190.6388479979,-198.4941514585,524.8934705843,-1212.2632397985,1214.1817996695,-789.0236473948,741.8798878293,-391.6942901251,263.7411299707,1203.2374336916,-1100.7575094171,-132.6577831613,113.766459694,-929.850490053
1893,1413,402.4516600876,-1132.5266433298,1285.9393057357,-445.1453992658,763.1597872737,-1380.8695157408,1389.3700763415,-826.9155189127,1354.4746809346,-844.9570415992,585.6014873307,1341.0498027711,-1189.1829712405,-299.6137188076,257.33206362,-1145.765999051
1894,1483,-493.4156071136,-856.6077441427,1192.4603074119,-681.5202548114,951.0061516241,-1408.4934568346,1428.1375442479,-770.9067589906,1398.5099351298,-1210.5834017839,881.661735161,1317.1253327918,-1137.9263155289,-464.1499564301,399.6400314154,-1266.8826973886
1895,1180.6666666667,-972.0294550848,-350.9494273688,782.7686978474,-699.8640893765,864.6515114092,-1076.606401392,1103.9104058789,-532.7605354444,670.1734971075,-1127.3013249382,883.8817474346,950.8754041298,-803.9599129282,-484.6570274531,418.7548131906,-1053.631809339
1896,1362.9166666667,-1362.5114959981,16.6164655851,671.8421699372,-969.5846270865,1106.5164796988,-1177.5412372938,1225.8780992839,-517.7252129643,-33.2304611898,-1362.8153702352,1185.8203653893,957.8347932684,-795.71547706,-686.249571767,595.6212940904,-1260.7547121224
1897,1215.25,-965.6845556613,389.4126386191,366.2494134423,-987.437661724,1067.7372119735,-980.284948927,1041.0808485384,-372.0543939331,-737.7573459189,-1151.1691271849,1158.746706426,708.3780252867,-580.3187130078,-718.2436782925,626.8837446501,-1156.8958857456
1898,1167.6666666667,-334.3578856084,697.5051564979,112.8583593643,-1043.5274230981,1087.6982913755,-864.6462828027,942.3283731673,-269.2148368314,-1118.7717590179,-936.4464753008,1162.199825833,523.9236219974,-424.6856147592,-784.749800943,689.5380203937,-1136.2080866084
1899,752.75,249.3199570547,614.1287162204,-84.5277886442,-717.2579569565,729.9701437954,-501.4998851436,565.2137489301,-115.5781886884,-710.2620090602,-435.2912615865,747.9890476785,228.415379698,-183.7828927495,-561.364790222,497.1579030051,-743.824068446
1900,1181,971.2349963687,1127.3396849911,-373.5905854029,-1167.5078517883,1172.3590910113,-690.4891449687,813.3223575583,-89.2586887594,-671.9103971727,-351.9463519406,1120.3531025968,178.0067864234,-142.6014085599,-958.1157240545,856.3105410397,-1177.6221322992
1901,1123.1666666667,1122.8749599653,1123.0937376237,-568.956794376,-1123.148434258,1123.1549979137,-557.8844212265,697.4201195607,3.1998463836,25.5965895016,12.7991258189,968.3963688721,-6.3996667955,5.1197434095,-974.8170770272,880.402486334,-1123.1621085553
1902,905.0833333333,720.0883383725,857.5884193091,-610.6404503311,-893.1306806549,897.427556241,-365.0310575991,496.1800755504,73.5464027957,548.3143489074,289.3405318039,668.0524535522,-146.6063694069,117.4717905582,-828.207804398,756.9551987433,-902.0902210497
1903,1153.25,331.989112878,925.4328735588,-937.9792869305,-1094.8152866881,1115.7367759973,-352.3215504674,543.2721594447,183.5617513631,1104.4314335578,688.1566384456,670.9548567448,-362.4431686957,291.748194831,-1098.1143326522,1017.2713125181,-1138.54760372
1904,1189.8333333333,-392.298743071,688.8153743858,-1090.4605218928,-1057.1846702605,1104.3556443912,-243.1430478946,464.2190875859,280.917960396,1123.3009647,970.1735623695,476.0243809977,-545.9523185015,442.8340228714,-1164.7252119584,1095.5382238115,-1156.1956844055
1905,1081.8333333333,-888.700566837,323.216231457,-1059.7787276708,-871.7882352314,945.7661175591,-109.2231833432,331.1405908247,337.0710523242,616.9073379484,1032.4217301248,217.3301854035,-640.5846033298,525.2521413457,-1076.3055594632,1029.9074085661,-1027.9817443885
1906,1180.0833333333,-1179.818180397,-12.5080486267,-1180.0538709152,-830.0108836317,951.7580257441,4.1694189391,259.1078540442,454.4857882003,-25.0146919972,1180.0170432373,-8.3387858304,-838.8555338459,697.6770986945,-1180.0759677058,1151.2861475687,-1089.0543337846
1907,1016.0833333333,-809.3797817539,-324.0586626683,-992.3850422155,-592.9395981541,737.7817141012,109.7256547789,133.3881151975,463.6535867003,-614.2716900247,963.0219745299,-218.1679817588,-825.1351242182,698.6440314034,-1010.1413866193,1007.2899041496,-904.129798103
1908,1116.0833333333,-322.9917273237,-665.2654820723,-1016.4575603357,-501.5726717842,707.8758120478,235.7866247405,46.797576773,585.5958962931,-1068.3250212481,896.1382958603,-460.9295336391,-997.0290175635,862.8753337894,-1090.8926044932,1115.1017862745,-950.1154946579
1909,1015.5833333333,333.3195004368,-827.6240802028,-817.5774382288,-308.9403541342,540.7006298361,317.0894881338,-48.4978005147,599.0220497993,-959.3266480052,588.5982405792,-602.475426423,-967.4530296256,859.6815316379,-964.812812653,1014.4246991717,-820.1110234588
1910,1306.0833333333,1071.7291090925,-1246.1182128604,-867.4746885834,-197.8881558241,551.3894751911,535.1912932605,-179.003117163,850.7041940137,-746.4920564446,391.2071998169,-976.3920003145,-1291.0050160226,1183.9861993535,-1191.3958004077,1293.7586937513,-991.0378640085
1911,1335.5833333333,1335.326637014,-1335.5191577116,-660.2182450465,6.5464452459,407.7339356576,671.5677016619,-300.8411303283,946.7117204938,26.1842081925,-13.0927332103,-1160.9886774579,-1335.5672893315,1271.8238392132,-1154.460766922,1301.2599488882,-942.0826707659
1912,996.1666666667,794.4729350058,-944.3980842843,-301.7349529812,160.5772962626,182.8869338432,588.1197690308,-310.4417528045,759.0486735836,600.9665409331,-316.9547068243,-949.3703418199,-983.1393389051,979.234597636,-804.0293309656,946.559002859,-645.1303270726
1913,1006.5,292.8126260905,-808.627899024,-98.8765118067,315.5616180972,59.3872336936,675.8413426488,-398.0862596813,815.6761056372,962.9657397862,-599.3022367053,-1001.6315117911,-955.7526433047,1004.746438896,-745.8422953726,924.4293265864,-589.6734186756
1914,1064,-347.6089344301,-617.3492098344,117.7946512783,487.4609936888,-70.7696838683,792.9153513964,-506.69087508,908.5027510374,1005.616243258,-866.5886873926,-1057.4594177226,-945.7683541079,1061.6438441611,-709.4936543197,935.6069458435,-553.8219491475
1915,1142.75,-936.6617246376,-343.152572969,359.7638041952,675.9215781952,-218.2441610819,926.5521166519,-632.0330184226,1019.3838693011,654.6314811396,-1090.0109513967,-1084.6416770948,-921.4160746536,1121.7161176758,-668.8637661198,952.0566296831,-516.4630572546
1916,1075.3333333333,-1075.1588692551,9.6852216999,543.2487813429,763.7920592388,-335.9786371969,932.8760101558,-672.6206627327,994.402543946,-19.3696577097,-1075.2897164292,-928.0207645022,-756.9435038505,1021.4989638394,-534.868327211,839.0013241007,-409.274184834
1917,1317.3333333333,-1051.8774098173,418.147065384,887.2270203951,1069.1599923718,-565.108108849,1205.0188461828,-912.7639002599,1253.7557991349,-793.0454122099,-1249.2078061003,-973.753215857,-769.5869163536,1189.9663593666,-532.2562272584,949.8574490382,-404.3062048085
1918,1157.0833333333,-338.3832726849,688.2238717072,940.023729685,1033.241068636,-623.3877466268,1101.4825533875,-873.2535612932,1125.6970862785,-1106.4983511261,-930.1557625958,-674.6830573734,-520.8212115127,974.797187949,-354.3698983558,759.1245338984,-267.6712726867
1919,1479.4166666667,481.0980908012,1204.2462803439,1354.9139798704,1408.9456503931,-946.8991150117,1447.9564905983,-1198.9887201154,1461.6927432313,-1399.0061832024,-859.3396126615,-594.0385347458,-451.1605344548,1136.6862977978,-303.4726922568,866.6600963741,-228.3155666967
1920,927.5833333333,759.4518519028,884.5523502235,908.3753864069,916.7624713648,-678.3011935895,922.7688521832,-797.4182235841,924.8741615326,-532.5821297407,-279.2453759542,-187.7897698166,-141.2707024644,632.7071447777,-94.3847748222,473.8512603905,-70.8422586253
1921,1037.3333333333,1037.1934780365,1037.2983689198,1037.3177935455,1037.3245921931,-841.2182413663,1037.3294483791,-935.6582960213,1037.331148046,17.0333074604,8.5169408027,5.6779959766,4.2585062859,606.9697808268,2.8390086208,447.8883761954,2.1292576285
1922,1053.5,842.2181666425,999.2845161809,1029.2879894892,1039.8577998449,-924.8187884932,1047.4295076345,-987.1723563222,1050.0839114415,632.8750348823,333.6056140431,224.5628746994,168.9911420806,504.5517401119,112.9321767104,367.903504894,84.7704484575
1923,1067.3333333333,313.7615114264,858.5128316766,972.7599704338,1013.7849394194,-993.6168293957,1043.4221547918,-1029.5073422563,1053.8612107669,1020.1735922831,634.1578370492,439.2476344455,333.827112516,389.776911561,224.6567411275,281.629324973,169.0473096071
1924,1023.4166666667,-331.2676437498,595.1289128711,824.8494153318,910.0677232653,-992.0466388247,972.5086921853,-1007.37121374,994.6758641377,968.3198964266,832.5882840132,605.8094714001,468.1435812674,251.4460976189,318.7609092018,180.5129118352,240.8352111154
1925,1496.4166666667,-1223.8099136914,451.6266647343,995.6707282338,1207.2871465599,-1485.178323567,1365.5037737991,-1490.6792967107,1422.2987463685,861.1342145267,1426.6380746282,1117.095627606,884.1496400662,183.0524173146,612.0966296414,130.9124693683,465.111939598
1926,1203.0833333333,-1202.9510684772,-8.9197994374,596.3844436811,847.548890892,-1203.078042646,1040.4109023353,-1203.0806340021,1110.6487860169,-17.8391085546,1203.0502666649,1044.8612837499,853.8561849001,-3.5679472332,604.1147748948,-2.5485355678,462.4594912676
1927,1207.8333333333,-966.753983277,-381.5649846201,367.6807798848,706.3973576727,-1197.8648569874,975.4379690892,-1202.7439428576,1075.1910612274,-724.0497889849,1145.9797221692,1150.5095415573,979.7265609261,-154.8584692729,712.307608811,-110.7626698414,550.2958685722
1928,1008.8333333333,-298.0997545463,-598.7535909703,100.7045575953,454.8088133604,-976.4229623652,748.1105563234,-992.253735743,859.2354117633,-963.7848467287,811.9352386395,1003.794444358,900.4963285511,-253.6590093224,676.8125958948,-182.1461455765,528.6390087918
1929,1447.3333333333,466.3027647089,-1176.7899796834,-157.9420674058,442.4739618606,-1344.2130427502,965.9655684562,-1394.4097511565,1169.4402703667,-1370.1589358182,842.5788517964,1438.6897098128,1378.0386681269,-536.530589508,1077.8145936732,-387.8082305177,852.7503924493
1930,1134.5,926.7837388123,-1081.3247434704,-355.4510762777,173.6768961792,-992.6846641081,664.7672539931,-1061.3845853245,861.430986416,-654.3410054957,343.2594487538,1077.3786624827,1121.1273726627,-549.2425763218,919.3338610203,-400.6906687653,738.2593755872
1931,1136.0833333333,1135.9838228985,-1136.0584554522,-572.3768959157,-3.7592117566,-917.3398148764,565.8699004377,-1022.641849021,802.0020456503,15.0364354332,-7.5183823537,981.3613143484,1136.077113846,-670.2037036007,985.1277054557,-494.8625959886,804.6602134134
1932,1122.3333333333,899.3898780565,-1065.1402139898,-754.5718304632,-179.1504176335,-816.1582328147,454.285699416,-962.4018135692,727.5182560322,671.3642516255,-353.7067085211,830.8149395518,1107.9427958937,-770.4010969098,1026.2829114904,-577.4208693403,854.6047614253
1933,1323.6666666667,393.1432376348,-1065.9465379012,-1074.1267595577,-412.9985131789,-841.1643320125,406.3912259408,-1069.466787125,776.3443434349,1263.9350612854,-784.7620166528,773.5277298499,1257.587242523,-1022.0254453752,1259.7379155693,-779.957842246,1072.0927687757
1934,1276.0833333333,-409.2048215565,-743.7100311624,-1167.8749435811,-582.8175949694,-681.1113817787,262.7574192003,-959.5075825833,665.0807673874,1208.6935457865,-1036.9590460377,514.2536239701,1135.2146601437,-1079.1088727383,1248.7382480994,-841.2692033922,1089.0620948607
1935,1062.5,-866.9891598658,-322.2811409644,-1040.1543587988,-627.0895222077,-450.0892809701,108.9546781378,-732.9406877603,480.9488708035,614.1954466416,-1012.4431421955,216.7606049811,857.709147169,-962.4582532016,1056.8988258636,-769.2231134239,947.4146049501
1936,1517.9166666667,-1517.8137827818,8.8365480694,-1517.9052350092,-1076.4488261257,-465.6991357175,-2.945530812,-944.4303305102,578.8399575679,-17.6727966672,-1517.8909454776,-5.8910505323,1070.2004165936,-1444.7128856408,1517.9138087496,-1188.3275464942,1403.2160597953
1937,1400.5,-1123.6335714222,440.3132028586,-1368.7867972206,-1135.3543258832,-259.3110446352,-149.020704086,-769.6393086485,430.8923975893,-835.9711999662,-1329.4828067292,-296.3493778543,819.9821977935,-1376.2841393151,1392.5491301041,-1170.0664872489,1332.5659427209
1938,1314.6666666667,-392.4689684202,778.5828709782,-1199.0379630918,-1173.014363117,-79.6602716086,-275.6929472256,-621.1583469588,305.1438691285,-1254.7177185613,-1059.3191952683,-539.1255953016,593.620879321,-1312.2509994554,1285.4344959175,-1158.6676626402,1278.7633336853
1939,1330.25,424.5672983247,1080.3577442441,-1073.4025181837,-1266.2367376958,86.364685848,-413.3227326715,-520.9533781429,206.3415156727,-1260.6774653706,-776.1392961008,-785.7302949848,407.6880996664,-1327.4434841222,1264.408708115,-1223.9986275734,1314.1492462464
1940,1282.0833333333,1044.985231209,1221.3713239887,-854.5829972254,-1266.8144086464,242.8496163405,-523.4935796733,-394.3789334316,98.9344072076,-742.7944131226,-389.8586443177,-955.7330037538,197.2788069129,-1258.8732014998,1170.3384748234,-1219.9192311282,1278.2604025321
1941,842.0833333333,842.0408039845,842.072700929,-418.5961698795,-842.080675228,261.8273454876,-422.2626447041,-186.2022501761,-1.0579097671,8.4631378833,4.2316223714,-730.6720104396,-2.1158178645,-800.3441643647,728.5592626309,-821.2387364872,842.0826688067
1942,1282.3333333333,1030.0451764492,1217.6288519861,-392.3044747758,-1266.0538776663,548.2483021515,-755.4183188661,-170.3649729854,-102.1657688522,763.7969051072,402.1924372596,-1220.8505137193,-203.6819987721,-1159.2249897952,1036.2055497339,-1270.9659923686,1278.2569903789
1943,1342,402.6681893504,1081.976134235,-136.0886784642,-1275.3383810078,721.2115131929,-899.5368234544,-58.4056927672,-211.494553934,1280.1649617472,793.9090911092,-1335.0819718631,-417.7032606149,-1131.7322798427,995.8903068358,-1340.7284494082,1325.2298116388
1944,1424.4166666667,-452.4713356461,832.0021420028,153.1860071998,-1267.6909240917,909.9522215126,-1059.9914013881,65.754980703,-334.0978597803,1350.6415256079,1156.1726843256,-1416.1556720488,-649.5556644764,-1095.878549312,951.5151439999,-1422.8981420997,1384.6809958861
1945,1461.3333333333,-1189.7362655524,445.4738198727,455.640687268,-1180.3560592504,1067.0203861382,-1183.4986344392,197.9749635304,-453.101234012,848.5415308284,1391.7787851951,-1388.4835883859,-861.5420387317,-998.4801483637,857.2199795803,-1447.860844462,1389.3143571013
1946,1268.75,-1268.7046211459,-5.3653714295,637.4701827077,-895.2427736371,1027.7003207523,-1099.6628703404,283.8177616463,-486.7685761468,-10.730646908,1268.7386552358,-1096.9769043415,-899.0366726394,-744.015196905,632.8255163114,-1236.5977683443,1171.6581906751
1947,1447.3333333333,-1163.9543456709,-452.8486804717,971.3695868356,-848.3368398151,1269.441215214,-1323.0021465952,448.8508089788,-658.3872688694,-860.2232611197,1374.6642682389,-1072.9468316503,-1172.6458902799,-695.1926199937,586.889340406,-1375.9748286421,1288.9142647858
1948,1230.5,-371.081515591,-727.1569449112,997.3775168168,-556.490624039,1144.7970852144,-1170.7696794082,484.8811348292,-643.959834586,-1173.2130065707,992.6595727979,-720.6721438687,-1097.4736604387,-451.1871936178,378.7196955249,-1130.9379006324,1048.5446969205
1949,1209.6666666667,382.4279040892,-981.3011088408,1106.3124258133,-371.6491646141,1172.1128227073,-1183.5460930758,574.3644395681,-711.9416543216,-1147.6246523226,707.3482722339,-489.2507137814,-1151.1604331657,-299.073528233,250.0241788497,-1064.6121054187,977.9736833302
1950,1036.8333333333,843.1720645194,-987.2315491667,1014.6893205171,-160.3570753299,1028.8432331745,-1031.2824713919,572.0760657686,-674.0770728089,-603.3939266558,316.8552184215,-213.1406670242,-1024.3578327434,-128.4716414701,107.1439466829,-864.7267407024,787.8092796004
1951,1129.9166666667,1129.8900405123,-1129.9100101085,1129.9137081948,1.9392467696,1129.9156016165,-1129.9159270485,705.3575596329,-799.6570705174,7.756929956,-3.8784878269,2.5856613721,-1129.9150025259,1.5513976899,-1.2928315323,-882.7130828757,798.2858154713
1952,1132.1666666667,911.5659263198,-1075.6035322924,1106.9098051414,178.939787779,1123.0524424453,-1125.8347448668,783.1630701173,-861.5076970565,671.4528450189,-353.3813838212,237.8067374847,-1117.9364532301,143.3686598556,-119.572105283,-817.5921762808,734.5786881088
1953,1094.0833333333,331.6033355683,-883.1251392076,998.5688727179,339.710055947,1059.3709572963,-1069.9382928711,824.5630692819,-885.6323872395,1042.6205292999,-645.8392437576,447.0777859799,-1040.0074125535,273.4072331063,-228.5834414953,-719.1064490422,642.3967737701
1954,990.9166666667,-311.7739359195,-580.0749309111,800.5195452819,451.1706569152,920.8992377973,-942.1157040645,802.1598476664,-845.2775768131,940.5917569058,-803.3859065271,584.0242271512,-882.2476288529,365.8694222016,-307.1381455189,-581.7692146116,517.1282804245
1955,1235.4166666667,-1003.5173783234,-378.4786954424,824.9426554305,727.5559950788,1081.9376884776,-1128.1405599129,1061.047707456,-1101.1560158605,720.5603456206,-1176.0136977834,919.632511131,-998.4571169073,596.376708574,-503.5406809359,-632.7970470697,560.0979994716
1956,1327,-1326.9815556113,3.4982641283,661.4792502737,939.5667077165,1072.7424626357,-1148.6322224962,1196.0190175766,-1226.3225556801,-6.9965039449,-1326.9953888948,1150.3800247993,-937.0930592801,781.1226592913,-664.5096067352,-574.8630355095,507.0128099271
1957,980.9166666667,-790.7122564008,305.4297596038,301.5789929778,794.2917123563,714.3918305644,-793.1019377965,918.6120818469,-933.0947127141,-580.4925792136,-932.1535114416,933.4064591265,-575.5850785301,672.1918025142,-577.2233737541,-344.0194035654,302.5421690434
1958,1237.3333333333,-376.8981392668,729.6043951319,127.4350327297,1103.1222996615,787.8217529184,-918.8779547928,1192.9610979157,-1203.3128790743,-1178.5336526357,-999.335381332,1230.7534644318,-560.4596058301,954.1125003931,-828.6477429966,-328.3863526969,288.152551319
1959,1294.1666666667,405.2290456464,1048.6422851364,-137.1291535796,1231.2565231892,692.5055125967,-865.274344217,1273.5111407583,-1278.3423859707,-1229.0877843652,-758.4304311769,1286.8810964303,-398.5909371966,1093.2993533952,-962.3760545395,-230.2970591991,201.7624973624
1960,1125.9166666667,913.5245089216,1071.5038054718,-349.3542235971,1112.2302669087,478.5771812038,-661.1900624478,1121.4415223004,-1122.4898518386,-658.1499159594,-345.7859672359,1070.3457229946,-175.0204949432,1019.1428859139,-911.3265285276,-100.2858531323,87.7774048211
1961,1734.5833333333,1734.5715894585,1734.5803973621,-869.1336003796,1734.5825993404,534.8014819976,-866.3702103083,1734.5830936621,-1734.5831498351,6.3828928579,3.1914518308,1501.1282839814,1.5957265906,1650.0808207875,-1502.7248580389,0.9118438527,-0.7978633797
1962,852.6666666667,688.1333164408,810.4902175833,-571.2549654,842.0565410461,159.2107106918,-346.3743475491,849.1972820858,-850.0099965422,503.5007281511,264.8509989528,633.0151727647,134.0940942991,837.6708148465,-779.1439249615,76.8402273716,-67.2565998464
1963,1107.3333333333,338.9788276623,894.8602310629,-896.5111693316,1052.87598359,68.857488602,-341.6507058419,1089.4519831897,-1093.6342587004,1054.1728821724,652.2363666441,649.9652562828,342.9858222877,1105.1903715535,-1053.3099763644,198.1955787474,-173.6410645782
1964,1185.75,-369.4876602945,695.6590649542,-1083.6740294665,1056.1441186622,-75.098616812,-246.0046565211,1142.8961101179,-1152.8933062525,1126.7128877359,960.2403489997,481.3041246031,539.0386471444,1183.3694521378,-1159.9503314668,315.8979961591,-277.2004453426
1965,841.5,-681.9757252391,259.0749671536,-823.2512381771,680.4902037722,-158.0790607707,-87.6251478572,787.7399809647,-800.2358266393,492.982109396,800.6262619939,174.297587017,495.0306380116,826.5187599479,-836.9253750861,295.9526522768,-260.2784504389
1966,809.1666666667,-809.1649042416,-0.844421586,-809.1664708416,571.8686110657,-250.3674666067,0.2814739074,728.9292629605,-747.4917097306,-1.6888422524,809.1662260603,-0.5629477808,572.4657073767,769.4587877914,-809.1666177104,351.3016140645,-309.8497028054
1967,1124.0833333333,-908.2325437689,-348.3060974461,-1099.3814439261,660.3174468543,-478.9711460743,117.8282270606,964.8222825744,-1001.4527390236,-662.3269485057,1068.7591883861,-234.3582322615,909.6945694339,1016.931650361,-1117.8908037843,576.7853182299,-510.5445639509
1968,974.0833333333,-299.6646238503,-573.1230341714,-889.6777958791,441.9099143162,-522.1784506528,202.7535786061,787.9313473153,-830.4503063543,-926.8438128889,787.6346411757,-396.625465392,868.0748630773,822.2943548095,-952.7483018301,572.7150532295,-509.1076791345
1969,924.8333333333,286.7843072413,-748.5133202749,-748.0007928066,285.5403871698,-589.6722053446,285.9550907897,696.3672239146,-748.1289870443,-879.2448211758,543.1799920978,-543.8855655421,879.6495789457,712.4629005699,-879.5148551877,608.5962404599,-543.7092174945
1970,1202.5,973.4172636648,-1143.7964219119,-804.3873455569,187.8710364199,-876.718612675,489.2496637545,830.9018809518,-914.3088021273,-706.0205951666,371.1280038229,-893.8496788095,1187.7334396549,823.0253484487,-1098.4721282382,869.2573348732,-781.0542006497
1971,1290.8333333333,1290.8331755186,-1290.8332938796,-645.2323969879,-0.1595746304,-1044.3811349569,645.5087949307,804.7501255274,-912.7005834863,0.638298497,-0.3191492583,-1118.0008266194,1290.8333234699,758.62951392,-1117.8412633784,1009.2709893324,-912.8134197897
1972,987.6666666667,798.936957604,-939.2999643985,-305.1506911994,-154.548017792,-865.5156414133,580.5593330731,544.0818657271,-641.4216705382,580.676486711,-305.2884231763,-939.3447184634,975.5000536346,475.7815874049,-799.0220930777,824.29386012,-751.0417332003
1973,1205.6666666667,372.7349713396,-975.4553402274,-126.0834694796,-372.5306179209,-1120.9878599886,806.7271765417,571.3492753759,-708.6904693769,1146.6040084753,-708.6035494782,-1199.0559077187,1146.6704190057,443.8674676854,-896.0041148009,1061.6930425686,-975.3921927746
