Year,Annual_mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1895,615.6666666667,-506.8713731061,-183.0049667844,408.180063502,-364.9488913265,450.8784137699,-561.4037333063,575.6415922242,-277.811606145,349.4665299711,-587.8389461211,460.9061511891,495.840449302,-419.2303667923,-252.7277046036,218.3625465734,-549.4234759597
1896,875.6666666667,-875.4063466798,10.6759902396,431.6549997983,-622.9529355809,710.9309182926,-756.5639450617,787.6201202859,-332.6356794759,-21.35039353,-875.6015842514,761.8832405693,615.4037302149,-511.2429368967,-440.9116783936,382.6834948518,-810.0281574432
1897,713.5833333333,-567.0408592283,228.659427038,215.0581997742,-579.8140778538,626.9652160823,-575.6140723899,611.3128509932,-218.4668295446,-433.2041523077,-675.9556494606,680.4051324916,415.9528924453,-340.7576725972,-421.7459108015,368.1002198065,-679.3183480518
1898,731.5,-209.4628546868,436.9611949571,70.7015899586,-653.7313531226,681.402769176,-541.6689316615,590.3338894991,-168.6531428566,-700.8691479203,-586.6490979297,728.0752263175,328.218780609,-266.049837736,-491.6167394146,431.9700787194,-711.7923625641
1899,184.9166666667,61.2466494747,150.8636799838,-20.7646588068,-176.1978751784,179.3206851635,-123.1958646224,138.8474824395,-28.3923392782,-174.4792868488,-106.9313970398,183.7471157754,56.1113392616,-45.1471536601,-137.9019671762,122.1292357764,-182.7239685467
1900,655.5833333333,539.1409622094,625.7960275066,-207.3833711095,-648.0937249519,650.7866898804,-383.296507442,451.482288097,-49.5482715545,-372.9832835561,-195.3684695679,621.9177150811,98.8131095677,-79.159277529,-531.8583404697,475.345401239,-653.7082497035
1901,400.25,400.1460478345,400.2240111149,-202.7525955919,-400.243502726,400.2458417406,-198.8068611924,248.5315947655,1.14029249,9.1215625001,4.5610774082,345.0962872602,-2.2805757248,1.8244641338,-347.3843612525,313.7389183753,-400.2483756782
1902,712.0833333333,566.5366772298,674.7162363499,-480.4274604622,-702.6794647082,706.060074402,-287.1918227773,390.3746197936,57.8633654257,431.3917789719,227.6415472115,525.5969262134,-115.3440223352,92.4221020458,-651.6007447363,595.5420470731,-709.7284724123
1903,716.3333333333,206.2127620709,574.8262866617,-582.6194053366,-680.0370116605,693.0322513529,-218.8421163247,337.4497783501,114.0181237602,686.0100153813,427.4437794695,416.7590106639,-225.1290901155,181.21739163,-682.0861914501,631.8711035772,-707.2010406515
1904,326.5,-107.6499842662,189.0165735288,-299.2312876297,-290.1001217314,303.0442229111,-66.7204413539,127.3855151395,77.0861863588,308.2429737845,266.2235619389,130.6249842239,-149.8137823147,121.5172784431,-319.6101260998,300.6246505738,-317.2695539642
