Year,annual_Mean_northkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1983,795.75,248.4174595526,644.5526572511,727.3123855366,-757.0075427324,-507.6381163784,778.4525975584,-312.4017679905,124.1557698431,755.9807062944,466.6582631118,322.8540790281,-245.2705500997,-612.7981766453,165.0139868454,731.8628272132,-786.0047120181
1984,602.5,-184.0920687918,355.0287161294,487.8628266765,-537.0805579557,-323.2065497468,573.1245951242,-285.2294537142,140.3837843765,573.6866393842,486.786257739,353.5478925792,-273.039785134,-508.4720013932,185.8344652203,530.7074605976,-585.9169250706
1985,536.3333333333,-432.6494298825,166.7470142922,359.4035086722,-434.2150541167,-228.7443835806,490.1089298627,-295.2108317709,165.4832878065,316.9667415782,509.7537421825,398.0986842462,-314.8185687389,-485.1076699298,217.8225913749,447.776740407,-510.1653907324
1986,612.25,-612.2443831783,1.3112778271,306.881754882,-433.3894855379,-189.6944254275,530.4424648001,-381.4386457158,233.9950319765,2.6225496394,612.248595793,529.7864201927,-432.4622715627,-582.1220554675,305.746388428,478.9098266423,-565.7706138625
1987,693,-562.5173925443,-212.6316615262,215.159558073,-407.9799373513,-130.481736065,560.9610386402,-478.5770079626,314.2601656395,-404.750766627,659.5731775297,658.7528858152,-560.1797664311,-680.6052575124,406.905041905,501.2115795246,-617.6484018373
1988,788.5833333333,-247.3730266103,-461.9466569367,83.715624776,-358.8734032091,-50.2900523596,586.4641591986,-593.4947503819,411.6200244545,-748.7791792757,639.1157639709,784.1271375099,-702.1919638391,-786.9781345404,527.1844682714,519.2568294016,-672.6311240785
1989,682.0833333333,207.3738825667,-550.7648966113,-70.1123796735,-211.6248060218,42.1150576736,456.8452626303,-551.5167909888,400.5570624167,-649.7951572921,402.3626501949,678.4702851471,-648.4231759332,-680.781900118,506.4879856654,401.3314127607,-552.0794447896
1990,650.4166666667,524.0653220886,-618.0221113303,-199.8435139586,-102.6400474962,121.1657094592,382.7925600596,-558.084369046,422.0681477669,-385.2238030834,202.7079430725,618.954287655,-642.2669701361,-639.0310721155,525.8437945254,334.0414305208,-494.8740434883
1991,784.3333333333,784.319792293,-784.3299480659,-390.8354566774,-1.1522104955,241.4955079244,392.8317077688,-706.3739946848,554.1999010642,-4.6088171168,2.3044185045,680.0194288265,-784.332487016,-746.2296546172,678.8681957119,340.9025629279,-555.0146371387
1992,690.6666666667,561.2651405924,-657.5209381509,-461.0853862686,106.9874988685,293.2970880271,281.5707172822,-646.4112016097,524.8395677076,402.4945793428,-211.3921955458,514.21854402,-682.3299198558,-625.2977391606,630.665026471,243.2550161415,-448.9586535673
1993,743.5,234.3547747879,-602.9241349684,-600.5539239554,228.6024449246,397.5691430901,230.5215906799,-716.5220340589,601.1481380664,705.599099726,-435.0571657525,438.3232077153,-707.4836903947,-628.2762342017,706.8606978963,198.4651725318,-437.5079040421
1994,704.4166666667,-213.0948334831,-415.9899566046,-642.8625212717,318.7260435543,448.2700630088,147.2409011088,-692.9733162137,600.2994158994,671.4115222579,-568.4674100438,287.9767681984,-628.1851235408,-543.3753683117,688.8562675323,126.454827087,-368.5694663815
1995,639.1666666667,-514.3972023275,-199.6853557768,-624.8808331497,374.7677978054,465.3062677035,67.5685895577,-636.5347132252,569.2420890426,379.380476587,-607.1736048826,134.379954383,-517.7674434589,-438.2055510986,635.5851740585,57.944686013,-290.6844884755
1996,654.9166666667,-654.8984002385,-2.4457093285,-654.9146370552,462.2305185061,529.2631002436,0.8152381271,-654.9162938808,604.8298565256,4.8913845499,-654.9121000437,1.630474991,-463.9598991717,-385.7413783851,654.9161592636,0.6987755854,-251.1905351185
1997,639.75,-520.4812064242,195.3230793968,-626.1130863628,516.8355650224,560.136505855,-66.0462546228,-637.2379570131,608.2456803065,-371.9937852427,-609.2035432882,-131.3867024674,-377.0425191248,-309.0746791773,636.3316389669,-56.6378728567,-198.2857909394
1998,776.1666666667,-245.8243038973,453.6706205513,-709.9139359994,690.8540756782,721.1973575946,-160.3483101246,-763.853320981,754.5371427295,-736.2099605805,-629.7758827496,-313.7784216902,-353.7730071151,-286.8955660916,759.4228821182,-137.7054772725,-181.9571232079
1999,645.4166666667,194.2665877203,520.5504620603,-523.216299853,613.4063162643,624.8683911415,-198.582669705,-622.3638891582,637.3638417602,-615.4861221073,-381.5624327158,-377.898633471,-200.7370538247,-161.5616518961,614.1071542524,-170.9557342796,-101.6366411673
2000,679,545.8122415506,644.8439780338,-455.8082933125,670.4066158254,673.496045961,-275.2700209256,-636.000968816,676.8482444926,-403.8935465857,-212.6434668491,-503.26911265,-107.6845831934,-86.2790593071,620.6991345085,-237.7893346328,-54.0134606119
2001,594.75,594.7255828186,594.7438956733,-298.9293948469,594.7484739164,594.7490233063,-296.5967843005,-536.1848315367,594.749618479,-5.3892152599,-2.6946352869,-514.1680458726,-1.3473211006,-1.0778572123,515.5171287577,-257.3584833068,-0.6736609824
2002,575.3333333333,468.605967797,548.002316563,-179.4977318528,568.4595165476,570.9309285132,-337.4443776771,-494.2891789673,573.6123050305,333.7916886165,175.2195921863,-546.615960894,88.669174412,71.037450063,465.9825494785,-294.4259703223,44.46760576
2003,452,143.8382133793,366.9597201652,-48.6998514133,430.2149425082,438.016802504,-301.9036826218,-366.0434284252,446.5205224924,428.5027052095,263.9025649293,-449.3688067415,138.632980357,111.5584184369,336.3899023743,-265.1720356801,70.1671076299
2004,557.6666666667,-167.0071639296,330.0437718645,56.4398644848,497.5170957972,518.9155935359,-413.803541675,-420.4874744261,542.420875121,532.0720987868,449.5144266479,-554.8032559458,251.9302492768,204.2516043913,373.843202437,-366.3091521678,129.5056189674
2005,852.5833333333,-684.5381375901,267.6495218914,260.6676348055,691.0469816941,747.9719089416,-688.8901295752,-590.0977419966,811.1946373776,508.2380135944,809.4825962978,-811.7577991265,499.3519894516,409.1898871087,502.323331781,-615.3722411421,262.4149396805
2006,722.5,-722.4589950365,3.8487716313,359.0256267513,512.2435882974,585.4183555521,-625.0609031638,-451.3306040509,667.8705872191,7.6974340448,722.4897486864,-626.9823357447,509.522086124,423.428387077,362.360479821,-564.1869688739,275.5995804198
2007,909.25,-741.4185506523,-276.2252208971,605.931523793,536.4595885988,664.1790527856,-829.9634933263,-502.0919525526,810.7130945758,-526.340284653,866.2766243183,-677.9251809557,734.1298742732,620.9683956054,371.3437252002,-758.0496248148,411.6792936052
2008,739.3333333333,-236.391180123,-431.1855161104,596.4934030035,337.5084834984,472.5540375916,-702.71659783,-351.3966051039,630.9298890966,-700.5233670177,600.5770795446,-436.8173507899,657.8007307265,568.6004390902,229.7893838103,-650.4876660623,385.4104991075
2009,914.8333333333,272.5791236279,-736.9818505375,834.2956087404,285.2231274322,491.9843984279,-894.4723194451,-360.9470809799,740.8952868625,-873.2815405927,542.012711803,-375.3276768562,869.2340279554,771.2790542218,191.9356598556,-840.6171735754,536.6509123095
2010,857.5833333333,687.7375645528,-814.0151861848,838.1275113251,136.6808634352,366.9913574158,-852.7055055913,-266.397263222,652.9411934006,-512.3145673451,269.8674679758,-181.6354821368,846.6212347807,775.0912960376,91.3372560639,-815.1574521274,555.9828878407
2011,593.8333333333,593.7888015217,-593.822200276,593.8283852993,1.8181282284,184.8873563135,-593.8320963235,-133.1530290428,420.5458910298,-7.272342485,3.6362394139,-2.4241680255,593.8305500625,564.3179008796,1.2120865377,-578.7126218033,419.260278724
,,-11.365480522,-28.6538058922,-15.3095497535,135.1830297248,42.6382741954,-117.4120611314,39.0294401567,-38.6421387135,-1.9618231451,-15.1715528016,-61.1857193446,5.8383533561,-70.9291094654,124.587236938,-17.8724743924,-171.9526735621
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,133.0228975498,,,,,,,,,,,,,,,,
20,1051.2166065182,,,,,,,,,,,,,,,,
30,3978.074565373,,,,,,,,,,,,,,,,
40,18308.5378954945,,,,,,,,,,,,,,,,
50,6848.9609959216,,,,,,,,,,,,,,,,
60,29307.5717069593,,,,,,,,,,,,,,,,
70,1842.7225398497,,,,,,,,,,,,,,,,
80,31060.9368295132,,,,,,,,,,,,,,,,
