Year,annual_Mean_northkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1893,898.6666666667,255.9588760548,-720.2858764844,817.8561850115,-283.1120538855,485.3689045742,-878.2317089968,883.6380575175,-525.9174897355,861.4446189667,-537.3918811398,372.4419933578,852.9064091227,-756.3192475736,-190.5540424405,163.6629496389,-728.7060942301
1894,725.8333333333,-241.495276352,-419.2545207621,583.6327982444,-333.5604304005,465.4564835157,-689.3671616672,698.981681861,-377.3093881101,684.4808684524,-592.5028899493,431.5168416078,644.6483281982,-556.9419087579,-227.1716183696,195.598149788,-620.0577823249
1895,777.25,-639.901095961,-231.035100866,515.3079929999,-460.7306861671,569.2126374163,-708.7456172913,726.7202396691,-350.7239916777,441.1849384191,-742.1188211249,581.8721808528,625.9750772387,-529.2584774055,-319.0567543093,275.6723703154,-693.6211099452
1896,604.4166666667,-604.2369844375,7.3689529128,297.9438250416,-429.9845490834,490.7101208961,-522.2076792475,543.6437697405,-229.5971244042,-14.7368104561,-604.37174444,525.8792485581,424.7738156879,-352.878285241,-304.3331179472,264.1419288314,-559.1106039147
1897,721.25,-573.1330884762,231.116120637,217.3687631724,-586.0435412618,633.7012665179,-581.7984113669,617.8807340122,-220.814014914,-437.8584536054,-683.2180481235,687.7153359471,420.4218479638,-344.4187383311,-426.2771059193,372.0550510832,-686.6168752059
1898,749.5,-214.6171012819,447.7134868357,72.4413420013,-669.8177022084,698.170028021,-554.9977638829,604.8602189742,-172.8031860164,-718.1154154016,-601.0847558418,745.9909530075,336.2952509452,-272.5965186372,-503.713938744,442.5995543406,-729.307417282
1899,412.3333333333,136.5698159534,336.4008510858,-46.301726803,-392.8918821012,399.8552276651,-274.7062362106,309.6067341643,-63.3101824012,-389.0597166865,-238.4391854677,409.7254298586,125.118930449,-100.6706247453,-307.498392784,272.3278317358,-407.44398214
1900,661.0833333333,543.6640718454,631.0461276484,-209.1232087215,-653.5308910694,656.24644856,-386.5121639173,455.269987476,-49.9639555411,-376.1124174972,-197.0075084635,627.1352782176,99.6420996822,-79.8233823106,-536.3203527324,479.3332996096,-659.1925187362
1901,669.4166666667,669.2428070486,669.373200351,-339.102977387,-669.4057999996,669.409711993,-332.5037509803,415.6681867066,1.9071350348,15.2557800465,7.6283853467,577.1722830649,-3.8142545903,3.0514096163,-580.9990784805,524.7271978573,-669.4139499944
1902,663.0833333333,527.5520585977,628.2875474121,-447.3682039669,-654.3265653228,657.4745479247,-267.4295299987,363.5120947569,53.8816616375,401.7067741696,211.9770381699,489.4294607232,-107.4069497625,86.0623365686,-606.7626829569,554.5615059755,-660.8905155043
1903,854.0833333333,245.8672171318,685.3646593759,-694.6563849808,-810.8072746055,826.3014825635,-260.9251803411,402.3409467555,135.9436657071,817.9288794373,509.6406812218,496.9012447993,-268.4211312929,216.0652683592,-813.250509094,753.3791229133,-843.1949122426
1904,556.5833333333,-183.5105270326,322.2158485448,-510.0984609695,-494.532596489,516.5983575353,-113.7380877495,217.15361297,131.4085346326,525.4606487765,453.8303139842,222.6759238467,-255.3869964471,207.150051741,-544.83819097,512.4737215882,-540.8482263723
1905,497.8333333333,-408.9583412636,148.7362322234,-487.6843413268,-401.1756984495,435.2185168924,-50.2618469644,152.3828292703,155.1118831139,283.8857215301,475.0953178066,100.0100545063,-294.7814219914,241.708233893,-495.2895865223,473.9382883048,-473.052144583
1906,765.3333333333,-765.1613705788,-8.1119919912,-765.3142257245,-538.2967272985,617.2548342937,2.7040423372,168.0422661918,294.7530173597,-16.2230726151,765.2903414372,-5.4080509192,-544.0328524003,452.4727402309,-765.3285564162,746.6571555166,-706.2972248766
1907,711.5,-566.7583512355,-226.9181384287,-694.9055597832,-415.1987442828,516.6226748951,76.8340556468,93.4034058522,324.6677867011,-430.1362822464,674.3444286506,-152.769476606,-577.790838233,489.216988446,-707.3392240593,705.3425081301,-633.105898155
1908,629.25,-182.1033773629,-375.0780000842,-573.080791316,-282.7876685315,399.1017887533,132.9369673274,26.3845667298,330.1601293892,-602.323768793,505.2445510372,-259.8729865235,-562.1269403138,486.4908269576,-615.0474170483,628.6966018188,-535.6770029241
1909,628.5833333333,206.3041759083,-512.2481691121,-506.0299184836,-191.214990665,334.6602815175,196.258801099,-30.0171419777,370.7576369604,-593.7639210555,364.3059431106,-372.8950637162,-598.7936491726,532.0897508119,-597.159517998,627.866210376,-507.5980511979
1910,689,565.3707824907,-657.3665146386,-457.6201572901,-104.3922205292,290.8752747323,282.3302247609,-94.429769202,448.7731944175,-393.7980171431,206.37409099,-515.0774617878,-681.0457138056,624.5899251104,-628.4987225018,682.4983653376,-522.8036151102
1911,566.6666666667,566.5577545202,-566.6394379759,-280.1200515578,2.7775521103,172.9949936028,284.9354446435,-127.6420843722,401.6746552292,11.1095411312,-5.5550374886,-492.5889440765,-566.6598594531,539.6145321426,-489.8192559475,552.1038031098,-399.7106233985
1912,649.3333333333,517.862900248,-615.5889135638,-196.6805047373,104.6694238312,119.2115600222,383.3552986689,-202.3558756778,494.7722322706,391.7292359838,-206.6012276706,-618.829990251,-640.8417039274,638.2964685276,-524.0920651567,616.9974694895,-420.5166060356
1913,537.5833333333,156.3946225293,-431.897547326,-52.8110927028,168.5451232278,31.7194108757,360.9747061953,-212.6224922341,435.6620762929,514.3311796126,-320.094281254,-534.9830172681,-510.478581053,536.6467359925,-398.3630276079,493.7484339964,-314.9514177741
1914,863.0833333333,-281.9694340454,-500.7742611415,95.5513160471,395.4130256606,-57.4061415902,643.1879929834,-411.0117005955,736.9488559284,815.7242662455,-702.9494858494,-857.777818715,-767.1775410005,861.1720938265,-575.5189362303,758.9349262297,-449.2429454355
1915,679.0833333333,-556.6146280224,-203.9196614252,213.790945846,401.6688500483,-129.6923845006,550.6069567998,-375.5879141782,605.7725626,389.0171326337,-647.7429623665,-644.5522516331,-547.5548452091,666.5838724524,-397.4747196172,565.7631061976,-306.9100454727
1916,947,-946.8463569603,8.5293598417,478.4159292607,672.6389461554,-295.8819926461,821.543938268,-592.3482029831,875.7277208154,-17.0580277599,-946.9615884611,-817.2681314169,-666.6077168132,899.5903770204,-471.0356223207,738.8725237973,-360.4302415106
1917,798.1666666667,-637.3280510647,253.3535293679,537.5670800446,647.799494366,-342.3966008702,730.1157963525,-553.0397669971,759.6453089648,-480.5028440123,-756.8896993186,-589.9929340511,-466.2894410953,720.9955585788,-322.4917854682,575.5145905167,-244.9674107829
1918,481.4166666667,-140.7879125892,286.3427660679,391.1067401074,429.8907924747,-259.3670156474,458.2833785322,-363.3263106656,468.35808912,-460.3702538319,-387.0010688164,-280.7089681272,-216.6931320785,405.574602433,-147.4393160102,315.8417308125,-111.3674427304
1919,675,219.5062544635,549.4505081274,618.1942903706,642.8468297293,-432.0330553481,660.6459513235,-547.051688894,666.9132664999,-638.3118393477,-392.0830768072,-271.0365646055,-205.8469176524,518.6255287648,-138.4627278364,395.4231273943,-104.1714690612
1920,488.4166666667,399.887458809,465.7588109479,478.3027706164,482.7189690656,-357.1577841729,485.8816137496,-419.8785561429,486.9901590821,-280.4297783138,-147.0359490133,-98.8802300688,-74.385732382,333.1503526676,-49.698065334,249.5051870586,-37.3018127574
1921,567.8333333333,567.7567769393,567.8141939122,567.8248268974,567.8285484579,-460.4804865577,567.8312067203,-512.1767054216,567.8321371132,9.3239843377,4.6621493115,3.1081189415,2.3310942988,332.2535416576,1.554065291,245.172830607,1.1655496048
1922,564.8333333333,451.554717094,535.7657372784,551.8520797941,557.5190766768,-495.8409862685,561.5786428371,-529.2718107223,563.0017996955,339.3155344433,178.8624309432,120.3992378352,90.6044898768,270.5150842017,60.5485123986,197.2512226049,45.4496202852
1923,595.75,175.1312496243,479.1933349201,542.9622914297,565.8610658893,-554.6038970448,582.4035746882,-574.6367887094,588.2303088517,569.4269996277,353.9658320632,245.173433686,186.331201388,217.560520046,125.3959277264,157.1961308738,94.3565909104
1924,545,-176.4099332403,316.923954904,439.2569966835,484.638295754,-528.2945214489,517.8899802045,-536.455316168,529.6946626057,515.6593211163,443.3781758364,322.6116719287,249.3004658813,133.9025713238,169.7497228385,96.1285272699,128.2519567376
1925,651,-532.4053597904,196.475330228,433.155857268,525.2173073969,-646.1108795291,594.0477519028,-648.5040188174,618.755794767,374.6271918406,620.6435729239,485.9804556918,384.6398055464,79.6349882532,266.2860650865,56.9520638584,202.3419542317
1926,572.25,-572.187087846,-4.2427279031,283.6719522587,403.1390339929,-572.2474834696,494.8743967817,-572.2487160554,528.2832453819,-8.4852225839,572.2342717454,496.9912333249,406.1391162782,-1.6971042218,287.3489062272,-1.2122181716,219.9701687702
1927,634.25,-507.6558966967,-200.3650543634,193.0742662966,370.9390292016,-629.015415105,512.2159778349,-631.577490623,564.5977071203,-380.2085651969,601.7698127108,604.1484835651,514.4679767634,-81.3183254889,374.0425838734,-58.1630109123,288.9679767975
1928,746.4166666667,-220.5583596127,-443.0064360087,74.5093938857,336.5044227052,-722.4368473406,553.5128244663,-734.1497365811,635.7319992702,-713.0861450644,600.7354974801,742.6884881972,666.2601697368,-187.6774943417,500.7608145903,-134.7664815735,391.1299852757
1929,584.3333333333,188.2608812839,-475.1065947455,-63.766108743,178.6404548921,-542.7004753434,389.9902444734,-562.9664426019,472.1392892567,-553.1756366857,340.1752020265,580.8436345697,556.3569288868,-216.6140311855,435.1471632218,-156.5702045365,344.2817683011
1930,628.9166666667,513.7679504052,-599.4386542509,-197.0463693748,96.2787964936,-550.3005112402,368.5175896787,-588.3847117265,477.5392724021,-362.7377382457,190.2878698211,597.2511213279,621.5034730047,-304.4758133907,509.638067366,-222.1252003211,409.258374288
1931,704.5833333333,704.5216183237,-704.567904412,-354.980316509,-2.3314116777,-568.9215972112,350.9447669772,-634.2284774791,497.3906914086,9.3253914463,-4.6627978288,608.6268548973,704.5794760924,-415.6511636429,610.9627191101,-306.9070086616,499.0392506719
1932,828,663.5237472802,-785.8058483964,-556.684415465,-132.1679944763,-602.1197060623,335.1487013215,-710.0107231678,536.725675077,495.2981292063,-260.9466777447,612.9326729571,817.3833991684,-568.3624368055,757.1389225251,-425.9915175056,630.4835840156
1933,869.5833333333,258.2756034197,-700.2739941449,-705.6479939551,-271.3195344385,-552.6032362472,266.9788745084,-702.5866232466,510.0197194499,830.342631863,-515.5497131561,508.1693440559,826.1724298493,-671.4200152663,827.5853153466,-512.3936089043,704.311762917
1934,640.25,-205.3105625298,-373.1420472423,-585.9585444742,-292.4173958173,-341.7343920986,131.8334259594,-481.4142726434,333.6913430312,606.4384844431,-520.274038445,258.0167565443,569.5718823146,-541.4218944197,626.5301351889,-422.0904649424,546.4157300865
1935,658.1666666667,-537.0572850683,-199.6373687323,-644.3246373172,-388.4512193252,-278.8082463609,67.4920821908,-454.0208276024,297.9242495377,380.4639715745,-627.1588970244,134.2725692659,531.3087721052,-596.1957085323,654.6970138566,-476.4960117507,586.8769058742
