Year,annual_mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1979,469.0833333333,144.0381834745,379.2130567653,428.3982334037,-446.0502764947,-436.2135455692,458.7993270103,-20.9078554693,-73.4997383624,-446.4215220086,-276.1098172644,-191.0867008132,145.1837609723,-172.5019312153,-97.6849586476,468.617152045,-463.2892855136
1980,755.5,610.1571529957,718.2457723817,738.8660703199,-746.1283170589,-662.2223083695,751.3300094255,-101.1595057495,-59.4991868095,-445.5204806158,-234.3144478172,-157.661600049,118.6287675179,-363.6507449432,-79.2683224034,748.6968708339,-753.1534350775
1981,615.6666666667,615.6644377944,615.6661094484,615.6664190141,-615.6665273621,-498.2794748527,615.6666047535,-136.7679810582,-0.2070811385,-1.6566471401,-0.8283243198,-0.5522163057,0.4141622536,-361.6116831423,-0.2761081806,600.2832363158,-615.6666318406
1982,738.3333333333,598.6275105149,702.5392360483,722.3526018434,-729.3299140512,-538.525938817,734.3272824402,-227.8556468214,57.6520796239,432.1819232289,227.1007109716,152.7836042287,-114.9521099461,-505.0999151974,76.8085501426,702.2947496049,-736.0790370783
1983,1053.0833333333,328.7518521695,852.9910911805,962.5140450336,-1001.8121601748,-671.8004897554,1030.1922164986,-413.4277036439,164.3058397222,1000.4532605972,617.5683810811,427.2601316031,-324.5872805121,-810.9676990539,218.3769768317,968.5360296882,-1040.1865688316
1984,724.1666666667,-221.2669540527,426.7219285151,586.3800779833,-645.5366595622,-388.4737091701,688.8592989806,-342.8276559857,168.7323770721,689.5348404217,585.0861106158,424.9420728234,-328.1764499052,-611.1509947589,223.3612037018,637.8766020184,-704.2348656796
1985,852.9166666667,-688.0309065954,265.1733516596,571.5498619111,-690.5206772661,-363.766122739,779.4072245408,-469.4659513946,263.1636809664,504.063797398,810.6478482346,633.0857727253,-500.6476151404,-771.4538535942,346.3974864392,712.0874670706,-811.3024819992
1986,611.0833333333,-611.0777272147,1.3087791352,306.2969795222,-432.563644678,-189.3329551735,529.4316856376,-380.7117992424,233.5491451591,2.617552267,611.081931802,528.7768911491,-431.6381975458,-581.0127987945,305.163776554,477.9972449663,-564.6925155102
1987,465.25,-377.6496636093,-142.7516313493,144.4487509285,-273.8999507254,-87.599751377,376.6047954219,-321.2957474093,210.9805801786,-271.732026224,442.808688089,442.2579799791,-376.0802833075,-456.9287100399,273.1783127652,336.491612372,-414.662220714
1988,852.3333333333,-267.3709517246,-499.2909655657,90.4832939035,-387.8851493208,-54.3555590758,633.874608505,-641.4735609116,444.8958691874,-809.3113648559,690.7826306556,847.5168934219,-758.9579843756,-850.5983683905,569.8026779541,561.2341594758,-727.0074117167
1989,634.6666666667,192.9577873706,-512.4771475372,-65.238348637,-196.9131976374,39.1873279465,425.0865632489,-513.1767721651,372.7113729219,-604.6230809942,374.3914409144,631.3047882322,-603.3464762258,-633.4557057176,471.2782527584,373.4318924356,-513.700311731
1990,701.6666666667,565.3593865453,-666.7195614864,-215.5903123038,-110.7276361202,130.7130395447,412.9549462782,-602.0589862097,455.3252792053,-415.5777606613,218.6804459539,667.7251892447,-692.874809551,-689.3839368626,567.2779948628,360.3624401006,-533.8679623538
1991,517.8333333333,517.8243932542,-517.8310983087,-258.0377738837,-0.7607135592,159.4404044031,259.3557407645,-466.3629412421,365.8944098186,-3.0428378202,1.5214254767,448.9631035622,-517.8327745768,-492.6764846782,448.2030352905,225.0710291154,-366.43231568
1992,632,513.5901093451,-601.6697387712,-421.9198322226,97.8997576518,268.3838218626,257.6535134976,-591.503686415,480.2586005664,368.3058505955,-193.4361017156,470.539748775,-624.3713938448,-572.1836454867,577.0950242225,222.5924278978,-410.8231694805
1993,628.75,198.1850230637,-509.8702755365,-507.8658771849,193.3204939426,336.209278706,194.9434433625,-605.9357483719,508.3683817206,596.6986334266,-367.9114902043,370.6734591136,-598.2923609088,-531.3095928101,597.7655195727,167.8345356145,-369.9839874465
1994,610.4166666667,-184.6586602701,-360.4786977557,-557.0765371247,276.1940457868,388.4512257825,127.592523438,-600.5003597853,520.1932120505,581.8158524239,-492.6089883557,249.5480689759,-544.3577463548,-470.8653227118,596.9327055098,109.5802210354,-319.3861754696
1995,653.25,-525.731377972,-204.085202599,-638.6493938801,383.0253933502,475.5587786868,69.0573889886,-650.560054364,581.7847113435,387.7397074271,-620.5520063461,137.3408686321,-529.1758786537,-447.8609276482,649.5895931479,59.2214333319,-297.0894009334
1996,909.25,-909.2246399036,-3.3954872735,-909.2471821999,641.7352318895,734.7995529657,1.1318314296,-909.2494824447,839.7122489566,6.7909271948,-909.2436599538,2.2636611054,-644.1362081515,-535.5419493013,909.2492955497,0.9701412918,-348.739016246
1997,840.4166666667,-683.737523354,256.5889352243,-822.5023415356,678.9483747885,735.831270229,-86.7625996966,-837.1166857467,799.0305700002,-488.6749152237,-800.2888802999,-172.5980063024,-495.3072561383,-406.0203386093,835.9260881831,-74.4031454682,-260.4809432882
1998,860.9166666667,-272.6659741854,503.2071270041,-787.4297694663,766.2887541155,799.9452331233,-177.8568168239,-847.2588210279,836.9254049322,-816.5970692245,-698.5414048407,-348.0400337644,-392.4016466079,-318.2218266365,842.3446204813,-152.7416025019,-201.8251062767
1999,716.5,215.6622493505,577.8815846086,-580.8410259698,680.9641713674,693.6886284099,-220.4536854905,-690.9082916697,707.5602726216,-683.2730378151,-423.5860292434,-419.5187153756,-222.845343936,-179.3553367337,681.7421965477,-189.7840417477,-112.830450711
2000,797.25,640.867171688,757.145598656,-535.188750874,787.1600507611,790.7875149373,-323.2091666907,-746.7625513823,794.7235094576,-474.2328866207,-249.6759999196,-590.91502218,-126.4381943313,-101.3048306812,728.7958541781,-279.2011002003,-63.4200758069
2001,682.8333333333,682.8052999321,682.826324947,-343.2012696337,682.8315812345,682.8322119899,-340.523196099,-615.5945789003,682.8328953085,-6.1873658176,-3.0937146617,-590.3170755051,-1.5468613,-1.237489421,591.8659595125,-295.4736461,-0.7734311461
2002,555.1666666667,452.1803240823,528.7936606233,-173.2059515648,548.5337918946,550.9185755729,-325.6162288652,-476.9632836444,553.5059640952,322.0915743863,169.0777698646,-527.4558996924,85.5611297701,68.5474351564,449.6488621997,-284.105708906,42.9089208536
2003,988.9166666667,314.6991294564,802.8596974927,-106.548882139,941.2538205651,958.323266098,-660.5256271521,-800.8549714458,976.9282891624,937.5076701182,577.3841699883,-983.1599612098,303.3107628866,244.0751754407,735.9769490185,-580.1616053495,153.5164207677
2004,652,-195.257628599,385.8730530585,65.9870740779,581.6756959828,606.6939037395,-483.8013912231,-491.615959341,634.1752730046,622.075926615,525.5530296015,-648.6522227316,294.5460655024,238.8022344228,437.0814727835,-428.2729836463,151.4124271967
2005,692.25,-555.8066962136,217.316447889,211.6475459221,561.0915137262,607.3113720631,-559.3402703921,-479.1263750138,658.6446928644,412.6608522069,657.2546112253,-659.101948719,405.4458974073,332.239311134,407.8584612555,-499.6478552602,213.0662597914
2006,569.0833333333,-569.0510354214,3.0315180473,282.7896199636,403.4730639542,461.1097981621,-492.3345914308,-355.4944284963,526.0540069342,6.0629500683,569.0752587981,-493.8480243138,401.3294493819,333.5170075373,285.4163456398,-444.3867140068,217.0783777032
2007,698.1666666667,-569.2974628692,-212.0992485268,465.2638902336,411.9199370618,509.9891947794,-637.2866049939,-385.5307834741,622.5052063383,-404.1498400534,665.1696048519,-520.5441449956,563.7008602934,476.8099366128,285.1358931104,-582.0676158646,316.1075173517
2008,898.5,-287.2824283235,-524.0128758682,724.9089124418,410.1686732507,574.2873797692,-854.0002657578,-427.0466857789,766.7590243733,-851.3348673563,729.8717393655,-530.8571546682,799.4147293388,691.0110385788,279.2593706315,-790.5272785712,468.3832282887
2009,440.5833333333,131.2739867572,-354.9301369823,401.7964003835,137.3633334609,236.9394711685,-430.7774779474,-173.8319563801,356.8148462053,-420.5720081175,261.0330850157,-180.7576450664,418.622727801,371.4476552806,92.4361298649,-404.840863244,258.450844724
2010,672,538.9093111024,-637.8601167422,656.754470054,107.1027580159,287.5734434167,-668.1777472635,-208.7481809953,511.6429679897,-401.448320967,211.4674241334,-142.3290766642,663.4101289741,607.359460815,71.5716288892,-638.7551932714,435.6666997909
2011,673.5833333333,673.5328210356,-673.5707051405,673.5777207934,2.0622972875,209.7171626554,-673.5819301969,-151.0350734988,477.0239176528,-8.248995833,4.1245752431,-2.7497263753,673.5801762777,640.1040685952,1.3748660516,-656.4319565024,475.5656515473
,,-5.5421415442,1.9562477672,-14.6091620109,156.754002457,24.4316448299,-108.2125301648,31.4942257296,-41.4782926531,16.6147322654,-8.6810376758,-58.7856939022,12.890771432,-86.8722568247,148.3091901809,-23.1756659491,-174.7672359501
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,306.764661145,,,,,,,,,,,,,,,,
20,79.1873204552,,,,,,,,,,,,,,,,
30,3669.1854222203,,,,,,,,,,,,,,,,
40,24737.9892743872,,,,,,,,,,,,,,,,
50,8143.6942749093,,,,,,,,,,,,,,,,
60,33705.5675767961,,,,,,,,,,,,,,,,
70,1528.9977464872,,,,,,,,,,,,,,,,
80,32264.0355230401,,,,,,,,,,,,,,,,
