Year,annual_mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1899,406.8333333333,134.748149047,331.9136934117,-45.6841209079,-387.6512062284,394.5216696567,-271.0420058973,305.4769757861,-62.465705433,-383.8701570056,-235.258711288,404.2602159599,123.4500037291,-99.3278071962,-303.396756987,268.6953263003,-402.0091998398
1900,737.5,606.5078829991,703.9907008306,-233.2964070573,-729.0745475816,732.1040047594,-431.1903000969,507.89605309,-55.7394436579,-419.5884148305,-219.7802155429,699.6277842211,111.1600380925,-89.0504138975,-598.315280686,534.7409178804,-735.3906202969
1901,676.6666666667,676.4909240925,676.6227295967,-342.77557281,-676.65568231,676.6596366716,-336.1048746372,420.1700082233,1.9277899269,15.4210051011,7.7110032386,583.4232464194,-3.8555642068,3.0844573739,-587.2914872727,530.4101638991,-676.663920572
1902,598.0833333333,475.8377685756,566.6984702497,-403.5140882079,-590.1849640972,593.0243597405,-241.2142436598,327.8781329735,48.5998096736,362.3287065747,191.1975874005,441.4522105832,-96.8781800233,77.6259129764,-547.2836214128,500.1995637032,-596.1054706264
1903,1052.6666666667,303.0339239739,844.7191313531,-856.1712806204,-999.3284703695,1018.4252441938,-321.5930215698,495.8894369612,167.5519938738,1008.1059230221,628.1374851395,612.4359961269,-330.8318597416,266.3027095242,-1002.3397825033,928.5476710549,-1039.2465734657
1904,572.1666666667,-188.6484920805,331.2373133865,-524.3803013949,-508.3786206758,531.0621833864,-116.922549856,223.2335239785,135.0877375038,540.1726028597,466.5367473897,228.9104496379,-262.5373734999,212.9498810082,-560.0926814195,526.8220650434,-555.9910049817
1905,623.8333333333,-512.4643693839,186.3808895923,-611.1156644079,-502.711964947,545.370910187,-62.9829572105,190.9504285098,194.3701970189,355.7362757573,595.3403999163,125.3222745286,-369.3896426226,302.8838029667,-620.6457724651,593.890530005,-592.7801061849
1906,781.6666666667,-781.4910339753,-8.2851137715,-781.6471512736,-549.7847672104,630.4279557574,2.7617505578,171.6285340678,301.0434780961,-16.5692967258,781.6227572606,-5.52346664,-555.6433096162,462.1291706627,-781.6617878032,762.5919118844,-721.3706412612
1907,647.6666666667,-515.9107408998,-206.5598233624,-632.5610225621,-377.9485407081,470.2730650369,69.9407683869,85.0235734696,295.5397093279,-391.5459341321,613.8445654102,-139.0635245001,-525.9534311018,445.3261225349,-643.8791812356,642.0616037933,-576.3058140619
1908,869.8333333333,-251.7275927578,-518.4828717891,-792.1887564238,-390.9068579171,551.6917588408,183.7632187741,36.4722695704,456.3913959163,-832.6123028289,698.4164512947,-359.23112612,-777.0468816044,672.4925508917,-850.2006276189,869.0683525075,-740.4842479832
1909,572.3333333333,187.8426461803,-466.4086471513,-460.7468487532,-174.1037459747,304.7125564712,178.6962012392,-27.3309997485,337.579669978,-540.6298037663,331.7053184785,-339.5258249506,-545.2094368974,484.4746663895,-543.7215391237,571.6803835161,-462.174654067
1910,791.9166666667,649.8208207559,-755.5580537749,-525.975369464,-119.985398124,334.3236255179,324.502192296,-108.5348447904,515.8069262881,-452.6200480057,237.2004096127,-592.0151329668,-782.7742402389,717.8855900247,-722.3782486617,784.4438758833,-600.8953500717
1911,530.25,530.1480870606,-530.224521153,-262.1182188327,2.5990535409,161.8775212198,266.624152098,-119.4392033618,375.8611516505,10.3955897379,-5.1980446383,-460.9328604645,-530.24363025,504.9363629446,-458.3411655285,516.6230145864,-374.0233377478
1912,626.8333333333,499.9184722364,-594.2581888895,-189.8653435105,101.0425315783,115.080769313,370.0716833403,-195.3440576038,477.6279172407,378.1554559895,-199.4423042272,-597.3869592746,-618.6359467328,616.1789060914,-505.931790825,595.6179370508,-405.9453170687
1913,600.8333333333,174.7954159722,-482.7129617456,-59.0246439912,188.3754981355,35.4513955068,403.4456102415,-237.6388418862,486.9204108001,574.8454200909,-357.7553507737,-597.92707402,-570.539539512,599.7865395297,-445.2328986286,551.8409873065,-352.0073976363
1914,813.3333333333,-265.7161027598,-471.9085438584,90.0435304258,372.6205590854,-54.0971267665,606.1132385361,-387.3200924797,694.4695214696,768.7041458488,-662.4299490093,-808.3336401137,-722.9557594057,811.5322618274,-542.3447733521,715.1882668729,-423.3476052381
1915,906.8333333333,-743.2912482685,-272.3099466964,285.4918484104,536.3799762211,-173.1884314806,735.2687328378,-501.5520532688,808.9357008484,519.4851438606,-864.9820734412,-860.7212666918,-731.193008414,890.1418210857,-530.7792243065,755.5079300089,-409.8410988875
1916,986.0833333333,-985.923349341,8.8813723167,498.1604796675,700.3992124126,-308.0932434866,855.4496147066,-616.794815725,911.8695987688,-17.7620241537,-986.0433365241,-850.9973424019,-694.1190701382,936.7170830062,-490.4755824464,769.3662947988,-375.3054424318
1917,980.5833333333,-782.9859236665,311.2561056663,660.4251232913,795.850558593,-420.6494886656,896.9798053538,-679.4340090054,933.258128063,-590.319165326,-929.872738764,-724.8326221527,-572.8573661901,885.7751866565,-396.1955355611,707.0453316569,-300.9533851203
1918,525.5,-153.6798644257,312.563178609,426.920391746,469.2559005271,-283.1172582088,500.2483962306,-396.5961078513,511.2456482587,-502.5263667412,-422.4387640568,-306.4134936836,-236.5357263089,442.7130765003,-160.9403369846,344.7633641169,-121.5653615818
1919,686.75,223.3272892634,559.0150169725,628.9554502401,654.0371263949,-439.553630756,672.1460845502,-556.5744405155,678.5224974353,-649.4231935882,-398.9082266627,-275.7546085079,-209.4301788116,527.6534546359,-140.8730049506,402.3064188711,-105.9848242634
1920,407,333.2281775845,388.1190978791,398.5720408958,402.2520806887,-297.6213304727,404.8875279906,-349.8868568848,405.8112842445,-233.6835074705,-122.5257763148,-82.3973799106,-61.9859950441,277.6158202403,-41.4136412031,207.9138941467,-31.0837832294
1921,709.0833333333,708.9877333397,709.0594329321,709.0727108996,709.0773582078,-575.0261902142,709.0806777199,-639.5819762889,709.0818395504,11.6433493879,5.8218709263,3.8812715107,2.9109599925,414.9024634524,1.9406430233,306.1602018836,1.4554830624
1922,614.5833333333,491.3272408629,582.9554901783,600.4587029333,606.6248436842,-539.5142038552,611.0419726945,-575.8895845496,612.5904798988,369.2021343345,194.6164691953,131.0038918611,98.5848499323,294.3418037751,65.8815696282,214.6249286975,49.4527809978
1923,589.0833333333,173.1714650432,473.8309811932,536.8863390847,559.5288676418,-548.3976707525,575.8862595427,-568.2063868215,581.6477903584,563.0548972399,350.0048212134,242.4298507101,184.2460851324,215.1259359638,123.9927001116,155.4370470202,93.300705154
1924,712.5,-230.627665016,414.3271887507,574.2580002513,633.5867627977,-690.6602688666,677.0580016435,-701.3291977426,692.4907286359,674.1417730191,579.6457803365,421.7629655949,325.9203338357,175.0561138866,221.9205092155,125.6726159263,167.668842524
1925,839.4166666667,-686.4975920596,253.3405019697,558.5226510831,677.2291266524,-833.112505056,765.9809274087,-836.1982823282,797.8401332166,483.0542375078,800.2742844423,626.6360893732,495.9647671876,102.6834660361,343.3563151071,73.4355016956,260.9050825623
