Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1882,782,619.1320158553,740.1639130621,-234.4896207993,771.4700836762,-566.9558985918,-462.6840804129,542.7354269066,-779.3630750282,477.7023622958,252.351702591,-746.0151591874,127.8980453045,-538.5954038534,630.4343278507,-562.9940109633,-64.1653900684
1883,904.9166666667,254.9746532995,724.4325320413,-86.0282306581,858.6108681268,-572.8283875714,-608.6977057147,683.8874443161,-893.2652065205,868.2523249528,542.2837634776,-900.8181376621,285.7648521875,-700.5296653272,669.5978469714,-592.5977869668,-144.7461378795
1884,643.5833333333,-216.0616355536,370.908236178,73.2876777134,571.3623482277,-341.7782501866,-480.2948234467,522.1899460022,-625.2674593956,606.2317020631,525.9530276362,-639.3969215126,296.2171061436,-545.3321324145,428.3881295212,-376.1876755539,-152.4470766051
1885,622.4166666667,-513.5513325409,184.0646603535,197.8317620225,500.9827438609,-261.8668174594,-505.2406816673,535.5804390949,-591.2793402597,351.6639529294,594.5777558515,-590.1398994133,369.3491536447,-564.6488084271,363.5029030597,-317.1058186211,-194.3997138025
1886,776.25,-775.9550116032,-10.7001108177,394.2864313897,545.0954510348,-235.8001230664,-674.0285249403,700.6981562779,-716.1335093283,-21.3981884255,776.1762493973,-668.6570664563,552.661751672,-739.5690396859,385.0319597993,-334.0451410943,-299.5277271257
1887,733.25,-581.2478794979,-236.0673154613,495.5695083406,426.9421526612,-133.469745538,-671.2048511784,687.492030988,-652.1927996915,-446.9971645092,694.2101879625,-540.4317023483,596.1341801818,-721.000270129,295.1941907536,-254.971115674,-335.1120924863
1888,548.25,-155.3157491098,-328.1967421003,446.4186870344,245.6055767318,-31.4770920615,-522.171958107,529.0499019748,-466.4929366792,-525.7899586132,439.1639340551,-318.2584144472,490.1591202643,-547.3456450684,167.0763557978,-143.8202479503,-288.0319470621
1889,621.5,207.7152415924,-507.6205633392,569.9886873545,188.117077753,42.3253324141,-608.4859156919,611.9297383702,-501.5859915426,-585.7615798345,358.5855737131,-247.7400780816,592.3463640959,-620.0571072377,126.5193281858,-108.6473437234,-366.979213428
1890,603.5,497.3996443984,-576.3648737538,591.3891924678,90.4877027269,116.2006909662,-600.4646649281,601.2694614119,-457.6142363365,-341.7686991992,178.9295456396,-120.2957731273,596.6776564069,-592.2074378281,60.451932747,-51.8390275127,-393.4481677453
1891,558.75,558.5614879122,-558.7028699904,558.7290531655,-3.628628727,175.4217471268,-558.7447632668,558.7461526026,-393.8109103356,14.5129845744,-7.2571044168,4.838145185,558.7382173734,-530.4986080425,-2.4190952648,2.0735119456,-396.3767518417
1892,864.1666666667,685.8637784296,-818.3778598456,843.7149688218,-140.6576705361,371.9519810003,-859.0385264938,860.3980635898,-559.1208981471,525.7137103178,-277.5638778596,186.8932293151,852.6426258974,-780.0229173606,-94.0044561557,80.617615623,-658.9141439012
1893,686.3333333333,195.4819457703,-550.0996363803,624.6164261641,-216.2194803228,370.6878985602,-670.7266649942,674.8556233043,-401.6558276578,657.9059608502,-410.4190961672,284.4429021972,651.3851247713,-577.6191879651,-145.5307022941,124.9933283778,-556.5303590578
1894,619.75,-206.1998128851,-357.9788600354,498.3326200395,-284.8092905727,397.4282282327,-588.6134995774,596.822820666,-322.1641698479,584.4413569094,-505.906313726,368.4489955266,550.4304956154,-475.5427067087,-193.9696126079,167.010727896,-529.4339526005
1895,696.1666666667,-573.14610868,-206.9333368322,461.5506565371,-412.6668974204,509.8319259114,-634.8087152194,650.9082108069,-314.1361881072,395.1601775012,-664.7004000941,521.1708157869,560.67286322,-474.0458154011,-285.7725019299,246.9140111091,-621.2620084146
1896,621.4166666667,-621.2319306425,7.5762142383,306.3238802337,-442.0784203109,504.5119773228,-536.8954452155,558.9344534614,-236.0548402981,-15.1513022985,-621.3704809443,540.6702821588,436.7211283034,-362.8034431328,-312.8928802609,271.5712620013,-574.8363123386
1897,626.25,-497.6424217098,200.6744825635,188.7378688897,-508.8523642499,550.2328154688,-505.166384913,536.4960966033,-191.7293266411,-380.185589699,-593.2274559963,597.1323800858,365.0456600171,-299.0533585856,-370.1296881552,323.0495330896,-596.1786039483
1898,606.1666666667,-173.5740265427,362.0933848391,58.5877609203,-541.7227002295,564.6529668474,-448.8607665648,489.1875953767,-139.75654604,-580.7840261987,-486.1341465414,603.3286849207,271.9826167863,-220.4655410904,-407.3843885284,357.9574336529,-589.835685269
1899,287.0833333333,95.0854923119,234.2160331428,-32.2371561917,-273.5473997249,278.395565745,-191.2617186228,215.5608729175,-44.0791387171,-270.8792894069,-166.0111143767,285.2676042568,87.1129174205,-70.0910069215,-214.092959406,189.6057761378,-283.6791670316
1900,547,449.843812882,522.1463231923,-173.0347588615,-540.7508847825,542.9978177673,-319.8116530888,376.7039200545,-41.3416619402,-311.2065937794,-163.0098683417,518.9103701274,82.4468350327,-66.0482391891,-443.7674014037,396.6146197703,-545.4354837999
1901,542.75,542.6090380067,542.7147583575,-274.9380918364,-542.7411895179,542.7443612859,-269.5875675507,337.015672852,1.5462679549,12.3690894364,6.1849463168,467.960049745,-3.0925233595,2.4740235069,-471.0627409614,425.4385957481,-542.747797375
1902,599.8333333333,477.2300763838,568.3566377117,-404.6947759399,-591.911853361,594.7595571147,-241.9200398304,328.8375088677,48.7420133803,363.3888853177,191.757034152,442.7439057793,-97.1616469009,77.8530474577,-548.8849807621,501.6631544567,-597.8496833731
1903,671,193.162536086,538.4482620056,-545.7481912251,-637.0007000804,649.1735327936,-204.9926385117,316.0941851181,106.8024584129,642.5957007737,400.3928934723,390.3843129207,-210.881739601,169.7490038861,-638.9201970168,591.8829834812,-662.4456467341
1904,418.25,-137.9007838264,242.1322569017,-383.3184871397,-371.6213657401,388.2028981089,-85.4696006011,163.1822104352,98.7482310707,394.8625537071,341.0352366951,167.3320050587,-191.9130611121,155.664936321,-409.4239976761,385.1034000077,-406.42569968
1905,422.0833333333,-346.7315029294,126.1046227338,-413.4786054269,-340.1330620433,368.9959471142,-42.6140366379,129.196355918,131.510158683,240.6898526197,402.8051196335,84.7925888976,-249.9276703024,204.9300643904,-419.926641402,401.824142997,-401.0728343343
1906,532.0833333333,-531.9637795237,-5.6397069756,-532.0700491345,-374.2404838633,429.1345946173,1.8799336153,116.8281652477,204.9213867424,-11.2787803405,532.0534440414,-3.7598437629,-378.2284149146,314.5730015652,-532.0800122732,519.0990786121,-491.0396102828
1907,635.75,-506.4183018946,-202.7592501842,-620.9222904176,-370.9945209807,461.6203310816,68.6539014441,83.4591922285,290.101961202,-384.3417307634,602.550204518,-136.5048415351,-516.2762127992,437.1323969144,-632.0322019617,630.2480668218,-565.7021430106
1908,537.4166666667,-155.5270402084,-320.3387660632,-489.4448448149,-241.5173717865,340.8565005523,113.5360220228,22.5339783924,281.9762514145,-514.4200748174,431.5086888676,-221.9468798954,-480.0896090695,415.4919008145,-525.28682195,536.9440319335,-457.4998002725
1909,607.6666666667,199.439221891,-495.202657983,-489.1913251469,-184.8521426394,323.5241645003,189.7281158178,-29.0182950155,358.4203484973,-574.0059011451,352.1833404697,-360.4866504864,-578.8682606081,514.3839934934,-577.2885065944,606.9734066104,-490.7072768575
1910,711.8333333333,584.1070662839,-679.1515200825,-472.7856051732,-107.8517595259,300.5148278621,291.6865965055,-97.5591543933,463.6454555774,-406.8484110349,213.2132904253,-532.1470341789,-703.6154435567,645.2887204031,-649.3270546215,705.1162356934,-540.129230802
1911,382.4166666667,382.3431669843,-382.3982913046,-189.0398406763,1.8744392109,116.7461802416,192.2895228631,-86.1396360564,271.0713224775,7.4973065075,-3.7488333876,-332.4250977011,-382.4120727986,364.160454118,-330.555965521,372.5888753634,-269.74588982
1912,543.4166666667,433.3911669042,-515.1765022267,-164.5987642957,87.5961643741,99.7662452394,320.8239094738,-169.3483913367,414.0669567039,327.8319234921,-172.9012584241,-517.8889073957,-536.3101580225,534.1800912819,-438.6042552473,516.3553001208,-351.9236124177
1913,593.5,172.6619906455,-476.8213194941,-58.3042322476,186.0763242332,35.0187016365,398.5214474536,-234.7383955498,480.977415495,567.8292762674,-353.3888499599,-590.6292123676,-563.5759501255,592.4659825979,-439.7987106842,545.1056188068,-347.711052145
1914,769,-251.2323971586,-446.1856601153,85.1354199558,352.3096843484,-51.1483899386,573.0750988946,-366.2079726847,656.6152401764,726.8034690465,-626.3220870347,-764.272831042,-683.5487446513,767.297101654,-512.7825377555,676.2046441294,-400.2716906903
1915,740.9166666667,-607.296681525,-222.4873861494,233.2574916575,438.2424525438,-141.5014100619,600.7419871036,-409.7867400857,660.9306484326,424.4387441707,-706.7226258929,-703.2413878109,-597.4119681868,727.2790784114,-433.6664292694,617.278166303,-334.855468683
