Year,annual_Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1975,750.5,-606.8231461966,-232.195476678,231.7317530973,-441.0144809148,-744.5674073448,607.1099285548,231.9967499905,-340.7850364037,441.6060679384,-713.677455585,-713.8281618194,607.2532236418,94.1786914317,-441.2117231559,713.7420808624,-668.6671884901
1976,623.6666666667,-623.6662906042,-0.3424453609,311.6356015142,-440.8778398573,-623.6666516242,540.0540935509,138.8742758809,-238.7459929718,0.6848906185,-623.6665726511,-540.2252890971,441.1199853033,0.1369781501,-311.9321835753,608.0082619584,-576.1601009711
1977,570.75,-462.2212578649,175.9869023161,381.7059534638,-461.6276026176,-566.2697114539,521.3512421772,76.728101028,-176.4675725254,-334.8239407179,-542.9403030842,-424.3302105558,335.6419505985,-71.3734992127,-232.2680451123,565.5690594549,-542.7842650142
1978,577.9166666667,-179.5395385779,339.2851175202,467.3478459241,-514.8136545285,-559.8101962977,549.5797407572,26.0712478689,-135.0338521104,-549.3206965866,-467.8389494692,-339.9612691488,262.592030957,-143.5277594486,-178.7450199597,577.3282979776,-561.9195070429
1979,690.0833333333,211.8991290375,557.8723260035,630.2301955616,-656.1986746585,-641.7275485626,674.9542062484,-30.7582076997,-108.1277906163,-656.7448256801,-406.1938882158,-281.1136914966,213.5844243403,-253.7730489241,-143.7074333915,689.3975192902,-681.5595262637
1980,541.0833333333,436.9898956983,514.4021398714,529.1702398618,-534.3714055442,-474.2785625682,538.096817913,-72.4496658759,-42.6128634408,-319.0783675974,-167.8142190246,-112.9160345376,84.9610178131,-260.4438878134,-56.771367457,536.2109841523,-539.4027414469
1981,707.9166666667,707.9141038256,707.9160259561,707.9163819064,-707.916506489,-572.9404627604,707.9165954766,-157.2609636017,-0.238109674,-1.9048751293,-0.9524384267,-0.6349590575,0.4762193211,-415.7947006353,-0.3174795607,690.2282204254,-707.9166266223
1982,484.9166666667,393.1617927411,461.4081054814,474.4209695403,-479.0034728967,-353.6887627513,482.2856045734,-149.6492109316,37.8642721593,283.8449899852,149.1533901968,100.343994696,-75.4973281915,-331.7354860648,50.4457057878,461.2475336289,-483.4361079864
1983,657.75,205.3365806104,532.7734970869,601.1809256509,-625.7263100625,-419.6028539716,643.4523355878,-258.2246470571,102.6245147525,624.8775489352,385.7297801593,266.8643047197,-202.7354122879,-506.5259198095,136.3970466197,604.9422238133,-649.6947525352
1984,572.9166666667,-175.0529699784,337.5964624329,463.9082895438,-510.7093825651,-307.3367952295,544.9836226112,-271.2244113811,133.4908046457,545.5180699539,462.8845811834,336.1883487527,-259.6332673301,-483.5055338282,176.7098130552,504.6492104576,-557.1478367718
1985,406,-327.5121228073,126.226142578,272.0655522453,-328.697287703,-173.1576502183,371.0085000452,-223.4722144792,125.2695118386,239.9412624253,385.87946425,301.3574875152,-238.3151129422,-367.222586684,164.8899417618,338.9633746524,-386.1910788764
1986,457.0833333333,-457.0791400208,0.978951801,229.1066320304,-323.552651174,-141.6188816482,396.0088361819,-284.7680647544,174.6920852581,1.9578991115,457.082285004,395.5190574053,-322.8604273202,-434.5909179582,228.2590091911,357.5364637447,-422.3835330115
1987,593.4166666667,-481.6842655493,-182.0767269995,184.2413676092,-349.3536717026,-111.7316549445,480.3515579795,-409.8060213687,269.1013275035,-346.5885292389,564.7932416052,564.0908249026,-479.6825537225,-582.8030349622,348.4332375428,429.1880300379,-528.8930097985
1988,681.1666666667,-213.6771763196,-399.0227172991,72.3123234618,-309.9895591072,-43.4398064025,506.5791014783,-512.6520225745,355.5513135254,-646.784424749,552.0587820668,677.3174703589,-606.5430743338,-679.7801195957,455.374177708,448.5264000347,-581.0088564111
1989,600.75,182.6460988911,-485.0903041748,-61.7520030625,-186.3901315346,37.0931522015,402.3698837265,-485.7525407744,352.7936301725,-572.3119473328,354.3839151197,597.5677807728,-571.1035644842,-599.6037529567,446.0930835262,353.4756450326,-486.2481023199
1990,721.8333333333,581.6084330469,-685.8818101656,-221.7866134413,-113.9100693674,134.4698751231,424.8237226439,-619.362819305,468.4118252347,-427.5219195782,224.9655609089,686.9163407645,-712.7887886378,-709.197584454,583.5821842637,370.7196503742,-549.2119109154
1991,612,611.9894341904,-611.9973585419,-304.9612828133,-0.8990473735,188.4342339775,306.518918599,-551.1698488063,432.4313720161,-3.596170092,1.7980928068,530.605895166,-611.9993396351,-582.2684427867,529.7076104238,265.9996198621,-433.067094682
1992,545.8333333333,443.5674072007,-519.6382896824,-364.3954247175,84.5521377399,231.7924621836,222.525120439,-510.8582734729,414.7803050777,318.0911552479,-167.0630889026,406.386518259,-539.2448087663,-494.1723204031,498.41408342,192.2442514149,-354.811677228
1993,693.4166666667,218.5682673179,-562.3102137494,-560.0996638907,213.203423472,370.7882581991,214.9932925406,-668.2559790859,560.6538508015,658.0688308474,-405.7510284944,408.7970647163,-659.8264725145,-585.9545555696,659.245445774,185.0962453079,-408.0366811852
1994,659.4166666667,-199.4817718386,-389.4154177939,-601.7947629035,298.3649807933,419.6333856133,137.8347628621,-648.7043477108,561.9507012909,628.5199781884,-532.1522081719,269.5800504855,-588.0549961645,-508.6631124394,644.8503069896,118.3765582325,-345.0242739236
1995,589.75,-474.6269883796,-184.2468400043,-576.5686644329,345.7929211302,429.3314806438,62.3445773533,-587.3215339628,525.2315859393,350.0489742903,-560.230456552,123.9904742071,-477.7366619763,-404.3260345665,586.4454076678,53.46473832,-268.2104465373
1996,635,-634.9822890721,-2.3713328773,-634.998032111,448.1736290897,513.1676834019,0.7904459255,-634.9996385508,586.4363795298,4.7426326848,-634.9955722526,1.5808906262,-449.8504175707,-374.010599732,634.9995080276,0.6775251254,-243.5515813211
1997,859,-698.8563600132,262.2626419724,-840.689552459,693.9613135666,752.1020062985,-88.6810984306,-855.6270497449,816.6987719942,-499.4805182078,-817.9849061111,-176.4145016326,-506.2595137603,-414.9982796613,854.4101256312,-76.0483513621,-266.2407103039
1998,705,-223.2846908923,412.0735935005,-644.8219775128,627.5097144339,655.0708229816,-145.6459849317,-693.8156641077,685.3536855799,-668.7069214634,-572.0317766869,-285.0081004401,-321.3355851615,-260.5901319664,689.7914518702,-125.0792718193,-165.2734874747
1999,587.75,176.9092631622,474.040336851,-476.4679874581,558.5997093108,569.0376711066,-180.8397119986,-566.7569412824,580.416678623,-560.4936887311,-347.4706052866,-344.1341590537,-182.8016062783,-147.1264468461,559.2379288498,-155.6811870722,-92.5556139642
2000,548.3333333333,440.7762088123,520.7502915393,-368.0926080015,541.393658828,543.888559453,-222.2970959365,-513.6090297998,546.59566136,-326.1683279987,-171.722387318,-406.4200737895,-86.9617768057,-69.6755289937,501.2518783831,-192.0291877619,-43.6191176763
2001,539.25,539.227861345,539.2444653078,-271.0343441298,539.2486163252,539.249114448,-268.919404681,-486.1499292243,539.2496540812,-4.8863124488,-2.4431813004,-466.18767337,-1.2215937847,-0.9772753287,467.4108645357,-233.342685369,-0.6107972842
2002,497.4166666667,405.1432534445,473.7870549776,-155.1885807401,491.4737622064,493.610473971,-291.7447118127,-427.3482197648,495.9287150532,288.5867018181,151.4898241252,-472.5884517058,76.6608201138,61.4169379238,402.8751213554,-254.5522330322,38.4454140761
2003,446.1666666667,141.9818942538,362.2238830687,-48.0713503811,424.6627585157,432.3639307903,-298.0074330304,-361.3194166277,440.7579051298,422.9726186748,260.4967427419,-443.5694305484,136.8438379114,110.1186895854,332.0485872626,-261.7498302049,69.2615586745
2004,624.6666666667,-187.0719815923,369.6963708751,63.2207447965,557.2905185439,581.25990573,-463.5193288099,-471.0062923338,607.5891930524,595.9970789757,503.52064288,-621.4592358891,282.1980198116,228.7910978059,418.758016358,-410.3187992603,145.0648714554
2005,889.1666666667,-713.9108521246,279.1340434544,271.852571926,720.6989829612,780.0664909009,-718.449582892,-615.4181318644,846.0020311621,530.0459002104,844.2165284428,-846.5893575095,520.7785873765,426.7477368243,523.8774264592,-641.7771296048,273.6748515679
2006,900.25,-900.1989069641,4.7956493579,447.3533847513,638.2661458336,729.4434250323,-778.838862385,-562.3673028329,832.1806175004,9.5911626281,900.2372266504,-781.2330072722,634.8750976237,527.6005611987,451.5086809119,-702.9886764411,343.4027989936
2007,652.75,-532.2639086481,-198.3019114002,434.9978577464,385.1239994038,476.8137219751,-595.8302669989,-360.4514952199,582.0104179097,-377.8593575004,621.899440774,-486.6820586955,527.0313724848,445.7928185113,266.5874254874,-544.2033462721,295.5443045376
2008,621.9166666667,-198.8488928379,-362.7071130221,501.7617523236,283.9073278121,397.5057239119,-591.1151904425,-295.5898178416,530.7292338062,-589.2702759303,505.1968828496,-367.4445321173,553.3326029545,478.2985884728,193.295555836,-547.1809571487,324.2018208791
2009,657.75,195.979870905,-529.8777324005,599.8447112213,205.0707000202,353.7286260513,-643.1107685717,-259.514967223,532.6914282389,-627.8749498905,389.6981539681,-269.8543772478,624.9648554065,554.5368532495,137.9985574094,-604.3898115349,385.8431090234
2010,716.8333333333,574.8633301218,-680.4157644117,700.5706784975,114.2482545204,306.7592708668,-712.7560741518,-222.6750809674,545.7778783045,-428.2314554759,225.5757418645,-151.8247417492,707.6703781541,647.8802184933,76.3466209952,-681.3705571082,464.7327568949
2011,565.1666666667,565.1242845805,-565.1560710458,565.1619574937,1.73036004,175.9621176703,-565.1654893722,-126.72520951,400.2444896105,-6.9212779586,3.4607038598,-2.3071439165,565.1640177553,537.0760600289,1.1535743613,-550.7758912532,399.0209388586
,,-21.1490332883,-26.2895662941,-34.5775985821,135.2073302161,27.1680798508,-103.236463162,9.2865960292,-16.502514336,6.8211157285,-14.6356755403,-71.6471062321,15.7352574583,-82.3314273732,148.8462564103,-39.5917772639,-134.6034939119
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,493.8092288115,,,,,,,,,,,,,,,,
20,905.3442944527,,,,,,,,,,,,,,,,
30,6328.9181551419,,,,,,,,,,,,,,,,
40,18528.6204714515,,,,,,,,,,,,,,,,
50,7516.5684960943,,,,,,,,,,,,,,,,
60,32812.9753735542,,,,,,,,,,,,,,,,
70,1653.7496927221,,,,,,,,,,,,,,,,
80,18390.4335527138,,,,,,,,,,,,,,,,
