Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1973,950.25,293.7722475936,-768.8082143083,-99.373085601,-293.6111857998,-883.5101304568,635.8245779724,450.3107400547,-558.5566368748,903.6995789773,-558.4881306815,-945.0397094081,903.7519206471,349.8355497661,-706.1884794771,836.7767324032,-768.7584444435
1974,682.4166666667,-210.5790589427,-401.241727311,71.2276502977,-309.7405889332,-660.9616385068,507.0993209595,268.2481664139,-356.5952654715,649.1139860451,-551.9941876587,-678.689272626,608.0734121073,169.7710793004,-456.6648504395,627.4834086731,-581.8353062404
1975,983.4166666667,-795.1498943223,-304.2570308991,303.6493913282,-577.8827325423,-975.6429018517,795.5256792,303.9966296511,-446.5472145904,578.6579178038,-935.1662950654,-935.3637727771,795.7134457248,123.4069217838,-578.141188648,935.2509767108,-876.1871520511
1976,779.75,-779.7495298214,-0.4281482151,389.6277823848,-551.2151185922,-779.7499811929,675.2119392511,173.6299571643,-298.4962929231,0.8562963011,-779.7498824553,-675.4259794336,551.5178651099,0.1712592933,-389.9985892189,760.1728096131,-720.3540973793
1977,695.4166666667,-563.1824203362,214.4270258181,465.0804762236,-562.4590953196,-689.9577664014,635.2279334164,93.4875168752,-215.0126869214,-407.9582107301,-661.5326075687,-517.014981324,408.9548952759,-86.963330549,-283.0014361895,689.1040737554,-661.3424867198
1978,899.25,-279.3671464735,527.9344921644,727.2026828215,-801.0604392238,-871.0759665822,855.1571712344,40.5673879962,-210.1153998735,-854.7540932755,-727.9668498518,-528.9865977482,408.5985012339,-223.3320911621,-278.1308594644,898.3344864421,-874.3580966835
1979,502.25,154.2224430273,406.0254207008,458.6882488407,-477.5883845148,-467.0561448118,491.238860169,-22.386151166,-78.6965576675,-477.9858790453,-295.6322381689,-204.5975387815,155.4490188986,-184.6987279152,-104.5918006341,501.7508572349,-496.0462824287
1980,1249.25,1008.9196868033,1187.6486183293,1221.7451202477,-1233.7535408152,-1095.011540345,1242.3547508601,-167.2713601026,-98.384327097,-736.68624806,-387.4484764204,-260.6998727481,196.1574954623,-601.3113079024,-131.0733974354,1238.0007490262,-1245.3698593919
1981,978.25,978.2464584825,978.2491146202,978.2496064978,-978.249778655,-791.7302051023,978.2499016245,-217.314473422,-0.3290370175,-2.6322930127,-1.3161476976,-0.8774319454,0.6580739977,-574.5749253393,-0.4387160168,953.8068369126,-978.2499446638
1982,966.75,783.8236737566,919.8823563653,945.8253424363,-954.9612113893,-705.1286022817,961.5046053713,-298.3468802229,75.4877850696,565.8851570405,297.35839142,200.0499540245,-150.5146080683,-661.3616383978,100.570653522,919.5622336532,-963.7982967433
1983,961.6666666667,300.2133713727,778.944147521,878.9595694934,-914.8462711418,-613.4824445499,940.7626951329,-377.5386325908,150.0426834212,913.605335704,563.9581481108,390.1702871488,-296.4103202587,-740.5687463071,199.4199820082,884.4587942235,-949.889451952
1984,923.25,-282.0962697295,544.0336301518,747.5839912516,-823.003527191,-495.2704515415,878.2361534414,-437.0756732641,215.1192181337,879.0974104755,745.9342945353,541.7644677572,-418.39665,-779.1647722593,284.7662572856,813.2376149323,-897.8386739774
1985,1007.5833333333,-812.7974295696,313.2595012131,675.1938818141,-815.7386916291,-429.7309418697,920.7437959866,-554.5982235772,310.885399762,595.4699926076,957.6495489012,747.888625112,-591.4343248326,-911.3481723309,409.2127023484,841.2163717,-958.4228929997
1986,757.9166666667,-757.9097134894,1.6232573619,379.8951355181,-536.5016157571,-234.8265685671,656.6454630948,-472.1906196795,289.6671860387,3.2465072779,757.9149283704,655.8333321972,-535.3537988108,-720.6206743538,378.4896424054,592.8521673216,-700.378893845
1987,631.75,-512.7999462336,-193.8384591186,196.1429304655,-371.9211045046,-118.9492593926,511.3811488614,-436.2785350366,286.4846459492,-368.9773402837,601.2775684046,600.5297772204,-510.668928489,-620.4507524292,370.9412124437,456.9125762838,-563.0582653113
1988,841.5833333333,-263.9987525877,-492.993689993,89.3420791094,-382.9929725255,-53.6700030413,625.8799052886,-633.3830163909,439.2846483108,-799.1039766992,682.0701786264,836.8276404641,-749.3856750302,-839.8702505256,562.61607789,554.1556293064,-717.8380769385
1989,841.4166666667,255.8160161608,-679.422499827,-86.4904945099,-261.0599470253,51.9530528199,563.5634229417,-680.3500352614,494.1264091902,-801.5860358191,496.3537787438,836.959617487,-799.8935622967,-839.8112211963,624.8025890365,495.0816462608,-681.0441238902
1990,990.6666666667,798.2176231889,-941.3256706591,-304.3868922408,-156.3337456291,184.5506667586,583.0413778332,-850.0329249479,642.863054536,-586.7444677841,308.7497792755,942.7454928434,-978.2536503495,-973.32496929,800.9264611554,508.7872550969,-753.7556219075
1991,639,638.9889680517,-638.997242007,-318.4154570551,-0.9387112282,196.747509006,320.0418120666,-575.4861656654,451.5092266639,-3.7548246549,1.8774204306,554.0149787762,-638.9993105014,-607.9567564391,553.0770638248,277.734897209,-452.1729959179
1992,706.3333333333,573.9965409822,-672.4357470761,-471.5443694513,109.4143388524,299.9500625142,287.9576978383,-661.0740039628,536.7447123418,411.6245239514,-216.1872887845,525.8827677501,-697.8074807791,-639.4816164484,644.9706520714,248.7728664111,-459.1425612496
1993,739.3333333333,233.041421421,-599.5452729701,-597.188344915,227.3213283312,395.3411160609,229.2297189545,-712.5065552758,597.7792289761,701.6448344282,-432.6190511719,435.8667898285,-703.518863616,-624.7552958795,702.8993624451,197.3529489691,-435.0560552187
1994,809,-244.7325971198,-477.7511532849,-738.3070337757,366.0466616379,514.8238225115,169.1014631449,-795.8576781974,689.424669295,771.0946478267,-652.8666292092,330.732102883,-721.4505121654,-624.049222237,791.1293795343,145.2293222951,-423.2902377417
1995,766.25,-616.6730476404,-239.388115563,-749.1237628176,449.2816037575,557.821529535,81.0030222924,-763.0947442119,682.422556551,454.811405765,-727.8958666095,161.0982634357,-620.7133823473,-525.3324696677,761.9564114039,69.4656307548,-348.480296158
1996,904,-903.9747863325,-3.3758817655,-903.9971984698,638.0298593655,730.5568280241,1.1252962467,-903.999485433,834.8637592046,6.7517164521,-903.9936965612,2.2505907498,-640.4169724156,-532.4497356815,903.9992996172,0.9645397061,-346.7254008099
1997,895.5,-728.5516535411,273.4065144194,-876.4115183085,723.4486103596,784.0597749014,-92.4492708319,-891.9837288085,851.4013391395,-520.704079226,-852.742122727,-183.9105776624,-527.7711229015,-432.6320831626,890.7150960451,-79.2797423105,-277.5536159222
1998,867.1666666667,-274.6454483955,506.8602616982,-793.1462763592,771.8517834988,805.7525985752,-179.1480046335,-853.409669114,843.0012354781,-822.5253220743,-703.6126085347,-350.5667013215,-395.2503663346,-320.5320228419,848.459792927,-153.8504612946,-203.2902967685
1999,976,293.7702098619,787.1771480503,-791.2084317467,927.5939026581,944.9268685667,-300.2969951691,-941.1395571104,963.8225067393,-930.7389880078,-576.9992526749,-571.4588502534,-303.5548578947,-244.3137594586,928.6537108591,-258.5195041811,-153.6950731248
2000,893.5,718.2374636604,848.5538945113,-599.8007512147,882.1919164065,886.2573152668,-362.2294016157,-836.9173278897,890.6684925687,-531.4858378119,-279.8187593956,-662.2547159835,-141.7027615365,-113.5351097067,816.7815562347,-312.9083512436,-71.0766230586
2001,907,906.9627635417,906.9906908377,-455.8704684761,906.9976727064,906.9985105319,-452.3132128803,-817.6875026545,906.9994181764,-8.2186099046,-4.1093471293,-784.1116731508,-2.0546788368,-1.6437435756,786.1690387276,-392.4743915246,-1.0273400774
2002,672.8333333333,548.0192039387,640.8706118091,-209.9166696089,664.7946316056,667.6848662827,-394.6300558176,-578.0548712315,670.820647569,390.3583565889,204.9135265516,-639.2493146377,103.6956712345,83.0759518842,544.9512028519,-344.3214490704,52.0033964233
2003,960.9166666667,305.7887976542,780.1276794294,-103.5320771841,914.6033374008,931.1894818721,-641.8236291136,-778.1797148177,949.2677258222,910.9632547513,561.0362234883,-955.3229554825,294.7228791476,237.1644769535,715.138636482,-563.7350190684,149.1697857818
2004,689.3333333333,-206.4380245106,407.9680336017,69.7654750476,614.9822798018,641.433022972,-511.5037203729,-519.7657484238,670.4879675733,657.6958160735,555.6460456113,-685.793863297,311.4116888849,252.4759819971,462.1086327793,-452.7957720759,160.0822594288
2005,755.25,-606.3893207877,237.0938927673,230.9090777287,612.1550967739,662.5813127493,-610.244477015,-522.7305088179,718.5863550536,450.2161193634,717.069765443,-719.0852246587,442.344548959,362.4756081386,444.9766744142,-545.1195994009,232.4569053196
2006,686.9166666667,-686.8776812095,3.6592185187,341.3435111085,487.015443868,556.5863327355,-594.2764734463,-429.1024416599,634.9777682177,7.3183331985,686.9069202332,-596.1032749185,484.4279764614,402.5744169176,344.514121703,-536.4005979732,262.0262216148
2007,783.5,-638.8797739193,-238.023052596,522.1307109066,462.266799744,572.3225601953,-715.1788804192,-432.6522351663,698.5908271654,-453.5470036025,746.4698764404,-584.1675878788,632.5991272951,535.0879713575,319.9865919102,-653.2107572642,354.7437190428
2008,1146.5833333333,-366.6034994717,-668.6971952393,925.0623007129,523.4196601053,732.8529083885,-1089.7968518421,-544.9578324644,978.4675771055,-1086.3955147426,931.395405484,-677.43123642,1020.1397941914,881.8049415513,356.3652087293,-1008.7984442461,597.7077386407
2009,581,173.1118281958,-468.0485937281,529.8514286881,181.1418878172,312.4535640225,-568.0689571116,-229.2332891776,470.53397158,-554.6109401542,344.2259634442,-238.3662382075,552.0404119972,489.8303485184,121.8961031621,-533.8661809225,340.8207470051
2010,627.0833333333,502.8884630512,-595.2253693558,612.8568188438,99.9439799194,268.3519545772,-623.5165610315,-194.7953945919,477.4446098862,-374.6154036801,197.3328827633,-132.8157616441,619.0676116728,566.7633857431,66.7877613333,-596.0606187211,406.5466165583
2011,743.6666666667,743.6108987903,-743.6527245669,743.6604701671,2.2768700969,231.5372955013,-743.6651175402,-166.7495974148,526.656122867,-9.107266957,4.5537188506,-3.0358231069,743.6631811336,706.7040341636,1.5179147154,-724.7307657835,525.0461306951
,,17.6256623189,-17.127440653,-2.3242319527,134.4672076455,34.300152386,-105.1790519583,5.3437993835,-10.5981327571,13.5223956677,-16.9339736832,-64.3241964038,7.8598629138,-123.0013306009,180.2883017336,-11.7934256859,-205.5957367383
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,493.5191567734,,,,,,,,,,,,,,,,
20,580.1086880274,,,,,,,,,,,,,,,,
30,4143.00429717,,,,,,,,,,,,,,,,
40,18143.2073770122,,,,,,,,,,,,,,,,
50,16305.8277832975,,,,,,,,,,,,,,,,
60,43566.5047128273,,,,,,,,,,,,,,,,
70,167.6410812605,,,,,,,,,,,,,,,,
80,42381.9273829173,,,,,,,,,,,,,,,,
