Year,Annual_Mean_eastup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1882,703.6666666667,557.1132504137,666.0213216003,-211.0006775393,694.1915373574,-510.1636410602,-416.3367833553,488.3693462062,-701.2938837956,429.8506763881,227.0735056137,-671.2864454581,115.0864337757,-484.6440313446,567.2834041316,-506.5986177083,-57.7379106711
1883,638.8333333333,180.0014450864,511.4190800836,-60.7323341215,606.1433755465,-404.3928924507,-429.7151314125,482.7959432846,-630.6078896018,612.9498409695,382.8296648696,-635.93994321,201.7380382051,-494.5446555298,472.7080849878,-418.3492618922,-102.1847217041
1884,888.4166666667,-298.2562600851,512.009932137,101.1679311281,788.7212216051,-471.7982552428,-663.0095963701,720.842550088,-863.1330292136,836.8556488017,726.0371911991,-882.6376512037,408.9046443865,-752.7885360186,591.3564481194,-519.2977870103,-210.4413160283
1885,942.5,-777.6496948772,278.721556915,299.568513653,758.6175971438,-396.5341686257,-765.06521752,811.0074663494,-895.3500252158,532.5102835227,900.3446805035,-893.6246167311,559.2902567574,-855.0245043929,550.4375195615,-480.1803198025,-294.3715039639
1886,934.8333333333,-934.4780805329,-12.8860808538,474.8368424401,656.4552624486,-283.9727085946,-811.728608994,843.8466899759,-862.4353953457,-25.7697131248,934.744515914,-805.259792969,665.5673140371,-890.6586674392,463.6917364496,-402.2886089958,-360.7194893072
1887,870.6666666667,-690.1781844521,-280.3081386453,588.4430302469,506.9543824304,-158.4829982249,-796.9937816924,816.3333037575,-774.4187261254,-530.7678571192,824.3104948099,-641.7127430544,707.8542919126,-856.1212435854,350.5158432769,-302.7546558202,-397.914665564
1888,1003.3333333333,-284.2379722271,-600.6214888111,816.9753749649,449.4742580712,-57.6051357989,-955.608812222,968.1958990387,-853.7125638574,-962.2299896189,803.6987028458,-582.4336996419,897.0232266274,-1001.6783047003,305.7606511333,-263.2004537653,-527.1172887411
1889,1003.5,335.3857521125,-819.6254791809,920.3276713761,303.7417337493,68.3402591754,-982.4869129474,988.0474536678,-809.8818061351,-945.7952459597,578.9873261804,-400.011533958,956.4273151573,-1001.1702447515,204.2834204899,-175.4265638398,-592.5400493564
1890,1048,863.7528207615,-1000.8788528483,1026.9691362158,157.1352319102,201.7867839811,-1042.72902874,1044.1265875056,-794.6639928429,-593.4939465796,310.7177528256,-208.8980451324,1036.1527488226,-1028.3900494514,104.9770099732,-90.020382491,-683.2372490424
1891,889,888.7000675687,-888.9250137297,888.9666725084,-5.7733350126,279.1050258536,-888.9916680881,888.9938785928,-626.5734215452,23.0909052111,-11.5464265352,7.697737932,888.9812532348,-844.0505817445,-3.8489050388,3.2990641962,-630.6558074046
1892,835,662.7150491673,-790.7566206029,815.2385716099,-135.9103046067,359.3981532906,-830.0449407394,831.3585918196,-540.2498938701,507.9702388991,-268.1957624063,180.5853575445,823.8649094977,-753.6962036599,-90.8316924475,77.8966739192,-636.6749972893
1893,1049.9166666667,299.0380081059,-841.5135161189,955.5053852893,-330.7611987114,567.0588676493,-1026.0424055685,1032.3586690155,-614.4319782249,1006.4299660943,-627.8375658828,435.1258043689,996.4547337293,-883.611479987,-222.625220763,191.2082253803,-851.3508977379
1894,1427.4166666667,-474.9222260199,-824.501800934,1147.7664984075,-655.9766489472,915.3621247005,-1355.7026535244,1374.6104740066,-742.0129172145,1346.0933175342,-1165.2103331736,848.6167600344,1267.7590371651,-1095.2764586814,-446.7534616594,384.6613900941,-1219.3995124506
1895,787.5,-648.3398045279,-234.0818809031,522.1036275168,-466.8065813529,576.719140515,-718.0922143672,736.3038774389,-355.3491713685,447.0030736636,-751.9055279973,589.5456319351,634.2301361537,-536.238084216,-323.2643216708,279.3078052407,-702.7682522765
1896,494.8333333333,-494.6862282627,6.0329301525,243.9253320139,-352.026506612,401.7422718711,-427.5291878355,445.0788232068,-187.9701812646,-12.0649635307,-494.7965556989,430.5350858869,347.7605015241,-288.8999390267,-249.1562187192,216.2518645251,-457.7414540252
1897,895.4166666667,-711.5326442145,286.9257904384,269.858736024,-727.5606991171,786.7267601081,-722.2904598657,767.0859025952,-274.1359434144,-543.5920374339,-848.2008003567,853.7840883596,521.9448591994,-427.5886011979,-529.2140384868,461.8985007382,-852.4203725116
1898,1076.3333333333,-308.2048565885,642.9472310396,104.030728629,-961.9040962556,1002.6199779764,-797.0148007906,868.6207013865,-248.1572104278,-1031.2629203165,-863.1988777466,1071.2941015171,482.9430132542,-391.4672709271,-723.3677154567,635.6032737228,-1047.3354015582
1899,947.8333333333,313.9339302049,773.2868391775,-106.4340825905,-903.1431420816,919.149830126,-631.4690239813,711.6950271593,-145.5315308471,-894.3341183494,-548.1017169583,941.8385285392,287.6117047143,-231.4122243035,-706.848569023,626.001770041,-936.5941497292
1900,804.9166666667,661.9502420213,768.3442010534,-254.6225983917,-795.7210231741,799.0274103922,-470.6064529532,554.3240651747,-60.8347216149,-457.9440111693,-239.8708589751,763.5824596375,121.3214472244,-97.190728569,-653.0087340278,583.622884272,-802.6144634405
