Year,annual_Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1891,581.5833333333,581.3871176942,-581.5342773546,581.5615305058,-3.7769127347,182.5903614016,-581.5778826009,581.5793287119,-409.9040034649,15.1060580679,-7.5536661782,5.0358561143,581.5710692093,-552.1774475061,-2.517951656,2.1582460654,-412.5746981511
1892,742.75,589.4989254718,-703.3945867698,725.1717952853,-120.8950643672,319.6921896486,-738.3423709392,739.5108911066,-480.5636032001,451.8501735836,-238.5657515296,160.6344602589,732.8451036281,-670.4285691837,-80.7966940903,69.2907240162,-566.3357535768
1893,809.25,230.4911577678,-648.6179661109,736.4801013211,-254.9426145477,437.075058635,-790.8483054588,795.7167263123,-473.5890896533,775.7315184333,-483.921787625,335.3842913109,768.0428541349,-681.0660435077,-171.5940565782,147.3786075615,-656.2003784374
1894,677.9166666667,-225.5527064436,-391.5769835132,545.1036525509,-311.5400805176,434.7288740988,-643.8578484688,652.837655791,-352.4009038204,639.2941291459,-553.3881756301,403.0297940849,602.091176796,-520.174790786,-212.1746401191,182.6855279593,-579.1240022059
1895,804.6666666667,-662.4729261928,-239.1846182011,533.4849341061,-476.9824708512,589.2910074935,-733.7458647545,752.3545228096,-363.0954072735,456.7472676504,-768.2962728404,602.3971028535,648.0556819789,-547.9275070042,-330.3111418046,285.3964198312,-718.087856506
1896,785.6666666667,-785.4331020648,9.5787243984,387.2900017223,-558.9265584941,637.8622666219,-678.8051840542,706.6694417639,-298.4477718024,-19.1560249525,-785.6082733462,683.5777685656,552.1532516621,-458.697983352,-395.5952896741,343.3517310109,-726.7744069637
1897,853.5833333333,-678.290262884,273.5207884095,257.2510966118,-693.5694966083,749.9713544706,-688.5454797956,731.2481061221,-261.3284754205,-518.1957412225,-808.5733641744,813.8958042873,497.5599062615,-407.6119164327,-504.4894738222,440.3188779024,-812.5958004314
1898,870.1666666667,-249.1696432717,519.7936657259,84.1041242137,-777.6558201534,810.5727632417,-644.3503058111,702.2404276772,-200.6238457175,-833.729282591,-697.8571292529,866.0926763737,390.4375150512,-316.4835276417,-584.809978693,513.8564094313,-846.7231544651
1899,562.8333333333,186.4172467561,459.1858019874,-63.2016699328,-536.2958309846,545.8007695332,-374.9729020546,422.6119406923,-86.4181430755,-531.0649406833,-325.4685243833,559.2735556316,170.7868343275,-137.414995863,-419.7340632303,371.7263895601,-556.1593887173
1900,705.9166666667,580.5342685746,673.8423985012,-223.3055213765,-697.8520330581,700.7517541601,-412.7246363978,486.1454763532,-53.3524098561,-401.6196002293,-210.3681588547,669.6663231794,106.3996251618,-85.2368425001,-572.6925132985,511.8407136006,-703.8976208515
1901,728.5833333333,728.3941070616,728.5360252295,-369.0747331376,-728.5715062113,728.5757639679,-361.8922313981,452.4071898886,2.0756979471,16.6041684235,8.3026233146,628.1858920498,-4.1513790468,3.3211097069,-632.3509203479,571.1054264741,-728.5803765468
1902,769.0833333333,611.8861315569,728.7251194001,-518.8841465893,-758.9267150137,762.5779317327,-310.1806123361,421.6228632036,62.4951433018,465.9233151704,245.863527117,567.6692840285,-124.5769434911,99.8201965806,-703.7593063981,643.2132887581,-766.5399733052
1903,1026.5833333333,295.5252461554,823.788392902,-834.9567769128,-974.5667690375,993.1903564933,-313.6244801075,483.6021195317,163.4003334809,983.1267309775,612.5732805124,597.2608483445,-322.6343951992,259.7041702524,-977.5034658532,905.5398004849,-1013.4957677741
1904,682.1666666667,-224.9164806541,394.9182416811,-625.1932926331,-606.1152619942,633.159777629,-139.4011059017,266.1505428616,161.0585813,644.0216905053,556.229218487,272.9188669875,-313.0106232843,253.889852306,-667.7714375327,628.1044894328,-662.8812069299
1905,557.25,-457.7677315082,166.4879787208,-545.8897205311,-449.0562262357,487.1620727251,-56.2606244813,170.5697990175,173.6245668535,317.7676297074,531.7981905211,111.9463064084,-329.9637376727,270.5562370343,-554.4026556872,530.5030689479,-529.511163513
1906,818.75,-818.5660350541,-8.6781708748,-818.72955877,-575.8673068061,660.3363182639,2.8927717729,179.7708259293,315.3253915026,-17.355366773,818.7040074717,-5.7855074347,-582.0037864583,484.053209143,-818.7448896766,798.7703128213,-755.593448869
1907,714.6666666667,-569.2808175446,-227.9280809516,-697.9983697237,-417.0466656089,518.9220027994,77.176020289,93.8191155527,326.1127827066,-432.0506859388,677.3457273492,-153.4494063449,-580.362406733,491.3943421074,-710.4873723979,708.4817697029,-635.9236568959
1908,523.9166666667,-151.6201739479,-312.2918006264,-477.1499053111,-235.4504134628,332.2941260617,110.6839774318,21.9679209417,274.8929590081,-501.4977531985,420.669115663,-216.3715357268,-468.0296747123,405.0546721074,-512.0915257559,523.4559046,-446.0073258355
1909,833.3333333333,273.5041441181,-679.1040290496,-670.8602923023,-253.4999213377,443.670000686,260.1866645883,-39.7946996921,491.5254367763,-787.1721079882,482.9722167713,-494.3590928227,-793.8401818541,705.4086581094,-791.6737611004,832.3826201458,-672.9392167545
1910,867.1666666667,711.5685005562,-827.3531629571,-575.9549294583,-131.3867255475,366.091933825,355.3372422427,-118.848110585,564.8202541254,-495.6291928388,259.739815051,-648.2699646062,-857.155502886,786.1009628325,-791.0205256839,858.9837916912,-657.9940032459
1911,656.0833333333,655.9572354908,-656.0518081153,-324.3213479286,3.2158334948,200.2925859757,329.8965817174,-147.7832544503,465.0565530322,12.8625613714,-6.4315897277,-570.3165818697,-656.0754519815,624.7625311116,-567.1098532462,639.222535571,-462.7826085318
1912,820.5833333333,654.4399356702,-777.9394291406,-248.5514540744,132.2741037558,150.6514670866,484.4583708923,-255.7236021303,625.2595188872,495.0407837182,-261.0885894344,-782.035281571,-809.852189242,806.6356937361,-662.3119309033,779.7194663838,-531.4203053943
1913,589.6666666667,171.5467910429,-473.741597408,-57.9276533817,184.8744833297,34.7925207498,395.947453269,-233.2222531466,477.8708497673,564.1617465414,-351.1063608981,-586.8144210494,-559.9358920371,588.6393278381,-436.9581124406,541.5848580001,-345.4652351837
1914,622.0833333333,-203.2347035965,-360.9423442523,68.8703846955,285.00127803,-41.3765421426,463.5896850073,-296.244312537,531.1695673945,587.9484066354,-506.6638903027,-618.2592851894,-552.957453275,620.7057719817,-414.8159562575,547.0164356768,-323.8001919162
1915,789.3333333333,-646.9816856827,-237.0262649429,248.5001643212,466.8802733657,-150.7480998883,639.9986617754,-436.5650660321,704.120470358,452.1745343363,-752.9048152577,-749.1960887801,-636.4510361787,774.8045698698,-462.0052207895,657.6154303477,-356.7372623288
1916,912.0833333333,-911.9353552385,8.2148753492,460.7763415838,647.8381965567,-284.9725809145,791.2529394882,-570.5078389344,843.4389215351,-16.4290842865,-912.0463380593,-787.1347851423,-642.0293435868,866.4217420352,-453.6681526135,711.6296878706,-347.1408829051
1917,787.9166666667,-629.1435292145,250.0999812251,530.6636815433,639.48049898,-337.9995678876,720.7397008261,-545.937669342,749.8899975216,-474.3322604027,-747.1697752201,-582.4162864327,-460.3013850028,711.7365845023,-318.3503687202,568.1238727642,-241.821556583
1918,567.5,-165.9625557785,337.544441219,461.0415267667,506.7606537567,-305.7450885509,540.2301900302,-428.2936083836,552.1063851319,-542.6902247871,-456.2017099948,-330.9032496012,-255.4405797913,478.0964241939,-173.8033134896,372.3181905544,-131.2813371982
1919,782.3333333333,254.4104588769,636.8199222592,716.4948145678,745.0674120368,-500.7316448898,765.6968137067,-634.0396611526,772.9607093705,-739.811302197,-454.4291265513,-314.1347245081,-238.5791188792,601.0933906227,-160.4800109788,458.3002864169,-120.7360187094
1920,605.4166666667,495.6803255839,577.3311314684,592.8799912179,598.3540880843,-442.7147759795,602.2743429262,-520.4602815865,603.6484398109,-347.6066096996,-182.2583466272,-122.566946161,-92.2048022104,412.9563747022,-61.6032152622,309.2740460639,-46.2374457742
1921,703.3333333333,703.2385085658,703.3096267419,703.3227970376,703.3274066605,-570.3632677644,703.3306992544,-634.3955670324,703.3318516635,11.5489327576,5.7746610198,3.8497980432,2.8873548403,411.5379940696,1.9249062307,303.6775301325,1.4436804615
1922,689.5833333333,551.2858194088,654.0958211831,673.7350192234,680.6536381677,-605.3532253426,685.6098066505,-646.1676355455,687.3472842254,414.2573100499,218.3662756056,146.990807478,110.6155434834,330.261481524,73.9213543964,240.8164454199,55.487696645
1923,625.25,183.8032963954,502.9217501616,569.8483805563,593.8810431343,-582.0664483882,611.242694207,-603.0913170635,617.3579531843,597.6235526936,371.4933050734,257.3137883545,195.5578408188,228.3335546098,131.6052099219,164.9800769263,99.0288853827
1924,731.4166666667,-236.7507620872,425.3274544638,589.5043822463,650.4083060907,-708.9970970576,695.033693617,-719.9492828757,710.8761549985,692.0400399753,595.0352063174,432.9606490089,334.5734234007,179.7038025243,227.8124338462,129.0091871327,172.120401267
1925,689.8333333333,-564.1643072638,208.1954408125,458.9943915085,556.5474744791,-684.6525679393,629.483780114,-687.1884623361,655.6657026473,396.9743847999,657.6660902028,514.9700732484,407.5842691133,84.3853600563,282.1705129014,60.3493579903,214.4120196019
