Year,annual_Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1887,1834.75,-1454.4078375843,-590.691451814,1240.0220326326,1068.3015541701,-333.9701542801,-1679.4996259113,1720.2536704469,-1631.9273634285,-1118.4835289236,1737.0639514002,-1352.2769394935,1491.656579732,-1804.0985279497,738.6396747154,-637.9928462091,-838.5228935415
1888,1904.0833333333,-539.4147364964,-1139.8339200867,1550.4211247985,852.993133112,-109.3205770655,-1813.5137666495,1837.4010047456,-1620.1393996326,-1826.0791555484,1525.2252210403,-1105.3179072358,1702.3325336553,-1900.9424903736,580.2595612745,-499.4906285784,-1000.340774954
1889,2098,701.1851598725,-1713.5767367429,1924.1130588411,635.0275609426,142.8777914799,-2054.0683042987,2065.6936300897,-1693.2058089402,-1977.3576741638,1210.4787347549,-836.2971581903,1999.5859563528,-2093.1292212145,427.0917949056,-366.7612665032,-1238.8131774288
1890,1924.8333333333,1586.4315087427,-1838.2871933119,1886.2065130656,288.6060421964,370.6163435429,-1915.1522825888,1917.7191410786,-1459.5379219691,-1090.054323958,570.6869159324,-383.6774050944,1903.0738066399,-1888.8162660804,192.8084427767,-165.3380084906,-1254.8834270342
1891,1668.0833333333,1667.5205523548,-1667.9426321547,1668.0207989877,-10.8328502951,523.7012844499,-1668.0676996737,1668.0718473745,-1175.676807187,43.3268325468,-21.6652437153,14.4437214271,1668.0481576678,-1583.7420786258,-7.2219283991,6.1902294728,-1183.3368294729
1892,2140.75,1699.0505886285,-2027.3200425817,2090.0861942202,-348.4430953135,921.4150858165,-2128.0463555544,2131.4142580094,-1385.0777967695,1302.320106495,-687.592908229,462.9797654652,2112.2021616854,-1932.305566449,-232.8717911461,199.7093469373,-1632.2898208946
1893,1980.75,564.1586169274,-1587.5811385531,1802.6357252909,-624.0068999262,1069.8009544532,-1935.7093370868,1947.6254626422,-1159.1740368623,1898.7089343674,-1184.4647276346,820.8989002337,1879.8898774515,-1667.0022436551,-419.9999104941,360.7292887581,-1606.1401292429
1894,2062.6666666667,-686.2791136928,-1191.4337425838,1658.5624594887,-947.9090440038,1322.730066588,-1959.0374265886,1986.3598839753,-1072.2344402414,1945.1516022889,-1683.769406662,1226.2806961511,1831.9558461038,-1582.7125287689,-645.5742707101,555.8490704425,-1762.0746530548
1895,1932.1666666667,-1590.7308685486,-574.3304222878,1281.0047309635,-1145.3309412962,1415.0063483579,-1761.8715431024,1806.554677492,-871.8651732646,1096.7421445466,-1844.8340287984,1446.4767219099,1556.1121626308,-1315.6842561515,-793.1435515618,685.2942616203,-1724.2735129399
1896,1553.1666666667,-1552.704938087,18.9359636548,765.6248464256,-1104.9292742059,1260.9754905917,-1341.9146182013,1396.9988391595,-589.9946511299,-37.8691125439,-1553.051230232,1351.3494325971,1091.5392770979,-906.7896705254,-782.0433823659,678.764272654,-1436.7438902194
1897,1989,-1580.5361705083,637.3517697704,599.4405129289,-1616.1394850188,1747.565780387,-1604.4326380711,1703.937303224,-608.9415260506,-1207.4876453674,-1884.1188183261,1896.5210442965,1159.4025034316,-949.8077927772,-1175.5496203446,1026.0207925192,-1893.4918055939
1898,1798.5,-514.9951389667,1074.3331635411,173.8302249358,-1607.294379482,1675.3286129364,-1331.7724861152,1451.4224200468,-414.6584790534,-1723.1895591724,-1442.3628197218,1790.0796917732,806.9739944296,-654.1225333809,-1208.7118329968,1062.0617724905,-1750.0458838982
1899,2105.4166666667,697.339611977,1717.6975551099,-236.4214081808,-2006.1466049493,2041.7021679387,-1402.6784676356,1580.8840215563,-323.2683424347,-1986.5791718041,-1217.4951537675,2092.100441669,638.8702056979,-514.0346269586,-1570.1186123059,1390.534088279,-2080.4511335423
1900,1634.3333333333,1344.0488815116,1560.0752118292,-516.9953825093,-1615.6621499627,1622.3755639932,-955.5371938418,1125.5206094012,-123.5211264429,-929.8268917125,-487.0428912122,1550.4067914288,246.3356685955,-197.3397420743,-1325.8937044987,1185.0100431041,-1629.6588525721
1901,1856.4166666667,1855.9345216758,1856.2961265056,-940.3954969813,-1856.3865313818,1856.3973800656,-922.0946172773,1152.725033644,5.2888394337,42.3071096844,21.1549284662,1600.6058695179,-10.5776359403,8.4621252362,-1611.2182834943,1455.1659139385,-1856.4091328302
1902,2146,1707.3671751928,2033.3870706242,-1447.8604987504,-2117.6596343086,2127.8477514336,-865.5077612829,1176.4689536483,174.3823740718,1300.0820470548,686.04155925,1583.9873661612,-347.6113824664,278.5317696764,-1963.7240934406,1794.7804325604,-2138.9031739686
1903,1963.3333333333,565.1899342009,1575.4894501803,-1596.8489052736,-1863.8520235834,1899.469502312,-599.8045905781,924.8856186514,312.5019771743,1880.2228899936,1171.5420479643,1142.257130205,-617.035989195,496.6823809682,-1869.4684353845,1731.8384365146,-1938.3034571604
1904,2059.4166666667,-679.0081830448,1192.2324098051,-1887.4177670219,-1829.8224370465,1911.4680655442,-420.8428451197,803.4911270143,486.225350558,1944.2594719591,1679.2197259308,823.92425603,-944.9586529716,766.4769020325,-2015.9584089599,1896.2064802531,-2001.1951217758
1905,2057.6666666667,-1690.3246338269,614.7631479847,-2015.7184057655,-1658.1570716634,1798.8643486959,-207.7444802888,629.8354235591,641.1152691412,1173.368971547,1963.6848991096,413.3659634867,-1218.4035607319,999.0391214073,-2047.1527402763,1958.9026137972,-1955.2399655248
1906,2125.0833333333,-2124.6058483373,-22.5243802012,-2125.0302776787,-1494.6760499606,1713.9171961373,7.508251703,466.5990668725,818.4338736597,-45.0462298298,2124.9639587314,-15.0164096787,-1510.6034156208,1256.3705736748,-2125.0700693783,2073.2256231305,-1961.1591388914
1907,1794.6666666667,-1429.5745903266,-572.371636121,-1752.8093388956,-1047.2850968463,1303.1138353879,193.8039613973,235.5980028618,818.9324729908,-1084.9631031225,1700.9465466642,-385.3412330974,-1457.4026109378,1233.9865382026,-1784.1716478499,1779.1351903361,-1596.9276906378
1908,1711.6666666667,-495.3520554939,-1020.2757411906,-1558.8768975806,-769.2303948666,1085.6245187383,361.6110858038,71.7704940579,898.0915186934,-1638.4227534113,1374.3508248318,-706.8985754459,-1529.0805660237,1323.337516317,-1673.0332335019,1710.1613298051,-1457.1322526898
1909,1754.3333333333,575.7809241975,-1429.6498019553,-1412.2950873548,-533.6680344001,934.0140854443,547.7449662913,-83.7758017917,1034.7593495016,-1657.1547217368,1016.753110747,-1040.7247622104,-1671.1923508393,1485.0263070518,-1666.6316018685,1752.331891931,-1416.6716391117
1910,2049.5833333333,1681.8208025349,-1955.4825142157,-1361.2926667332,-310.5378161485,865.2730263718,839.8538797768,-280.9022948142,1334.9754132436,-1171.4395538987,613.9055113569,-1532.212164087,-2025.9215446358,1857.9812781918,-1869.6088630784,2030.2427788434,-1555.1953209525
1911,2139.5833333333,2139.1721098979,-2139.4805250045,-1057.6591652568,10.4873015341,653.1833030516,1075.8408148855,-481.9427229786,1516.6171725013,41.9466865504,-20.974351106,-1859.8854616417,-2139.5576310967,2037.4416342296,-1849.4278524193,2084.597815418,-1509.2015081996
1912,2021.9166666667,1612.5394698048,-1916.842121381,-612.4305809087,325.9232841909,371.2050925076,1193.70503229,-630.1027478916,1540.6389465584,1219.7800888957,-643.3220722501,-1926.9342984421,-1995.4751363439,1987.5496940306,-1631.9360596635,1921.2281317022,-1309.4192007498
1913,2087.3333333333,607.2504270834,-1676.975626325,-205.0553790142,654.4284989319,123.1604097994,1401.595789921,-825.5724981368,1691.5925727769,1997.0496646932,-1242.8649134786,-2077.2368030587,-1982.0907608457,2083.6967048739,-1546.7674958183,1917.1307975108,-1222.896157558
1914,1760.8333333333,-575.2644724708,-1021.6626569393,194.9405530632,806.7082390855,-117.1180623541,1312.2103207241,-838.5321264442,1503.4980521162,1664.2129714945,-1434.1336908369,-1750.0092024184,-1565.1695897791,1756.9340873374,-1174.1542070626,1548.3532867852,-916.5302150287
1915,2385.3333333333,-1955.1524251459,-716.2837634845,750.9574222477,1410.8932585327,-455.5546464529,1934.0500099936,-1319.2819309654,2127.8235159975,1366.4531113643,-2275.2478285408,-2264.0402074791,-1923.3292292632,2341.4279991506,-1396.1610472846,1987.2871704259,-1078.0455444363
1916,1987.75,-1987.4275037464,17.9030992877,1004.1935199451,1411.8670171282,-621.0553652401,1724.4181238567,-1243.3370015626,1838.149711775,-35.8047462299,-1987.6693743015,-1715.4432188214,-1399.2074858453,1888.2373515548,-988.702279058,1550.8910867774,-756.5419351243
1917,1859.8333333333,-1485.0582004239,590.347052457,1252.6020142445,1509.4580408498,-797.8291228044,1701.265853309,-1288.6554102986,1770.0735023465,-1119.6348374052,-1763.6525693665,-1374.7611507779,-1086.5157388145,1680.0144995157,-751.4482844099,1341.0247056955,-570.8062929476
1918,2206.75,-645.3530748267,1312.5571729693,1792.7813025416,1970.5622426036,-1188.903919224,2100.7100825535,-1665.4395071376,2146.8912165461,-2110.2760414959,-1773.9614511558,-1286.7325921719,-993.2925100518,1859.1000600704,-675.8422238646,1447.7765057375,-510.4935521799
1919,1674.8333333333,544.6465064453,1363.3155941165,1533.8850429468,1595.05377579,-1071.9753514057,1639.2175715678,-1357.3635609124,1654.7682506316,-1583.8014008901,-972.850083663,-672.5052932643,-510.7544877752,1286.8315897673,-343.5585066737,981.1375326383,-258.4738500237
1920,1829.3333333333,1497.7528571531,1744.469786372,1791.4523836497,1807.9929720062,-1337.7115983898,1819.8384550468,-1572.6282314365,1823.9904405681,-1050.331768221,-550.7137267942,-370.3495667069,-278.606994924,1247.7933017843,-186.1409196744,934.5056929379,-139.7115498466
1921,2210.4166666667,2210.1186539941,2210.3421622429,2210.3835534861,2210.3980404823,-1792.5219996981,2210.4083883561,-1993.760949708,2210.4120101157,36.2956684117,18.1484459183,12.0990394665,9.0742994242,1293.3702953432,6.0495423896,954.3893941665,4.5371592703
1922,1656,1323.8854142952,1570.7785085863,1617.9410636869,1634.5557821957,-1453.7255944421,1646.4577737473,-1551.7393659891,1650.6302395322,994.8182797961,524.395725539,352.9910968222,265.6377136074,793.1064846942,177.5184476815,578.3086892307,133.25093749
1923,1812.5833333333,532.8409302808,1457.9569489224,1651.9754932001,1721.6455510081,-1687.3953510451,1771.9765216175,-1748.3458933024,1789.7044968294,1732.4949879567,1076.9493374186,745.9459163666,566.917045935,661.9329796504,381.5200481155,478.2729112655,287.0821386058
1924,2021.6666666667,-654.3891407354,1175.623111005,1629.4150977891,1797.7561246166,-1959.6980260473,1921.1025871196,-1989.9703318404,1964.8918218371,1912.8280015723,1644.7025299374,1196.7215842493,924.775122673,496.7089266536,629.6832226396,356.5868610961,475.7480841674
1925,1836.8333333333,-1502.2118459423,554.3662607381,1222.173759076,1481.9303494165,-1823.0384033002,1676.1393429904,-1829.7907812048,1745.8544839033,1057.0318180429,1751.1809567831,1371.2213523244,1085.2829741236,224.6946250737,751.3411990062,160.6934705027,570.9192722959
1926,1888.25,-1888.042409131,-13.9997046098,936.0306926211,1330.2355280683,-1888.2416962192,1632.9341716435,-1888.2457633756,1743.173155251,-27.9986396577,1888.1981015696,1639.9190848854,1340.1348821536,-5.5999249399,948.1635162666,-3.9999492575,725.8342877768
1927,2079.4166666667,-1664.3723019672,-656.9056893353,633.0025183156,1216.140007314,-2062.2548486552,1679.3227295905,-2070.6547265163,1851.058544971,-1246.5305909024,1972.9289366143,1980.7275141769,1686.7060076438,-266.6057253876,1226.3151485209,-190.6900027979,947.3942878766
1928,1953.1666666667,-577.140430122,-1159.2257281647,194.97054526,880.5393166646,-1890.4180895354,1448.390485636,-1921.067492016,1663.535402355,-1865.9498792027,1571.9592039678,1943.4110512856,1743.4192093658,-491.1002693292,1310.3530168993,-352.6467338529,1023.4793563573
