Year,Annual_mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1896,1475.1666666667,-1474.7281260873,17.9849999258,727.1751814264,-1049.4397473974,1197.6493258104,-1274.5236919948,1326.8415844405,-560.3651311461,-35.9673264434,-1475.0570274475,1283.4846901939,1036.7221956855,-861.2507107866,-742.7691788089,644.6767439919,-1364.5906398038
1897,1892.75,-1504.052205495,606.5095838275,570.432896353,-1537.9326346251,1662.9990602451,-1526.7922954797,1621.4818153229,-579.474144511,-1149.0559279885,-1792.9441394604,1804.746207437,1103.2976814329,-903.8455001403,-1118.6634207678,976.3704650783,-1801.8635570829
1898,2021.1666666667,-578.7550783291,1207.3429964103,195.3516020569,-1806.2884755795,1882.7458149458,-1496.6550772977,1631.118495775,-465.9960499935,-1936.5322754225,-1620.937254635,2011.7038663825,906.8829237743,-735.1074008258,-1358.3586691458,1193.5523227682,-1966.7135978162
1899,2353.25,779.4250268204,1919.8915993963,-264.251104121,-2242.2946359454,2282.0355242596,-1567.7909062958,1766.9734369574,-361.3209864244,-2220.4238762151,-1360.8092478623,2338.3662921944,714.0730551633,-574.5427995521,-1754.9408071603,1554.2169847184,-2325.3457177954
1900,1780.0833333333,1463.9112868636,1699.2028655866,-563.101079226,-1759.7470520779,1767.0591690016,-1040.7520904372,1225.8946429441,-134.5367520878,-1012.7489411519,-530.4774219449,1688.6722145477,268.3039066321,-214.9385187869,-1444.1370294614,1290.6893499259,-1774.9919819393
1901,1771.75,1771.2898444741,1771.6349573836,-897.5063366395,-1771.7212391125,1771.7315930141,-880.0401157217,1100.1520375412,5.0476282803,40.3775849082,20.1901034304,1527.606113562,-10.0952155913,8.0761882052,-1537.7345210473,1388.7993220023,-1771.7428097635
1902,2518.9166666667,2004.0613391019,2386.7346607549,-1699.4594321112,-2485.6515131347,2497.6100490286,-1015.9095643172,1380.9073882389,204.6853068138,1526.0010887049,805.2569979594,1859.2414615158,-408.0168242393,326.933046055,-2304.9661452481,2106.6646526485,-2510.5866045181
1903,1818.5833333333,523.5203707158,1459.3338824823,-1479.1185763916,-1726.4364478209,1759.4279689709,-555.5830042524,856.6968954088,289.4622516076,1741.6003450055,1085.1681711683,1058.0423324475,-571.5439894823,460.0636502491,-1731.6387803649,1604.1557809872,-1795.3988262144
1904,1775,-585.2334519829,1027.5786156617,-1626.7550858887,-1577.1139849103,1647.4839070971,-362.7221543742,692.5246228869,419.0749794393,1675.7466415542,1447.3103290707,710.1358254133,-814.4547124305,660.6222641238,-1737.5435645549,1634.3300299191,-1724.8191677993
1905,2517.0833333333,-2067.7245895327,752.0217432722,-2465.7692550683,-2028.3749534096,2200.4980419714,-254.1277347774,770.4592162888,784.257520833,1435.347877271,2402.11819122,505.658469428,-1490.4373704805,1222.0952803381,-2504.2219552909,2396.2681617423,-2391.7877514448
1906,2171.3333333333,-2170.8454564243,-23.0145974873,-2171.2791229833,-1527.2059588947,1751.2186370163,7.6716601848,476.7540600929,836.2461476835,-46.0266093269,2171.2113606802,-15.3432246025,-1543.4799653902,1283.7140373974,-2171.3197807035,2118.3469995799,-2003.8415169191
1907,2098.4166666667,-1671.5322139215,-669.2463860124,-2049.4749239752,-1224.5396556318,1523.6677883034,226.6055698341,275.4733149175,957.5380108833,-1268.5947204554,1988.8342770965,-450.5608093716,-1704.0701683704,1442.8405933544,-2086.1453503207,2080.2564648891,-1867.2100751277
1908,1525.25,-441.4035380577,-909.1580764855,-1389.1004798645,-685.4539394958,967.3897549399,322.2282231484,63.9540093837,800.2808698464,-1459.9830406858,1224.6710392841,-629.9106439332,-1362.5492502401,1179.2135618866,-1490.824112599,1523.9086085405,-1298.4367877791
1909,2165.25,710.6458176622,-1764.5159986797,-1743.0962974891,-658.6688456117,1152.7877627826,676.0430105998,-103.3985682099,1277.130542376,-2045.3092881858,1254.9067108369,-1284.4932308813,-2062.6349445117,1832.8633163656,-2057.0059334672,2162.779761925,-1748.4979668934
1910,2439.1666666667,2001.5000971823,-2327.179231189,-1620.046202695,-369.5646220234,1029.7435040416,999.4927042516,-334.2960020009,1588.7265844945,-1394.1059460303,730.5962316494,-1823.453955797,-2411.0072621058,2211.1450299929,-2224.9827778942,2416.1498734193,-1850.805734673
1911,2433.6666666667,2433.1989210306,-2433.5497274482,-1203.0332331902,11.9287693867,742.9626166434,1223.7139302013,-548.1852105889,1725.0745046048,47.7122116462,-23.8572521791,-2115.5246357073,-2433.6374316865,2317.485705396,-2103.6296398073,2371.1234508849,-1716.6395655486
