Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,1058.6666666667,1058.2165340021,1058.5541275189,-520.3961677974,1058.6385315059,-852.8354268592,-533.7832119892,663.5103555764,-1058.6596328531,30.8687265005,15.4360041395,-921.9343467151,7.7182071891,-627.2534143431,914.2486498266,-824.9418883498,-3.8591292347
1882,914.6666666667,724.1680526458,865.7330679636,-274.2708949161,902.3503451012,-663.140232624,-541.1786515997,634.8107465608,-911.582386137,558.7447920459,295.1632872591,-872.5769807376,149.5960086597,-629.9683666555,737.3878071706,-658.5062089017,-75.0510785795
1883,876.5,246.9678058204,701.6835226089,-83.3267271445,831.6483203755,-554.8401308109,-589.5830618572,662.4116529438,-865.214425102,840.9870111293,525.2546849855,-872.5301751478,276.7911147719,-678.5312662226,648.570785012,-573.9887211821,-140.200743919
1884,735.5833333333,-246.9475666233,423.9294316643,83.7641241973,653.0383850584,-390.6353249252,-548.9527912164,596.8368060807,-714.6492119752,692.8923001568,601.1378188457,-730.7984754877,338.5612321545,-623.2871595006,489.6260545492,-429.9635649507,-174.2393299486
1885,1106.6666666667,-913.1023826675,327.2698740788,351.7479983477,890.7552334279,-465.6033385808,-898.3259141173,952.2704821503,-1051.3040083879,625.2640641186,1057.1686434205,-1049.2780645614,656.7086303925,-1003.9545020635,646.3139044896,-563.8191553472,-345.6457623909
1886,1389.25,-1388.7220610238,-19.1499245778,705.6520770476,975.5540809664,-422.0100753236,-1206.3048351346,1254.0353154384,-1281.6598748269,-38.2962103319,1389.1180089858,-1196.6915678898,989.0954441356,-1323.6023038758,689.0894043815,-597.8385987315,-536.0629886112
1887,1076.25,-853.1442622701,-346.4949857009,727.3872258459,626.657336245,-195.9042804436,-985.1813448083,1009.0873485862,-957.2758277095,-656.0936901507,1018.9481279163,-793.2350762392,874.994083083,-1058.2700862275,433.280256118,-374.2416136981,-491.8709710718
1888,986.0833333333,-279.3511565916,-590.295189128,802.9293697641,441.7465860263,-56.6147484973,-939.179325168,951.5500060902,-839.0349475186,-945.6866667077,789.8809593667,-572.4200969986,881.6009834454,-984.4567590963,300.5038027293,-258.6753296848,-518.0547240593
1889,1146.75,383.2621935576,-936.6273226215,1051.7047903842,347.1009797478,78.095856711,-1122.7372869183,1129.0915969044,-925.4927366073,-1080.8078707566,661.6379833556,-457.1133299117,1092.9576718053,-1144.0876713192,233.4449551039,-200.4687713835,-677.1253628296
1890,1357.1666666667,1118.5653974969,-1296.1444813525,1329.9315642821,203.4911249117,261.3151688865,-1350.3407253547,1352.1505728465,-1029.094925846,-768.5784362274,402.3814664852,-270.5242973144,1341.8244010277,-1331.771655961,135.9458957079,-116.5769679746,-884.7965838029
