Year,annual_Mean_bihar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1973,1083.0833333333,334.8380164847,-876.2782041011,-113.2642281467,-334.654440221,-1007.0140459131,724.7050811109,513.2586765316,-636.636026437,1030.0257325237,-636.5579439153,-1077.1447078117,1030.085390919,398.7382829352,-804.9049958576,953.7478901205,-876.2214770176
1974,1099.3333333333,-339.2305465346,-646.3769528253,114.7435783034,-498.9739710839,-1064.7705379389,816.9073442541,432.1321054258,-574.4541143118,1045.6846628289,-889.2303484666,-1093.3287195605,979.5706988056,273.4912783162,-735.660362315,1010.8390679223,-937.3026450021
1975,863.75,-698.3923951064,-267.2336348842,266.6999356933,-507.5633016525,-856.9221826704,698.7224527504,267.0049204588,-392.2092940623,508.2441588032,-821.3709557116,-821.5444034264,698.8873709802,108.3901994991,-507.7903076295,821.4453329046,-769.5686663003
1976,992.0833333333,-992.0827351206,-0.5447370419,495.7271293461,-701.3162324292,-992.0833094048,859.078565436,220.9110441424,-379.779669472,1.0894739195,-992.0831837801,-859.3508907938,701.7014197,0.2178948259,-496.1989104041,967.175088003,-916.513362114
1977,1089.9166666667,-882.667810135,336.0684326752,728.9140261868,-881.5341531078,-1081.361009798,995.5837197308,146.5216576646,-336.986331006,-639.3871106218,-1036.8106620001,-810.3102385544,640.9492001573,-136.2963930797,-443.5441322855,1080.0230294365,-1036.5126882933
1978,1087.75,-337.9278438438,638.5996595516,879.6382743832,-968.9780292084,-1053.6701502917,1034.4144709594,49.0710884547,-254.1596065748,-1033.9269001506,-880.5626254393,-639.8723065895,494.2485623766,-270.1467691538,-336.4324074311,1086.6425772893,-1057.6402776397
1979,874.3333333333,268.4755055985,706.8224181172,798.4996029262,-831.4015812725,-813.0667116917,855.1647786449,-38.9705488691,-136.9975581628,-832.0935528361,-514.6463319841,-356.1701305617,270.6107692523,-321.529625566,-182.0768495525,873.4644091768,-863.5336975678
1980,1088,878.6909099396,1034.3499673743,1064.0453798916,-1074.503784196,-953.6702468644,1081.9947720119,-145.6804000734,-85.6851293829,-641.5966683124,-337.4376164462,-227.0493988793,170.8379868425,-523.6955797461,-114.1547779946,1078.2027736166,-1084.6206980335
1981,1128.5,1128.4959145387,1128.4989786342,1128.4995460596,-1128.4997446585,-913.3325187406,1128.4998865149,-250.6919327951,-0.3795740089,-3.0365884639,-1.5182956061,-1.0121972404,0.7591479748,-662.8242302534,-0.5060986711,1100.3025969394,-1128.4999361646
1982,735.0833333333,595.9924684257,699.4467947158,719.1729459211,-726.1195453551,-536.1554521788,731.0949162986,-226.8526704979,57.3983063614,430.2795423027,226.1010577291,152.1110804629,-114.4461130739,-502.8765634262,76.4704538158,699.2033844543,-732.8389600528
1983,942.3333333333,294.177885917,763.2842651791,861.2889784949,-896.4542143908,-601.1490019905,921.8496149534,-369.9486011557,147.026227394,895.238226702,552.6203413203,382.3263091056,-290.4512912899,-725.6803624991,195.4108454548,866.6776468872,-930.7928875799
1984,1441.0833333333,-440.3186923397,849.1717272511,1166.8896074297,-1284.6105240287,-773.0582108951,1370.8220779368,-682.2230903291,335.7754886891,1372.1663976309,1164.3146272587,845.6298349062,-653.0673588274,-1216.1834467623,444.486225042,1269.3670976644,-1401.4192787338
1985,1193,-962.369365786,370.9058820087,799.4438517947,-965.8518823392,-508.8105337695,1090.1801491476,-656.6560390977,368.0948956243,705.0490789985,1133.8773419958,885.5159670088,-700.2707629066,-1079.0555318079,484.5165037483,996.0179949762,-1134.7929977821
1986,1061.0833333333,-1061.0735988852,2.2725603067,531.8531897253,-751.1022620599,-328.757195994,919.3036483326,-661.0668675512,405.5340604542,4.545110189,1061.0808997185,918.1666650759,-749.495318335,-1008.8689440953,529.8854993675,829.9930342501,-980.5304513829
1987,1429.8333333333,-1160.6148895232,-438.7126080407,443.9282945426,-841.7652435153,-269.2166459118,1157.4037398976,-987.4247598151,648.3977780234,-835.1026519704,1360.8653896169,1359.1729214546,-1155.7917787909,-1404.2598615196,839.5474638054,1034.1255749739,-1274.3640306307
1988,1001.75,-314.24190562,-586.8182144179,106.3452948781,-455.8826143904,-63.8842565164,744.9947857684,-753.9258580092,522.8874895876,-951.1861475297,811.8789600226,996.0892232914,-892.0056638814,-999.7108903425,669.690847838,659.6202415974,-854.4540571223
1989,1055,320.7517841532,-851.8855945142,-108.4450490736,-327.3268227533,65.1407000792,706.6171075014,-853.0485734781,619.554356774,-1005.0588504971,622.3471168562,1049.4115833797,-1002.9367632639,-1052.9870318258,783.4010871746,620.752069096,-853.9188480192
1990,929.5,748.9333251218,-883.2054618549,-285.5931524271,-146.6812414828,173.1559671118,547.0426924925,-797.5493981215,603.1708033558,-550.5171428048,289.6866620154,884.5376200517,-917.8533997306,-913.2290299008,751.4749114844,477.3732371594,-707.2165382534
1991,834.6666666667,834.6522566518,-834.6630641552,-415.9166950787,-1.2261517555,256.9930947058,418.0410523813,-751.7044125333,589.7647905928,-4.9045805612,2.452300865,723.6585846926,-834.6657660383,-794.1177455,722.4334730399,362.7794379819,-590.6318110478
1992,670.25,544.6736879566,-638.084086094,-447.4553283974,103.8248616553,284.6269882966,273.2472585788,-627.3027623729,509.3248845405,390.5965132304,-205.1432708464,499.0178269248,-662.1596941843,-606.8134309928,612.0220569385,236.0642006305,-435.6870717473
1993,1084.1666666667,341.7345460649,-879.1798919457,-875.7236662923,333.3465376002,579.7326329973,336.1450229484,-1044.8275793664,876.5901452863,1028.899830468,-634.3974138579,639.1599341376,-1031.6479278228,-916.1481514194,1030.7394843792,289.4005710198,-637.9710638408
1994,887.5,-268.4798268774,-524.1089598768,-809.9474567069,401.5654044544,564.7789153016,185.5099487529,-873.0824343636,756.3218714454,845.9165635924,-716.2164813636,362.8241548932,-791.4552899219,-684.6028241476,867.8953329254,159.321413519,-464.3635179182
1995,998.8333333333,-803.8546110948,-312.0506746207,-976.5086918033,585.654084028,727.1396251231,105.590236563,-994.7203484637,889.5613662665,592.8623718868,-948.8373961045,209.9971490528,-809.1213268967,-684.7890137507,993.2364923422,90.5508483119,-454.2560989397
1996,1034,-1033.9711604733,-3.8613514884,-1033.9967955949,729.7819409115,835.6147789568,1.287119822,-1033.9994114356,954.9216006831,7.7226491277,-1033.9927900932,2.5742376496,-732.5123334931,-609.0188348392,1033.9991988984,1.1032456373,-396.5863544662
1997,1258.0833333333,-1023.5384620798,384.1074025861,-1231.2660238139,1016.3692230225,1101.5215356119,-129.8815039781,-1253.1433420642,1196.1293520369,-731.5344764632,-1198.0130119868,-258.3750224241,-741.4629296895,-607.8025832408,1251.3610464352,-111.3797012527,-389.9336441073
1998,1276.6666666667,-404.3405986372,746.2136468592,-1167.6918079783,1136.3414686913,1186.2511829879,-263.7466299237,-1256.4132357127,1241.0896528469,-1210.9444487967,-1035.8778745678,-516.1139596622,-581.898482822,-471.8960782181,1249.1258915665,-226.5028893939,-299.289577791
1999,1253.75,377.3713121049,1011.1919563197,-1016.3704624,1191.5684994443,1213.8340793704,-385.7554894399,-1208.9689751303,1238.1070367053,-1195.6086129249,-741.2016527061,-734.0845630176,-389.9404744728,-313.8405490996,1192.9299077762,-332.0889634909,-197.4336044367
2000,1124.3333333333,903.7921898625,1067.7755218006,-754.7576697806,1110.1038366122,1115.219520386,-455.8103979294,-1053.1326793404,1120.7703135363,-668.7937813616,-352.1091868836,-833.3464491745,-178.3112906781,-142.8666013955,1027.7948849765,-393.7473862132,-89.4390783721
2001,983.1666666667,983.1263032218,983.1565757537,-494.1528654062,983.1641439352,983.1650521183,-490.2968840097,-886.3540202424,983.1660359836,-8.9087798286,-4.4544356332,-849.9586107896,-2.2272235315,-1.7817793739,852.188746684,-425.433009115,-1.1136124801
2002,768.5833333333,626.0070743036,732.0720402174,-239.7896264308,759.4006548549,762.7021949127,-450.7893243505,-660.3170767114,766.284224985,445.9097253925,234.0744928642,-730.2200184423,118.4524617037,94.8983780317,622.5024701391,-393.3213679436,59.4039293054
2003,1198.5833333333,381.4205425947,973.079213705,-129.1390049553,1140.81517664,1161.5036265515,-800.5679696071,-970.6494526253,1184.0532217934,1136.2747804256,699.7991503279,-1191.6061112396,367.6176542173,295.8231438749,892.0162178927,-703.1654478589,186.0644375076
2004,798.75,-239.2055687784,472.7240814885,80.8392261039,712.5973346108,743.246557687,-592.693805582,-602.267250803,776.9133425037,762.0907153124,643.8427644082,-794.6487161148,360.8415181288,292.5510502228,535.4583226776,-524.6672479869,185.4918346985
2005,723.25,-580.6965590993,227.0482064799,221.1254425253,586.2180387179,634.5076920833,-584.3883720637,-500.5823773618,688.1397964813,431.1404281093,686.687464888,-688.6175289433,423.6023767423,347.1174890251,426.1229788415,-522.0228404723,222.6076885434
2006,1006.25,-1006.192891011,5.3603134312,500.0270407176,713.4188383727,815.3317927672,-870.543299389,-628.5832807283,930.1657832377,10.720474751,1006.2357226515,-873.2193430354,709.6285109513,589.7229266384,504.6716025189,-785.7621279299,383.8367858788
2007,1325.4166666667,-1080.7682199731,-402.6543981642,883.2683425835,781.9988778906,968.1759540423,-1209.8404693754,-731.9010636375,1181.7791008367,-767.2479357901,1262.7742379052,-988.2137295483,1070.1434928343,905.1876392727,541.3089496206,-1105.0113905857,600.1062381808
2008,1167,-373.1314344503,-680.6043696585,941.5344472115,532.7399462254,745.9024732228,-1109.2023485135,-554.6616386243,995.8906860808,-1105.7404454143,947.9803225815,-689.4939337761,1038.3049406103,897.5068247317,362.7108353111,-1026.7616406151,608.35083741
2009,825.3333333333,245.912155257,-664.8814217274,752.674777643,257.3191705309,443.852567137,-806.9642787196,-325.6348961582,668.4119986415,-787.8466367307,488.9865091726,-338.6086091805,784.1951004618,695.8232604311,173.1582050656,-758.377890972,484.1492653956
2010,792.25,635.3436037513,-752.0010081682,774.2763822921,126.2680952948,339.0328281947,-787.743780163,-246.1023011808,603.1981270683,-473.2848694733,249.3081350739,-167.7979330167,782.1230277972,716.0424595695,84.3789032552,-753.0562527816,513.6264031388
2011,1037,1036.9222349335,-1036.9805585511,1036.9913593411,3.1749631876,322.8653188277,-1036.997839833,-232.5226344946,734.3913932044,-12.6995551337,6.3498966133,-4.233279106,1036.9951396264,985.457754497,2.1166439622,-1010.5949853664,732.1463525739
,,-3.5050385677,-3.3415830181,-28.1256386015,166.9873193938,47.1347963305,-117.2059700687,-14.4331343607,18.5063404177,-48.1295760915,-18.3709626268,-108.4945023365,-8.4132550686,-142.8381738651,219.454943083,3.1206599923,-270.1393995615
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,2328.741390111,,,,,,,,,,,,,,,,
20,348.6584449016,,,,,,,,,,,,,,,,
30,12562.1085839811,,,,,,,,,,,,,,,,
40,27955.5476991742,,,,,,,,,,,,,,,,
50,22624.4329382448,,,,,,,,,,,,,,,,
60,61897.7114633164,,,,,,,,,,,,,,,,
70,218.0538862611,,,,,,,,,,,,,,,,
80,73317.7798311055,,,,,,,,,,,,,,,,
