Year,Annual_mean_nmamt,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1960,1622.6666666667,1316.5679252255,1544.2470653651,-503.4879314545,1602.941881226,689.7235491378,-952.9045145425,1616.217106227,-1617.7279546297,-948.5230673941,-498.3453744369,1542.5780414588,-252.2388481633,1468.7847142709,-1313.4002045362,-144.5315766555,126.5044502018
1961,1496.9166666667,1496.9065318974,1496.9141329722,-750.0478915984,1496.916033243,461.524814851,-747.6631317688,1496.9164598345,-1496.9165083108,5.5083307425,2.754170033,1295.4488284967,1.3770855992,1423.9923989338,-1296.8266454458,0.7869061314,-0.6885428724
1962,1495.1666666667,1206.6544139543,1421.2094882603,-1001.7060779131,1476.5616164435,279.1789064925,-607.3737826158,1489.0830370586,-1490.5081467904,882.8977779991,464.4210929644,1110.0037362924,235.1364581621,1468.8711649702,-1366.2431881997,134.7407505377,-117.9356835852
1963,1657.3333333333,507.3457950443,1339.3272332464,-1341.7981739665,1575.8276310685,103.0582279738,-511.3447650349,1630.5705178866,-1636.8300825582,1577.768684576,976.1948268979,972.7956815889,513.3430187883,1654.1259865635,-1576.4771831679,296.6370913703,-259.8866264549
1964,1793.5833333333,-558.8926075281,1052.2643934928,-1639.1816808073,1597.539522522,-113.5953004178,-372.1103536653,1728.7618931807,-1743.8838028303,1704.2829069322,1452.4740341219,728.0278778432,815.3579873842,1789.9824807338,-1754.5583656026,477.8320733243,-419.2975743278
1965,1650.25,-1337.4099115578,508.0670998755,-1614.4626925748,1334.4966830363,-310.0059061639,-171.8400478329,1544.8222264849,-1569.3275970429,966.7780463824,1570.0932725555,341.8117563574,970.7953777523,1620.8705687511,-1641.278788159,580.3872423289,-510.4272285642
1966,1697.25,-1697.2463032635,-1.7711981918,-1697.2495892514,1199.5106077832,-525.1528519442,0.5903994925,1528.9497732972,-1567.8850311104,-3.5423944547,1697.2490758156,-1.1807989136,1200.763034206,1613.9615994797,-1697.2498973128,736.8650848251,-649.9185269862
1967,1465.5833333333,-1184.1564050162,-454.1225691885,-1433.3769333774,860.9239334143,-624.4840644976,153.6248075703,1257.9382818324,-1305.697184462,-863.5439278945,1393.4515417114,-305.5569894568,1186.0625986089,1325.8786370302,-1457.5094941177,752.0144852628,-665.6495845655
1968,1856.8333333333,-571.2316835172,-1092.5081227998,-1695.9364058327,842.3848670369,-995.3956914574,386.4962989565,1501.98359833,-1583.0347956358,-1766.7836289495,1501.4180062175,-756.0619916046,1654.7561039515,1567.4876220263,-1816.1637147214,1091.7304145829,-970.4797079712
1969,1473.1666666667,456.8186144721,-1192.3065845937,-1191.4901797834,454.837174661,-939.288632734,455.4977559002,1109.2430874358,-1191.6943803361,-1400.5487429039,865.231203848,-866.3551115205,1401.1934814023,1134.8818846887,-1400.9788799792,969.4327211075,-866.0742067821
1970,1581.3333333333,1280.0808035553,-1504.1358906583,-1057.8000186617,247.0575736038,-1152.918391831,643.3819556068,1092.6676433084,-1202.3509237122,-928.443992646,488.0474705851,-1175.4463967491,1561.9147436515,1082.3097028526,-1444.5327169402,1143.1065271347,-1027.116043765
1971,1574.5,1574.4998075048,-1574.4999518762,-787.0252361969,-0.1946419023,-1273.8887775259,787.3623738813,981.5977321959,-1113.2708085468,0.7785675793,-0.3892838015,-1363.6867410037,1574.4999879691,925.3419003231,-1363.4921129937,1231.0630130696,-1113.4084411561
1972,1181.75,955.9335973491,-1123.8789061032,-365.1149132551,-184.9177725539,-1035.5954531624,694.6432587166,650.9977166618,-767.4654665796,694.7834338549,-365.2797105183,-1123.9324546514,1167.1925633304,569.2759611026,-956.0354625324,986.2733066454,-898.6266299792
1973,1830.6666666667,565.9553393964,-1481.1171491647,-191.443299525,-565.6450521486,-1702.0916027253,1224.9227684731,867.5283993266,-1076.0652634277,1740.9867886498,-1075.9332855223,-1820.6289867822,1741.0876254297,673.9618834747,-1360.479568285,1612.0592175247,-1481.0212669942
1974,1753.75,-541.1694096286,-1031.1554709073,183.0487117492,-796.0057020513,-1698.6124902157,1303.2000500173,689.3738749762,-916.4180439427,1668.1650795357,-1418.5758553275,-1744.17092959,1562.6944630355,436.2965397335,-1173.5879567101,1612.5764239255,-1495.2648699265
1975,1595.75,-1290.2572092516,-493.7054389192,492.719447042,-937.706672778,-1583.1358298075,1290.8669800017,493.2828964655,-724.5938998551,938.9645341941,-1517.4560956026,-1517.776534608,1291.1716610613,200.2473642266,-938.1260589288,1517.593505045,-1421.7530526757
1976,1554.3333333333,-1554.3323960915,-0.8534594964,776.6738695139,-1098.7778552936,-1554.3332958436,1345.9498868133,346.1094326203,-595.0147328847,1.7069187355,-1554.3330990228,-1346.3765489362,1099.3813423137,0.341383813,-777.4130261954,1515.3086721069,-1435.9350886308
1977,1700.8333333333,-1377.4179986891,524.4404549966,1137.4826266894,-1375.6489077858,-1687.4820865491,1553.6251792724,228.649517007,-525.8728508167,-997.7743656083,-1617.9605177323,-1264.5027883549,1000.2120326638,-212.6928192336,-692.1580961806,1685.3941456378,-1617.4955247393
1978,1472.5,-457.4569065135,864.479888476,1190.7767033135,-1311.7169827712,-1426.3657056351,1400.2990654908,66.4281110085,-344.058856062,-1399.6390351384,-1192.0280082366,-866.2026857762,669.070106274,-365.7008665401,-455.4325166097,1471.0008688195,-1431.7401138354
1979,1323.8333333333,406.5003699903,1070.2040539658,1209.0130282202,-1258.8301105695,-1231.0691747936,1294.810109946,-59.0055413014,-207.428822815,-1259.8778288557,-779.2290916794,-539.2793265444,409.7333854691,-486.8299305892,-275.6836477307,1322.517690067,-1307.4815401794
1980,1479.5,1194.87426586,1406.5448315535,1446.9256797331,-1461.1473793364,-1296.833759408,1471.3338834481,-198.101242563,-116.5176001121,-872.4653223972,-458.8593322905,-308.7496191562,232.3113984683,-712.1393476419,-155.2316121719,1466.1773929832,-1474.9047084012
1981,1238.3333333333,1238.328850247,1238.3322125612,1238.3328352123,-1238.3330531403,-1002.2242821211,1238.3332088031,-275.090985182,-0.4165167458,-3.3321300084,-1.6660665121,-1.1107111942,0.8330334445,-727.3348147663,-0.5553556529,1207.3915662766,-1238.333263285
1982,1368.3333333333,1109.420284724,1301.9970943468,1338.7166729424,-1351.6475382305,-998.0356563628,1360.9090268249,-422.2787495268,106.8450504993,800.9511489185,420.8796471956,283.1497495976,-213.0376574848,-936.0881046886,142.3472227248,1301.5439941889,-1364.1555066395
1983,1643.4166666667,513.0422787557,1331.1574985496,1502.0764012114,-1563.4040999295,-1048.3957789402,1607.6933371504,-645.1853876364,256.4117642765,1561.2834337452,963.7624470444,666.7719439222,-506.5431478182,-1265.5767977402,340.7938877976,1511.4741664542,-1623.2902843973
1984,1409.75,-430.7448862726,830.7082698148,1141.5180413398,-1256.679363615,-756.2496821669,1341.0164281766,-667.389580703,328.4747552277,1342.3315184596,1138.9990487096,827.2433884872,-638.8677794069,-1189.7400895668,434.8218047207,1241.7673735725,-1370.9483570427
1985,1333.0833333333,-1075.3718038893,414.4580465558,893.3154021487,-1079.2632412531,-568.5556097172,1218.1902658504,-733.761292082,411.3169911499,787.8366943796,1267.0184297224,989.4941969992,-782.4973033122,-1205.7593840689,541.4089487609,1112.9714910334,-1268.0416027885
1986,1577.8333333333,-1577.8188581867,3.3793023519,790.866904442,-1116.8907743535,-488.8626992029,1367.0066188275,-983.0079376592,603.0300715181,6.7585892028,1577.8297145425,1365.3159221353,-1114.5012453747,-1500.1904176156,787.9409443984,1234.2015322777,-1458.0510144102
1987,1516.5833333333,-1231.0310277674,-465.3299192058,470.8620487459,-892.836325139,-285.5503985866,1227.6250531762,-1047.3332092246,687.7369834624,-885.7695047913,1443.431007439,1441.6358548521,-1225.9152921212,-1489.4582830047,890.4839896139,1096.8674285435,-1351.6814893023
1988,1984.75,-622.6020685593,-1162.6528086507,210.7000988364,-903.2323622774,-126.5727757633,1476.0453217408,-1493.7403011568,1035.9879660184,-1884.5687110651,1608.561782785,1973.5344007264,-1767.3154393698,-1980.7099471996,1326.8469281222,1306.8942096436,-1692.9150884687
1989,1793.5,545.2780330605,-1448.2055106742,-184.3565834251,-556.4555986806,110.7391901346,1201.2490827524,-1450.1825749128,1053.2424065158,-1708.600045845,1057.9900986555,1783.9996917455,-1704.9924975486,-1790.0779541038,1331.7818481968,1055.2785174632,-1451.6620416326
1990,1756.25,1415.0770868695,-1668.7784748604,-539.6158945134,-277.1478540657,327.1707017108,1033.6134789565,-1506.9350515879,1139.6651139254,-1040.1783023679,547.3504036198,1671.2955300869,-1734.244253122,-1725.506706577,1419.8793042437,901.9760599904,-1336.2550245374
1991,1808.0833333333,1808.0521178688,-1808.0755294503,-900.9728966776,-2.6561316534,556.7071860853,905.5747517488,-1628.3676755924,1277.5685564587,-10.6244692927,5.3122575746,1567.613849049,-1808.0813823615,-1720.2448806024,1564.9599705017,785.8651623296,-1279.4467256692
1992,1408.5833333333,1144.6747914373,-1340.9841237408,-940.3627273283,218.1961502622,598.1661050823,574.2507039359,-1318.3263200782,1070.3864880503,820.8694346803,-431.1247926291,1048.7253920812,-1391.5809164239,-1275.2663712633,1286.2127102363,496.1075697199,-915.6308061352
1993,2088.75,658.3840428221,-1693.8235197246,-1687.1647729143,642.2237482666,1116.9099497369,647.6152959417,-2012.9595139752,1688.8341269485,1982.2731937494,-1222.2268392274,1231.4022866379,-1987.5676641721,-1765.046380886,1985.817461642,557.5576719916,-1229.1118151552
1994,1374.8333333333,-415.9042426125,-811.9013727744,-1254.696069554,622.0681730225,874.9035253188,287.3749422089,-1352.4989673362,1171.6242474278,1310.4161001076,-1109.4966675621,562.0537941247,-1226.0497063973,-1060.5236988532,1344.4635870989,246.8060732617,-719.3492317947
1995,1755.9166666667,-1413.1503846471,-548.5749845598,-1716.6706695302,1029.5609214546,1278.2879226572,185.6242178057,-1748.6861724078,1563.8200858169,1042.2328581702,-1668.025427442,369.1681901961,-1422.4091005373,-1203.8369188003,1746.0776013803,159.1854601017,-798.5675171665
1996,1578.8333333333,-1578.7892977375,-5.8959675451,-1578.8284404691,1114.3172672879,1275.9153451093,1.9653265754,-1578.8324346436,1458.0870927258,11.791852867,-1578.822324396,3.9306501056,-1118.4863531883,-929.9218927195,1578.8321101168,1.6845657515,-605.5548897257
1997,1672.6666666667,-1360.8308942748,510.6844925951,-1637.0120971049,1351.299135226,1464.5121721404,-172.6820923263,-1666.0987720682,1590.2966386756,-972.6011798086,-1592.8010317679,-343.5188083789,-985.8014125143,-808.0952143347,1663.7291464562,-148.0832856557,-518.4306885157
1998,1577.5833333333,-499.6456836032,922.099905267,-1442.9225598457,1404.1827900648,1465.8564716151,-325.9130190003,-1552.5560682295,1533.6206408644,-1496.3700626743,-1280.0394284231,-637.7645803111,-719.0548419257,-583.1243248529,1543.5510609167,-279.8907440676,-369.8336160027
1999,1613.3333333333,485.6037622034,1301.2081272416,-1307.8718612206,1533.317789913,1561.9692772755,-496.3925739818,-1555.7088307426,1593.2038704296,-1538.5166331822,-953.782917673,-944.6246021948,-501.7778388696,-403.8519794329,1535.0696586605,-427.3341530863,-254.058795739
2000,1718.5,1381.4113948522,1632.053573271,-1153.617896992,1696.7507647952,1704.5698895198,-696.6885581159,-1609.6725550962,1713.0540620921,-1022.2254194514,-538.1852691902,-1273.7378057276,-272.5419090101,-218.3660727823,1570.94471672,-601.8276459005,-136.7041709302
2001,1742.8333333333,1742.7617821308,1742.8154454409,-875.9716076542,1742.8288613545,1742.8304712664,-869.1362122545,-1571.2161365781,1742.8322153382,-15.7923564448,-7.8962592671,-1506.6989647442,-3.9481397642,-3.1585127839,1510.6522671765,-754.1537508587,-1.9740711484
2002,1841.25,1499.6884209843,1753.7820371468,-574.4499399316,1819.2515959037,1827.1609017237,-1079.9295371923,-1581.8828808348,1835.7421610152,1068.2397682477,560.7585297446,-1749.3452572356,283.7696130698,227.3424767007,1491.2926463976,-942.2569255897,142.3105082948
2003,1765.6666666667,561.881280435,1433.4702343031,-190.2382838763,1680.5667776298,1711.0435124366,-1179.3390905956,-1429.8908852274,1744.2619525384,1673.8781928428,1030.8937215566,-1755.3883254499,541.5478591085,435.7853557965,1314.0540655434,-1035.8527087001,274.0967323862
2004,1954.8333333333,-585.4234984249,1156.9286910336,197.8431472034,1743.9862572041,1818.9961137424,-1450.5384758833,-1473.968197114,1901.3910473084,1865.1146582993,1575.7186820541,-1944.7959919271,883.1111457764,715.9793986568,1310.4623196006,-1284.0526138004,453.9663493329
2005,1578.0833333333,-1267.0412189956,495.4040656884,482.4809891811,1279.0887198066,1384.453527478,-1275.0965090183,-1092.2374098514,1501.4752075086,940.719701245,1498.3063166936,-1502.5175879248,924.2721751778,757.387243884,929.7719610925,-1139.0190724766,485.7151512785
2006,1349.8333333333,-1349.7567245214,7.190588568,670.7609114322,957.0151837649,1093.7262425875,-1167.7896781368,-843.2125864378,1247.7702158911,14.3809730862,1349.8141809945,-1171.3794549472,951.930651792,791.0833926036,676.9913554949,-1054.0600371186,514.8975782744
2007,1894.8333333333,-1545.0806529862,-575.640094653,1262.7321957663,1117.9560192063,1384.1172488534,-1729.6040611542,-1046.3355161892,1689.4871546573,-1096.867875762,1805.278882206,-1412.763519803,1529.8914014502,1294.0683144786,773.8624895613,-1579.7390128347,857.9198770043
2008,1237.3333333333,-395.6195043357,-721.6233705148,998.279311068,564.8473808594,790.8568924887,-1176.0523043936,-588.0902606608,1055.9115186324,-1172.3817576058,1005.1136696437,-731.0486952804,1100.8820164368,951.5982100555,384.5708713724,-1088.6430191268,645.0152266398
2009,1257.5833333333,374.7031840653,-1013.0982971818,1146.8714730826,392.0843702021,676.3104897682,-1229.5938944021,-496.1789396126,1018.4779353291,-1200.4638120864,745.0823313736,-515.9473466421,1194.8998648092,1060.2452365879,263.8459685627,-1155.561465333,737.7116886193
2010,1555.75,1247.6311915885,-1476.7126140204,1520.455010099,247.9540413441,665.7624770766,-1546.9010867637,-483.2737836062,1184.5067670388,-929.3946805719,489.5691147255,-329.5066384232,1535.8635537967,1406.1004183972,165.6957762566,-1478.7848094226,1008.6137919637
2011,1201.4166666667,1201.3265719251,-1201.3941427702,1201.4066560287,3.6783545705,374.0557137205,-1201.4141640046,-269.3891691987,850.8293728567,-14.7130734782,7.3566746604,-4.904466801,1201.4110356794,1141.7023823999,2.4522385087,-1170.8251288997,848.2283803486
,,-16.1981006231,-33.290564079,-116.3771415486,332.7501130799,95.4234464947,-244.7695230232,19.4493546136,-28.9022076618,29.2846355164,-23.5009258026,-163.1095179398,-34.8322999877,-222.2054305404,372.7705531518,-59.608766939,-386.90505208
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1119.9683411233,,,,,,,,,,,,,,,,
20,1660.5551702769,,,,,,,,,,,,,,,,
30,40148.3539175902,,,,,,,,,,,,,,,,
40,111935.92687709,,,,,,,,,,,,,,,,
50,58480.887502552,,,,,,,,,,,,,,,,
60,198870.004698106,,,,,,,,,,,,,,,,
70,3931.4824908749,,,,,,,,,,,,,,,,
80,150530.856932761,,,,,,,,,,,,,,,,
