Year,Annual_mean_nmamt,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1902,1556.0833333333,1238.0268430558,1474.4267151975,-1049.8562866249,-1535.5334867755,1542.9209794392,-627.5872330861,853.0679081809,126.4461816963,942.7008412805,497.4547233564,1148.563066493,-252.0560478718,201.9658176129,-1423.9134823243,1301.41095904,-1550.9373628268
1903,1459.0833333333,420.0301595044,1170.8507972498,-1186.7244262494,-1385.1521681206,1411.6218809839,-445.7546085073,687.3439005504,232.2409642761,1397.3184457087,870.6506671395,848.8871007113,-458.5604047036,369.1176489123,-1389.3260965682,1287.0441080193,-1440.4819707734
1904,1700.9166666667,-560.8075111936,984.6904753179,-1558.8590637593,-1511.2898378406,1578.722724308,-347.5831874615,663.620660927,401.5840096402,1605.8058544959,1386.9038087635,680.4968231226,-780.4617434469,633.0498137574,-1665.023553809,1566.1178516751,-1652.8302363358
1905,1875.3333333333,-1540.5421010708,560.2879427445,-1837.1021789789,-1511.2249611498,1639.4639277114,-189.3358895359,574.0246384162,584.3049577496,1069.3947568319,1789.6794496016,376.7369043538,-1110.4387546861,910.5125703932,-1865.751063793,1785.3209307019,-1781.9828359051
1906,1840.8333333333,-1840.4197164727,-19.5115312594,-1840.7873743745,-1294.7489880252,1484.6645567888,6.5039520065,404.1870274582,708.960600335,-39.0208704341,1840.7299262138,-13.0078228228,-1308.5459178488,1088.3191236609,-1840.8218435577,1795.9120824655,-1698.8355506887
1907,1410.5,-1123.5595986194,-449.8496616356,-1377.602659275,-823.103062278,1024.1690554316,152.3182508642,185.1658523606,643.6316418017,-852.7157078125,1336.8416255961,-302.8550200319,-1145.4307481767,969.8391598076,-1402.2515467824,1398.2931942621,-1255.0890644379
1908,1523.3333333333,-440.8488595145,-908.0156060839,-1387.3549020337,-684.5925812152,966.1741091789,321.8233032373,63.8736432024,799.2752172207,-1458.1483900856,1223.1320875328,-629.119082724,-1360.8370373375,1177.7317331195,-1488.9507063492,1521.9936274993,-1296.8051401738
1909,1596,523.8151368151,-1300.6200364359,-1284.8316318174,-485.5030493459,849.7167853139,498.3095000195,-76.2148088503,941.3695165141,-1507.5920212191,924.9883895604,-946.7965345741,-1520.3627162871,1350.9986620111,-1516.2135872595,1594.1791941033,-1288.8131879284
1910,1709.5833333333,1402.82796357,-1631.0926521299,-1135.4713989848,-259.0235128394,721.7351549509,700.5327238716,-234.3041503604,1113.5198456066,-977.1125207657,512.0663372835,-1278.0375095037,-1689.846736662,1549.7656402563,-1559.4643556029,1693.4511326681,-1297.2080507965
1911,1635.0833333333,1634.7690737413,-1635.0047665477,-808.2699311199,8.0144632289,499.1668778647,822.1644646103,-368.3037260979,1159.0085897429,32.0559274315,-16.0287339065,-1421.3364223124,-1635.0636915189,1557.0259904662,-1413.344650139,1593.0630471788,-1153.3414914268
1912,1653.3333333333,1318.5831546357,-1567.4132501421,-500.7881434789,266.5094159151,303.5366210012,976.0997337771,-515.23877996,1259.7896673831,997.4214632852,-526.0483004345,-1575.665683596,-1631.7119360781,1625.2312545672,-1334.4438620007,1570.9997169753,-1070.7199003781
1913,1735.9166666667,505.0157156889,-1394.645451612,-170.5329208018,544.2510404524,102.4255228573,1165.6276708658,-686.5817913083,1406.8015363908,1660.8328635111,-1033.6202097043,-1727.5199554662,-1648.3923921742,1732.892289174,-1286.358739436,1594.3688774732,-1017.0133287325
1914,1739.1666666667,-568.1859697334,-1009.0913227792,192.5418524576,796.7818717329,-115.6769503705,1296.0638615009,-828.214173161,1484.9978394541,1643.7351971175,-1416.4869913756,-1728.4757243007,-1545.9105224179,1735.3154000347,-1159.7064979365,1529.3011403317,-905.2525124302
1915,1844.0833333333,-1511.5136953624,-553.7536124283,580.5595583049,1090.7510102735,-352.1858849691,1495.1995762699,-1019.9269791201,1645.0044223557,1056.3946653641,-1758.9770541426,-1750.3125262474,-1486.9114209881,1810.1404483371,-1079.3616481051,1536.3568262421,-833.4289356075
1916,1533.75,-1533.50116155,13.8140503245,774.8367808909,1089.3980820125,-479.2069759462,1330.5628461654,-959.360143955,1418.3182595572,-27.6269800176,-1533.6877891258,-1323.6377999584,-1079.6299743002,1456.9659353274,-762.8837230564,1196.6692010287,-583.7485564065
1917,1603.3333333333,-1280.2455316855,508.9289940529,1079.8486761388,1301.2802538736,-687.7960535333,1466.6347798936,-1110.9297470269,1525.9527818418,-965.2197451239,-1520.4173955826,-1185.1601640365,-936.6682863514,1448.3143189659,-647.8118555447,1156.0765004742,-492.0832097998
1918,1956.3333333333,-572.1199646777,1163.6113512566,1589.3408050476,1746.9475928916,-1053.9899704582,1862.326569919,-1476.4494494,1903.2671802287,-1870.8070069166,-1572.6565849981,-1140.7172815916,-880.5760721263,1648.1338699525,-599.1492786316,1283.4863203313,-452.5639753399
1919,1373.9166666667,446.7900762147,1118.3692009255,1258.292501894,1308.4710718206,-879.3739485832,1344.6999752433,-1113.4865672586,1357.4566697265,-1299.2404068303,-798.0584799161,-551.6765235371,-418.9874236217,1055.6270484872,-281.8314807209,804.8569260925,-212.0339519027
1920,1467.3333333333,1201.3680898666,1399.2631194624,1436.9485045237,1450.2159370939,-1072.9968032274,1459.717361355,-1261.4266535684,1463.0477258347,-842.4855035912,-441.7350264847,-297.0624622165,-223.4744882754,1000.8721054035,-149.3061822899,749.5798214855,-112.0645485468
1921,1790.0833333333,1789.8419908179,1790.0229966876,1790.0565169626,1790.0682491083,-1451.655610764,1790.0766292281,-1614.6269165194,1790.0795622731,29.3936758964,14.6973333373,9.7982833847,7.3487285931,1047.4227074182,4.8991600404,772.9024910873,3.6743720371
