Year,annual_Mean_allind,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1884,964.9166666667,-323.9385832028,556.0982088185,109.8793241284,856.6366217959,-512.4239749982,-720.1001891351,782.9130370011,-937.4558995652,908.9158200426,788.5549795417,-958.6400303243,444.1147056891,-817.6098357152,642.2771140394,-564.0136080848,-228.5620484281
1885,924.1666666667,-762.5229987788,273.2999174348,293.741363078,743.861109843,-388.8208603058,-750.1833123163,795.231901133,-877.933844354,522.1519933039,882.8313445432,-876.2419981917,548.411047519,-838.3927280033,539.7305121076,-470.8399422289,-288.6454446472
1886,963.6666666667,-963.3004567021,-13.2835299513,489.4823717221,676.7025008875,-292.7313605088,-836.764987913,869.8736961028,-889.035738258,-26.5645357974,963.5751098262,-830.096652335,686.0955981036,-918.1295088489,477.9935140224,-414.6965122507,-371.8452642493
1887,958.4166666667,-759.737681794,-308.5589493261,647.7491664308,558.0476983472,-174.4556817176,-877.3186718266,898.6073245133,-852.4683929142,-584.2612102535,907.3884954832,-706.3876586781,779.1952729027,-942.405285459,385.8425261799,-333.2677351252,-438.0184311496
1888,861.6666666667,-244.1047037233,-515.8161290952,701.6217090646,386.0102847555,-49.4715202791,-820.6806576724,831.4904980117,-733.171753346,-826.3669512176,690.2196501185,-500.1963832474,770.3671232,-860.2453214786,262.5884661726,-226.0375989978,-452.6904290352
1889,963.5833333333,322.0449636005,-787.0228712646,883.7193874872,291.6596634564,65.6218582333,-943.406093208,948.7454498223,-777.6667766434,-908.1739270081,555.9566893061,-384.1000969238,918.3830796515,-961.3462497975,196.1575478429,-168.4485432386,-568.9703197731
1890,918.0833333333,756.6765924244,-876.8036197384,899.6595876025,137.6557609697,176.7720260114,-913.4657847987,914.6900933961,-696.1524498369,-519.9207068597,272.1992273282,-183.0017305362,907.7047418716,-900.904355503,91.9634000377,-78.8608901005,-598.5388655137
1891,847.1666666667,846.8808480412,-847.0952089966,847.1349074542,-5.5016613928,265.9712872917,-847.1587268264,847.1608333122,-597.088995447,22.004325307,-11.0030907533,7.3355084192,847.1488020608,-804.3324160119,-3.667788585,3.1438213928,-600.9792780348
1892,1015.4166666667,805.9064744614,-961.6137147751,991.3854286494,-165.2761538556,437.0525446952,-1009.3909783344,1010.9884671979,-656.9805346116,617.7262835315,-326.144247996,219.6040500679,1001.8756409412,-916.5457326942,-110.4575022428,94.7276418868,-774.2400041886
1893,1112.8333333333,316.9579776368,-891.9415425233,1012.7644190136,-350.58219284,601.0400919588,-1087.5283978062,1094.2231658094,-651.252054704,1066.74067523,-665.4609774425,461.2008882881,1056.1676731662,-936.5622433324,-235.9661241423,202.6664530303,-902.3684330813
1894,1055.75,-351.2633359476,-609.820381577,848.9143422455,-485.175326377,677.0227542664,-1002.7086763676,1016.6933326633,-548.8097173326,995.6013917824,-861.8162012363,627.6563566394,937.6635671577,-810.0915088467,-330.4290738375,284.5043581705,-901.8957570924
1895,864.6666666667,-711.870244633,-257.0194281747,573.2642581074,-512.5486865733,633.2315134375,-788.4576525158,808.4538658526,-390.169629854,490.8046446914,-825.5843130688,647.3148652867,696.3779780668,-588.7837419921,-354.940804408,306.6770145162,-771.6321042985
1896,815.3333333333,-815.0909493638,9.9404157312,401.9140196066,-580.0315494597,661.9478592096,-704.4367756455,733.3531839433,-309.7171191466,-19.8793538539,-815.272735089,709.3895723001,573.0024834813,-476.0183569278,-410.5329141038,356.3166457585,-754.2173098994
1897,915.5833333333,-727.5578559316,293.3879627312,275.9365223542,-743.9468963424,804.4455014711,-738.5579602181,784.3622905363,-280.3100614512,-555.8348734561,-867.3040664047,873.0131017968,533.7001552372,-437.2187958456,-541.1330517314,472.3014264877,-871.6186721996
1898,913.1666666667,-261.4825656935,545.4796963249,88.260198538,-816.0843207471,850.6278815938,-676.1914050065,736.9422147564,-210.5378377104,-874.9286993518,-732.342312043,908.8913567997,409.7313052989,-332.1228209058,-613.7088437577,539.2490456376,-888.564674069
1899,675.8333333333,223.8442213787,551.3764960198,-75.8906637778,-643.967898917,655.3811431617,-450.2561793993,507.4597037333,-103.7683062397,-637.6868032191,-390.8128120742,671.5588593681,205.0756923891,-165.0037927819,-504.0040350603,446.3578648701,-667.8194614299
1900,895,736.0332953006,854.3344776181,-283.1190295814,-884.7752136753,888.4516396741,-523.2750082532,616.3619898516,-67.6431214561,-509.195432235,-266.7163293707,849.0398194955,134.8993004648,-108.0679599163,-726.0910863918,648.9398257668,-892.4401425976
1901,809.3333333333,809.1231348258,809.2807820003,-409.9798476762,-809.3201953934,809.3249250436,-402.0012983345,502.5481674709,2.3057507106,18.4444336874,9.2228156962,697.8086907913,-4.6114827065,3.6891933516,-702.4353355162,634.4019103187,-809.3300488417
1902,843.6666666667,671.2249643388,799.3946374262,-569.2039332615,-832.525090779,836.5303912517,-340.260972943,462.5105501218,68.5557298502,511.1071235005,269.7066148589,622.7201030994,-136.6580318457,109.5004518563,-772.0077167596,705.5901327758,-840.8766594152
1903,950.5,273.6229367358,762.7348331391,-773.0754929351,-902.3385475803,919.5818821465,-290.3807792926,447.7608389787,151.2902186609,910.264103704,567.1735398591,552.995960404,-298.7229411188,240.4566739102,-905.0575965194,838.4273856913,-938.3823952619
1904,811.5833333333,-267.5863187259,469.8398186821,-743.8013042943,-721.1039013634,753.2791441886,-165.8474676737,316.6430658355,191.6136725239,766.2017155913,661.7537697098,324.6954367934,-372.3931664019,302.0563488405,-794.4571255962,747.264796309,-788.6391490703
1905,766.5833333333,-629.7301274329,229.0298962543,-750.9555165493,-617.7461081415,670.1665779869,-77.3951674298,234.6450697116,238.8473740819,437.1383917568,731.5704433383,153.9994126889,-453.9160195679,372.1918385641,-762.6663720153,729.788803836,-728.4242849045
1906,922.6666666667,-922.4593526839,-9.7796140382,-922.6436310129,-648.9570301229,744.1469430859,3.2599256051,202.5875404263,355.3468432281,-19.5581293548,922.6148367152,-6.5198105158,-655.872358643,545.48978439,-922.6609077353,900.1511352222,-851.4942153565
1907,814.4166666667,-648.7385062807,-259.7412704221,-795.4218828486,-475.2561873829,591.3508317815,87.9479065164,106.9139711167,371.6301568787,-492.3544022482,771.8866363554,-174.8671931214,-661.3668144825,559.9809824412,-809.6540450612,807.3685092475,-724.6830572346
1908,863.8333333333,-249.9912077531,-514.906442706,-786.7243388666,-388.2104319955,547.8862590672,182.4956434003,36.2206884812,453.2432659579,-826.8690487761,693.5988632038,-356.7531953784,-771.686910779,667.8537825775,-844.3360515326,863.0736292482,-735.3764815668
1909,914.75,300.2254989985,-745.4524926878,-736.4033428602,-278.2668636524,487.0165597531,285.6069017186,-43.682641852,539.5474719494,-864.0788229387,530.1586023499,-542.6579761915,-871.3983676213,774.3270840067,-869.0202875599,913.7064021341,-738.6853782315
1910,963.25,790.4113298029,-919.0251019239,-639.7715769372,-145.9445666542,406.6554548417,394.7091277227,-132.0166548387,627.403163313,-550.5456313688,288.5193659595,-720.0992236097,-952.1295846491,873.2020977686,-878.66675537,954.1604505245,-730.9006999346
1911,805.5833333333,805.4285019039,-805.544624546,-398.2236085896,3.9486170956,245.9327357585,405.0692563777,-181.4582396508,571.02777825,15.7935197228,-7.8971393239,-700.2731356452,-805.5736560783,767.1255415033,-696.3356981241,784.8805095091,-568.2356759402
1912,863.25,688.467888048,-818.3888033378,-261.4750190674,139.151766102,158.4846702092,509.6480414414,-269.0200867745,657.770219981,520.7806924482,-274.6640294456,-822.6976217929,-851.9608843666,848.5771454669,-696.7491918581,820.2613945639,-559.0517866944
1913,862.4166666667,250.8956671146,-692.8705188773,-84.7220583447,270.3880763114,50.8857825381,579.0927351443,-341.099081093,698.9097546978,825.1144594343,-513.510419578,-858.2451163708,-818.9339381984,860.9141328146,-639.0728526918,792.0946432226,-505.2599941939
1914,917.3333333333,-299.6929158996,-532.2509478272,101.5572933327,420.2671223783,-61.0144642874,683.6162428079,-436.8462682394,783.2705422477,866.997462859,-747.1341064237,-911.6943350791,-815.3992827396,915.3019608807,-611.6937771578,806.63856985,-477.4805777111
1915,918.0833333333,-752.5123766012,-275.6881715452,289.0336053977,543.0342030902,-175.3369738671,744.3903353864,-507.7742116212,818.97120164,525.9297766874,-875.7128747566,-871.3992092578,-740.2640483088,901.1847493936,-537.3639693241,764.8806161466,-414.9255087708
1916,1030.5,-1030.3328097651,9.2814206092,520.5993823687,731.9476599928,-321.9708483863,893.9820785483,-644.5774267942,952.9434174238,-18.5620882857,-1030.4582015936,-889.3292602165,-725.3846379895,978.9101198728,-512.5683303078,804.021262696,-392.2105215171
1917,1122.3333333333,-896.1718721798,356.250295837,755.8940732971,910.8961777115,-481.4572374733,1026.6443459255,-777.6508229188,1068.1669472893,-675.6538215867,-1064.2921769078,-829.6121148256,-655.667800446,1013.8200232761,-453.4682988813,809.2535503319,-344.4582468599
1918,714.4166666667,-208.9276050938,424.9292943569,580.3977986741,637.9528758673,-384.8975982594,680.0871393728,-539.1719683808,695.0378912976,-683.1840377533,-574.3050308055,-416.5688045274,-321.5700573496,601.8679360668,-218.7982094782,468.7054108111,-165.2679741263
1919,966.9166666667,314.4359346345,787.0708945435,885.5442408853,920.8582426357,-618.8740174326,946.3549349638,-783.6346600292,955.3326705184,-914.3620088829,-561.6469061968,-388.2515134713,-294.8693562372,742.9150629949,-198.3435840847,566.4314255748,-149.2224142614
1920,767.5,628.3848311944,731.895350423,751.6069812962,758.5466140751,-561.2392411247,763.5164072058,-659.7989254524,765.2583799942,-440.6685306722,-231.0529074241,-155.3808085537,-116.8900520796,523.5138624924,-78.0957484603,392.0734981759,-58.6162251315
1921,883.1666666667,883.0475964196,883.1368986032,883.153436375,883.1592246195,-716.1978568445,883.1633590876,-796.6023956647,883.1648061529,14.5018470811,7.2511679488,4.8341421401,3.6256145258,516.7629930272,2.4170801223,381.3239886664,1.8128110819
1922,899.75,719.3030806233,853.4468376211,879.0715410944,888.0987711537,-789.848794444,894.5654480248,-843.1023517806,896.8324625719,540.5119246658,284.918510902,191.7896976847,144.3282203009,430.9164007268,96.4506179357,314.2108956131,72.3988713808
1923,859.6666666667,252.7142217267,691.4755130838,783.4940548873,816.5369640109,-800.2928803909,840.4077880101,-829.2003234476,848.8157597027,821.6826029039,510.7723490787,353.7850247454,268.8757411552,313.9396174003,180.9462009268,226.8338629311,136.1564682938
1924,906,-293.261283515,526.8497305377,730.2143834775,805.6555889048,-878.2290576746,860.9327010372,-891.7954430242,880.5566317812,857.2244861127,737.0653712069,536.3049078301,414.4334350247,222.5976690263,282.1894475077,159.8026526726,213.2041702831
1925,886.25,-724.7991553215,267.4750559364,589.6841451671,715.0135770821,-879.5941121086,808.7170816034,-882.8520532671,842.3537989435,510.005144038,844.9237580704,661.5978169844,523.6359871974,108.4124552064,362.5130955191,77.5326675799,275.4616850044
1926,936.9166666667,-936.8136637036,-6.9464088851,464.4420794006,660.0396329085,-936.9125464757,810.2334124095,-936.9145645277,864.9320704571,-13.8924359271,936.8909155721,813.69920435,664.9515194869,-2.7785849375,470.4621745614,-1.9847049518,360.146294959
1927,916.0833333333,-733.2362728139,-289.3986391561,278.8681394559,535.7683284736,-908.5227247732,739.8226572511,-912.2232761028,815.4805668603,-549.1568463026,869.1703522703,872.6060018172,743.0753473341,-117.452680607,540.2509689292,-84.0081433398,417.3728772744
1928,863,-255.0075217315,-512.1999164124,86.1470674423,389.0632802875,-835.2747561749,639.9663738052,-848.8170896543,735.027418158,-824.463561269,694.5647886462,858.6895147672,770.323804599,-216.990971464,578.9749911686,-155.8157511639,452.2208471045
1929,906.8333333333,292.1641343599,-737.3231551655,-98.9593262039,277.2340887245,-842.2228426536,605.230154073,-873.6738203642,732.7181611084,-858.479360869,527.921641251,901.4176314016,863.416443261,-336.1656998518,675.3096734426,-242.9830242108,534.2946666647
1930,900.75,735.8311615118,-858.5308617725,-282.2146822011,137.8928728368,-788.1539984093,527.800003556,-842.6991319798,683.9435531196,-519.5219574264,272.5349920361,855.3978230333,890.1326407456,-436.0777881198,729.9162409115,-318.133203958,586.1499625916
1931,976.25,976.1644894929,-976.2286221392,-491.8503143588,-3.2303356363,-788.2810776262,486.2587752973,-878.7683753599,689.1699526732,12.9209888579,-6.4606359036,843.2955180512,976.2446555202,-575.914060565,846.5320229893,-425.2413490799,691.4541480333
1932,881.9166666667,706.7302553811,-836.9749691606,-592.933893807,-140.7743443582,-641.3277827353,356.9724945738,-756.2443119248,571.675505167,527.5503322656,-277.9386765874,652.8448548617,870.6087473228,-605.3723499107,806.4413463249,-453.7306994527,671.5386241584
1933,1066.25,316.6877188074,-858.6493296679,-865.2387237811,-332.6816907658,-677.5810644737,327.3593387001,-861.4849874883,625.3667762685,1018.1345447713,-632.1474441622,623.0979163579,1013.0212017175,-823.2696785177,1014.753628161,-628.2775492028,863.6002881192
1934,926,-296.9427269076,-539.6790874601,-847.4777230506,-422.9262140208,-494.2538806455,190.6720069323,-696.2742935849,482.6211380663,877.0980657467,-752.4775628271,373.1722242249,823.7775291267,-783.0639191451,906.1568218429,-610.4736751841,790.2865537839
1935,831.4166666667,-678.4275174887,-252.1881524237,-813.9309833519,-490.703699064,-352.1992749991,85.258103826,-573.5332738654,376.3472065888,480.613958521,-792.2466846812,169.6172985017,671.165816573,-753.1330189955,827.0336929915,-601.9246276573,741.361216752
1936,1005.6666666667,-1005.5985029158,5.8544859787,-1005.6590928406,-713.1805892773,-308.540058734,-1.9515051243,-625.7142590501,383.4993471276,-11.7087735482,-1005.6496255846,-3.9030029,709.0408250042,-957.1669011207,1005.6647732084,-787.303696464,929.6739725286
1937,930.75,-746.7489800794,292.6251435635,-909.6739103985,-754.538406866,-172.3339912847,-99.0367870961,-511.4900296498,286.3642263879,-555.5731484245,-883.5531041508,-196.949077785,544.9471121716,-914.6565245751,925.465978468,-777.6075565919,885.6021072385
1938,942.8333333333,-281.4651311299,558.3726294528,-859.9084377801,-841.2452145223,-57.1295837335,-197.7174191753,-445.4732211898,218.8385988413,-899.8400271173,-759.7069837262,-386.6421770564,425.7243045536,-941.1009005982,921.8690344073,-830.9562585643,917.0847082476
1939,846.75,270.251727011,687.6849614273,-683.257720182,-806.0033509821,54.9741009147,-263.0941731927,-331.6047907856,131.343490619,-802.46468243,-494.039427907,-500.1444294519,259.507534969,-844.9635558583,804.8397471125,-779.1173372657,836.5013149852
1940,942.5,768.2016876811,897.8686821132,-628.2309846357,-931.2753306331,178.5264322919,-384.8366841797,-289.9204249016,72.7298112134,-546.0516615155,-286.5974174348,-702.5895529708,145.0258892548,-925.4374981451,860.3528209459,-896.8012027338,939.6896426804
1941,797.3333333333,797.2930640795,797.3232659563,-396.3511284916,-797.3308164851,247.9133143618,-399.8227594784,-176.3070885389,-1.0016903168,8.0133897346,4.0067454577,-691.8426319531,-2.0033790527,-757.8122676538,689.8421598072,-777.5964602384,797.332704121
1942,970.8333333333,779.8301472338,921.8466419052,-297.0072219351,-958.5084270089,415.0697114677,-571.9147007272,-128.9805000831,-77.3480119007,578.2579896347,304.4932346032,-924.285708658,-154.2042686311,-877.6300449125,784.4940638419,-962.2273077134,967.7472015801
1943,966.3333333333,289.9491010747,779.0980658587,-97.9933131813,-918.3323314808,519.3224482727,-647.7290738188,-42.0561607879,-152.2907878427,921.8078052919,571.6697603392,-961.3518719401,-300.7753980433,-814.9259511336,717.1102830395,-965.4177284734,954.2576313812
1944,1013,-321.7832771376,591.6935610008,108.9410345475,-901.5416178119,647.129187662,-753.8322983252,46.7628587975,-237.5998118229,960.5334572801,822.2333791997,-1007.1250423814,-461.9434070891,-779.354100827,676.6874211936,-1011.9200734431,984.7412499849
1945,937.25,-763.0567848237,285.7119099058,292.2325963563,-757.0406363133,684.3509513513,-759.0561782355,126.9744762104,-290.6038765359,544.2259692762,892.6400545785,-890.5266262874,-552.5640573458,-640.3915504475,549.7920341207,-928.6091992281,891.0594533713
1946,1026.1666666667,-1026.1299641899,-4.3395194603,515.5867211732,-724.0735313345,831.2053694413,-889.4087740802,229.5521784507,-393.6990638208,-8.6789613153,1026.1574910065,-887.236361252,-727.1420418314,-601.7604686167,511.8301088906,-1000.1618994675,947.6386837421
1947,961.5833333333,-773.3112157241,-300.864862043,645.3612196278,-563.6203820029,843.3948746173,-878.9798347283,298.2087450948,-437.4211593439,-571.5175155493,913.3032583607,-712.847391203,-779.0857282323,-461.8740005819,389.9191673736,-914.1739721155,856.332433289
1948,973.75,-293.65349517,-575.4319992745,789.2696928081,-440.3760627046,905.9294284661,-926.4827105434,383.7082527753,-509.5943835255,-928.4162252322,785.5361714847,-570.3002845121,-868.4802737523,-357.0447214834,299.6979305302,-894.9620322964,829.7605840116
1949,960.6666666667,303.7082445812,-779.3082931053,878.5870518584,-295.1482205615,930.8429746603,-939.9227997367,456.1362124099,-565.3942815527,-911.3954940738,561.7464096385,-388.5424516721,-914.2034633187,-237.5116859652,198.5587444048,-845.4704017131,776.66579095
1950,889.1666666667,723.086797012,-846.6292099027,870.1764225943,-137.5188871379,882.3145232256,-884.406363105,490.600516135,-578.0744548201,-517.4580611974,271.7284343801,-182.7849957521,-878.4679372587,-110.1746033183,91.8844165814,-741.5716382651,675.6088260197
1951,810,809.9809125879,-809.9952281329,809.997879169,1.3901820636,809.9992365006,-809.9994697921,505.6475757528,-573.2477856353,5.5606873053,-2.7803600323,1.853575377,-809.9988070324,1.1121458474,-0.9267882952,-632.7879021721,572.2647781091
1952,849.0833333333,683.6408967519,-806.6630642224,830.1416167072,134.1982553865,842.2480005943,-844.3346250145,587.3434801579,-646.099067077,503.5649225598,-265.0230325154,178.3463012094,-838.4111969646,107.5212185536,-89.674678399,-613.1640427002,550.9069816826
1953,940.75,285.1298693907,-759.357125182,858.6216775164,292.100451031,910.9024858647,-919.9888329821,709.0023984404,-761.5129880072,896.4995929063,-555.3263175245,384.4208337213,-894.2526986302,235.0898205909,-196.5479831701,-618.325287778,552.3663020101
1954,904,-284.4271850016,-529.1945883881,730.3032568512,411.5969461118,840.124037644,-859.4795355893,731.7996827419,-771.1354094078,858.0892590122,-732.9181998155,532.7974784405,-804.8626926075,333.7777724366,-280.1980155234,-530.7402607103,471.7692024258
1955,1035.25,-840.923871225,-317.1562113646,691.2824693702,609.6747471746,906.6382397273,-945.3551551971,889.1329288179,-922.7427443531,603.8125580873,-985.4717145067,770.6303329362,-836.6834916249,499.7496020651,-421.9552026486,-530.2689858851,469.348900333
1956,1111.75,-1111.7345474385,2.9308177428,554.182032021,787.1614825198,898.7350661909,-962.3149007989,1002.0151791942,-1027.4032413545,-5.8616151173,-1111.7461368529,963.7791956071,-785.0890796191,654.4183243912,-556.7208404581,-481.6156591769,424.7712821676
1957,838.6666666667,-676.045208429,261.1371251935,257.844786792,679.1055809323,610.7925735112,-678.0883444044,785.3973317226,-797.7797288892,-496.3110455531,-796.9750181929,798.0462666425,-492.1152179362,574.7122844706,-493.5159318206,-294.1305987157,258.6682855537
1958,955.5,-291.0502468234,563.4189112731,98.4085456141,851.858855598,608.3758229366,-709.580726674,921.2346409416,-929.2285473778,-910.093403901,-771.7119802231,950.4188593195,-432.8010399009,736.7897312438,-639.9026819235,-253.5882219843,222.5186660441
1959,1020.1666666667,319.4342547845,826.6245238016,-108.0962716111,970.5758117761,545.8887627308,-682.0791063686,1003.8843132752,-1007.6926908599,-968.8662367159,-597.8561067912,1014.4235919189,-314.2015616974,861.8268309249,-758.6225151109,-181.5387378439,159.0454921256
1960,884.3333333333,717.5132920343,841.5956171761,-274.3947169574,873.5835683838,375.8908331682,-519.3212155056,880.818402387,-881.6417961447,-516.9333808127,-271.5920867669,840.6860197186,-137.4670633067,800.4695659327,-715.786923302,-78.7679278692,68.9433661432
1961,1094.75,1094.7425880719,1094.7481470164,-548.5375021949,1094.749536754,337.5300057172,-546.7934399625,1094.749848736,-1094.7498841885,4.0284440775,2.0142254481,947.4091888861,1.0071131502,1041.4178113229,-948.4168368992,0.5754932833,-0.5035566284
1962,885.0833333333,714.2947570287,841.3034207341,-592.9729268484,874.0698321394,165.2635807522,-359.5428015362,881.4820497491,-882.3256619697,522.6428101732,274.9200996753,657.0811327144,139.1920812696,869.5173694765,-808.7654052987,79.7615378141,-69.8135601025
1963,912.5,279.3361049746,737.4111627136,-738.7716213261,867.6243242257,56.742135776,-281.5378709339,897.7648416562,-901.2112532187,868.6930358059,537.47653633,535.6050238032,282.6380760123,910.7340885393,-867.9819567422,163.3234186698,-143.0892276589
1964,926.5,-288.7036198717,543.5615632975,-846.7417147802,825.230888417,-58.6792059678,-192.2186921921,893.0155985868,-900.8270278245,880.3706434639,750.2953264586,376.0727568583,421.1843192741,924.6399303442,-906.3411192106,246.8306923394,-216.5938963609
1965,726.5,-588.7764282665,223.66959434,-710.7451271962,587.49391924,-136.4758617349,-75.6502316319,680.0868641365,-690.875018483,425.6108169652,691.212096659,150.4779524276,427.3793921752,713.5661070733,-722.550546643,255.5075482817,-224.7086087271
1966,808.25,-808.2482395715,-0.8434649807,-808.2498043968,571.2207681489,-250.0838371388,0.2811550389,728.1034934556,-746.6449117072,-1.6869290429,808.2495598928,-0.5623100438,571.8171880377,768.5871043037,-808.2499510992,350.9036410723,-309.4986887239
1967,904.1666666667,-730.5451182366,-280.163181651,-884.2974769515,531.1323521661,-385.2648035367,94.7762075475,776.0635900314,-805.5276312853,-532.7487131208,859.6661868181,-188.5081785186,731.7211118955,817.9782345925,-899.185649126,463.9425237449,-410.6611697582
1968,801.0833333333,-246.4433252693,-471.3347358618,-731.6684619544,363.4254432648,-429.4380568163,166.7439602311,647.9924751255,-682.9599448185,-762.2336875097,647.7484648492,-326.1836426395,713.9022721159,676.2525137123,-783.5374647526,470.999213508,-418.6886918915
1969,870.3333333333,269.8842408387,-704.4037769825,-703.9214525205,268.7136244009,-554.9230953882,269.1038897286,655.3306259293,-704.0420923311,-827.4313310831,511.1706467354,-511.8346410634,827.812236665,670.477791814,-827.6854521157,572.7319458788,-511.6686851245
1970,978.4166666667,792.0230140463,-930.6523762764,-654.4914639074,152.861665877,-713.3439522812,398.0790230175,676.0650716739,-743.9292893816,-574.4551495392,301.969084746,-727.2826804507,966.4018236306,669.6563143546,-893.774168929,707.2730678272,-635.5064012355
1971,969,968.999881532,-968.999970383,-484.3616728325,-0.1197891415,-783.9937919483,484.5691586478,604.1080993953,-685.1441178037,0.4791565477,-0.2395782812,-839.2584642951,968.9999925957,569.486377525,-839.1386837033,757.6373830831,-685.2288215181
1972,707.1666666667,572.0367045416,-672.5362384311,-218.4870710022,-110.6559634647,-619.7068623889,415.6789149897,389.5611468579,-459.2561842885,415.7627966781,-218.5856867258,-672.5682822207,698.4554045851,340.6583319877,-572.0976613109,590.1921782803,-537.7438531841
1973,974.25,301.191909727,-788.2256277715,-101.8829030748,-301.0267800741,-905.8245141779,651.8832887026,461.6840184144,-572.6638289663,926.523877736,-572.5935925456,-968.9081156441,926.5775413737,358.6711753324,-724.0243368909,857.9107935215,-788.1746008935
1974,810.75,-250.1799565824,-476.698102944,84.6225192021,-367.9895212762,-785.2602003948,602.4629739424,318.6941520382,-423.6555547407,771.1845121788,-655.8006413153,-806.3216428597,722.4259648787,201.6977445981,-542.543940643,745.486150077,-691.2535956054
1975,998.9166666667,-807.682550906,-309.0525404107,308.435323604,-586.9909596632,-991.0203766204,808.0642586705,308.7880348808,-453.5854132103,587.7783629111,-949.905802809,-950.1063930412,808.2549846541,125.3519846981,-587.2534893927,949.9918191537,-889.9970673364
1976,871.5833333333,-871.5828077804,-0.4785724251,435.5153335431,-616.1332612329,-871.5833123112,754.7335334645,194.0788417208,-333.651034272,0.9571447059,-871.5832019451,-754.9727817566,616.4716630527,0.1914289781,-435.9298113327,849.7004826059,-805.1922095212
1977,995.0833333333,-805.8671397524,306.8272157332,665.4914279911,-804.8321218946,-987.2721016895,908.9582687747,133.7728506899,-307.6652479962,-583.7542234066,-946.5980667438,-739.8053795074,585.1803959843,-124.4372834135,-404.9514858644,986.0505386115,-946.3260196429
