Year,Annual_mean_kerela,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1908,2248.5,-650.7102804935,-1340.2667988708,-2047.7904795773,-1010.4856141329,1426.1110401459,475.023871332,94.2800131777,1179.7617019174,-2152.2844563069,1805.3911370794,-928.6045454081,-2008.6490668184,1738.3784257676,-2197.7498883323,2246.5225414216,-1914.1354645607
1909,2386.4166666667,783.2338175111,-1944.7502079895,-1921.1426190662,-725.9477247347,1270.5377809647,745.0965513816,-113.9600815082,1407.5813932965,-2254.224765646,1383.087537168,-1415.6961341165,-2273.3201287758,2020.0787742279,-2267.1161496633,2383.6941093117,-1927.0960350201
1910,2276.25,1867.8160285116,-2171.7424222729,-1511.8401785655,-344.8806850212,960.9649406524,932.7346503804,-311.9677244501,1482.6124583351,-1300.9909093207,681.7982940726,-1701.6619338092,-2249.9714166183,2063.4583701488,-2076.3718680621,2254.7705429603,-1727.1868343899
1911,2160,2159.584852524,-2159.8962106374,-1067.7517259379,10.5873751028,659.4162109094,1086.106871347,-486.541592195,1531.08927405,42.3469567823,-21.174495839,-1877.6331515386,-2159.9740525035,2056.8836284024,-1867.0757520821,2104.4897906772,-1523.6028468367
1912,2841.9166666667,2266.5141795636,-2694.2285317337,-860.8053456179,458.1033574069,521.7494650203,1677.8190131553,-885.6445621459,2165.4539832041,1714.4689597992,-904.2250599656,-2708.4136495804,-2804.7516207698,2793.6119694813,-2293.7771686397,2700.3933139118,-1840.4617319857
1913,2060.0833333333,599.3228125172,-1655.0828193222,-202.378394467,645.8849777266,121.5525587133,1383.2980486521,-814.7947032274,1669.5089424952,1970.9783120761,-1226.6393934088,-2050.1186126004,-1956.2146957389,2056.4941808203,-1526.5745474339,1892.1027804721,-1206.9313282894
1914,2437.9166666667,-796.4676830163,-1414.5168494445,269.8999469883,1116.907218857,-162.1528118395,1816.7871714522,-1160.9681665465,2081.6296978069,2304.1434207796,-1985.593049003,-2422.9303935992,-2167.0154448172,2432.5180655493,-1625.6451172559,2143.7328634597,-1268.9584212336
1915,2633.9166666667,-2158.905208971,-790.9300206979,829.2171340478,1557.9270270558,-503.0294756301,2135.6036426031,-1456.7685855235,2349.5709149712,1508.8556278261,-2512.3587939034,-2499.9831902527,-2123.7656144956,2585.4358150207,-1541.6595242288,2194.3888204183,-1190.392171709
1916,2387.9166666667,-2387.5292466295,21.5072867182,1206.3541405286,1696.0989970155,-746.0839932485,2071.5717661977,-1493.6411260544,2208.1993875367,-43.0128287099,-2387.8198096931,-2060.7900656239,-1680.8908945163,2268.3704904541,-1187.7442588525,1863.1108913598,-908.8462311235
1917,2341.8333333333,-1869.9303498662,743.3431700038,1577.230119379,1900.6537263178,-1004.5969176919,2142.171028304,-1622.6272219828,2228.8110746008,-1409.8027690994,-2220.7260733192,-1731.0483851224,-1368.1004253143,2115.4121097495,-946.1958817317,1688.5687014722,-718.7381684924
1918,2144.6666666667,-627.1971124104,1275.6305050239,1742.3443073226,1915.1236688814,-1155.4560350874,2041.6100103696,-1618.5850668666,2086.4919130332,-2050.906846567,-1724.0539219421,-1250.5324569365,-965.3478357575,1806.7972941344,-656.8284986737,1407.0456611027,-496.1316437786
1919,2541.25,826.4003987486,2068.5794130054,2327.3870228213,2420.1992682215,-1626.5244472642,2487.20966489,-2059.5483028175,2510.8049459156,-2403.1258692479,-1476.1201762018,-1020.4024737832,-774.9755251619,1952.529074035,-521.2865290583,1488.6948481344,-392.1862900026
1920,2860.5,2342.012781279,2727.80019529,2801.2661498343,2827.1304098526,-2091.7587612212,2845.6530069213,-2459.0942361648,2852.1454019197,-1642.3874032413,-861.1424647384,-579.1098408702,-435.6534123434,1951.154923335,-291.0656527307,1461.2719759378,-218.4647713208
1921,2215,2214.7013693934,2214.9253410901,2214.9668181587,2214.9813351939,-1796.2388219406,2214.9917045242,-1997.8950440429,2214.9953337936,36.3709280446,18.1860770032,12.124127013,9.0931151252,1296.0521187643,6.0620862098,956.3683354173,4.5465671406
1922,2782.8333333333,2224.7297466271,2639.6224595274,2718.877006882,2746.7972922022,-2442.9203150563,2766.7980523609,-2607.6280388406,2773.8096929819,1671.7472642668,881.2233725165,593.1856223471,446.3922004935,1332.7796874938,298.3117472764,971.8216771421,223.9221923581
1923,2664.8333333333,783.3748916611,2143.466843485,2428.7100511035,2531.1379444686,-2480.7838046859,2605.1337965282,-2570.3923946496,2631.1972047083,2547.0886269542,1583.315061927,1096.6787050513,833.4730952559,973.1641222593,560.9051583209,703.1497934094,422.0639339955
