Year,Annual_mean_kerela,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1967,2245.1666666667,-1814.0411590349,-695.6826212019,-2195.8288132743,1318.8726112498,-956.6639941829,235.3419892852,1927.0696076152,-2000.2327596394,-1322.8862515116,2134.6660281339,-468.0909995989,1816.9613084506,2031.1492715567,-2232.7981344471,1152.031287994,-1019.7265654953
1968,2748.75,-845.6187541879,-1617.2866183714,-2510.5673793372,1247.018438166,-1473.5269223016,572.1470434018,2223.4507221486,-2343.434284806,-2615.4455614801,2222.6134518933,-1119.2309843406,2449.6064127476,2320.4191370855,-2688.5450197508,1616.1353435516,-1436.642723608
1969,2263.3333333333,701.8437362293,-1831.8275165496,-1830.5732143294,698.7995058147,-1443.0975939051,699.8144049242,1704.2110111299,-1830.8869425233,-2151.7651237283,1329.3177676498,-1331.0445089317,2152.7556824802,1743.6017642349,-2152.425974671,1489.4101541621,-1330.6129345062
1970,2280.5833333333,1846.1199067715,-2169.2499430674,-1525.5487516186,356.3039954056,-1662.7275310518,927.8791093534,1575.8344959117,-1734.0186408744,-1338.9927670079,703.8572474443,-1695.2171975038,2252.5780348604,1560.8963763684,-2083.2908339219,1648.5769565817,-1481.2966257228
1971,2548.5,2548.4996884255,-2548.4999221064,-1273.8861952669,-0.3150491508,-2061.9279450776,1274.4318893849,1588.8230044467,-1801.9502417158,1.260196555,-0.6300982967,-2207.2757443302,2548.4999805266,1497.766804048,-2206.9607176656,1992.6097737744,-1802.1730151072
1972,2359.6666666667,1908.766359392,-2244.1121997897,-729.0454751943,-369.2357131116,-2067.8316657322,1387.0332496876,1299.8837419784,-1532.441446419,1387.3131452673,-729.3745351552,-2244.2191231866,2330.599014404,1136.7053180017,-1908.9697593307,1969.3473627368,-1794.3383156683
1973,2005.75,620.0828051681,-1622.7698772417,-209.7527665817,-619.7428423235,-1864.8781311905,1342.0732936261,950.4980445826,-1178.9791890677,1907.493218136,-1178.8345889128,-1994.7523253305,1907.6036988559,738.4189991511,-1490.5946253209,1766.2351286691,-1622.6648249855
1974,2454.5,-757.4057396626,-1443.1766804515,256.1899147475,-1114.0675670335,-2377.331066135,1823.9227499743,964.828610765,-1282.5933507383,2334.7177121713,-1985.3995363657,-2441.0933979636,2187.1039541101,610.6285712193,-1642.5212486072,2256.9173670849,-2092.7313603618
1975,2994.6666666667,-2421.3631558653,-926.5130635021,924.6627003447,-1759.7486549141,-2970.9942649727,2422.5074830717,925.7200985631,-1359.8102451927,1762.1092224555,-2847.7362917947,-2848.3376441419,2423.079263246,375.794520907,-1760.5356965725,2847.9941614338,-2668.1350305998
1976,1809.6666666667,-1809.6655754624,-0.9936589333,904.2595834422,-1279.2762119642,-1809.6666230185,1567.0516696354,402.9654963963,-692.7589502104,1.987317567,-1809.6663938656,-1567.5484203678,1279.9788349606,0.3974635901,-905.1201628169,1764.2313491033,-1671.8189140418
1977,2627.6666666667,-2128.012951233,810.2232448287,1757.3298473676,-2125.27983147,-2607.0399389058,2400.2405268408,353.2472596895,-812.4361946081,-1541.4905093759,-2499.6340541469,-1953.5669731705,1545.256531796,-328.5952952511,-1069.335085192,2603.8142185327,-2498.9156730074
1978,2640.9166666667,-820.4452079411,1550.4375860607,2135.6482458804,-2352.5536446522,-2558.1751883012,2511.4248831053,119.1382719848,-617.0667350006,-2510.2411240844,-2137.8924509919,-1553.5274088815,1199.971745214,-655.8815031988,-816.8144812609,2638.2279871964,-2567.814145306
1979,2249,690.584916612,1818.1207987178,2053.9370266655,-2138.5689930788,-2091.4072069325,2199.6937710703,-100.2418197559,-352.3913552896,-2140.3489138335,-1323.7967220347,-916.1570228365,696.0773389803,-827.0531390369,-468.3463606293,2246.7649137309,-2221.2206852803
1980,2326.4166666667,1878.8613765919,2211.6994515309,2275.1956855417,-2297.5583749541,-2039.1859897146,2313.5759842414,-311.5012047218,-183.216280406,-1371.8944691542,-721.5261901293,-485.488516277,365.2944300461,-1119.792394284,-244.0915239947,2305.4677413491,-2319.1908721662
1981,2820,2819.989790872,2819.9974477169,2819.9988656518,-2819.9993619292,-2282.3196303486,2819.999716413,-626.4521492974,-0.9485145814,-7.588107637,-3.7940572524,-2.5293719254,1.8970290554,-1656.3263884046,-1.2646860899,2749.537725626,-2819.9998404823
1982,1990.9166666667,1614.1997577553,1894.3978429379,1947.8246061673,-1966.6389364108,-1452.1358018371,1980.114345912,-614.4130088273,155.4588977759,1165.3790437767,612.3773234562,411.9811612446,-309.9684942125,-1362.00249142,207.114342151,1893.7385849676,-1984.8379542707
1983,2096.4166666667,654.4599465877,1698.0847416973,1916.1166282275,-1994.3490158677,-1337.3810968408,2050.8463710102,-823.0276759175,327.0904494652,1991.6437981201,1229.4189889102,850.5644639344,-646.16936107,-1614.4270321358,434.7321046257,1928.1048428319,-2070.7425426998
1984,2110.5,-644.856948025,1243.6317101926,1708.936922325,-1881.341937868,-1132.1616983247,2007.600760182,-999.1315552926,491.7509990481,2009.5695475857,1705.1658040799,1238.4445266197,-956.4323095856,-1781.1288945067,650.9603964271,1859.0175860434,-2052.4110711393
1985,2107.6666666667,-1700.2127688922,655.2774216096,1412.3731419107,-1706.365312107,-898.9128262153,1926.0153906289,-1160.1106832118,650.3112671228,1245.6064058417,2003.2149855936,1564.4362837097,-1237.1645805696,-1906.3615891649,855.992694384,1759.65962063,-2004.8326697336
1986,1788.9166666667,-1788.9002550278,3.8313871125,896.6694748947,-1266.3089813588,-554.2629958692,1549.8854487362,-1114.5152317382,683.7037364149,7.6627566502,1788.9125637523,1547.968569794,-1263.5997799968,-1700.8866428096,893.3520784516,1399.313631214,-1653.1098091446
1987,1921.8333333333,-1559.9778868274,-589.6718828905,596.6822665079,-1131.4133375656,-361.853029958,1555.6617933045,-1327.1937178492,871.5088912913,-1122.4581745974,1829.1337927116,1826.8589529425,-1553.4951627507,-1887.4601309223,1128.4324286211,1389.9640989654,-1712.8676579092
1988,2188,-686.360159218,-1281.7152514563,232.2770204077,-995.7286351747,-139.5345677643,1627.2009895296,-1646.7080382572,1142.0791886375,-2077.5595615622,1773.2879106858,2175.6358578104,-1948.2988695509,-2183.5462221805,1462.7238084047,1440.7278149391,-1866.2794878799
1989,2095.5,637.0951314627,-1692.0628088195,-215.3996211693,-650.1548408336,129.3861014369,1403.522415895,-1694.3727826762,1230.5935114881,-1996.3040959399,1236.140647746,2084.3999743812,-1992.0890876014,-2091.5017300387,1556.0350504022,1232.9724746831,-1696.101370639
1990,2171.4166666667,1749.5925813789,-2063.2674125474,-667.1777633848,-342.6638971953,404.5118374604,1277.9533295928,-1863.1652023357,1409.0749168946,-1286.0700367639,676.7406627341,2066.3794841032,-2144.208896968,-2133.4058483168,1755.5300133181,1115.1976367816,-1652.1374697211
1991,2401.9166666667,2401.8751990291,-2401.9062997349,-1196.8816795382,-3.5284916184,739.5479201981,1202.9949333851,-2163.1765457714,1697.1635941748,-14.113890327,7.0569756222,2082.4691879587,-2401.9140749324,-2285.2292111169,2078.9436894397,1043.968823977,-1699.6586151986
1992,2544.25,2067.5658792743,-2422.1491026404,-1698.527742298,394.1162316545,1080.4359790729,1037.2388476524,-2381.22350342,1933.3828235617,1482.6932917366,-778.7180408069,1894.257525033,-2513.5394284647,-2303.446582325,2323.2183787627,896.0930137324,-1653.8557736564
1993,2282.8333333333,719.5600426518,-1851.2109116033,-1843.9334446126,701.8981591867,1220.6914487569,707.7906809107,-2200.0005156926,1845.7579123729,2166.4628713173,-1335.7942163891,1345.8222318037,-2172.2492955248,-1929.051687931,2170.3364669548,609.3650455431,-1343.3189333477
1994,2632.25,-796.2884780822,-1554.4628840966,-2402.2357103288,1191.0090545073,1675.0865349887,550.206831104,-2589.4887187083,2243.1867561827,2508.9170417081,-2124.237558388,1076.1057822171,-2347.3895063627,-2030.4741226619,2574.1042141892,472.5338487161,-1377.2629521579
1995,2162.5833333333,-1740.4330896481,-675.6238158754,-2114.2480444676,1268.0051005015,1574.336760518,228.6144025569,-2153.6782715653,1925.9975818439,1283.6118315397,-2054.3366649683,454.6667791647,-1751.8361049805,-1482.6430582216,2150.4655608855,196.0524832756,-983.5141017506
1996,2148,-2147.9400896486,-8.0214535755,-2147.9933432668,1516.0267012358,1735.8806046415,2.6738233827,-2147.9987773342,1983.7249499684,16.0427952866,-2147.9850223599,5.3476426223,-1521.6987353416,-1265.157115314,2147.9983358161,2.2918487708,-823.8563727209
1997,2649.0833333333,-2155.2138948834,808.7958018685,-2592.6154620798,2140.1179857363,2319.418963739,-273.4850056277,-2638.6814400795,2518.6299246143,-1540.3556648533,-2522.596253431,-544.0473993402,-1561.2615136716,-1279.8195879077,2634.928549058,-234.5266823291,-821.0638280802
1998,2471.9166666667,-782.895246565,1444.8391257691,-2260.9165861658,2200.2152079496,2296.8517520215,-510.6733866466,-2432.701423691,2403.0314864488,-2344.6635238026,-2005.6948690146,-999.3138632807,-1126.6876433386,-913.6980005342,2418.5914700742,-438.5610449146,-579.4926074423
1999,2365.5,712.0014666274,1907.8560898699,-1917.6265832959,2248.1796892806,2290.1890446665,-727.8202275334,-2281.0098589597,2335.9857988645,-2255.8023321028,-1398.4546436501,-1385.0265474123,-735.7162052765,-592.1354487697,2250.7483125381,-626.5654581357,-372.5058355294
2000,1892.25,1521.0798439971,1797.0633541007,-1270.2551443603,1868.3017949862,1876.9114771277,-767.1276835,-1772.4194893109,1886.2534471887,-1125.578149524,-592.5988220105,-1402.5198503858,-300.0974264326,-240.4441089452,1729.776049004,-662.6758003813,-150.5257302547
2001,2179.1666666667,2179.0772020045,2179.1443003864,-1095.2786430218,2179.1610750894,2179.1630880567,-1086.7319475211,-1964.5836268298,2179.1652687719,-19.7461088759,-9.8731557729,-1883.9140254405,-4.9365905534,-3.9492736588,1888.8570711804,-942.9626367484,-2.4682968601
2002,2083.0833333333,1696.66039644,1984.1271592015,-649.8993052035,2058.1956163297,2067.1437456613,-1221.76956964,-1789.6504354934,2076.852084132,1208.5444438509,634.409638743,-1979.1076440424,321.0404624533,257.2020769444,1687.1619045938,-1066.0147711684,161.0018454784
2003,2066.4166666667,657.5877907753,1677.6364640369,-222.6420013819,1966.8215209027,2002.4894269345,-1380.2185873843,-1673.4474363312,2041.3660391304,1958.993654329,1206.4881826241,-2054.3875923249,633.7909317686,510.0136618693,1537.8798689484,-1212.2918452727,320.7842492439
2004,2238.25,-670.2996736377,1324.6631303808,226.5269456363,1996.8337830269,2082.7187577376,-1660.8412023084,-1687.6678236118,2177.0595165682,2135.5236851932,1804.1703504686,-2226.757419523,1011.1468268568,819.7838975413,1500.4564516222,-1470.217800071,519.7835355415
2005,2239.5,-1798.0918687906,703.0410762692,684.7015949333,1815.1887973851,1964.7147962953,-1809.5233449521,-1550.0231373685,2130.783372582,1335.0003301083,2126.2863154049,-2132.2626423346,1311.6592087305,1074.8283673306,1319.4641010931,-1616.4122381442,689.2912803221
2006,2666.1666666667,-2666.0153503111,14.2027219807,1324.8749598939,1890.2792807368,2160.3085199003,-2306.5972936357,-1665.4984251446,2464.5734218558,28.405040926,2666.1288373094,-2313.6877566108,1880.2364040891,1562.5337734881,1337.181221614,-2081.9605400404,1017.0164908824
2007,2866.3333333333,-2337.2589559379,-870.7765280889,1910.1476209683,1691.143250797,2093.7680047305,-2616.3893608699,-1582.802199615,2555.7041152076,-1659.2430053087,2730.8634194897,-2137.1015052839,2314.2820232335,1957.5500811331,1170.6295272649,-2389.6870034947,1297.7839778978
2008,2205.4166666667,-705.1502008517,-1286.2178408321,1779.3279881073,1006.7811108866,1409.6193197545,-2096.1896710519,-1048.2091021275,1882.0513429827,-2089.6473070473,1791.5095142188,-1303.0174919584,1962.2065305093,1696.1238300861,685.4571734153,-1940.3918036903,1149.6718731831
2009,2121.5833333333,632.1362642051,-1709.1292523988,1934.8088816653,661.4588815172,1140.9574421184,-2074.3642540311,-837.0697517459,1718.2048741331,-2025.220872832,1256.9777400067,-870.419687109,2015.8343156965,1788.6676481539,445.1165935749,-1949.4691767221,1244.5432297766
2010,2415.0833333333,1936.7721658057,-2292.3888942592,2360.2928195232,384.9138182117,1033.5027236679,-2401.3466385719,-750.2146618829,1838.7803640018,-1442.7546862529,759.9872791182,-511.5127691972,2384.2124191217,2182.7733796973,257.2194167707,-2295.6056865325,1565.7312285018
2011,2470.5833333333,2470.3980632491,-2470.5370153781,2470.5627475397,7.5641380281,769.2050873741,-2470.5781868795,-553.9696677002,1749.6385112771,-30.2558430609,15.1282051507,-10.0855051155,2470.5717538174,2347.7873712289,5.0427630623,-2407.6751471518,1744.2898517163
,,81.7276738332,-15.7402625502,-122.2662105608,458.9235343418,53.0354604462,-244.0308199811,-50.1173187509,36.7721500435,-8.014086168,-19.7419844828,-216.8773465924,1.1197763198,-200.5812695452,479.7267811349,-56.4628044506,-498.0475689388
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,6743.6382472964,,,,,,,,,,,,,,,,
20,637.5018164677,,,,,,,,,,,,,,,,
30,61984.8097098416,,,,,,,,,,,,,,,,
40,210612.064271762,,,,,,,,,,,,,,,,
50,43045.6057571036,,,,,,,,,,,,,,,,
60,289688.82563872,,,,,,,,,,,,,,,,
70,5699.7939252064,,,,,,,,,,,,,,,,
80,249403.571944658,,,,,,,,,,,,,,,,
