Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,432.25,432.0662123637,432.2040506487,-212.4759857025,432.2385125095,-348.2098047165,-217.9418703234,270.9090219124,-432.2471281178,12.603596061,6.302468,-376.4226587225,3.1513177495,-256.1054360987,373.2846148182,-336.8209677952,-1.5756693436
1882,374.25,296.3045485088,354.2280619738,-112.22217466,369.210586721,-271.3340729514,-221.4316075377,259.7426259844,-372.9880189633,228.6190653314,120.7706198142,-357.0283546367,61.2095184849,-257.7612914222,301.7136153429,-269.4379905409,-30.7083084822
1883,326.8333333333,92.0904862548,261.646964791,-31.0712515555,310.1088336673,-206.8913284883,-219.8464316984,247.0030902116,-322.6251164907,313.5910874357,195.8593719826,-325.3530468653,103.2111382521,-253.0138454198,241.8420440024,-214.0315425438,-52.2786953461
1884,512.6666666667,-172.1107318304,295.4586907895,58.3796184505,455.1367559624,-272.2542787969,-382.594037789,415.9669231912,-498.0765777809,482.9130430005,418.9645249279,-509.3318478759,235.9611079886,-434.4015639796,341.2461184533,-299.6641952619,-121.4365421824
1885,676.3333333333,-558.0375706121,200.0092091885,214.9688821227,544.3802315136,-284.5509560182,-549.007011971,581.9749422539,-642.4987448852,382.1267428002,646.0828847892,-641.2606002996,401.3439189959,-613.5613508092,394.9912386172,-344.5750199396,-211.2395337021
1886,424.1666666667,-424.0054760129,-5.8468667807,215.4501272973,297.856773566,-128.848376426,-368.3097361188,382.8828357976,-391.3171833045,-11.6926225535,424.1263670889,-365.3746074356,301.991230919,-404.1230716051,210.3932018656,-182.5324496157,-163.6710822405
1887,590.5,-468.0898368135,-190.1094439548,399.0914349473,343.8245361697,-107.4856934745,-540.5338760598,553.6502479351,-525.2231138327,-359.9752139689,559.0605059555,-435.219802573,480.0780544116,-580.6350624087,237.7254273985,-205.3330293972,-269.8720635707
1888,481.0833333333,-136.287858278,-287.9890244939,391.7274783781,215.5161870303,-27.6208014092,-458.2001389499,464.2354588995,-409.3424112249,-461.3748945241,385.3615125855,-279.2682514977,430.1092265216,-480.2897718467,146.6076610459,-126.20068269,-252.7448594603
1889,401.5833333333,134.2155737776,-327.9999322515,368.2992068063,121.552185263,27.348589019,-393.1742595493,395.3994917144,-324.1006829235,-378.4908894103,231.7007079275,-160.0776932522,382.7456595036,-400.6510056018,81.7506895317,-70.2026748999,-237.1242731978
1890,476.8333333333,393.0020388356,-455.3935111321,467.2644240956,71.4955309311,91.8117030805,-474.4350749404,475.0709552884,-361.567061629,-270.0359702869,141.3746009596,-95.0472816672,471.4429094118,-467.9109305789,47.7638717451,-40.9587013847,-310.8686020213
1891,472,471.8407557845,-471.960187267,471.9823053138,-3.0652577345,148.1862454476,-471.9955763077,471.996749939,-332.6689032276,12.2597381998,-6.1303861919,4.0869879684,471.9900467118,-448.1348420511,-2.0435131365,1.7515841402,-334.8363791844
1892,584.75,464.0989520965,-553.7663879013,570.9110835316,-95.1779049327,251.6863115409,-581.2799749669,582.1999240318,-378.3366771743,355.7312541273,-187.8173318168,126.4638177535,576.952102789,-527.8130001079,-63.6093798307,54.5509941009,-445.8631193592
1893,590.25,168.1154227648,-473.0883589706,537.1731600924,-185.9498031965,318.7933930915,-576.828189431,580.379113631,-345.4259625182,565.8023216006,-352.9624159971,244.622277351,560.1943709028,-496.7553069885,-125.1571107758,107.4948694633,-478.6188117055
