Year,annual_Mean_haryana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1975,705.6666666667,-570.5727739278,-218.324594327,217.8885726436,-414.6691788127,-700.0884749496,570.842424495,218.137739165,-320.4272360945,415.2254256387,-671.04382566,-671.1855290125,570.977159427,88.5526492387,-414.8546382062,671.1045903557,-628.7223797618
1976,621.5833333333,-621.582958527,-0.341301436,310.5945953626,-439.4051052238,-621.583318341,538.250064644,138.4103719663,-237.9484716163,0.682602769,-621.5832396317,-538.4206883184,439.6464417927,0.1365205802,-310.8901867034,605.9772348941,-574.2354614034
1977,579.4166666667,-469.2399483041,178.6592103671,387.5020432813,-468.6372785809,-574.8683462899,529.2678036003,77.8931941083,-179.1471794086,-339.908141307,-551.184687888,-430.7735368659,340.738572421,-72.4572842789,-235.7949653476,574.1570551014,-551.0262804269
1978,599.8333333333,-186.3483199255,352.1520224816,485.0713475071,-534.3372293145,-581.040200858,570.4217698587,27.0599628206,-140.154818672,-570.1529018068,-485.5810754548,-352.8538161979,272.5504598167,-148.9708453512,-185.5236703201,599.2226515995,-583.2295042098
1979,362.9166666667,111.4383174687,293.3865450725,331.4397417789,-345.0966342396,-337.4862304058,354.9602183567,-16.1758235155,-56.8646936522,-345.3838565194,-213.6184498467,-147.838440583,112.3246187661,-133.4599236885,-75.5761227412,362.5559952312,-358.4339737808
1980,506.3333333333,408.9250895215,481.3656864097,495.1853345757,-500.0524657456,-443.8189659886,503.5386209209,-67.7967303037,-39.8761371117,-298.5861945976,-157.0366848596,-105.6642269907,79.5045655679,-243.7173975595,-53.1253393915,501.7739010795,-504.7606741154
1981,488.5833333333,488.5815645355,488.5828911337,488.5831368001,-488.5832227834,-395.4267137332,488.5832842,-108.5369075452,-0.1643363177,-1.3146889798,-0.6573450848,-0.43823013,0.3286726168,-286.9693148704,-0.219115087,476.3752862099,-488.5833056958
1982,439.25,356.1360731291,417.9553400915,429.7427273495,-433.8936768583,-320.3803864,436.8667162238,-135.5561077196,34.2984324715,257.1140990225,135.106980534,90.8941735767,-68.3874234228,-300.4945432286,45.6950189393,417.8098899738,-437.9088718329
1983,698.5,218.0579271097,565.780749092,638.4262661606,-664.4923262314,-445.598773849,683.3165433799,-274.2226012458,108.9824759477,663.5909812713,409.6271401616,283.3975170608,-215.2956069678,-537.9070391288,144.8473387515,642.420590397,-689.9457007159
1984,433.0833333333,-132.3273141785,255.1983731292,350.6809281103,-386.0591507186,-232.3242654266,411.9679835215,-205.0259295923,100.90933989,412.3719868436,349.9070790414,254.1339415953,-196.2638676821,-365.4950195353,133.579767047,381.4781013451,-421.1632447568
1985,500.6666666667,-403.8778394554,155.6581823909,335.5028402894,-405.3393482184,-213.5326688242,457.5162291198,-275.5790362461,154.4784948946,295.8881577691,475.8546431064,371.624750614,-293.8828404263,-452.847557635,203.3371859821,417.9991697274,-476.238916644
1986,347.1666666667,-347.1634817369,0.743539326,174.0124392049,-245.7466444469,-107.5632198626,300.7789993681,-216.2887434398,132.6831772444,1.4870752413,347.1658704333,300.4069996628,-245.2208824459,-330.0830928376,173.3686476373,271.5582329919,-320.8112668234
1987,227.6666666667,-184.800086151,-69.854461194,70.6849341818,-134.0309269894,-42.8662942436,184.288787586,-157.2237116106,103.2417956382,-132.9700690747,216.6851756868,216.4156907224,-184.0321214394,-223.5947046085,133.6777987596,164.6596963999,-202.9119088287
1988,713.9166666667,-223.9506202019,-418.2074405555,75.7890476018,-324.8936325999,-45.5283608332,530.9350577887,-537.2999605328,372.6459631725,-677.8813514589,578.6013684813,709.8824037882,-635.7052260604,-712.4634554167,477.2682383685,470.0912245042,-608.9433414331
1989,257.25,78.2117502118,-207.722814397,-26.4431174163,-79.8150001453,15.8838342136,172.3007117581,-208.0063938647,151.0714296494,-245.0724069103,151.7524130912,255.8873268478,-244.5549595731,-256.75916013,191.0236300243,151.3634784597,-208.2186006189
1990,594.6666666667,479.1454373381,-565.048787502,-182.714069905,-93.8423291394,110.7800772198,349.9817691973,-510.2485659849,385.8908779583,-352.2046199619,185.3329765234,565.9010629989,-587.215515553,-584.2569802199,480.7714692804,305.4093079047,-452.4562683321
1991,368.6666666667,368.6603018598,-368.6650754615,-183.7076137209,-0.5415830038,113.5121256967,184.6459280885,-332.0227956317,260.4951511165,-2.1663203277,1.0831648389,319.6351416414,-368.6662688652,-350.7564802408,319.094018044,160.2372437732,-260.8781082344
1992,393.75,319.9780151181,-374.8535753816,-262.8654018001,60.9937176826,167.2090662317,160.5238464236,-368.5198995663,299.2117467927,229.4627035949,-120.5149763458,293.1566868357,-388.9972093772,-356.4830860924,359.5429838411,138.6800134252,-255.9519350996
1993,536.6666666667,169.1599136555,-435.1974253751,-433.4865803937,165.0078172287,286.9698813607,166.3930782312,-517.1936672652,433.9154908258,509.309370347,-314.0291579743,316.386623816,-510.6696890991,-453.4968558909,510.2200061031,143.2543948784,-315.79812845
1994,591.3333333333,-178.8857137579,-349.2091248156,-539.6607655204,267.5594469492,376.3071533314,123.6036240705,-581.7270379572,503.9305164109,563.6266605869,-477.208652747,241.7464979457,-527.3395997451,-456.1447549437,578.2709185388,106.1544366508,-309.4012697791
1995,633.5833333333,-509.9037717465,-197.9410378059,-619.4222913216,371.4940764947,461.2416627574,66.9783554638,-630.9743708801,564.2695701421,376.0664619936,-601.8697415804,133.206100805,-513.2445727011,-434.3776799221,630.0331262538,57.4385199162,-288.1452628265
1996,611.9166666667,-611.8995995612,-2.2851308816,-611.9147703138,431.8817530717,494.5131626274,0.7617118676,-611.9163183568,565.1184166519,4.5702298956,-611.9123998755,1.5234225549,-433.4975874307,-360.414676356,611.9161925783,0.6528959312,-234.6980658322
1997,547.3333333333,-445.2938079711,167.107201443,-535.6663737437,442.1748067041,479.2206031595,-56.5053797528,-545.1841737218,520.3800479683,-318.2565040346,-521.1995404868,-112.4069117892,-322.5759105916,-264.4265328692,544.4087800878,-48.4561090169,-169.6419271707
1998,662.1666666667,-209.7186943062,387.03744373,-605.6448502739,589.3844197272,615.2710117508,-136.7970444761,-651.6618518912,643.7139935719,-628.0786285991,-537.2771273705,-267.6920054488,-301.8123593018,-244.7575873056,647.8821367094,-117.4798928932,-155.2320486376
1999,347.3333333333,104.5452727719,280.1361298731,-281.5707602049,330.106846506,336.2752039093,-106.8679880349,-334.9273970317,342.9996762371,-331.2261016066,-205.3392149205,-203.3675279932,-108.027377707,-86.9449922663,330.4840050256,-92.0004519661,-54.6961291653
2000,481.3333333333,386.9184471276,457.1206206582,-323.1159428293,475.2416068983,477.4316594834,-195.1349583783,-450.8519386206,479.8079848047,-286.314325611,-150.7398950074,-356.760234986,-76.3360521017,-61.1619841136,440.0046883801,-168.5654389837,-38.2893653037
2001,567.8333333333,567.810021203,567.8275052708,-285.4007140937,567.8318763158,567.832400842,-283.1736707613,-511.91865519,567.8329690788,-5.1453149476,-2.572683879,-490.8982856348,-1.2863452402,-1.029076509,492.1863129263,-245.7111819045,-0.6431730327
2002,392.8333333333,319.9606796343,374.1719177691,-122.5597201556,388.1399422082,389.8274039703,-230.4045185935,-337.4969857549,391.6582279713,227.9104895913,119.6386381179,-373.2253243995,60.5426547188,48.5038440899,318.1694290617,-201.0318690758,30.3621514416
2003,500.5,159.2721809653,406.334822882,-53.9253885672,476.3773865605,485.0163930382,-334.2982149385,-405.3202122275,494.4325697067,474.4814246844,292.2195436884,-497.5864773764,153.5084218334,123.5287354594,372.4848365893,-293.6252297741,77.6961003734
2004,452.5,-135.5123879464,267.8030007807,45.7962438961,403.6936386997,421.0567353407,-335.7670698289,-341.1905239291,440.1293114027,431.732142321,364.7434752986,-450.1765809602,204.4203905519,165.7331458226,303.342586556,-297.2293329754,105.0830112063
2005,533.3333333333,-428.2126948076,167.4281047899,163.0605867222,432.2843009326,467.8936777662,-430.9350825219,-369.1355242672,507.4426428713,317.9281875676,506.3716759169,-507.7949285905,312.3695369456,255.9686518909,314.2282595444,-384.9459821434,164.1536129367
2006,304.9166666667,-304.8993613424,1.6242970472,151.5195811168,216.182155661,247.0641018415,-263.7944457528,-190.475049622,281.8614162209,3.2485480011,304.9123403049,-264.6053479227,215.0336001301,178.6994773143,152.9269891194,-238.1038199665,116.3112877458
2007,428.1666666667,-349.1346818121,-130.0747122142,285.3337154476,252.6193168565,312.7625307683,-390.8305772808,-236.4355652292,381.7655466897,-247.8541272612,407.930464279,-319.235595248,345.7024373583,292.4145923033,174.8661039391,-356.9662700302,193.8601604384
2008,518.1666666667,-165.6763252936,-302.1992266879,418.0563548102,236.5450575286,331.1926291417,-492.5035849084,-246.2786396006,442.1913943195,-490.9664445578,420.918426579,-306.1463353485,461.0240017649,398.5073861884,161.0494125939,-455.8985919269,270.1175026432
2009,292.5833333333,87.1766535851,-235.702612246,266.82564058,91.220477356,157.3471691456,-286.071444122,-115.4386228202,236.9542131694,-279.2941782675,173.3472974258,-120.0378460049,277.999696862,246.6715940401,61.385143173,-268.847412682,171.6324788776
2010,490.75,393.5561672968,-465.8182325763,479.6164526473,78.2152953814,210.0099216618,-487.9586748059,-152.4451931896,373.6440275907,-293.1707790395,154.4310095141,-103.9404678169,484.4769654673,443.544130052,52.2675251152,-466.4718915148,318.1598704202
2011,373,372.972028573,-372.9930070777,372.9968920291,1.1420070096,116.1318842071,-372.9992230065,-83.636396014,264.1542812587,-4.5679209883,2.2840033141,-1.5226741625,372.9982517653,354.4606966513,0.7613386672,-363.502342856,263.3467594118
,,-16.2059226449,-22.5119849046,-23.2355159024,108.2616389465,9.2603574272,-46.8896019605,3.8217337536,-13.2760155044,29.1002979372,-16.0140231099,-48.8534144844,-4.3061764546,-47.6771881572,93.6134685339,3.0446072998,-125.351946829
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1109.4592688066,,,,,,,,,,,,,,,,
20,763.2384005108,,,,,,,,,,,,,,,,
30,2926.5453060345,,,,,,,,,,,,,,,,
40,11739.1256230431,,,,,,,,,,,,,,,,
50,2358.868490257,,,,,,,,,,,,,,,,
60,10962.116262971,,,,,,,,,,,,,,,,
70,23.8752824936,,,,,,,,,,,,,,,,
80,15889.3631614858,,,,,,,,,,,,,,,,
