Year,Annual_mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1925,498.4166666667,-407.6185940741,150.4248528026,331.6314877522,402.1152989684,-494.6734729217,454.8130573644,-496.5057010429,473.7299550053,286.8209465437,475.1752700535,372.0748982966,294.4867738061,60.9699007606,203.873138157,43.6034682459,154.9164398694
1926,614.8333333333,-614.7657396429,-4.5584456777,304.7810781658,433.1381670015,-614.8306295381,531.6999125462,-614.8319538455,567.5948426427,-9.1166407782,614.8164346785,533.9742710748,436.3614970002,-1.8233923036,308.7316484847,-1.3024240091,236.3389988621
1927,635.8333333333,-508.9232021805,-200.865243042,193.5562543481,371.8650365008,-630.5856808896,513.494667045,-633.1541523391,566.0071613885,-381.1577128435,603.272062933,605.6566718699,515.752287834,-81.521327484,374.9763388456,-58.3082082855,289.6893526429
1928,692.6666666667,-204.6757938038,-411.1052245288,69.1439189437,312.2724976583,-670.4136513448,513.6539686239,-681.2830870227,589.9524816271,-661.7362998521,557.476103054,689.2069570051,618.282296623,-174.1627032453,464.7006688483,-125.06185049,362.9644342539
1929,507.6666666667,163.5603663408,-412.7708749558,-55.3997624733,155.2021750147,-471.4961916418,338.8221005893,-489.1031900073,410.1928907804,-480.5969735724,295.5429735804,504.6348291214,483.3608686222,-188.1934794613,378.0542667352,-136.0276220816,299.1107433672
1930,537.5833333333,439.1568898985,-512.3862142006,-168.4306517605,82.2968750736,-470.384072878,315.0002611656,-502.9375613286,408.189458893,-310.0597786435,162.6536435956,510.5163619565,531.2467078777,-260.2588408882,435.6267619687,-189.8674529312,349.8245359125
1931,885.6666666667,885.5890904252,-885.647272394,-446.2129868549,-2.9306024022,-715.1388214265,441.1402700691,-797.2300719868,625.2239229203,11.7220887394,-5.8611727173,765.0486355824,885.6618180852,-522.4767081251,767.9848348554,-385.7844693147,627.296174588
1932,706.8333333333,566.4259686423,-670.813728472,-475.2211364708,-112.8269856228,-514.0075832146,286.1041953109,-606.1102006752,458.1830893722,422.8179078027,-222.7606401601,523.2382177961,697.770329282,-485.1902364114,646.341821745,-363.6533868239,538.2207890117
1933,891.25,264.7108364709,-717.7221243297,-723.2300235123,-278.079772,-566.3719800349,273.6309595465,-720.0923752393,522.7274460486,851.0315714208,-528.3952258941,520.8309664281,846.7574640382,-688.149215455,848.205553199,-525.160483683,721.8604987444
1934,782.6666666667,-250.9796698269,-456.1434475725,-716.298665847,-357.4624731897,-417.7495002721,161.1583413524,-588.4996549091,407.9173621957,741.3341462827,-636.0033540382,315.4097849101,696.2669684627,-661.8553211493,765.8949667701,-515.9799097669,667.959981384
1935,788.0833333333,-643.0679595961,-239.0441372627,-771.5090016596,-465.1282832563,-333.8426925595,80.8144620509,-543.6407909136,356.732036956,455.5644187364,-750.9548859406,160.7768659848,636.1847376295,-713.8798196492,783.9287997013,-570.5523908744,702.7215622755
