Year,annual_Mean_coastalap,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1904,618.8333333333,-204.0349114753,358.2534647842,-567.1494491929,-549.842650326,574.3763142771,-126.4589069663,241.4407441107,146.1056712355,584.2297915578,504.5880987643,247.5806873014,-283.9502673478,230.31835368,-605.7745779523,569.7903662995,-601.3383633839
1905,613.4166666667,-503.9073234084,183.2687320717,-600.9113552908,-494.317763021,536.2643961911,-61.9312781227,187.7619695779,191.1246353535,349.7962497796,585.3995035779,123.2296637464,-363.2216349647,297.8262989097,-610.282331167,583.9738433566,-582.8819612113
1906,804,-803.8193492317,-8.5218313079,-803.9799270242,-565.4929034163,648.4401830647,2.8406577166,176.5322064698,309.6447203274,-17.0427052036,803.9548360394,-5.6812799726,-571.5188327481,475.3328612531,-803.9949817404,784.380252224,-741.9812310115
1907,626.1666666667,-498.784522275,-199.7028451808,-611.562470861,-365.4021274937,454.66183874,67.6190084482,82.2011233982,285.728946975,-378.5481406418,593.4673268775,-134.4471594305,-508.493834444,430.5430371496,-622.5049109372,620.7476699566,-557.174715242
1908,666.75,-192.955783642,-397.4306818533,-607.2334010488,-299.6403305417,422.8861623381,140.8593134137,27.9569485373,349.8359416293,-638.2191066234,535.3544766056,-275.3600536584,-595.6267579725,515.4831289217,-651.7010175875,666.1636221894,-567.6005430268
1909,658.8333333333,216.2323763398,-536.8996453666,-530.3821470942,-200.4170378096,350.7655025424,205.7035770235,-31.4616895765,388.6000103154,-622.3382685755,381.8378345794,-390.8402987856,-627.6100477739,557.6960851012,-625.8972755259,658.0816994873,-532.0257447661
1910,874.4166666667,717.5176125635,-834.2702997221,-580.7702359029,-132.4851923092,369.1526678479,358.3080610083,-119.8417474888,569.5424684353,-499.7729310453,261.9113856747,-653.6898653289,-864.3218039384,792.6732080531,-797.6339012109,866.1653782641,-663.4952023889
1911,689.75,689.6174314947,-689.7168570774,-340.9637745211,3.3808527672,210.5705238309,346.8250993109,-155.3666959336,488.920753137,13.5225988151,-6.7616243079,-599.5821603119,-689.7417142196,656.8219827271,-596.210879629,672.0239968146,-486.5301220396
1912,719.3333333333,573.6900096177,-681.9511681062,-217.8832285539,115.9530886179,132.0629088953,424.6821019135,-224.1704207971,548.1101012526,433.9587737438,-228.873433939,-685.5416421774,-709.9262818662,707.1066627734,-580.5906964108,683.5115704098,-465.8495050435
1913,663.5,193.0265051277,-533.0597228042,-65.1808898,208.0229842102,39.1489613072,445.5248195206,-262.4244742161,537.7060070445,634.8015582197,-395.0690850015,-660.2906190496,-630.0465760881,662.3440260383,-491.6705046992,609.3977726677,-388.7216227434
1914,682.5833333333,-223.0000612403,-396.0453773303,75.5682948481,312.7187499456,-45.4005702197,508.6755673001,-325.0552128587,582.8278535203,645.12865355,-555.9389049524,-678.3873817799,-606.7346952144,681.0717988348,-455.1584055868,600.2158907741,-355.2910076337
1915,1132.5833333333,-928.328556811,-340.0996586612,356.5631052882,669.9081287282,-216.3025153697,918.308890645,-626.4100308744,1010.3147500672,648.807442585,-1080.3134865042,-1074.9919808499,-913.2185423042,1111.7365824642,-662.9131076594,943.5864985068,-511.8682572119
1916,953.9166666667,-953.7619014541,8.5916562925,481.9101673924,677.5517438086,-298.0430455668,827.5443031815,-596.6745758138,882.1238314128,-17.1826156078,-953.8779745789,-823.2372668364,-671.4764637769,906.1607748815,-474.4759564155,744.2690760215,-363.0627397547
1917,1100.6666666667,-878.8712568868,349.3728769985,741.3015236196,893.3113094159,-472.1626962094,1006.8249570081,-762.6382587698,1047.5459637509,-662.6103115175,-1043.7459958865,-813.5964369332,-643.0101209007,994.248208155,-444.7140846172,793.6308949201,-337.8084737545
1918,715.3333333333,-209.1956797067,425.4745203266,581.142505986,638.7714319893,-385.3914596359,680.9597578882,-539.8637789082,695.9296930943,-684.0606298931,-575.0419204985,-417.1033031684,-321.9826632787,602.6401916711,-219.0789490447,469.3068058325,-165.4800291497
1919,919.6666666667,299.0704968221,748.6093589745,842.2706405593,875.8589645546,-588.6317035582,900.1097183711,-745.3410418067,908.6487418634,-869.6801801286,-534.2010908203,-369.2789539489,-280.4600720015,706.6112759813,-188.6511931362,538.7518066572,-141.9304114271
1920,660.9166666667,541.1205316182,630.2564629973,647.2307240674,653.2066445418,-483.2995028622,657.4862785613,-568.1721257072,658.9863422078,-379.4725425365,-198.9664070338,-133.8029525124,-100.6574378983,450.8130774623,-67.2505299717,337.6259407203,-50.4761434873
1921,770.3333333333,770.2294754956,770.3073684363,770.3217933431,770.3268420817,-624.6964510917,770.3304483303,-694.8285096739,770.3317105187,12.6490917548,6.3247590601,4.2165323592,3.1624061782,450.7413764431,2.1082740754,332.6060531451,1.5812064201
1922,744.8333333333,595.4553056044,706.50253169,727.7152388905,735.1881834372,-653.8546378383,740.5414443313,-697.9391331124,742.4181300794,447.4479561603,235.8619663279,158.7678353159,119.4781543993,356.7223107989,79.8439958423,260.1108627387,59.9334178384
1923,788.75,231.8670132457,634.4334753138,718.8611118173,749.1782051534,-734.2741482066,771.07984815,-760.7969233648,778.7942192308,753.8993637539,468.6370961642,324.600160839,246.6953169866,288.0417292259,166.0193671745,208.1216084377,124.9244835596
1924,813.75,-263.4010700445,473.2052629416,655.8630844975,723.6227764584,-788.8067281266,773.2715071402,-800.9917679481,790.8973058631,769.9408670797,662.0164964896,481.697702811,372.2353286439,199.9325090178,253.4565815777,143.5313560842,191.4954675142
1925,1003.75,-820.8938247153,302.9371931127,667.8651178691,809.8108637475,-996.2116671695,915.9376819853,-999.901549751,954.0339923154,577.6221871122,956.9446794507,749.3131834111,593.0602224535,122.7858977866,410.5754805385,87.8120339445,311.982698249
1926,632.6666666667,-632.5971124111,-4.6906640804,313.6212991915,445.7014046999,-632.6638844475,547.1219485025,-632.6652471666,584.0580164467,-9.3810703156,632.6492778638,549.4622751424,449.0182278702,-1.8762800717,317.6864563969,-1.3402010134,243.1940470807
1927,866.3333333333,-693.416200507,-273.6821843598,263.7235675233,506.6722043857,-859.183320908,699.6448962779,-862.6829053365,771.1940301173,-519.3336281417,821.9680689713,825.2171377142,702.7209415887,-111.0741442363,510.9114048019,-79.4458890349,394.7064888697
1928,795.5,-235.0619739715,-472.1379299027,79.4090291429,358.6324906937,-769.9433007383,589.9110664682,-782.4264134647,677.5368611179,-759.9777091419,640.2390375064,791.5266616423,710.0725220841,-200.0189082267,533.690156981,-143.6285400358,416.8501551236
