Year,annual_mean_tamilnadu,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1888,822.4166666667,-232.9854275672,-492.3200559034,669.6619581005,368.4270309722,-47.2180303322,-783.2976219119,793.6150604331,-699.7748581984,-788.724897637,658.7792772746,-477.4118091168,735.2759321916,-821.0600655389,250.6272313982,-215.7413021769,-432.0698108461
1889,675.1666666667,225.6515000511,-551.4537146922,619.2073404326,204.361030297,45.9801345158,-661.0288132121,664.7700107637,-544.8980562454,-636.3422257736,389.5495197404,-269.1324902946,643.4956076569,-673.5991797855,137.4443010139,-118.0290666194,-398.6679521579
1890,698.5,575.6978485705,-667.09339572,684.4827687469,104.7318315737,134.4924318806,-694.9868574188,695.9183410045,-529.6496173671,-395.5682458834,207.0957541495,-139.2321417223,690.6037166532,-685.429818265,69.9679784983,-59.9992721088,-455.3828420383
1891,755.5,755.2451080406,-755.4362743226,755.4716772555,-4.9063606322,237.1921788891,-755.4929192807,755.4947978367,-532.4816872637,19.6233733262,-9.812514339,6.5417784112,755.4840684127,-717.3005787491,-3.2709198614,2.8036479193,-535.9510264276
1892,607.25,481.9565432417,-575.0742010313,592.8785899522,-98.8401586496,261.370692917,-603.646455406,604.6018022545,-392.8943090451,369.4190749359,-195.044163738,131.3298902622,599.1520554401,-548.1221792485,-66.0569404057,56.6500062724,-463.0190324598
1893,871.9166666667,248.3399221218,-698.8456162515,793.5116157062,-274.6848497593,470.9212582121,-852.0899824957,857.3354039137,-510.2628611928,835.8025823672,-521.3957021853,361.3557656252,827.5185236138,-733.8064064691,-184.8819497454,158.7913058301,-707.0151950974
1894,686.8333333333,-228.5194107569,-396.7274121838,552.2734240104,-315.6377804088,440.4468814164,-652.3265380552,661.424457164,-357.0360478535,647.7027919386,-560.6669137729,408.3308620587,610.0105075786,-527.0166718694,-214.9653821587,185.0883984561,-586.7412447672
1895,851,-700.6186332105,-252.9570547918,564.2034120848,-504.4474929922,623.2228426391,-775.9955230812,795.6756821594,-384.0027235995,483.0471310321,-812.5353705723,637.0835971769,685.3712328468,-579.4775995781,-349.3307145928,301.829767949,-759.4359145235
1896,790.6666666667,-790.4316156546,9.6396836118,389.7547238376,-562.4835794434,641.9216361591,-683.1251152213,711.1667016818,-300.3471000065,-19.2779343179,-790.6079017299,687.9280725658,555.6671671373,-461.6171474378,-398.1128668252,345.5368290021,-731.3996153236
1897,680.0833333333,-540.4204662107,217.9247441384,204.9620423166,-552.5940312233,597.5316043966,-548.5911999035,582.6140578017,-208.2106499958,-412.866879246,-644.2221248684,648.4627217405,396.4254998535,-324.760407108,-401.9465582215,350.8193266193,-647.4269576609
1898,969.8333333333,-277.7088975671,579.3295040909,93.7371957095,-866.7265308317,903.4136964764,-718.1525434811,782.6732519926,-223.6027883988,-929.2225043855,-777.7879017664,965.2927186014,435.1572304314,-352.7327422615,-651.7926194244,572.7122096304,-943.7046611439
1899,637.75,211.2305581025,520.3063284883,-71.6142108374,-607.6801887068,618.4502945274,-424.8841604122,478.8642555698,-97.9209429904,-601.7530339132,-368.7904378303,633.7163934333,193.5196391928,-155.70579854,-475.6033144657,421.2055166277,-630.1877112606
1900,748,615.1429104858,714.0136192831,-236.6179152256,-739.4545919878,742.5271804203,-437.3292806406,515.1271155408,-56.5330221778,-425.5622159908,-222.9092897981,709.5885865728,112.742655584,-90.3182502987,-606.8336677331,542.3541784062,-745.8605884503
1901,825.9166666667,825.7021611675,825.8630385508,-418.3803820345,-825.9032595289,825.9080860902,-410.2383512967,512.8454373769,2.3529958086,18.8223622607,9.4117922534,712.1068713378,-4.7059725189,3.7647853488,-716.8283165467,647.4008786212,-825.9133148755
1902,1000.6666666667,796.1348648538,948.1559468801,-675.128489787,-987.4517275853,992.2023842504,-403.580972254,548.5802731986,81.3134338247,606.2203021527,319.8969805636,738.6036149761,-162.0890602927,129.8776596099,-915.6725269507,836.8951318028,-997.3574601202
1903,938.1666666667,270.0725076075,752.8378705488,-763.0443538018,-890.6301392828,907.6497307738,-286.6129066523,441.9508614083,149.3271332355,898.4528563476,559.8141076393,545.8204911651,-294.8468236994,237.3365978328,-893.3139068574,827.5482647828,-926.2062954462
1904,488.6666666667,-161.1177916633,282.8976996357,-447.8540762278,-434.187624766,453.5608277567,-99.8592823122,190.655605099,115.3735060766,461.3417045105,398.4520079658,195.5040601044,-224.2235884363,181.8727209776,-478.3547165517,449.9394974388,-474.851624412
1905,654.0833333333,-537.3140308969,195.418595032,-640.7489780841,-527.0887273402,571.8162268311,-66.0370332815,200.2097132478,203.7953080953,372.9861111968,624.2087628831,131.3992162404,-387.3015368615,317.5707947483,-650.741205995,622.6885880323,-621.5243191885
1906,848.9166666667,-848.7259235721,-8.9979162037,-848.895472284,-597.085013174,684.6662670896,2.9993553233,186.3944431289,326.9434873523,-17.994821508,848.8689795537,-5.9986732049,-603.4475900917,501.8880449404,-848.9113680545,828.2008322353,-783.4331260691
1907,710.1666666667,-565.696260158,-226.4928994718,-693.6033240188,-414.4206721454,515.6545368302,76.6900705344,93.2283701889,324.0593673304,-429.3302175339,673.0807239354,-152.4831904001,-576.7080725489,488.300207957,-706.0136879168,704.0207137836,-631.919473422
1908,655.8333333333,-189.7965275918,-390.9235678272,-597.2911968821,-294.7343333788,415.9622669167,138.5530304419,27.4992107223,344.108094066,-627.7695749438,526.5891427179,-270.8515963369,-585.8745888318,507.0431476833,-641.0307472083,655.2565562592,-558.3072457969
1909,868.0833333333,284.9092669279,-707.422667061,-698.8351664913,-264.0708680574,462.1710397147,271.0364485016,-41.4541386692,512.0220474899,-819.9971848913,503.1121582107,-514.9738669934,-826.9433174374,734.8241991525,-824.6865569383,867.0929754059,-701.0007820932
1910,812,666.3005448221,-774.7193176872,-539.3143217991,-123.0282773145,342.8022105699,332.7317017502,-111.287333225,528.8880027097,-464.0986791295,243.215909846,-607.0288809459,-802.6257178667,736.0914647164,-740.6980590297,804.3376961598,-616.1343040196
1911,683.9166666667,683.7852193158,-683.8838040394,-338.0801857551,3.352260319,208.7896930144,343.891940322,-154.0527333003,484.7858669803,13.4082358917,-6.7044400984,-594.51139177,-683.9084509605,651.2671272492,-591.1686225825,666.340575312,-482.4154538576
1912,791.3333333333,631.1121792551,-750.209487064,-239.6917444796,127.5591438271,145.2814391647,467.1896709651,-246.6082386341,602.9719093483,477.3948697256,-251.781988958,-754.1593413018,-780.984704889,777.8828625691,-638.7035742721,751.9260742135,-512.4776297374
1913,784.4166666667,228.2037795487,-630.2048694745,-77.059497072,245.9332266227,46.2834931907,526.7175491268,-310.2488791505,635.6978955426,750.4882024017,-467.0667291031,-780.6224060681,-744.8666692687,783.0500272668,-581.2728536465,720.4548146347,-459.5625012414
1914,790.9166666667,-258.3925749276,-458.9020481312,87.5617978761,362.350586709,-52.6061301374,589.4078634166,-376.6449792751,675.3289168308,747.5175254357,-644.172402259,-786.0547723689,-703.0300320205,789.1652353488,-527.3969512178,695.4766230421,-411.6795206265
1915,803.0833333333,-658.2519536449,-241.1552064247,252.8289784168,475.0132173169,-153.3740961384,651.1472871125,-444.1699262407,716.3860824367,460.0513077913,-766.0202390877,-762.2469074719,-647.5378627169,788.3014822461,-470.0532424777,669.0709356272,-362.951541075
1916,783.5833333333,-783.4562033172,7.0575123717,395.8592909925,556.566702807,-244.8238627993,679.776280494,-490.1311292371,724.6099752576,-14.1144522198,-783.5515501847,-676.2383174685,-551.5762373455,744.3548323762,-389.7525481064,611.3708501642,-298.2335058892
1917,730.1666666667,-583.0307353757,231.7690148592,491.7689241335,592.6100615614,-313.2260405956,667.9134065191,-505.9234118217,694.9271452442,-439.5662893335,-692.4063004207,-539.7283449734,-426.5638006763,659.5701695832,-295.0170207008,526.4834873781,-224.0973536521
1918,698.1666666667,-204.1753733204,415.2639248947,567.1961690531,623.4421082487,-376.1427829485,664.6179929623,-526.9080544843,679.2286776264,-667.6444498189,-561.2419862462,-407.093601345,-314.2556795142,588.177950352,-213.8214626161,458.0443172489,-161.5088168937
