Year,annual_Mean_gnbwl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1971,1818.5,1818.4997776738,-1818.4999444185,-908.9904045881,-0.2248055251,-1471.3031069742,909.3797884428,1133.7157675441,-1285.7941983756,0.899222066,-0.4496110467,-1575.0170457385,1818.4999861046,1068.7419788743,-1574.7922562585,1421.8406410079,-1285.9531598871
1972,1053.3333333333,852.0556145894,-1001.7508901448,-325.4391441749,-164.8234006827,-923.060893306,619.1587892375,580.2560565972,-684.0676607831,619.2837320306,-325.5860334921,-1001.7986197584,1040.3578027287,507.4147202832,-852.1464104372,879.0984130877,-800.9759962581
1973,1459,451.0536271919,-1180.4169267833,-152.575987258,-450.8063352612,-1356.5285770445,976.2357898045,691.4005469506,-857.5997192321,1387.5271620394,-857.4945358214,-1451.0001957658,1387.6075266762,537.1324042186,-1084.2714986131,1284.7747988175,-1180.3405108582
1974,1381.75,-426.3782362106,-812.4299768645,144.22098786,-627.1594462206,-1338.3080874443,1026.7693052667,543.1460309328,-722.0302963466,1314.3190868986,-1117.6719532994,-1374.2028122372,1231.2205698072,343.7506735719,-924.6501264058,1270.5217241677,-1178.0939324424
1975,1173,-948.4391079129,-362.9117843348,362.1870038416,-689.2871234019,-1163.7276066829,948.8873367018,362.6011828633,-532.6327084632,690.2117490896,-1115.4479085959,-1115.6834561148,949.1113009086,147.1973418379,-689.5954047461,1115.5489151921,-1045.0987502984
1976,973.1666666667,-973.1660798605,-0.5343502037,486.2747934904,-687.9438019579,-973.1666431944,842.697982962,216.6987965977,-372.5381755644,1.0687002463,-973.1665199651,-842.9651157237,688.3216446247,0.2137400905,-486.7375788071,948.7333622595,-899.0376348398
1977,1426,-1154.8445268774,439.6974554582,953.6797015144,-1153.3612988746,-1414.8061472332,1302.5788372225,191.7026229801,-440.8983940801,-836.5465430813,-1356.5183919371,-1060.1749982523,838.590313716,-178.3243274241,-580.3140294877,1413.0555913844,-1356.1285359794
1978,1519.4166666667,-472.0323585999,892.0238713403,1228.7171268543,-1353.5107949558,-1471.8124454355,1444.9152722748,68.5446376921,-355.021229348,-1444.2342120928,-1230.0083007458,-893.801560258,690.3879596884,-377.3527956778,-469.9434677615,1517.8697702992,-1477.3580925615
1979,903,277.2779811919,729.9969236292,824.6799177763,-858.660649511,-839.7246366652,883.2029681087,-40.2482717828,-141.4892813813,-859.3753086668,-531.5199822131,-367.8478397605,279.4832534901,-332.0715805026,-188.0465823247,902.1025865269,-891.846277816
1980,1222.6666666667,987.4504465865,1162.3761275518,1195.7470751968,-1207.4999633674,-1071.7103141847,1215.9181445281,-163.7119201805,-96.2907642697,-721.0099814246,-379.2037920112,-255.1523269268,191.9833749198,-588.5157434157,-128.2842296827,1211.6567933902,-1218.8690932558
1981,1467.75,1467.7446863661,1467.7486715909,1467.7494095959,-1467.7496678977,-1187.8988076043,1467.749852399,-326.0550149402,-0.4936816584,-3.9494485759,-1.9747260752,-1.3164842707,0.987363261,-862.0826441776,-0.6582422016,1431.0758853857,-1467.7499169744
1982,987,800.2420129276,939.1506446677,965.6370447217,-974.9642778807,-719.8985574885,981.6447328694,-304.5961942385,77.0689877049,577.7384535805,303.5870000844,204.2402944113,-153.6673578106,-675.2148302029,102.6772537121,938.8238165148,-983.9864689792
1983,1247.4166666667,389.4188870084,1010.3999085132,1140.1339511046,-1186.6840409637,-795.7728520336,1220.301281061,-489.7206058278,194.6264235817,1185.0743734969,731.5328872678,506.1056350373,-384.4857958365,-960.6216259507,258.6757114975,1147.2672175677,-1232.1399658812
1984,1468.25,-448.619385898,865.1799376879,1188.8872950503,-1308.8274343874,-787.6315629307,1396.6642104417,-695.0840587815,342.1053799348,1398.0338726571,1186.2637724901,861.5712751525,-665.3786963037,-1239.1104000755,452.8654830865,1293.2966456803,-1427.8382161574
1985,1142.4166666667,-921.5647971194,355.1794311579,765.5473431304,-924.8996545815,-487.2369102715,1043.9563889819,-628.8137496501,352.4876309104,675.1549192505,1085.8008159696,847.9699910397,-670.579204295,-1033.3034566607,463.9729498383,953.7867206712,-1086.6776478483
1986,1384.75,-1384.7372962126,2.9657688381,694.0865823974,-980.2141120435,-429.0393721693,1199.7226674267,-862.7148463127,529.2358032332,5.9315240722,1384.7468240495,1198.2388654337,-978.1169955842,-1316.6084382338,691.5186792579,1083.1692649128,-1279.6257371107
1987,1281.5,-1040.210733832,-393.1998185366,397.874420881,-754.4390904988,-241.2876547868,1037.3327143109,-884.9876417087,581.1318936032,-748.4676874928,1219.6869076541,1218.1700190074,-1035.8879807814,-1258.5795634951,752.4513870148,926.8436351526,-1142.1593462548
1988,1287.4166666667,-403.8535229951,-754.1597699478,136.6715298704,-585.8855760517,-82.1019781151,957.4431782161,-968.9211031016,671.9980722601,-1222.4336405612,1043.4005534806,1280.141619718,-1146.3767990437,-1284.7960689544,860.664995279,847.7225781914,-1098.1166898331
1989,1282.25,389.8426305502,-1035.3841739961,-131.8044210186,-397.8339511615,79.1721921105,858.824441795,-1036.7976619359,753.0081269891,-1221.5513848814,756.4024555344,1275.4578225484,-1218.9721940238,-1279.8034327569,952.1479090328,754.463829951,-1037.8553960877
1990,1565.9166666667,1261.7183174076,-1487.9248550938,-481.1351019597,-247.1119964768,291.7136254257,921.5957714387,-1343.6211888203,1016.1540761932,-927.4491330864,488.0313847886,1490.1691248334,-1546.2957893436,-1538.5051731098,1266.000095186,804.224538234,-1191.438584393
1991,1280,1279.9779015747,-1279.9944753818,-637.8275196095,-1.8803605197,394.1108161622,641.0853199457,-1152.7735399871,904.4316277461,-7.5214014996,3.7607169815,1109.7639637458,-1279.9986188447,-1217.8163509265,1107.885198272,556.3390742215,-905.7612437793
1992,988.1666666667,803.0263075705,-940.7436395503,-659.694800962,153.0716411175,419.6328269577,402.8554012467,-924.8484590598,750.9106652843,575.8663998367,-302.4479554515,735.714707407,-976.2389224963,-894.6405153192,902.3197253732,348.0354707294,-642.3445600871
1993,1730,545.3043179328,-1402.903501675,-1397.3884175424,531.9196095757,925.076822523,536.385140385,-1667.2267907491,1398.7710542769,1641.8109516153,-1012.3051738424,1019.904706587,-1646.1960785243,-1461.8935913502,1644.7464793014,461.7952232414,-1018.0076314631
1994,1453,-439.5506348764,-858.0623309307,-1326.0322868678,657.4360931519,924.6464945726,303.7137527188,-1429.3958052173,1238.2373850255,1384.920300732,-1172.5775182212,594.009574152,-1295.757223951,-1120.8201729424,1420.903570412,260.8383254571,-760.2481031381
1995,1855.75,-1493.4956060797,-579.7644312639,-1814.2726562464,1088.0970129501,1350.9654857222,196.1779557836,-1848.1084131436,1652.7316924235,1101.4894176162,-1762.8616697691,390.1573929798,-1503.2807299068,-1272.281540732,1845.3515307834,168.2360121022,-843.9703877263
1996,1234.6666666667,-1234.6322303008,-4.6107175735,-1234.662840388,871.4095129388,997.7811544991,1.5369090331,-1234.6659638805,1140.241653427,9.2213708476,-1234.6580575452,3.0738156848,-874.6697882845,-727.210110975,1234.6657100967,1.3173506901,-473.5512111357
1997,1588.0833333333,-1292.0164583596,484.8602219701,-1554.2317424535,1282.9667008769,1390.4547859943,-163.9499119899,-1581.8475637357,1509.8785892408,-923.4187267643,-1512.2563402949,-326.1477646112,-935.9514506918,-767.231491609,1579.5977652458,-140.595016677,-492.2147086012
1998,1416,-448.4696770263,827.6541963075,-1295.1318016427,1260.3599370758,1315.716716797,-292.5315101608,-1393.5361423779,1376.5401684839,-1343.1049656628,-1148.93190892,-572.441801735,-645.4059412605,-523.39805229,1385.4534692883,-251.2230480797,-331.9535578215
1999,1622.5,488.3628744887,1308.6013552373,-1315.3029513412,1542.0298228103,1570.8441027146,-499.212986334,-1564.5480854627,1602.256165148,-1547.2582049617,-959.2021387961,-949.9917874346,-504.6288493177,-406.1465929524,1543.7916453575,-429.762188047,-255.5023116239
2000,1408.3333333333,1132.0847916304,1337.48935061,-945.40502663,1390.5095492696,1396.917424735,-570.9454287731,-1319.1478120999,1403.8703156511,-837.7271646168,-441.0499005583,-1043.8448703712,-223.3516759902,-178.9538662603,1287.4098396163,-493.2056646163,-112.0308645486
2001,1279.0833333333,1279.0308211688,1279.0702052248,-642.8845847702,1279.080051302,1279.0812328329,-637.8680176865,-1153.1317050941,1279.0825128252,-11.5901730454,-5.7951460022,-1105.7818882021,-2.8975804361,-2.3180650627,1108.6832575735,-553.4812050268,-1.4487911474
2002,1474.9166666667,1201.3118516859,1404.8512457778,-460.1579310636,1457.2950439421,1463.630721865,-865.0677926575,-1267.1529806697,1470.5046620416,855.7038089258,449.1905507106,-1401.2972033407,227.3110831284,182.1106356699,1194.5864923554,-754.7863917634,113.9965461105
2003,1451,461.7461230383,1178.0056503533,-156.3351424794,1381.0661096889,1406.1114611358,-969.164255496,-1175.0641916925,1433.4099073815,1375.5695249093,847.1739418418,-1442.5534039425,445.0364037567,358.1222680352,1079.8711246574,-851.2491676367,225.2488344491
2004,1301.8333333333,-389.8663949353,770.4638081391,131.7548659567,1161.4184205832,1211.3716978806,-965.9950579866,-981.5982255655,1266.2431128421,1242.0846275024,1049.3595895238,-1295.1489038232,588.1133225048,476.8109031382,872.7104764601,-855.1227697497,302.3216944871
2005,1460.0833333333,-1172.2991602694,458.3605975036,446.4038343688,1183.4458182252,1280.9320512722,-1179.7521220103,-1010.5661751073,1389.2035227733,870.3780897457,1386.2715833969,-1390.1679599741,855.1604151286,700.7541796531,860.2489586683,-1053.8497739273,449.3961644163
2006,1366.9166666667,-1366.8390883026,7.2815918188,679.249983345,969.1270563833,1107.5683144316,-1182.5690881886,-853.884186649,1263.5618503063,14.5629770054,1366.8972719381,-1186.2042967959,963.9781751664,801.0952518137,685.5592791815,-1067.4000980898,521.4140620099
2007,1725.4166666667,-1406.9353030206,-524.1722297384,1149.8315644886,1017.9997967133,1260.3636044292,-1574.9605104318,-952.7828684448,1538.4304484642,-998.7971399267,1643.8692609762,-1286.4486180633,1393.1041194049,1178.3659271387,704.6716002448,-1438.494865896,781.2134336078
2008,1278.4166666667,-408.7553081906,-745.583521489,1031.4253038184,583.602079052,817.1158127472,-1215.100916063,-607.6166950968,1090.9710807745,-1211.3084956514,1038.4865844561,-755.321796491,1137.4347396389,983.1942443738,397.3398260859,-1124.7893693714,666.4317478369
2009,1132.1666666667,337.3346669347,-912.0637111863,1032.4959136771,352.9824566673,608.8631842814,-1106.9685673148,-446.6958500813,916.9068470864,-1080.7435790211,670.7765260117,-464.4927871897,1075.7345148299,954.5087657732,237.5330547275,-1040.319267644,664.1409450389
2010,928.9166666667,744.9432156322,-881.7245438152,907.8425195551,148.0499062008,397.5175066674,-923.6331037632,-288.5560483078,707.2525005186,-554.9286252255,292.3149028788,-196.7438265844,917.0427464874,839.5629848345,98.9346412733,-882.9618228418,602.2292537908
2011,1401,1400.8949384202,-1400.9737343589,1400.9883263615,4.2894150683,436.1950932281,-1400.9970815873,-314.1409941436,992.1719786687,-17.1572581893,8.5787899279,-5.7192131413,1400.9934335743,1331.3657801835,2.8596125275,-1365.3264942125,989.1389006326
,,27.5307118739,-20.7588367357,-89.623713498,236.6240265983,76.8637004595,-151.6751737155,-66.4242736679,60.1999998874,-26.3722212985,-3.6361705718,-164.5267857558,-13.3725491523,-183.1616292793,324.1290043567,-29.6608008248,-310.7899824528
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1453.4341525043,,,,,,,,,,,,,,,,
20,444.1510390482,,,,,,,,,,,,,,,,
30,35101.4732523255,,,,,,,,,,,,,,,,
40,56169.7550344335,,,,,,,,,,,,,,,,
50,39456.2108885798,,,,,,,,,,,,,,,,
60,128064.969786859,,,,,,,,,,,,,,,,
70,5291.9472378809,,,,,,,,,,,,,,,,
80,100214.453179426,,,,,,,,,,,,,,,,
