Year,annual_Mean_gnbwl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1900,1422.8333333333,1170.114756421,1358.184997286,-450.0907179769,-1406.5783983511,1412.4230256792,-831.8805857462,979.8663514642,-107.5361876854,-809.4974683408,-424.0143955005,1349.7677726318,214.4572305527,-171.8018945634,-1154.3090511223,1031.6572239424,-1418.7637797683
1901,1240.4166666667,1240.0945080193,1240.33612439,-628.3515272508,-1240.3965309341,1240.4037797853,-616.1232831249,770.2254399511,3.533885845,28.2686774544,14.1352565525,1069.4895348465,-7.0677430072,5.65420542,-1076.5805157702,972.3097647338,-1240.4116327233
1902,1161.1666666667,923.8293809854,1100.2335912581,-783.4144217765,-1145.8321429192,1151.3447719974,-468.3125639063,636.5687480637,94.3555452127,703.4538382907,371.2062397713,857.0705172449,-188.0870224948,150.7091363261,-1062.5400558404,971.1273123368,-1157.3266863187
1903,1116.3333333333,321.3618148792,895.8088571568,-907.9536474977,-1059.7691726622,1080.0209445234,-341.0433911454,525.8814833385,177.6857591777,1069.0774972136,666.1280676795,649.4769319281,-350.8410064201,282.409048194,-1062.9626129207,984.7074573663,-1102.1015752173
1904,1214.1666666667,-400.3216617555,702.9023676146,-1112.7615775304,-1078.8052000068,1126.9408697843,-248.1155769592,473.7128523691,286.6630258418,1146.2736416641,990.0146241578,485.7595763508,-557.1176131508,451.8904407645,-1188.5450580078,1117.9431237522,-1179.8410927153
1905,1452.1666666667,-1192.92066536,433.8596556286,-1422.5623254038,-1170.2189021062,1269.5209031417,-146.6124782729,444.4966827694,452.4572606534,828.0871415105,1385.8404767489,291.7266839348,-859.8696115873,705.0565255809,-1444.746624496,1382.4654522935,-1379.8805944936
1906,1187.8333333333,-1187.5664390494,-12.5901931449,-1187.8036774257,-835.461841345,958.0085374589,4.1968009009,260.8095015568,457.4705476313,-25.1789718048,1187.7666078882,-8.3935494122,-844.3645773208,702.2589763994,-1187.8259193333,1158.8470268657,-1096.2065160487
1907,1138.5,-906.8930188076,-363.1009144078,-1111.9465633354,-664.3763462627,826.6688901871,122.9452879184,149.4585770383,519.5140901746,-688.2785064478,1079.0458636945,-244.452634035,-924.5465485992,782.8159400503,-1131.8421737056,1128.6471475841,-1013.0584189029
1908,1148.5833333333,-332.3971460989,-684.6378062721,-1046.0564887708,-516.1783121931,728.4889358213,242.6526580153,48.1603076728,602.6482669012,-1099.4343140344,922.2335646862,-474.3516584893,-1026.0621928677,888.0019954916,-1122.6590582938,1147.573203929,-977.782562747
1909,1466.25,481.2305415759,-1194.8835391128,-1180.3786843059,-446.0331115936,780.6373662071,457.7984363431,-70.0187741082,864.839006008,-1385.0293240053,849.7896154091,-869.8248238216,-1396.7617999724,1241.1665339435,-1392.9499826562,1464.5772201466,-1184.0365518797
1910,1129.0833333333,926.488719396,-1077.2446670099,-749.9147933144,-171.0704155721,476.6653480102,462.6623385687,-154.7446713738,735.4170308615,-645.3276891959,338.1909239022,-844.0716654285,-1116.0484248128,1023.5327643106,-1029.9382185749,1118.4289250071,-856.7327263096
1911,1107.25,1107.0371888691,-1107.196795939,-547.3463419189,5.4272551308,338.0271294118,556.7554783791,-249.4088786842,784.8604623574,21.7077166191,-10.8543798693,-962.5043088153,-1107.2366989049,1054.390924791,-957.0924196726,1078.7945929293,-781.0228019259
1912,1158.5833333333,924.0051209123,-1098.3743153591,-350.9303205034,186.7580851546,212.7051230736,684.0077922733,-361.0566914205,882.8052291143,698.9491231882,-368.6315282732,-1104.1572580159,-1143.4320084321,1138.8906316657,-935.11960753,1100.8875536848,-750.3134463184
1913,1629,473.9113441643,-1308.7479856037,-160.0296450403,510.7301300352,96.1170429079,1093.835615673,-644.2946021071,1320.1553662027,1558.5406757196,-969.958612611,-1621.1204497841,-1546.8664241861,1626.1618966335,-1207.1307492916,1496.1702662784,-954.3745643542
1914,1191.5,-389.2632005389,-691.3266762385,131.9100817651,545.8738477258,-79.2500736175,887.9310537489,-567.4080617085,1017.3693870874,1126.1200694003,-970.4327265303,-1184.1756543388,-1059.1005581951,1188.8615040582,-794.5128657161,1047.7214999742,-620.1868913621
1915,1174.9166666667,-963.0273212036,-352.8117936476,369.8906056551,694.947737984,-224.3874007944,952.6331431981,-649.8237823044,1048.0779678609,673.0583572221,-1120.6930944172,-1115.1726832466,-947.3525294642,1153.2907126895,-687.6912592812,978.8555693067,-531.0007032912
1916,1467.5833333333,-1467.3452298862,13.2181059638,741.4099727394,1042.4009574747,-458.5337708986,1273.1617649453,-917.9729147075,1357.1313702288,-26.4351396409,-1467.5238062643,-1266.5354683546,-1033.0542503342,1394.1117678376,-729.9725752103,1145.0443520411,-558.5653804333
1917,1552.6666666667,-1239.788708231,492.846414615,1045.7245599698,1260.1587157055,-666.0611262699,1420.2879011943,-1075.8234431707,1477.7314049521,-934.7179985005,-1472.3709415018,-1147.7081172728,-907.0687895686,1402.5463820673,-627.3404621887,1119.543521665,-476.5329711534
1918,1159.9166666667,-339.2118669428,689.9091156135,942.3255522857,1035.7711511952,-624.9142272452,1104.1797378899,-875.3918847418,1128.4535645597,-1109.2078177404,-932.4334216472,-676.3351440822,-522.0965389302,977.1841598173,-355.2376388343,760.9833912375,-268.3267154863
1919,1335.5833333333,434.3242889242,1087.1658387354,1223.1851718235,1271.9637209964,-854.8387380326,1307.1818101063,-1082.4194343091,1319.582582987,-1262.9905986698,-775.7920335788,-536.2843235718,-407.297351755,1026.1742406807,-273.9681653129,782.4007978701,-206.118041314
1920,1209.0833333333,989.9278518783,1152.9934461767,1184.0462205892,1194.9785910549,-884.1498533636,1202.8077689629,-1039.4161356556,1205.5519908073,-694.2084377331,-363.9898625208,-244.7796038334,-184.1430798721,824.7190695877,-123.0283620425,617.6541134674,-92.3412389178
1921,1174.5,1174.3416516265,1174.4604122394,1174.4824053848,1174.4901030182,-952.4525942976,1174.495601338,-1059.3804646629,1174.4975257519,19.2856230196,9.6431365419,6.4287978225,4.8216089005,687.2294417556,3.2144109496,507.1126907213,2.4108095289
1922,1353.4166666667,1081.9858601836,1283.766795388,1322.3118365207,1335.8907235629,-1188.1017199746,1345.6179903095,-1268.2064735824,1349.0280656322,813.0456764376,428.5784510104,288.4927739276,217.1005488475,648.1905403542,145.082382689,472.6404700984,108.9034055845
1923,1155.9166666667,339.8021490472,929.7651068229,1053.494187218,1097.9240236327,-1076.0820612546,1130.0209797875,-1114.9513073421,1141.3264252458,1104.8429027607,686.7897687157,475.7029932381,361.5330947619,422.1264475533,243.302128059,305.0031516787,183.0773915958
1924,1077.6666666667,-348.8277150861,626.6759304005,868.5736209649,958.3092416959,-1044.6337540332,1024.0601259947,-1060.7706649365,1047.4023511953,1019.6492875652,876.7227171125,637.9226515875,492.9592698436,264.7749315534,335.6580146404,190.0816689074,253.6015756164
1925,1106.5833333333,-904.9936984968,333.972850755,736.2873308579,892.7752976092,-1098.2727047193,1009.7747180641,-1102.3406126313,1051.7739629685,636.7990886395,1054.9828475239,826.0796814044,653.8187375641,135.3652085271,452.63858913,96.8083020962,343.945060195
1926,1462.8333333333,-1462.6725120211,-10.8456160784,725.1459807701,1030.5377315729,-1462.8269003677,1265.0393419404,-1462.8300512068,1350.4418362361,-21.6906359747,1462.7931274527,1270.4505766396,1038.2067929442,-4.3382798179,734.5453181758,-3.0987735234,562.3061515351
