Year,annual_Mean_eastrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1917,1114.25,-889.717411859,353.684489578,750.4499297636,904.3356691551,-477.9896586171,1019.2501892909,-772.0499816786,1060.4737342,-670.787588984,-1056.6268709114,-823.6370349965,-650.9455123079,1006.5182307117,-450.2023035597,803.4250981206,-341.9773699706
1918,240.4166666667,-70.3086598269,142.9979020436,195.3164177272,214.6849465621,-129.526370113,228.8640379203,-181.4430338013,233.8952894429,-229.9062112351,-193.2660695059,-140.1844163142,-108.2152823345,202.5415835242,-73.6303317794,157.7295124449,-55.6162493123
1919,635.8333333333,206.7694717971,517.5688119767,582.3237574726,605.5458408437,-406.964470655,622.312173901,-515.309183489,628.2158300487,-601.2739918793,-369.3325772887,-255.3097515975,-193.9027137887,488.5324425278,-130.4284707891,372.4788224714,-98.1269517206
1920,508.6666666667,416.4669934431,485.0694048841,498.1334434129,502.732739665,-371.9657250625,506.026509184,-437.2869317005,507.1810153621,-292.0565375921,-153.1321332157,-102.9798540078,-77.46980216,346.9629334043,-51.7585720523,259.849797271,-38.8483646257
1921,456.25,456.1884874879,456.2346216128,456.2431651399,456.246155387,-369.9927595984,456.2482912818,-411.5302997041,456.2490388457,7.4917543658,3.7460034459,2.4973512188,1.873017506,266.963331461,1.2486802859,196.994606336,0.9365107259
1922,518.8333333333,414.7801222525,492.1330009288,506.9092724695,512.1147493936,-455.4597197562,515.8437046774,-486.1679394448,517.1509597085,311.6816933379,164.2958830116,110.5939295901,83.2256644988,248.4843485158,55.6174444075,181.1870923485,41.7482053549
1923,599.4166666667,176.2091311439,482.1426294699,546.3040652195,569.3437749254,-558.0173215056,585.9880980183,-578.1735097478,591.850694023,572.931655941,356.1443880306,246.6824043228,187.4780153285,218.8995412912,126.1677029146,158.1636269934,94.9373280765
1924,796.4166666667,-257.7904788956,463.1257243147,641.892831392,708.2092037494,-772.0047005332,756.8003885038,-783.9301921434,774.0507477864,753.5406929525,647.9151722429,471.4372704316,364.3065064875,195.6738339666,248.0578136342,140.4740573576,187.416506199
1925,391.3333333333,-320.0429556549,118.1065221135,260.3814523465,315.7220270783,-388.394353593,357.0978293568,-389.8329329706,371.9504879961,225.1983221817,373.0852814197,292.1357168367,231.2171693351,47.8706995439,160.0716028733,34.2353932257,121.633105104
1926,728.4166666667,-728.3365858253,-5.4005656911,361.0858503995,513.1554239307,-728.4134633767,629.9253097814,-728.4150323345,672.4514122445,-10.8008345138,728.3966461812,632.6198296917,516.9742267931,-2.1602429013,365.7662428036,-1.5430317516,279.9998900859
