Year,Annual_mean_rayalseema,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1900,460.8333333333,378.9817619192,439.8947543043,-145.7773029409,-455.5686156074,457.4615984541,-269.4330349758,317.3632964506,-34.8292794834,-262.1834953687,-137.331592311,437.1685476545,69.4593232375,-55.6439309439,-373.8625426207,334.137545297,-459.5152689539
1901,502,501.8696215188,501.9674043215,-254.2955727349,-501.9918510142,501.994784644,-249.3467690658,311.7123312237,1.4301732167,11.4404106809,5.7205767868,432.8253246836,-2.8603348253,2.2882723178,-435.695063957,393.4964073064,-501.9979627494
1902,530.5,422.0681670269,502.6616220718,-357.9170524637,-523.4941453871,526.0126897183,-213.9570677356,290.8279496321,43.1080379521,321.3856132165,169.5922866646,391.5681722966,-85.9309591791,68.854195626,-485.4406484484,443.6770826996,-528.7456355034
1903,867,249.585571962,695.7297215482,-705.161969884,-823.0694589712,838.7979924471,-264.8712631738,408.4257205624,137.9995997675,830.2987668715,517.3481946953,504.4160943401,-272.4805785902,219.3329156024,-825.5496435374,764.7727968378,-855.9469086713
1904,305.9166666667,-100.8634742831,177.1005210373,-280.3670385116,-271.8115229393,283.9395973218,-62.5142266999,119.3548305455,72.2264905879,288.8106066266,249.4401980291,122.3900758259,-140.3691666353,113.8565413896,-299.4611467362,281.6725605556,-297.2681298118
1905,510.9166666667,-419.705991009,152.6451020693,-500.500953578,-411.7188160687,446.6562984714,-51.5827558987,156.3875336887,159.1883085657,291.3463941582,487.5810836077,102.6383736488,-302.5284396099,248.0604589887,-508.3060687929,486.3936467354,-485.4842146701
1906,683.25,-683.0964805505,-7.2419667178,-683.2329417155,-480.5634654965,551.0531779589,2.4140290856,150.0194403862,263.1402427409,-14.4831198139,683.2116190596,-4.8280280364,-485.684381188,403.9442505612,-683.2457354156,666.5768747911,-630.5456170256
1907,398,-317.0341866363,-126.9338286643,-388.7173756763,-232.254532993,288.9892123799,42.9795560751,52.2481455084,181.6131821603,-240.6103167029,377.2158574883,-85.4564324514,-323.2055567347,273.6589759684,-395.6725385462,394.5556124185,-354.1477828049
1908,439.0833333333,-127.0696192988,-261.7250672022,-399.8891126266,-197.3259469597,278.4885875965,92.7618700633,18.4108438749,230.3818993182,-420.2945222845,352.5537729327,-181.3363482972,-392.2456427643,339.4676423308,-429.1729360916,438.6971785171,-373.789184003
1909,690.25,226.5434825731,-562.5018672618,-555.673580114,-209.973984844,367.4918615683,215.5126142785,-32.9619497549,407.1305192819,-652.0146570467,400.0458871517,-409.4776365851,-657.5378226298,584.289991512,-655.7433763195,689.4625242668,-557.3955532378
