Year,Annual_mean_rayalseema,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1976,543.4166666667,-543.4163389939,-0.2983813734,271.5360445582,-384.1481017784,-543.4166535598,470.5629000595,121.0046970897,-208.0254703593,0.5967626568,-543.4165847485,-470.7120671035,384.3590892788,0.1193525544,-271.7944640693,529.7730994429,-502.0229848253
1977,731.9166666667,-592.7419050704,225.6815539557,489.4909314166,-591.9806152417,-726.1712477296,668.5688363327,98.3943511941,-226.2979543715,-429.3705170572,-696.2541512613,-544.1512978992,430.4195141052,-91.5277330392,-297.8551964113,725.2727477285,-696.0540516309
1978,739.75,-229.8157871602,434.2947351444,598.2187207308,-658.9763246214,-716.5731957511,703.477917621,33.3719491467,-172.8472249724,-703.146333612,-598.8473474316,-435.1602287287,336.1253725747,-183.719671323,-228.7987804157,738.9968711099,-719.273174336
1979,593.4166666667,182.2163625016,479.725737649,541.9477385092,-564.2785608313,-551.834545745,580.406823173,-26.4496071766,-92.981282089,-564.7482071813,-349.2943700018,-241.7353697799,183.6655821431,-218.224596231,-123.5769391597,592.8269212494,-586.0868719387
1980,406.8333333333,328.5668675187,386.772100239,397.8760374257,-401.7867244519,-356.6037182285,404.5878122673,-54.4739363632,-32.0400430183,-239.9107639936,-126.1772704879,-84.9000586189,63.8810548227,-195.8242815809,-42.6856331319,403.1698790438,-405.5697187346
1981,614.5,614.4977753514,614.4994438376,614.4997528167,-614.4998609594,-497.3352527834,614.4999382042,-136.5088105473,-0.206688727,-1.6535078521,-0.8267546743,-0.5511698752,0.4133774307,-360.9264417286,-0.2755849653,599.1457207082,-614.4999652398
1982,562.3333333333,455.9298466089,535.0716438887,550.1620042031,-555.4761015821,-410.1549701057,559.2822236915,-173.5406213037,43.909281411,329.1606792267,172.9656430741,116.3638556812,-87.5504331734,-384.6968654347,58.4993336752,534.8854368323,-560.616404312
1983,732.75,228.7501017747,593.5230406544,669.7306321105,-697.0748060788,-467.4481052797,716.8220431805,-287.6687345209,114.3262838235,696.1292648913,429.7126513291,297.2935298873,-225.8523350117,-564.2825811333,151.949731525,673.9208126176,-723.7762522542
1984,462.3333333333,-141.2645639913,272.4342070658,374.3655549656,-412.1331861048,-248.0152058085,439.7918746541,-218.8731686316,107.7246522435,440.2231639424,373.5394409316,271.297884928,-209.5193261305,-390.1801747896,142.6016062299,407.242737399,-449.6081743141
1985,518.3333333333,-418.1291879847,161.1507813701,347.3414891145,-419.6422679624,-221.0674434232,473.6602771513,-285.3031966463,159.9294670846,306.3289516185,492.6457856394,384.7380074598,-304.2528740765,-468.8268655941,210.5121998683,432.7488075406,-493.0436187625
1986,452.5,-452.4958487353,0.9691355113,226.8093002599,-320.3082763674,-140.1988199362,392.0379180434,-281.9125964661,172.9403870468,1.9382665771,452.4989621826,391.5530504486,-319.6229936825,-430.2331238858,225.9701768292,353.9513214465,-418.1481466276
1987,607.5,-493.1158960616,-186.3978851041,188.6138983108,-357.6447502755,-114.383340057,491.7515598469,-419.5317926945,275.4878075411,-354.8139837315,578.1972660163,577.4781791237,-491.0666783649,-596.6344789881,356.7024717998,439.3737872456,-541.4450275847
1988,721.9166666667,-226.4601637456,-422.8937851678,76.6383237276,-328.534322308,-46.0385420682,536.8846043683,-543.3208308738,376.8217554527,-685.4775472964,585.0850537124,717.837196687,-642.8288051082,-720.4471710371,482.6164058581,475.3589678861,-615.7670324308
1989,645.3333333333,196.2007753936,-521.0902088403,-66.3347914712,-200.2226631439,39.8459385003,432.2308752362,-521.8015918653,378.9754296096,-614.7848134478,380.683734039,641.9149527403,-613.4867531371,-644.1020200994,479.1988956619,379.708058695,-522.3339304155
1990,619.8333333333,499.423173055,-588.9620069281,-190.4466440517,-97.8137954231,115.4683596358,364.7932173892,-531.8426056327,402.2220221768,-367.1101405937,193.1763844424,589.8503512591,-612.0668448266,-608.9831024208,501.1180196899,318.334421552,-471.6045016611
1991,704.5833333333,704.5711691285,-704.5802922755,-351.0958123892,-1.035055221,216.940556683,352.8890872487,-634.5507995176,497.8495711323,-4.1401985468,2.0701082082,610.8759318665,-704.5825730684,-670.3539874403,609.8417546477,306.2400307645,-498.5814658954
1992,509.25,413.8382328861,-484.8106241602,-339.9725863281,78.8852082028,216.257058993,207.6108413745,-476.6190701058,386.9805258519,296.7717633161,-155.8660360739,379.1493149742,-503.1030574612,-461.0514580128,465.0089257679,179.35948403,-331.0311693955
1993,753.8333333333,237.6118911378,-611.3037127241,-608.9005599753,231.7796140762,403.0946501225,233.7254325589,-726.480421441,609.5030326102,715.4056776643,-441.1036899122,444.4151240744,-717.3164608059,-637.0081612405,716.684809815,201.2234869673,-443.588489124
1994,541.8333333333,-163.911345949,-319.9771321238,-494.4862313153,245.162277912,344.8068081963,113.2568719992,-533.0311726039,461.7469303416,516.4459621105,-437.2619306879,221.5101084616,-483.1964596312,-417.9612734842,529.8643619418,97.2683409109,-283.5015580755
1995,594.4166666667,-478.3826915518,-185.7047774128,-581.1310277519,348.5291658078,432.7287623897,62.8379073422,-591.968984281,529.3877211396,352.8188969355,-564.6635363269,124.9716055559,-481.5169718634,-407.5254492812,591.0859252359,53.8878025203,-270.3327843932
1996,1018,-1017.9716067329,-3.8016013687,-1017.9968451795,718.4893770289,822.6845696113,1.2672030743,-1017.9994205429,940.1452509627,7.6031497215,-1017.9929016585,2.534404185,-721.177519822,-599.5949457121,1017.9992112946,1.0861741381,-390.4496217085
1997,661.3333333333,-538.0407521405,201.9127208666,-647.2363492738,534.2721172356,579.033907837,-68.2744661569,-658.7365412083,628.7661480933,-384.5437905022,-629.7563266296,-135.8193136356,-389.7628542105,-319.5019739418,657.799646586,-58.5486725271,-204.9753858141
1998,776.5,-245.9298758552,453.8654544017,-710.2188163669,691.1507705786,721.507083752,-160.4171734745,-764.1813662122,754.8611870252,-736.5261340658,-630.0463469466,-313.9131772933,-353.9249388339,-287.0187765559,759.7490246486,-137.7646164081,-182.0352667008
1999,472.1666666667,142.1193655292,380.8184529417,-382.7686965742,448.7488945066,457.1341903432,-145.276876249,-455.3019749477,466.2754715834,-450.2704154758,-279.1391534884,-276.4588324399,-146.8529563551,-118.1934563774,449.2616056803,-125.0658735221,-74.3541909431
2000,735.0833333333,590.8946714184,698.1061279131,-493.4566710002,725.7801617815,729.124769443,-298.006486817,-688.5327130493,732.7538493703,-437.2539242062,-230.2071699896,-544.8376095588,-116.5790020065,-93.405446999,671.9669938021,-257.430009916,-58.4748080582
2001,780.3333333333,780.3012971154,780.3253242377,-392.206088461,780.3313310568,780.3320518762,-389.1456197548,-703.4937316112,780.332832764,-7.070843729,-3.5354581513,-674.6069190908,-1.7677336115,-1.4141873247,676.3769642269,-337.6635613962,-0.8838673728
2002,472.4166666667,384.780885203,449.9746715812,-147.3888531103,466.772450653,468.8017719788,-277.0817174177,-405.869837133,471.0034990177,274.082427979,143.8759948008,-448.8363097203,72.8078722106,58.330142585,382.6267486956,-241.7585205326,36.5131600599
2003,506.5,161.1815377801,411.2059696099,-54.5718467718,482.0882043814,490.8307753723,-338.3057859468,-410.1791957906,500.3598332796,480.1695136916,295.7226750812,-503.5515500323,155.3486826346,125.009599421,376.9501892757,-297.1452125486,78.6275221561
2004,623.5833333333,-186.747550461,369.0552218861,63.111103697,556.3240328526,580.2518509308,-462.71546658,-470.1894457756,606.5354764689,594.9634661119,502.6474080403,-620.3814650691,281.7086155616,228.3943149522,418.0317818046,-409.6072004889,144.8132915022
2005,878.6666666667,-705.4804146956,275.8378026413,268.6423166249,712.1883857866,770.8548341199,-709.9655484548,-608.1507762303,836.0117541306,523.7866890177,834.2473360732,-836.5921448529,514.6288121179,421.7083539902,517.6910575994,-634.1985055813,270.4430773132
2006,499.6666666667,-499.6383084474,2.6617341063,248.2950009228,354.25750351,404.863720864,-432.2797203426,-312.1312920287,461.8860485544,5.3233926796,499.6595770616,-433.6085449972,352.3753665974,292.8346723084,250.6013191473,-390.1805150367,190.5992023295
2007,946.0833333333,-771.4531028829,-287.4149878879,630.4775538101,558.1913398737,691.0846655921,-863.5849637736,-522.4314854119,843.5547395032,-547.6621072005,901.3691243594,-705.3876436065,763.8691653032,646.1235629464,386.3867026119,-788.757894833,428.3562478507
2008,650.5833333333,-208.0146464405,-379.4257579209,524.8899906727,296.9937703643,415.8283782098,-618.3620918912,-309.2147538375,555.192701102,-616.4321377713,528.4834603252,-384.3815439153,578.8379513956,500.3453142445,202.2053335671,-572.402751234,339.1456003756
2009,593,176.6872876422,-477.7156903284,540.7950038073,184.8832004743,318.9069939163,-579.8018787731,-233.9678837906,480.2524012857,-566.0658993312,351.3356218975,-243.2894651584,563.4422793706,499.9473264568,124.4137507317,-544.8926769141,347.8600739656
2010,794,636.7470134156,-753.6621022222,775.9866803912,126.5470087271,339.7817173703,-789.4838263798,-246.6459162355,604.5305306307,-474.3303078092,249.8588314909,-168.1685816539,783.8506583414,717.624124832,84.5652877054,-754.7196777641,514.7609518362
2011,532.3333333333,532.2934134325,-532.3233532646,532.3288977395,1.6298348475,165.7396059684,-532.3322244337,-119.3631138823,376.9923031011,-6.5191866116,3.2596544171,-2.1731104893,532.3308383103,505.8746492869,1.0865575081,-518.7785894021,375.8398344778
,,-17.3007165983,-19.0898070408,-33.314478135,134.2942580683,32.0719039484,-83.4556277167,-11.884980109,4.5558341908,-13.1549858153,-16.9140463275,-75.6066808554,-5.6509811468,-65.2799571377,144.568824287,-25.395421692,-141.3384813241
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,472.3684466151,,,,,,,,,,,,,,,,
20,650.5056960236,,,,,,,,,,,,,,,,
30,6826.2246433829,,,,,,,,,,,,,,,,
40,18066.8813380346,,,,,,,,,,,,,,,,
50,5290.0798267818,,,,,,,,,,,,,,,,
60,27864.9867533272,,,,,,,,,,,,,,,,
70,786.1801951048,,,,,,,,,,,,,,,,
80,19997.3219281711,,,,,,,,,,,,,,,,
