Year,Annual_mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1898,1034.8333333333,-296.3214547163,618.1572247638,100.0196336416,-924.8161247524,963.9621311947,-766.2844376137,835.1294417635,-238.5890553649,-991.5006925124,-829.9166664491,1029.9883983152,464.3222622012,-376.3735344048,-695.4769503361,611.0964271516,-1006.9534698475
1899,958.5,317.4668599628,781.9892055759,-107.6318637204,-913.3068771077,929.4937002031,-638.5754100433,719.704255529,-147.1693043611,-904.3987189428,-554.2699093067,952.4377312518,290.84841108,-234.01647652,-714.8032566294,633.0466290673,-947.1343335841
1900,1360,1118.4416554288,1298.2065805147,-430.2143913192,-1344.4628945233,1350.0494189461,-795.1441466193,936.5947555287,-102.7873130506,-773.7494836197,-405.2896178147,1290.1610664959,204.9866465164,-164.2150005432,-1103.3339413328,986.0985061931,-1356.1101608188
1901,1116,1115.7101546116,1115.9275363003,-565.3264126935,-1115.981883928,1115.9884057027,-554.3246897956,692.9700431189,3.1794289041,25.4332635855,12.717457558,962.217255671,-6.3588320022,5.0870755112,-968.5969947728,874.784841741,-1115.9954709728
1902,1091.4166666667,868.3359697693,1034.1437738415,-736.3555821736,-1077.0032708349,1082.184762369,-440.1815451041,598.3307659961,88.687711759,661.1981426793,348.9082906764,805.587237287,-176.7888426593,141.656204856,-998.7144474912,912.7927665907,-1087.8073496998
1903,1244.5833333333,358.2814799359,998.7238938218,-1012.2639388905,-1181.5207967834,1204.0991942712,-380.2241748847,586.2973987504,198.0991947835,1191.8985085761,742.6562175869,724.0921154334,-391.1473895852,314.8536230798,-1185.0811155547,1097.8356132999,-1228.7165591125
1904,1245.6666666667,-410.707494847,721.138269808,-1141.6307522941,-1106.7934200207,1156.1779081356,-254.5526180087,486.0027259584,294.1001311108,1176.0122440354,1015.6992863357,498.3619867736,-571.5713164982,463.614159818,-1219.3803381675,1146.9467271001,-1210.4505596369
1905,1145.1666666667,-940.7274063684,342.1381491821,-1121.8209271031,-922.8249829418,1001.1337226543,-115.617392197,350.5264211303,356.80406725,653.0226958934,1092.8623798625,230.0532589598,-678.0860898905,556.0017660125,-1139.3152825562,1090.200863389,-1088.1624658287
1906,1185.5833333333,-1185.316944602,-12.5663447364,-1185.5537336001,-833.8793052347,956.1938727675,4.1888512991,260.3154748596,456.6040045707,-25.1312776671,1185.5167342799,-8.3776503078,-842.7651776023,700.9287538399,-1185.5759333769,1156.6519328762,-1094.1300760366
1907,1222.5833333333,-973.871137383,-389.9175461335,-1194.0688062284,-713.4435204231,887.7220969063,132.0253490741,160.496763558,557.8825367407,-739.1109623843,1158.738242297,-262.5065578925,-992.8284595592,840.6304096383,-1215.4337966941,1212.0028035577,-1087.8773286286
1908,1252.9166666667,-362.5909520132,-746.8279342162,-1141.0766385163,-563.0661629415,794.6623485506,264.6943853486,52.5350232795,657.3907489559,-1199.3031206202,1006.0060687121,-517.4401208291,-1119.2661299984,968.6650222895,-1224.6375202386,1251.8147806046,-1066.6009454329
1909,1196.75,392.7793013681,-975.2612961182,-963.4224657753,-364.051237033,637.1544879853,373.6540690153,-57.1491682278,705.8796797545,-1130.4578642819,693.5964005053,-709.9490932027,-1140.0338851608,1013.0373739109,-1136.9226883163,1195.3846807915,-966.4080091812
1910,1392.4166666667,1142.5714083984,-1328.4877954882,-924.8155791196,-210.9687485271,587.8368366598,570.567939711,-190.8353910978,906.9365391295,-795.8358815245,417.0663626454,-1040.9324273117,-1376.3416584395,1262.2487976136,-1270.1481802472,1379.2773568488,-1056.5463963325
1911,1179.3333333333,1179.1066679367,-1179.2766656227,-582.979260242,5.7805760978,360.0331102156,593.0009430286,-265.6457026521,835.9558412946,23.1209156012,-11.5610133146,-1025.1645200838,-1179.3191663206,1123.0330674827,-1019.4003103189,1149.0254443543,-831.8683444611
1912,1146.25,914.1689159281,-1086.6819181303,-347.1946024976,184.7700108827,210.4408377959,676.7264031302,-357.2131763281,873.4076045794,691.508680821,-364.707377645,-1092.4033002955,-1131.2599637477,1126.7669307748,-925.1650867853,1089.1684025703,-742.3262212551
1913,1265.9166666667,368.2825470227,-1017.0447436723,-124.3610772359,396.8948948928,74.6937793541,850.0336012732,-500.6895488341,1025.9095645583,1211.1618275454,-753.7672029964,-1259.7933677446,-1202.0896178541,1263.7111403601,-938.0766939068,1162.692987264,-741.656640429
1914,1364.5,-445.7823223965,-791.7039443788,151.0627835237,625.1320732034,-90.7567985322,1016.8543204703,-649.7929502318,1165.0864697279,1289.6272217346,-1111.3348345368,-1356.1121950023,-1212.8768037408,1361.4784072912,-909.8722662775,1199.8455616574,-710.2350090336
1915,1148.4166666667,-941.3064411311,-344.8541973372,361.5478003073,679.2733369145,-219.3263898396,931.1467016393,-635.1671426298,1024.4387882184,657.8776665635,-1095.4160957631,-1090.0201963133,-925.9851910452,1127.2784815643,-672.1805265731,956.7776864044,-519.0240933439
1916,1186.9166666667,-1186.7240991012,10.6902210688,599.6196832507,843.0479153548,-370.8418885304,1029.6770778557,-742.4160027358,1097.5879908109,-21.3795749194,-1186.868523799,-1024.3180214511,-835.4887108915,1127.496105236,-590.369620619,926.0613654035,-451.7430420482
1917,1446.8333333333,-1155.2818566072,459.2528687498,974.445567314,1174.2633974923,-620.660867019,1323.4778091742,-1002.4928413659,1377.0058315144,-871.0054685468,-1372.0107495896,-1069.4776906446,-845.2408933281,1306.9455928215,-584.5794925139,1043.2328586919,-444.0513871385
1918,1113.3333333333,-325.5888025258,662.2017231551,904.4808807052,994.1736173552,-599.8170900205,1059.8348515129,-840.235331572,1083.1338187023,-1064.6609989949,-894.9860272437,-649.1728949592,-501.128655802,937.9395341014,-340.9709644964,730.4215896927,-257.550464753
1919,1433.5833333333,466.1933451278,1166.937912508,1312.9378243514,1365.2955570164,-917.5635371794,1403.097814891,-1161.843235067,1416.4085090862,-1355.6640212714,-832.716687693,-575.634817396,-437.1832746142,1101.4709841162,-294.0709020951,839.8103778473,-221.2421953407
1920,1130.8333333333,925.8612550823,1078.3734967688,1107.4165837339,1117.6414281215,-826.9290447408,1124.9639137657,-972.1467338098,1127.5305338242,-649.2803432379,-340.4330025782,-228.9378471307,-172.225625051,771.3445292098,-115.0661570691,577.6804962266,-86.365057007
1921,1072.6666666667,1072.5220476612,1072.630511306,1072.6505975674,1072.6576277884,-869.871561927,1072.6626493843,-967.528405076,1072.6644069448,17.6134908122,8.8070422568,5.8713981532,4.4035582352,627.644201382,2.9357100712,463.1442142021,2.201783756
1922,1249.0833333333,998.5768153618,1184.802690479,1220.3763387481,1232.9084450146,-1096.5123256387,1241.8858479618,-1170.4418959748,1245.0330445022,750.3689208868,395.5398314263,266.2531979805,200.3645173743,598.2222775302,133.898148767,436.205160169,100.508167373
1923,1080.5,317.632085974,869.1034802873,984.7599763152,1026.2910309582,-1005.874126323,1056.2938522042,-1042.207385985,1066.861684791,1032.758494499,641.9808334776,444.6662108229,337.9452171208,394.5852151233,227.4281156667,285.103515584,171.132683976
1924,1039.25,-336.3927029724,604.3361837322,837.6107042262,924.1474291052,-1007.3946447995,987.5544255551,-1022.9563070231,1010.0645469963,983.3008247159,845.469301354,615.1819817466,475.3862553526,255.336233483,323.6924760733,183.3056366335,244.5611853937
1925,1480.0833333333,-1210.4520731231,446.6971761623,984.8030185532,1194.1096513922,-1468.9676563386,1350.5993499162,-1474.4085865611,1406.7744074316,851.7349659858,1411.0663720817,1104.9025695778,874.4991789951,181.0544068567,605.4156172557,129.4835645403,460.0352597427
1926,1274.5833333333,-1274.4432078935,-9.4499087342,631.8279466719,897.9192551218,-1274.5777282171,1102.2431773373,-1274.5804735791,1176.6553426701,-18.899298008,1274.5483014919,1106.9580477215,904.601395584,-3.7799925838,640.0176963369,-2.6999966412,489.9437500131
1927,1265.5833333333,-1012.9772832916,-399.8087085294,385.2606598669,740.1722554834,-1255.1382353435,1022.0764755456,-1260.2506044003,1126.599051115,-758.6687005183,1200.7723223805,1205.5187255161,1026.570117344,-162.2626999343,746.3650927979,-116.0585529793,576.6071033536
1928,1309.0833333333,-386.8205058788,-776.9552420743,130.6763501788,590.1694737385,-1267.0269548814,970.7639789596,-1287.5692990903,1114.9619265975,-1250.6274704494,1053.5842279686,1302.5447651098,1168.5029592938,-329.1532609818,878.2462472255,-236.3566661872,685.9730868255
1929,1408.5833333333,453.8182653083,-1145.2833387027,-153.7134249977,430.6274399661,-1308.2239210967,940.1034087756,-1357.0766941386,1138.1304059194,-1333.4751550055,820.0201711143,1400.1711287981,1341.1439202758,-522.1658541257,1048.957857949,-377.4252948204,829.9193852815
1930,1244.8333333333,1016.9160783295,-1186.4866327281,-390.0196986511,190.5674654859,-1089.2260549762,729.4177493865,-1164.6072378123,945.207585947,-717.9775187377,376.6424008729,1182.156784205,1230.1601801701,-602.6579701113,1008.7416788542,-439.6589694444,810.0571876393
1931,1238.25,1238.1415407064,-1238.2228848797,-623.8500914261,-4.0972733435,-999.8351286767,616.7579293335,-1114.6068535615,874.1251666044,16.3886447665,-8.194501826,1069.6140079148,1238.2432212014,-730.4743513389,1073.7191062397,-539.3650197165,877.0223803352
