Year,annual_Mean_punjab,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1885,430.5833333333,-355.2710851839,127.3345963377,136.8585773691,346.5762267411,-181.1575640397,-349.5218372171,370.5106612402,-409.042756878,243.2785707305,411.3245768489,-408.254499969,255.5130642498,-390.6199482049,251.4686705194,-219.3715041927,-134.4843113158
1886,601.6666666667,-601.4380229496,-8.2935909935,305.6090214315,422.5001778284,-182.7672451465,-522.4354213708,543.1068908563,-555.0707393828,-16.5856060582,601.6095030219,-518.2720364804,428.364771559,-573.2354768151,298.4359366345,-258.9163627162,-232.162124514
1887,463.4166666667,-367.3507737115,-149.1954018957,313.201731547,269.8289931753,-84.3533645797,-424.2039069671,434.4974638396,-412.1882212848,-282.5038335988,438.7433634799,-341.5548013137,376.7589698819,-455.6747928387,186.5638021117,-161.142672379,-211.7920611793
1888,484.5833333333,-137.2793860881,-290.0842157339,394.5773924768,217.0841204887,-27.8217495573,-461.5336580623,467.6128864543,-412.3204783082,-464.7315107669,388.1651127117,-281.2999969616,433.2383773121,-483.783998491,147.6742679684,-127.1188238077,-254.5836407001
1889,526.3333333333,175.9090192944,-429.8915899772,482.7096472688,159.3118078691,35.8443013579,-515.3120197787,518.2285099955,-424.7810569298,-496.0673288059,303.6774582424,-209.8050862381,501.6438234955,-525.1113823161,107.1461620839,-92.0108102651,-310.7858289101
1890,464.6666666667,382.9743740908,-443.7738934067,455.3419134494,69.6712828508,89.4690766125,-462.3296011653,462.949256674,-352.3414777427,-263.1458529046,137.7673496943,-92.6220976191,459.4137823978,-455.9719239616,46.5451500962,-39.9136174276,-302.936617419
1891,400.25,400.1149629295,-400.2162393085,400.2349951311,-2.5992995937,125.6600524161,-400.2462487652,400.2472439896,-282.099001095,10.3961021493,-5.1984895621,3.4657138439,400.2415597381,-380.01264943,-1.7328731629,1.485321085,-283.9369931537
1892,655.5833333333,520.3172945907,-620.8465403476,640.0680481891,-106.7072221897,282.174178836,-651.6929689418,652.7243554735,-424.1662589896,398.8225418582,-210.5684693463,141.7829349105,646.8408426166,-591.7493048096,-71.3146631222,61.1589953815,-499.8724754166
1893,775,220.7360485264,-621.1664179622,705.3099518367,-244.1526429094,418.5766703023,-757.3771229293,762.0394969318,-453.545312921,742.900125778,-463.4406986832,321.1897754291,735.5368698851,-652.2411908785,-164.3316575201,141.141082311,-628.4279188001
1894,875.0833333333,-291.1529158406,-505.4640324366,703.6427111785,-402.1490332532,561.1663069344,-831.1187789514,842.7102917592,-454.8939017847,825.2277381882,-714.3367218551,520.2478018052,777.2046032617,-671.4634883889,-273.8839454075,235.8181596928,-747.5576087479
1895,424.9166666667,-349.8290648982,-126.3051334101,281.7149626146,-251.8779638433,311.1842219562,-387.4658413818,397.2924308002,-191.7381401913,241.1924521281,-405.7107182284,318.1050981204,342.2158163226,-289.3415863934,-174.4259022433,150.707989304,-379.197388186
1896,316.4166666667,-316.3226016695,3.8577022211,155.9758311985,-225.1001424059,256.8904355498,-273.3796440235,284.6015984703,-120.1958198487,-7.7148310081,-316.3931495435,275.3017381463,222.3722843192,-184.7344338977,-159.3206740446,138.2802845406,-292.6986023803
1897,402.9166666667,-320.1731349258,129.1099298995,121.4301525059,-327.385386713,354.0087375638,-325.0139016706,345.1708086597,-123.3547963154,-244.6037692874,-381.6706253816,384.1829750785,234.8630427389,-192.4049219909,-238.1340042889,207.8435785081,-383.569334676
