Year,annual_Mean_jharkhand,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1973,1266.5833333333,391.5675165461,-1024.7405112051,-132.453874248,-391.3528381102,-1177.6261047806,847.4873069019,600.2168673236,-744.4972659703,1204.5365167829,-744.4059544179,-1259.6385638247,1204.6062827251,466.2940034109,-941.2749890005,1115.3353990876,-1024.6741732085
1974,950,-293.1495020083,-558.5731702705,99.1568217601,-431.1933952666,-920.1322113784,705.938729874,373.4313221539,-496.4203231621,903.6389596915,-768.4373842116,-944.8110523795,846.5059101261,236.3402496062,-635.7283300782,873.5267870159,-809.9795446501
1975,1074.0833333333,-868.4591973493,-332.3081833114,331.6445220598,-631.1609643028,-1065.5928617885,868.8696279305,332.0237742203,-487.7168925392,632.0076182165,-1021.3844908988,-1021.6001751821,869.0747056984,134.7844940998,-631.4432489181,1021.4769798174,-956.9677317843
1976,1152.4166666667,-1152.4159717752,-0.6327735029,575.8429627658,-814.6578898164,-1152.416638871,997.9166301063,256.6130894117,-441.1569129886,1.265546815,-1152.4164929438,-998.2329667188,815.1053282681,0.2531094118,-576.3909896664,1123.4829308689,-1064.6336232402
1977,1431.75,-1159.5011580342,441.4704290689,957.5251841818,-1158.0119492733,-1420.5110107301,1307.8311712435,192.4756174276,-442.6762101853,-839.919714626,-1361.9882241627,-1064.4498974388,841.9717262713,-179.0433771315,-582.654005413,1418.7533961883,-1361.5967962051
1978,1296.1666666667,-402.6759889027,760.9575656681,1048.1800137712,-1154.6375749872,-1255.5569997424,1232.6118655713,58.4732789263,-302.8574672999,-1232.0308745073,-1049.2814736906,-762.4740562855,588.9482984146,-321.9078255894,-400.8940216949,1294.8470579298,-1260.287817238
1979,790,242.5798506552,638.6462565527,721.4807697046,-751.2092061059,-734.6428161301,772.680337548,-35.2116663438,-123.7835352062,-751.8344339388,-465.0064074733,-321.8159395468,244.5091586458,-290.516665113,-164.5147287226,789.2148874377,-780.2420370705
1980,1060.25,856.2794460142,1007.9683390704,1036.906354807,-1047.0980121267,-929.3463963584,1054.3979384426,-141.9647464869,-83.4996860553,-625.2324150535,-328.8310963576,-221.2583870972,166.4806760568,-510.3384544355,-111.2432016257,1050.7026569182,-1056.9568888695
1981,991.25,991.2464114191,991.2491028544,991.2496012686,-991.2497757136,-802.2515367316,991.2499003171,-220.2023734011,-0.3334096024,-2.6672736508,-1.3336380324,-0.8890921706,0.6668191671,-582.2104725199,-0.44454613,966.4820108251,-991.2499439284
1982,929.75,753.8247330491,884.6761011953,909.6261827051,-918.4123985406,-678.1415236322,924.7053600661,-286.9283805402,72.5986740817,544.2272818809,285.977723737,192.3935296139,-144.7540282922,-636.0496336182,96.7215568783,884.3682303999,-926.9112659913
1983,1056.9166666667,329.9485432513,856.0960678518,966.0176966971,-1005.4588610824,-674.2459137112,1033.9422237756,-414.9326236698,164.9039301414,1004.0950149683,619.8163944965,428.8154031117,-325.768812118,-813.9197061883,219.171891838,972.0616020049,-1043.972956595
1984,1154.0833333333,-352.6267027244,680.0543139247,934.4968584568,-1028.772980239,-619.0992403103,1097.815009388,-546.354454286,268.9038768782,1098.8916001151,932.4347003357,677.2178097274,-523.0052537097,-973.9735473435,355.9642474184,1016.5653695457,-1122.3186023931
1985,968.25,-781.0680120891,301.0306959387,648.8361353732,-783.8944552179,-412.9554059701,884.8004437655,-532.9482060825,298.7492729994,572.2244515845,920.2654957145,718.6930721344,-568.346325385,-875.7715998935,393.2381431301,808.3775554365,-921.008650547
1986,1047.0833333333,-1047.0737273221,2.2425760036,524.8358854079,-741.1921717414,-324.4195529462,907.1742983821,-652.3447098705,400.183418645,4.4851417203,1047.0809318277,906.0523165538,-739.6064301327,-995.5578640192,522.89415688,819.0420541391,-967.5932711558
1987,1024.25,-831.3974593269,-314.2683684246,318.0045849297,-602.9919925427,-192.8512527627,829.0971772399,-707.3340554195,464.4747109037,-598.2192968509,974.8453493287,973.6329629094,-827.9424614244,-1005.9306421458,601.4033032773,740.7878215412,-912.8807728455
1988,976.0833333333,-306.1904534171,-571.7828587868,103.6205339745,-444.2020682435,-62.2474250542,725.9066571587,-734.6088989986,509.4901560219,-926.8150192176,791.0771365731,970.5675960745,-869.15084777,-974.0964693936,652.5321438088,642.7195649139,-832.5613818379
1989,1020,310.1107297027,-823.6239871133,-104.8473460237,-316.46763906,62.9796341998,683.1748337929,-824.7483838367,599.0004207673,-971.7156658834,601.700530041,1014.5969810875,-969.6639796485,-1018.0538127604,757.4114776475,600.1583985572,-825.5897867105
1990,1392.5833333333,1122.0570912776,-1323.2245358667,-427.8776376376,-219.758851212,259.4234683885,819.58314813,-1194.8940283314,903.674672304,-824.7885936355,434.0105620351,1325.2203844974,-1375.1343162003,-1368.2060533147,1125.8649135571,715.2038879478,-1059.5567124576
1991,1118.1666666667,1118.1473621959,-1118.1618405386,-557.1855246173,-1.64262223,344.2824825042,560.0314337911,-1007.0257395539,790.0822643943,-6.5704534714,3.2852409152,969.4539626003,-1118.165460134,-1063.8450388498,967.8127337509,485.999850124,-791.2437740254
1992,831.5,675.7123036716,-791.5955502979,-555.1049691346,128.8032412777,353.1030820867,338.9855956855,-778.2204355286,631.8592189414,484.5669537502,-254.4970230642,619.0724701051,-821.4633132626,-752.8017424401,759.2634693686,292.8569680332,-540.5054832643
1993,1049.1666666667,330.702377783,-850.7974511603,-847.4528023535,322.5851582157,561.017205952,325.2933004551,-1011.0975575882,848.2913089281,995.6840019671,-613.9172513813,618.5260238888,-998.3433828816,-886.5722695135,997.4642665898,280.057893093,-617.3755337245
1994,1492.0833333333,-451.3738310084,-881.1428100088,-1361.7003955246,675.1200532166,949.5179791994,311.8831579738,-1467.8442241578,1271.5439538244,1422.1724010442,-1204.1179435507,609.9874641656,-1330.6109827278,-1150.968409987,1459.1235620685,267.8544515548,-780.6975388098
1995,1354.4166666667,-1090.0257795866,-423.1402982322,-1324.144482553,794.1461561578,986.000361015,143.180219828,-1348.8394646739,1206.2440251902,803.9205848721,-1286.6222425236,284.7558537923,-1097.1674391834,-928.5729885275,1346.827357754,122.7868294354,-615.97066378
1996,1041.4166666667,-1041.3876202801,-3.8890481585,-1041.4134392771,735.0165147945,841.6084697472,1.2963520645,-1041.4160738806,961.7710544598,7.7780420817,-1041.4094050447,2.5927021202,-737.7664919136,-613.3872001117,1041.415859819,1.1111589885,-399.4309857966
1997,1171.8333333333,-953.3680766885,357.774279338,-1146.8545291694,946.690336765,1026.0048906256,-120.9772609751,-1167.2320114001,1114.126710495,-681.3829110437,-1115.8812329972,-240.6616920797,-690.6307026094,-566.1336640082,1165.5719040188,-103.7438801759,-363.20109316
1998,1158.3333333333,-366.8625535938,677.0476299831,-1059.4592774737,1031.0147790344,1076.2983970973,-239.3001407271,-1139.9571786166,1126.053927844,-1098.7028615061,-939.8630846274,-468.2757205813,-527.9627226648,-428.1563633963,1133.345293262,-205.5084962516,-271.548637813
1999,1253.75,377.3713121049,1011.1919563197,-1016.3704624,1191.5684994443,1213.8340793704,-385.7554894399,-1208.9689751303,1238.1070367053,-1195.6086129249,-741.2016527061,-734.0845630176,-389.9404744728,-313.8405490996,1192.9299077762,-332.0889634909,-197.4336044367
2000,906.1666666667,728.4195280585,860.5833845286,-608.3038023418,894.6982744828,898.8213063059,-367.3645320993,-848.7818525903,903.2950184846,-539.020425328,-283.7855987379,-671.64314322,-143.7116050129,-115.1446356044,828.3606269816,-317.3442838484,-72.084237935
2001,1287.3333333333,1287.280482469,1287.3201205494,-647.0311463633,1287.3300301331,1287.3312192848,-641.982222765,-1160.5693257081,1287.332507533,-11.6649288687,-5.8325242975,-1112.9141057363,-2.9162696317,-2.3330164237,1115.8341887416,-557.0511209365,-1.4581357512
2002,856.5833333333,697.6826105135,815.8916297728,-267.2446676876,846.3492715227,850.0288259252,-502.4030646209,-735.9209835755,854.02098543,496.964769306,260.8751720862,-813.8275582314,132.0148383229,105.7638976242,693.7767419018,-438.3552359419,66.2054634425
2003,1165.6666666667,370.9455989582,946.3555615175,-125.5924634162,1109.4849955392,1129.6052790241,-778.5819897702,-943.9925289108,1151.5355952477,1105.0692921222,680.5805822699,-1158.8810598638,357.5217789886,287.6989596414,867.5187969049,-683.8544312487,180.9545541164
2004,1144.0833333333,-342.6242309607,677.1026515133,115.7894350736,1020.6832349371,1064.5834105878,-848.9403502175,-862.65279982,1112.8057672647,1091.5746928038,922.2031624998,-1138.2088913448,516.8485344174,419.0332152852,766.9595526386,-751.5030409611,265.6877828456
2005,870.0833333333,-698.5888666385,273.1432565798,266.0180603073,705.2313103184,763.3246702433,-703.0301869705,-602.2100013866,827.8450990968,518.670032249,826.0979169138,-828.4198202208,509.6016148826,417.5888584988,512.6339465473,-628.0032811812,267.801230105
2006,1318.1666666667,-1318.0918550735,7.0218996153,655.0250708133,934.5639076919,1068.0677679497,-1140.3936985288,-823.4310836075,1218.4979179507,14.0435999677,1318.1479636357,-1143.899260301,929.5986572445,772.5248243119,661.1093506123,-1029.3321192211,502.8182425698
2007,1428.4166666667,-1164.7562438578,-433.9452397945,951.9083722241,842.7691144875,1043.414274017,-1303.8588799475,-788.7781283754,1273.6168228508,-826.8718558553,1360.9062063459,-1065.0092133409,1153.3058541763,975.5310483982,583.3748321563,-1190.8833854781,646.7413410032
2008,1330.1666666667,-425.301625014,-775.7645635882,1073.1771526986,607.2261512175,850.1924648374,-1264.2879096668,-632.2128731592,1135.1333284221,-1260.3419729866,1080.5242722827,-785.8970416263,1183.4778250516,1022.9937115373,413.424046932,-1170.320573229,693.4087451256
2009,892.9166666667,266.0489442224,-719.3259727191,814.308384738,278.3900355653,480.1979257747,-873.0434416884,-352.2998699854,723.1456548308,-852.3603304292,529.0277106003,-366.3359498556,848.409784072,752.801518126,187.3374563084,-820.4785038131,523.7943637636
2010,694.5,556.9531496437,-659.2170402939,678.7440170424,110.6887878602,297.2020185311,-690.5497700514,-215.7375174125,528.7738709358,-414.8896709993,218.5478066378,-147.0945591418,685.6225216852,627.6951570476,73.9680003922,-660.1420859032,450.2537544714
2011,1082.75,1082.6688041217,-1082.7297008402,1082.7409781355,3.3150350929,337.1093770112,-1082.7477445315,-242.7809860164,766.7910134929,-13.2598296249,6.630039111,-4.4200414195,1082.7449251982,1028.9338319013,2.2100253135,-1055.1800582502,764.4469269521
,,15.0594607659,-10.7133041151,-57.228146822,200.9189666407,45.9400926402,-134.5380871205,-27.6019643857,22.0237458596,-1.7391679001,-16.1041916989,-136.5795603065,-5.8182442298,-148.3095651084,260.2121646126,-32.9300541044,-251.0754573376
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,229.812063543,,,,,,,,,,,,,,,,
20,374.1198753382,,,,,,,,,,,,,,,,
30,21929.0370821906,,,,,,,,,,,,,,,,
40,40402.2831218858,,,,,,,,,,,,,,,,
50,24106.2192144371,,,,,,,,,,,,,,,,
60,85810.8674983867,,,,,,,,,,,,,,,,
70,1846.2569012683,,,,,,,,,,,,,,,,
80,63523.9306589819,,,,,,,,,,,,,,,,
