Year,annual_Mean_jharkhand,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1932,975.5,781.7239317292,-925.789378153,-655.8522310219,-155.7124137822,-709.3813686761,394.8521233564,-836.492101993,632.3380386927,583.530585798,-307.4317441304,722.1205585383,962.9921568705,-669.6105762122,892.0157233373,-501.8776875927,742.7979905885
1933,1227.5,364.580703246,-988.5036831582,-996.0895976003,-382.9934587714,-780.052292278,376.8662023488,-991.7681802034,719.9415876855,1172.1079987871,-727.7477024235,717.3296059361,1166.2213600078,-947.7735337684,1168.2157829473,-723.2925595746,994.2033797574
1934,1006.25,-322.6766943313,-586.4493323507,-920.9227417059,-459.5782968234,-537.0874377965,207.1962278354,-756.6155593087,524.4465660682,953.1100741443,-817.6895762363,405.5124736785,895.1686162891,-850.9266399997,984.6871511657,-663.3791961706,858.7752103078
1935,1022.3333333333,-834.2135696653,-310.0976499883,-1000.8324449995,-603.3830790936,-433.0741410934,104.835764031,-705.2326554857,462.7671174131,590.9764501489,-974.1688210552,208.5662040712,825.2843778407,-926.0735568844,1016.9439055447,-740.1434631752,911.5986175316
1936,1336.8333333333,-1336.7427232163,7.7823718984,-1336.8232654414,-948.0314064622,-410.1424943827,-2.5941369907,-831.762358608,509.7859236511,-15.5644800513,-1336.8106806121,-5.188264213,942.5284152069,-1272.3625644495,1336.830816358,-1046.5632995256,1235.8161971581
1937,1191,-955.5498633087,374.4470007887,-1164.0307572222,-965.5173167632,-220.5208526673,-126.7287815541,-654.5094013569,366.4354484319,-710.918742706,-1130.6062283573,-252.0186426451,697.3215262921,-1170.4065761687,1184.2384962185,-995.0369056148,1133.2281597862
1938,903.25,-269.6482726107,534.93025726,-823.8065721318,-805.9268941319,-54.731090515,-189.4165729575,-426.7707481418,209.6510140393,-862.0616982433,-727.8119141425,-370.4096302912,407.8509578449,-901.5903006527,883.1658532739,-796.0699033568,878.5823893138
1939,1278.0833333333,407.9176003512,1037.9907738816,-1031.3083017843,-1216.580395041,82.9778354226,-397.113998057,-500.523833902,198.2496915287,-1211.2391333953,-745.7024609595,-754.9173422403,391.7003310521,-1275.3868769017,1214.8240528947,-1175.998681394,1262.6139816877
1940,1075.1666666667,876.3340560975,1024.253027111,-716.6610224376,-1062.362008473,203.6558823546,-439.0064455603,-330.7297367003,82.9672877343,-622.9141058244,-326.9389814097,-801.4863317798,165.4397898466,-1055.7024404128,981.4564187307,-1023.0352889189,1071.9607223575
1941,1374.8333333333,1374.76389749,1374.8159742629,-683.4240089731,-1374.8289935589,427.4742747011,-689.410105129,-304.0044258689,-1.7272038929,13.8174021573,6.9087883111,-1192.936845941,-3.4544050597,-1306.68758275,1189.4874532295,-1340.8012542866,1374.8322483893
1942,1400.0833333333,1124.6288672682,1329.4373760214,-428.3277541401,-1382.3090199293,598.5910920488,-824.7844538127,-186.0087023087,-111.5471199952,833.9324020475,439.1236767871,-1332.9548661943,-222.3850572765,-1265.6705909507,1131.3549155887,-1387.6721885745,1395.6326810083
1943,1375.25,412.6448788407,1108.7836651317,-139.4604732175,-1306.9367425343,739.0805763923,-921.8241553321,-59.8527786722,-216.734638821,1311.8829088248,813.5793424351,-1368.1605676637,-428.0524658425,-1159.7725915453,1020.5649362712,-1373.9469448946,1358.0643058542
1944,1228.6666666667,-390.290608598,717.6645165676,132.1344696749,-1093.4789086064,784.9023315967,-914.3224256752,56.718623734,-288.184569391,1165.0300505215,997.2860268938,-1221.540936564,-560.2906872427,-945.2777938955,820.7534828956,-1227.3568248474,1194.3916575993
1945,1073,-873.5768792913,327.0940296921,334.5591633932,-866.6893601111,783.471401227,-868.9968303512,145.3652845813,-332.6945420358,623.0509096114,1021.9288114834,-1019.5092771474,-632.5966748808,-733.1449812005,629.4231556271,-1063.1076775372,1020.1192781727
