Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1999;0;2;8;10;1763;2358;2980;3477;2940;2915;212;0;1388.75
2000;2;477;12;397;945;2597;2916;2520;1423;375;25;0;974.0833333333
2001;10;32;449;399;1060;4352;5727;3310;1120;1441;696;0;1549.6666666667
2002;167;1;200;201;954;1903;1631;3300;2253;510;412;2;961.1666666667
2003;15;205;231;235;634;2013;3657;4020;2957;3187;514;232;1491.6666666667
2004;63;100;81;734;405;2193;3297;3402;1656;1535;27;0;1124.4166666667
2005;244;53;309;205;502;1905;4663;1886;3458;2431;146;66;1322.3333333333
2006;12;3;258;286;1306;1934;4264;6696;2184;395;188;0;1460.5
2007;5;399;95;202;797;2821;2874;4264;4009;716;192;0;1364.5
2008;475;171;159;409;525;3985;3400;4299;4017;309;101;0;1487.5
2009;0;0;33;23;791;972;6255;2905;1608;1147;403;4;1178.4166666667
2010;86;25;54;79;952;1618;3215;2774;2279;1427;463;435;1117.25
2011;2;208;36;509;711;2186;2125;3297;3598;255;0;11;1078.1666666667
