Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
1989,88,1,192,1301,1665,7472,4515,2920,2726,3378,823,65,2095.5
1990,111,22,240,287,5200,4947,6559,2526,1139,3557,1468,1,2171.4166666667
1991,116,50,316,985,1145,10799,7102,4111,457,2772,943,27,2401.9166666667
1992,22,10,0,440,2253,8087,6330,4388,2718,3035,3198,50,2544.25
1993,0,167,91,691,1488,7457,7207,2131,744,4182,2501,735,2282.8333333333
1994,203,415,162,1455,1483,8004,8095,4611,1716,4007,1383,53,2632.25
1995,96,86,710,1190,2963,5372,5569,3958,2336,1655,2013,3,2162.5833333333
1996,63,88,116,1201,683,6275,6255,3301,3057,2907,1240,590,2148
1997,2,5,397,535,1358,6200,8560,5051,3221,2553,3202,705,2649.0833333333
1998,58,20,133,577,1945,7472,4732,3312,4806,4183,1471,954,2471.9166666667
1999,48,307,262,1495,4307,6134,5202,2313,1511,5624,1113,70,2365.5
2000,83,774,255,925,955,5944,2610,5785,1863,2026,953,534,1892.25
2001,215,311,55,2070,2325,6015,4688,2992,3170,2865,1336,108,2179.1666666667
2002,48,78,297,944,3187,5254,2628,4097,943,5282,2233,6,2083.0833333333
2003,12,1188,560,1356,1174,6119,5639,3352,696,4307,207,187,2066.4166666667
2004,35,80,362,1000,6597,5777,3732,2767,1625,3711,1123,50,2238.25
2005,178,26,184,2025,1431,6155,6492,1876,2836,2631,2430,610,2239.5
2006,77,23,486,586,4317,5956,5562,3861,4409,4559,2146,12,2666.1666666667
2007,3,94,38,1405,2415,7021,8956,4186,4544,4206,1451,77,2866.3333333333
2008,0,230,2406,1410,867,4127,5906,2835,3265,4183,986,250,2205.4166666667
2009,32,12,613,620,1749,4401,7892,2288,2848,2015,2584,405,2121.5833333333
2010,188,9,304,1284,1736,6785,5373,3043,2387,4251,3197,424,2415.0833333333
2011,274,478,301,1680,1249,8373,4782,4471,3623,2210,1696,510,2470.5833333333
