Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1989;286;16;330;4;29;945;1476;2810;1478;20;50;172;634.6666666667
1990;0;590;70;12;337;415;2466;1741;2383;81;49;276;701.6666666667
1991;46;166;75;53;85;620;1241;3000;704;0;66;158;517.8333333333
1992;262;146;29;8;106;268;2123;3035;1043;469;95;0;632
1993;30;227;317;27;307;864;1615;1418;2737;2;1;0;628.75
1994;187;223;0;210;60;517;3677;2326;100;10;0;15;610.4166666667
1995;286;126;83;30;6;906;1633;3497;1245;0;0;27;653.25
1996;355;686;37;8;88;1280;2371;3863;1896;327;0;0;909.25
1997;45;25;65;347;477;988;3562;1986;1188;450;197;755;840.4166666667
1998;37;93;318;103;177;1070;2911;3800;1158;604;60;0;860.9166666667
1999;193;34;1;0;116;955;2631;2081;2331;226;0;30;716.5
2000;113;263;39;85;382;1771;3302;2556;1055;0;0;1;797.25
2001;17;48;32;166;352;2305;3582;1250;290;125;27;0;682.8333333333
2002;206;397;11;25;407;405;201;2483;2380;44;0;103;555.1666666667
2003;208;387;49;37;65;1015;4320;1893;3732;0;8;153;988.9166666667
2004;222;8;0;176;347;1030;1666;2758;1090;527;0;0;652
2005;79;230;217;61;104;758;3100;1027;2702;8;0;21;692.25
2006;11;1;274;54;475;1259;2827;953;733;217;10;15;569.0833333333
2007;9;747;363;9;271;1479;2212;2282;946;6;0;54;698.1666666667
2008;8;3;0;98;356;2825;3518;2505;1318;98;53;0;898.5
2009;33;53;18;109;162;177;1232;1707;1190;428;132;46;440.5833333333
2010;30;151;4;3;101;161;2723;2193;2497;18;137;46;672
2011;9;186;49;59;295;2063;2403;2045;974;0;0;0;673.5833333333
