Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1971;0;8;4;160;3217;10576;11713;5642;2186;437;20;48;2834.25
1972;0;0;0;46;1173;8359;7992;5147;640;1548;290;18;2101.0833333333
1973;0;0;0;277;539;8147;8807;11229;1633;1116;233;96;2673.0833333333
1974;0;0;65;136;2766;6190;14425;6159;5242;2685;44;0;3142.6666666667
1975;0;0;44;45;1398;17115;12488;11070;5555;2081;765;0;4213.4166666667
1976;0;0;0;58;695;5949;10805;5417;3100;590;1100;317;2335.9166666667
1977;0;0;10;347;966;9362;11860;3482;2856;2792;2877;0;2879.3333333333
1978;0;1;0;0;4712;13918;11173;6152;2857;1011;731;457;3417.6666666667
1979;0;0;0;71;29;9485;9777;4228;2183;1003;1134;0;2325.8333333333
1980;0;0;0;3217;237;11523;7669;9394;1553;457;641;79;2897.5
1981;8;0;0;6;460;12278;9332;8634;2468;1266;449;41;2911.8333333333
1982;0;0;0;0;1983;9254;10900;12600;1005;775;910;0;3118.9166666667
1983;0;0;0;4;197;5240;11513;12068;7722;1093;377;382;3216.3333333333
1984;1;8;106;715;228;11045;7457;4742;1660;2578;35;0;2381.25
1985;6;0;0;146;1269;10049;6265;6757;1238;3062;312;44;2429
1986;0;0;24;6;407;9755;5877;7702;1365;332;2178;17;2305.25
1987;0;0;0;0;324;11929;7890;7489;945;2768;875;60;2690
1988;0;0;0;200;530;11939;10059;8817;5139;1226;8;0;3159.8333333333
1989;0;0;37;70;669;12005;7799;8192;2923;250;110;6;2671.75
1990;0;0;0;0;6072;8562;7242;9220;2003;2390;370;0;2988.25
1991;0;0;0;495;1375;10720;12346;7802;630;933;382;15;2891.5
1992;0;0;0;146;1025;10140;8740;8607;3207;1174;2261;0;2941.6666666667
1993;0;0;108;312;689;6607;13966;4707;1728;3920;334;190;2713.4166666667
1994;81;0;3;614;394;13943;11303;7777;1496;2728;262;0;3216.75
1995;138;0;0;272;1250;9220;12261;6155;2261;1863;213;0;2802.75
1996;0;0;0;13;166;11044;9952;4481;2791;2168;108;212;2577.9166666667
1997;49;0;8;108;113;8465;12875;9122;1198;919;760;271;2824
1998;0;0;0;5;522;13164;8660;4917;6375;2740;602;172;3096.4166666667
1999;0;0;5;18;3935;11833;12841;3636;1388;2748;190;0;3049.5
2000;81;0;0;247;2642;11284;8037;6134;1370;1345;25;18;2598.5833333333
2001;50;0;0;778;2381;10505;8750;5824;1628;2371;405;0;2724.3333333333
2002;0;5;0;170;2281;9892;4053;5227;1548;5370;188;0;2394.5
2003;0;0;5;153;73;12058;10705;5179;2687;1450;265;0;2714.5833333333
2004;0;4;16;37;4263;7995;7032;6250;1576;1446;412;0;2419.25
2005;3;0;0;910;295;8680;10705;4217;3431;1417;308;0;2497.1666666667
2006;19;0;15;2;4804;8770;7488;4931;5279;3100;820;0;2935.6666666667
2007;1;0;9;320;1184;12231;6665;7328;7415;1730;404;11;3108.1666666667
2008;0;21;1767;98;608;8933;6129;5685;2991;644;186;400;2288.5
2009;0;0;177;178;1095;5213;13886;3921;5169;2435;1284;242;2800
2010;153;0;13;560;883;7977;10850;5342;4832;3243;2100;101;3004.5
2011;0;35;5;584;448;11791;9980;7634;5740;1491;862;0;3214.1666666667
