Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1882,2103.25,1665.203852107,1990.7285807518,-630.6781265295,2074.9289686597,-1524.8721147227,-1244.4249259953,1459.7292668047,-2096.1577845947,1284.8177666222,678.7195888421,-2006.4659636329,343.9917695482,-1448.5943518601,1695.6023018566,-1514.2163088984,-172.5778218175
1883,1161.25,327.200644049,929.6406053959,-110.3972183646,1101.8272812733,-735.0919588183,-781.1218831508,877.6104186891,-1146.2980617794,1114.1998478881,695.8950404329,-1155.9904916034,366.7127005463,-898.9668373087,859.2730451742,-760.4613833117,-185.7479907313
1884,2404.75,-807.3145949981,1385.8991287569,273.8395074162,2134.8961909632,-1277.0548964956,-1794.6222608058,1951.1634431938,-2336.3127121298,2265.1855789765,1965.2242028356,-2389.1074665402,1106.8156198351,-2037.6342541871,1600.672828382,-1405.6257611627,-569.6187089981
1885,2418.25,-1995.2799730894,715.138891257,768.6276478954,1946.4477499129,-1017.4204278823,-1962.9909413982,2080.8687591505,-2297.273420136,1366.3055630014,2310.0886192334,-2292.8463972519,1435.0171494999,-2193.8069047726,1412.3029513842,-1232.0382582093,-755.2932514173
1886,2130.25,-2129.4404682354,-29.3641366435,1082.0337139684,1495.8964052392,-647.1023667145,-1849.7253014544,1922.9143283878,-1965.2733117509,-58.7226935825,2130.0476074443,-1834.9844970287,1516.6604785819,-2029.5870490059,1056.6368210788,-916.7145401819,-821.9889735389
1887,2313.5,-1833.9133572701,-744.8233676368,1563.5868497046,1347.0585341722,-421.1145670674,-2117.7394111164,2169.1276013511,-2057.75389306,-1410.3347290719,2190.324268464,-1705.1329606312,1880.8815899769,-2274.8504942971,931.3764204683,-804.4673387136,-1057.3226402552
1888,2449.75,-693.9986436511,-1466.4842115099,1994.7363038078,1097.4414256245,-140.6493502558,-2333.2252701736,2363.9580435252,-2084.434239179,-2349.3916116966,1962.3198311927,-1422.0767000311,2190.1820426219,-2445.709063395,746.5486595819,-642.6332009418,-1287.0155263392
1889,1927.75,644.2848865321,-1574.5221898265,1767.9737603341,583.4958916145,131.2834425764,-1887.3833048674,1898.0652504315,-1555.8043365989,-1816.897643646,1112.2499432429,-768.4327200673,1837.3221293418,-1923.2744786445,392.4338453905,-336.9990617262,-1138.2850823586
1890,2338.75,1927.5781579732,-2233.5929552472,2291.8168581343,350.667961479,450.3137796144,-2326.9871335551,2330.1059699703,-1773.3973408981,-1324.4598927128,693.4075805543,-466.1834952799,2312.3112989587,-2294.9878131244,234.2700210637,-200.8923373577,-1524.7338895019
1891,2395.75,2394.9417175226,-2395.5479208581,2395.6601863466,-15.5584559691,752.155079515,-2395.7275464814,2395.7335035305,-1688.5413663295,62.2272622715,-31.1162557611,20.744494545,2395.6994796819,-2274.6166267879,-10.3723444845,8.8905883555,-1699.542914049
