Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1970,1712,1385.8547654005,-1628.4236792625,-1145.2067655663,267.4721117263,-1248.1848356754,696.5450514326,1182.955526145,-1301.7020118436,-1005.1619616842,528.3751705154,-1272.5743452157,1690.9768388268,1171.7417019079,-1563.8954540904,1237.5622098153,-1111.987352609
1971,2156.25,2156.2497363812,-2156.2499340953,-1077.817189933,-0.2665586546,-1744.5682289871,1078.2788940499,1344.2807939329,-1524.6047513046,1.0662345779,-0.5331173052,-1867.5449573129,2156.2499835238,1267.2394236721,-1867.2784176835,1685.919099353,-1524.7932367372
1972,1492,1206.8990287666,-1418.9357545216,-460.9701295338,-233.4650447645,-1307.4748602652,877.0109938694,821.9069966231,-968.9515347042,877.1879698003,-461.1781917439,-1419.0033614046,1473.6207357638,718.7304708822,-1207.0276370623,1245.2039547407,-1134.5470124214
1973,1708.25,528.109909973,-1382.0748561875,-178.6414874801,-527.8203716312,-1588.2727496479,1143.0121918668,809.5167815821,-1004.1087870996,1624.567014773,-1003.9856345558,-1698.8835396963,1624.6611085981,628.8940572354,-1269.5043094625,1504.26082939,-1381.985385657
1974,1560.75,-481.6137739574,-917.6769215786,162.9042205917,-708.4053596445,-1511.6803672725,1159.7830238429,613.5083537386,-815.5663361845,1484.5836908826,-1262.461734114,-1552.2251052645,1390.720104452,388.2821521819,-1044.4347275468,1435.1125608791,-1330.7111308555
1975,2409.75,-1948.4238195168,-745.5470352095,744.058083979,-1416.0355035104,-2390.7012789464,1949.3446373549,744.9089517517,-1094.2128467341,1417.9350062819,-2291.5179861372,-2292.0018826706,1949.8047377361,302.3945392105,-1416.6688206196,2291.7254888185,-2146.9963457216
1976,2153,-2152.9987017703,-1.1821777584,1075.81739721,-1521.9828795499,-2152.9999480708,1864.3556334821,479.4168615258,-824.1904695909,2.3643551603,-2152.9996754426,-1864.9466286895,1522.818805491,0.4728711233,-1076.8412473078,2098.9446092941,-1988.9995147902
1977,2142.75,-1735.3037236792,660.7024703247,1433.0274757504,-1733.0749811806,-2125.9297839999,1957.2936910648,288.0580612837,-662.5070364061,-1257.0197091076,-2038.3448697919,-1593.0504751088,1260.0907396318,-267.9554365975,-871.9971154872,2123.2993467313,-2037.759060638
1978,2620.25,-814.0247601303,1538.3045349944,2118.9355903953,-2334.143581736,-2538.1560205027,2491.7715628879,118.2059476198,-612.2378387752,-2490.5970674509,-2121.1622333324,-1541.3701782039,1190.581287582,-650.7488594579,-810.42244594,2617.5823609673,-2547.7195472171
1979,935,287.104000459,755.8661390845,853.9044552833,-889.0893768469,-869.4823203566,914.5014121613,-41.6745671284,-146.5032979973,-889.8293616871,-550.3556847943,-380.8834221219,289.3874219416,-343.8393441527,-194.7104700704,934.070784499,-923.4510185581
1980,2031,1640.276873242,1930.8499850525,1986.2832413233,-2005.8062368586,-1780.2428964904,2019.7898731214,-271.9456732987,-159.9508251623,-1197.6864277045,-629.904227024,-423.8394569153,318.9080434533,-977.5971713826,-213.0959137013,2012.711243764,-2024.6917625974
1981,1595.5,1595.4942238781,1595.4985559689,1595.4993582083,-1595.4996389922,-1291.2911241919,1595.4998395521,-354.4341858879,-0.5366507144,-4.2932006152,-2.1466022504,-1.4310684067,1.0733013681,-937.1165789715,-0.7155342753,1555.63384441,-1595.4999097481
1982,1702.5,1380.3566636365,1619.9634980211,1665.6505254697,-1681.7392939128,-1241.7703081299,1693.2625711348,-525.4052894539,132.9381474849,996.554931328,523.6645062245,352.2989880803,-265.0645153724,-1164.6942739822,177.1104604305,1619.3997442923,-1697.3018879808
1983,2646.25,826.1070717451,2143.4463955399,2418.662142917,-2517.4127677734,-1688.1399503191,2588.7278495619,-1038.8855526795,412.8774187211,2513.9980446517,1551.8623044418,1073.6444946629,-815.6420901053,-2037.8475337072,548.7505657427,2433.7945416435,-2613.8422484171
1984,2033,-621.1770553589,1197.9641160017,1646.182782794,-1812.2568868446,-1090.5874118428,1933.8793392324,-962.4422894621,473.6933338379,1935.7758304865,1642.5501443707,1192.9674118067,-921.3110094231,-1715.7237822943,627.0563780793,1790.7523110288,-1977.0441637651
1985,2069.5,-1669.4244782013,643.4113351358,1386.7971930337,-1675.4656081316,-882.6348697703,1891.1381547871,-1139.102827253,638.5351102217,1223.0503512048,1966.9397814419,1536.1067005237,-1214.7613946649,-1871.8402540456,840.4919568374,1727.7948370522,-1968.5281717604
1986,1429.75,-1429.7368833797,3.0621469553,716.6422034177,-1012.0679737817,-442.9817962514,1238.7098636962,-890.7503531435,546.4342947627,6.1242798644,1429.7467208412,1237.1778428264,-1009.9027076632,-1359.3940527639,713.9908515393,1118.3688438412,-1321.209530698
1987,1117.25,-906.8868063783,-342.8033533047,346.8788113378,-657.7425469058,-210.3617887714,904.3776629448,-771.5586755357,506.6481530458,-652.5364992987,1063.3594986942,1062.037029837,-903.1181010753,-1097.2672784353,656.0096076022,808.049981564,-995.7686536115
1988,2337,-733.1004077205,-1368.9984198598,248.0947882508,-1063.5364809887,-149.0366932656,1738.0112945752,-1758.8467483579,1219.8533198564,-2219.038709036,1894.0465481137,2323.7938755498,-2080.9755293146,-2332.2429256106,1562.3334278985,1538.8395354262,-1993.3707327126
1989,1677.25,509.9345307782,-1354.3366003782,-172.4070697238,-520.3875956995,103.561364178,1123.3872450775,-1356.1855164608,984.9739762078,-1597.8530398069,989.4139353052,1668.3654769892,-1594.4793233975,-1674.0497622083,1245.4592165531,986.8781117452,-1357.5690880001
1990,1751.25,1411.0483976542,-1664.0275041134,-538.0796215041,-276.3588210292,326.2392548731,1030.6708071302,-1502.6448450353,1136.4205157363,-1037.216940653,545.7921106557,1666.5373933465,-1729.3069029352,-1720.5942319675,1415.8369432352,899.4081566168,-1332.4507397701
1991,1391.25,1391.2259809108,-1391.2439952147,-693.2637005131,-2.0437902914,428.36458827,696.8046495113,-1252.9657714899,983.039454767,-8.1751170596,4.0875761722,1206.218058251,-1391.2484988029,-1323.6617173645,1204.1760016374,604.6927632896,-984.4846331312
1992,1617.25,1314.2462093962,-1539.6366851706,-1079.6674820601,250.5195934532,686.7780631446,659.3198492152,-1513.622368441,1228.9528825411,942.4725267018,-494.9913536386,1204.0829251684,-1597.7288555309,-1464.1835453533,1476.7514682339,569.6006392685,-1051.2717893076
1993,1658.5,522.767174157,-1344.922229785,-1339.6350812105,509.9356488331,886.8438787019,514.2166215772,-1598.3211748308,1340.960574288,1573.9557591063,-970.4671276402,977.75257565,-1578.1596510015,-1401.4742897424,1576.7699629603,442.7094669052,-975.933905654
1994,1655,-500.6581560361,-977.3524829252,-1510.3808910986,748.834641546,1053.1933575483,345.9368621815,-1628.1142860527,1410.3805039348,1577.4556763328,-1335.592424402,676.5903958854,-1475.8969068403,-1276.6396326357,1618.441437737,297.1007767595,-865.9398559488
1995,1820.25,-1464.9254355202,-568.6736931204,-1779.5661067129,1067.2820087956,1325.1218781548,192.4251240819,-1812.7545946515,1621.1153782212,1080.4182203508,-1729.1385986244,382.6937866477,-1474.5233725517,-1247.9431359383,1810.0504507118,165.0177022923,-827.8254604655
1996,2352.5,-2352.434385893,-8.7851347935,-2352.4927095136,1660.35978336,1901.1448428394,2.9283843146,-2352.4986609305,2172.5851698327,17.5701470725,-2352.4835964161,5.8567640917,-1666.571822575,-1385.6061982198,2352.4981773777,2.5100438702,-902.2914882802
1997,1931,-1571.0030630797,589.5566491836,-1889.83879604,1559.9991810212,1690.6972923892,-199.3518056688,-1923.4177334777,1835.9084152746,-1122.8135979736,-1838.7995968575,-396.5732277678,-1138.0525274403,-932.9006729057,1920.6821334038,-170.9538608616,-598.4991985993
1998,2234.75,-707.7807985413,1306.2148412416,-2043.9942046053,1989.1167862854,2076.4815910043,-461.6771132287,-2199.2972416519,2172.4739699996,-2119.7060889935,-1813.2595928383,-903.4352517142,-1018.5882254462,-826.0337551942,2186.5410596696,-396.4835499266,-523.8935122469
1999,1999.5,601.8376379292,1612.664659351,-1620.9234213909,1900.3319757838,1935.841468954,-615.208854345,-1928.0825250433,1974.5523588373,-1906.7752115999,-1182.079923897,-1170.7294785673,-621.883133566,-500.5177889727,1902.503170966,-529.6206440678,-314.8701831076
2000,2171,1745.152248021,2061.7912758635,-1457.3782102821,2143.5239513357,2153.4019378223,-880.1343378933,-2033.5170888064,2164.1200865883,-1291.3886445324,-679.8953851684,-1609.1270155569,-344.305198988,-275.8642676813,1984.5917835316,-760.2955014548,-172.699886581
2001,1856.75,1856.6737720023,1856.7309429028,-933.2276652072,1856.7452357196,1856.7469508601,-925.9454884405,-1673.9154030361,1856.7488089295,-16.8245908935,-8.4123817888,-1605.1812007969,-4.2062016872,-3.3649623859,1609.3929025992,-803.4474382176,-2.1031021927
2002,1367.25,1113.617919126,1302.2992479505,-426.5671040714,1350.9147288523,1356.787911952,-801.919163463,-1174.6527461352,1363.160064982,793.2387362588,416.4003257534,-1299.0046451896,210.7177208253,168.8168370775,1107.3835007669,-699.6881365988,105.6749721473
2003,2740,871.9396120778,2224.4903390545,-295.2159134346,2607.9401382134,2655.2345992502,-1830.1240937692,-2218.9358271794,2706.7836982944,2597.560646624,1599.7633360761,-2724.0498461766,840.385765881,676.2612091084,2039.1777267824,-1607.4588003615,425.3492807654
2004,1636,-489.9409208405,968.2336116622,165.5749282078,1459.5420837851,1522.3178320825,-1213.9556380997,-1233.5639715979,1591.2741512814,1560.914441629,1318.7189515767,-1627.5997490627,739.0757103709,599.2031526315,1096.725904101,-1074.6236215419,379.9244338863
2005,1896.75,-1522.8983041432,595.4423583003,579.9096897476,1537.3785896139,1664.0199999433,-1532.5802208251,-1312.7958856012,1804.6721866242,1130.6817933167,1800.8633930539,-1805.9250577576,1110.9129735029,910.3285133888,1117.5233461703,-1369.0242968073,583.7969350082
2006,1443,-1442.9181035815,7.6868892236,717.0574109371,1023.0692012639,1169.216175864,-1248.3915339312,-901.4118500282,1333.8923977263,15.3735603137,1442.9795257501,-1252.2290802486,1017.6337304872,845.6846540514,723.7178856494,-1126.8121745121,550.4362554266
2007,1729.75,-1410.4687797535,-525.4886729138,1152.7193327259,1020.5564733339,1263.5289706417,-1578.9159775432,-955.1757546636,1542.2941713968,-1001.3055896381,1647.9977903927,-1289.6794960222,1396.602859526,1181.3253585906,706.4413622932,-1442.1076035452,783.175428225
2008,2541.5,-812.6080039892,-1482.2245119855,2050.47968945,1160.2044330179,1624.4311359861,-2415.6279080952,-1207.9456337307,2168.8570511349,-2408.0885535737,2064.5175577043,-1501.58426109,2261.2270835999,1954.5960540323,789.9139571064,-2236.0880116737,1324.8703112918
2009,1076.5,320.7485078362,-867.2191241796,981.7298846519,335.6269229522,578.9264400521,-1052.540847385,-424.7325917378,871.8241315076,-1027.6052961721,637.7956104091,-441.6544843896,1022.8425189587,907.5772292255,225.8539673907,-989.1685779055,631.4862894165
2010,1893.5,1518.489256804,-1797.3037664455,1850.5425432251,301.7843337844,810.2980879605,-1882.7300066123,-588.1914891585,1441.6606545961,-1131.1642793913,595.8535232092,-401.0418253924,1869.296248828,1711.3618140673,201.6679751514,-1799.8258310407,1227.5816905565
2011,1871.25,1871.1096741748,-1871.2149182148,1871.2344080684,5.7291705542,582.6053306232,-1871.2461020131,-419.5833942121,1325.1975839285,-22.9161451726,11.4582874038,-7.6388847899,1871.2412295332,1778.2428380931,3.8194503512,-1823.6025712313,1321.1464438321
,,1.2895826304,-2.7771684604,-41.2323649835,408.1598198184,54.6163096889,-299.881742494,89.2605331724,-119.8295471883,48.3704899322,-11.2006208061,-184.8684658582,66.0458762703,-241.9374006122,406.3354590678,-83.5944950004,-447.1824314664
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,2341.3673196431,,,,,,,,,,,,,,,,
20,133.1665711001,,,,,,,,,,,,,,,,
30,1700.1079221315,,,,,,,,,,,,,,,,
40,170956.49628646,,,,,,,,,,,,,,,,
50,61516.6470990201,,,,,,,,,,,,,,,,
60,255037.564777068,,,,,,,,,,,,,,,,
70,14955.4823765963,,,,,,,,,,,,,,,,
80,214331.247391569,,,,,,,,,,,,,,,,
