Year,Mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1892,2644.75,2099.0606302816,-2504.6150566941,2582.1583380422,-430.4775785731,1138.345228641,-2629.05551739,2633.2163301976,-1711.1687506743,1608.927292609,-849.4739432622,571.9797896597,2609.4811010708,-2387.231179197,-287.6971480246,246.7272195783,-2016.5822743483
1893,2840,808.890810084,-2276.2743574357,2584.6196944724,-894.7012978874,1533.8809595593,-2775.4206827346,2792.5060274662,-1662.024114446,2722.3694931735,-1698.2859151747,1177.0051125401,2695.3867231918,-2390.1483639936,-602.1960094929,517.2137725978,-2302.8842443771
1894,2160,-718.6633252633,-1247.6552443346,1736.8268806539,-992.6390764616,1385.1471931949,-2051.4806923552,2080.0924447575,-1122.8311526768,2036.9396223064,-1763.2232959227,1284.1465596411,1918.4023727783,-1657.3977353624,-676.0376978348,582.078535305,-1845.2236185836
1895,1869.75,-1539.3439358934,-555.7772658014,1239.6231841899,-1108.3321974408,1369.29601648,-1704.9560861118,1748.1957775764,-843.7004611635,1061.3130120413,-1785.2385536164,1399.7497718232,1505.8435518393,-1273.1824228099,-767.5218608812,663.1565318716,-1668.5726218336
1896,1393.75,-1393.3356631347,16.9923807344,687.0412896484,-991.5195896069,1131.5492585119,-1204.1808128241,1253.6112021109,-529.4377368895,-33.9822356099,-1393.6464119342,1212.6472400572,979.5039386984,-813.7169889225,-701.7746308654,609.0960650358,-1289.2768303422
1897,1787.5,-1420.4164931039,572.783453225,538.7128792661,-1452.4129358829,1570.5248026354,-1441.8920766979,1531.3162038778,-547.2513714507,-1085.160465608,-1693.2440360774,1704.3898273907,1041.9466942604,-853.5854346854,-1056.4579921397,922.0775096169,-1701.6674723474
1898,1954.25,-559.5936893665,1167.3703557688,188.8839127499,-1746.4859833765,1820.4119776652,-1447.1039093637,1577.115520921,-450.5678802836,-1872.4176791841,-1567.2713597116,1945.1004935489,876.8578974779,-710.7695084013,-1313.3862105277,1154.0362629355,-1901.599760138
1899,1043.5,345.6198939709,851.3361878126,-117.1766820993,-994.2991405967,1011.9214148794,-695.2044239752,783.5277940996,-160.2203120509,-984.601004921,-603.422692083,1036.9001278678,316.6409149317,-254.7691113705,-778.1921734927,689.1853494332,-1031.1264236777
1900,2007,1650.5238253276,1915.8092699213,-634.8825613071,-1984.0713450796,1992.3155763417,-1173.4222810772,1382.1659370191,-151.6868656562,-1141.8494217829,-598.1001933487,1903.9362209245,302.506029087,-242.3378721251,-1628.2288384228,1455.2203690658,-2001.2596270318
1901,1418.75,1418.3815249598,1418.6578782492,-718.6889319076,-1418.7269693754,1418.7352603859,-704.7026466376,880.9599002464,4.0419487076,32.3328339712,16.1674667656,1223.2488633363,-8.0838646085,6.4671042845,-1231.3593067509,1112.0976650717,-1418.7442423322
1902,1415.25,1125.9792146745,1340.9837146789,-954.8390358138,-1396.5600174535,1403.2789050403,-570.7874460184,775.8609909836,115.0021691077,857.381694825,452.4325800226,1044.6123578563,-229.2437134369,183.6868998297,-1295.0421823121,1183.6267507834,-1410.5697655914
1903,2392,688.5913357938,1919.4757715609,-1945.4987681228,-2270.7983227902,2314.1923851598,-730.7636234276,1126.8215958307,380.7324597968,2290.7435413572,1427.3320434961,1391.6531691598,-751.7572595015,605.1261062526,-2277.6410003938,2109.9613956586,-2361.5051967034
1904,1370,-451.7013122347,793.1170160318,-1255.5799817845,-1217.2654418745,1271.5791282947,-279.960198024,534.5119624536,323.4550545532,1293.3931824954,1117.0789582124,548.1048342627,-628.6213836788,509.8887334364,-1341.0899625015,1261.4265583038,-1331.2688788085
1905,1550,-1273.2884411623,463.0890390618,-1518.4011966321,-1249.0572465956,1355.0492825912,-156.4898482655,474.4426890571,482.9395758151,883.8758654938,1479.2053751595,311.3804844019,-917.7995395113,752.5566036844,-1542.0800651684,1475.6029732961,-1472.8439720865
1906,1998.75,-1998.300900842,-21.1853362271,-1998.7000984324,-1405.8195779893,1612.0271342047,7.0618962823,438.8603826884,769.7790855154,-42.3682923206,1998.6377220569,-14.1237044094,-1420.8000832777,1181.6810403353,-1998.7375245692,1949.9751606127,-1844.570877468
1907,1695,-1350.1832822828,-540.5850240853,-1655.4672155059,-989.1242045808,1230.7455150348,183.0410742395,222.5140870268,773.4531250294,-1024.7097658577,1606.4846192027,-363.9413392089,-1376.4658760436,1165.4571966494,-1685.0878211955,1680.3310629381,-1508.2424418449
1908,2493,-721.467969433,-1486.0062840048,-2270.465495035,-1120.3649704396,1581.1851559189,526.6775678144,104.5319425626,1308.047997723,-2386.3220589607,2001.7078517851,-1029.5802231276,-2227.0678779534,1927.4082345735,-2436.7313638481,2490.8075142379,-2122.2769460306
1909,1576.5,517.4151398427,-1284.7290021561,-1269.1335009775,-479.5711511866,839.3349072979,492.2211320682,-75.2836128775,929.8678212935,-1489.1721938922,913.686839688,-935.228531802,-1501.7868560317,1334.4920994113,-1497.6884212497,1574.7014407919,-1273.0664102563
1910,1889.75,1550.6668159823,-1802.9874761077,-1255.1345315515,-286.3210431713,797.7961544637,774.3592775645,-258.9965984754,1230.8695851241,-1080.0867966563,566.0311153097,-1412.7251573491,-1867.9334363776,1713.0897111427,-1723.8105382407,1871.9176863522,-1433.9160111096
1911,1419.5,1419.2271750731,-1419.4317921296,-701.7007291522,6.9577680363,433.3524589749,713.7632888319,-319.7434213522,1006.1950113491,27.8294005336,-13.915368909,-1233.9353049116,-1419.48294793,1351.7344030172,-1226.9972361484,1383.0200267899,-1001.2751116133
1912,1562.75,1246.3402166776,-1481.537332657,-473.3508092066,251.9078163637,286.9063635905,922.6208824356,-487.0097197878,1190.767925022,942.7744304933,-497.2270049419,-1489.3376292579,-1542.3132024835,1536.1875865373,-1261.331942747,1484.9273030463,-1012.0569703524
1913,1492.25,434.1278105151,-1198.8822477085,-146.5956033219,467.8557621516,88.0482856227,1002.0111709564,-590.2078698553,1209.3320105684,1427.7055391912,-888.5332962975,-1485.0319160162,-1417.0113084664,1489.6501474839,-1105.7954945552,1370.5709514144,-874.2574853638
1914,2229.5,-728.3779316841,-1293.5902850807,246.8262923167,1021.4232005914,-148.2904231056,1661.4706540773,-1061.7173928485,1903.6718829303,2107.1629834058,-1815.8453745693,-2215.7948983201,-1981.7580314695,2224.562923456,-1486.6692690844,1960.4658700735,-1160.4755973914
1915,1957.5,-1604.4763298867,-587.8111236812,616.2657157839,1157.8354752282,-373.8463752508,1587.1588434443,-1082.6555533251,1746.177137744,1121.3661118624,-1867.1594288857,-1857.962006487,-1578.360941706,1921.4695255746,-1145.7456330602,1630.8473879718,-884.68731969
1916,2144.5,-2144.1520723351,19.3149019859,1083.3822178454,1523.2040338229,-670.0305525128,1860.4022973768,-1341.3840773995,1983.1025314559,-38.6282370972,-2144.4130163197,-1850.7196492328,-1509.5461971552,2037.139982598,-1066.6693686027,1673.1912642908,-816.2013230407
1917,2273,-1814.9676258968,721.494139386,1530.8707115572,1844.7879524249,-975.068875061,2079.2063542816,-1574.933460494,2163.2997961288,-1368.3645409564,-2155.4524366897,-1680.1678084335,-1327.8879510666,2053.2339586339,-918.3844164157,1638.9367269716,-697.6123508576
1918,1096,-320.5197553008,651.8919957287,890.3991424428,978.6954652288,-590.4786203555,1043.334428675,-827.1538234158,1066.2706574531,-1048.0854385316,-881.0521130471,-639.0660115647,-493.3266527775,923.3368826723,-335.6624345103,719.0497565598,-253.5406970383
1919,1304.25,424.1348627911,1061.660481815,1194.4887455051,1242.122929888,-834.7838702781,1276.5147881684,-1057.0254299851,1288.624633826,-1233.3603206951,-757.5916339641,-523.7028731655,-397.741988664,1002.0997716912,-267.5407596751,764.0453539318,-201.2824274416
