Year,Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1967,6080.5,-4912.8990873039,-1884.0909412299,-5946.8801569807,3571.8528302446,-2590.8969267148,637.3678119732,5219.0097613113,-5417.1547598487,-3582.7228204215,5781.2352983749,-1267.7131570311,4920.8076175638,5500.8847802095,-6047.0027718086,3120.0027822644,-2761.6869043845
1968,4042.75,-1243.7017620712,-2378.6395548598,-3692.4406631434,1834.0641349324,-2167.2036253332,841.4906629241,3270.1611303198,-3446.6280872759,-3846.6912391718,3268.9297071911,-1646.1195314026,3602.7817462975,3412.7783415925,-3954.2029571978,2376.9463065551,-2112.9558420613
1969,6603,2047.5438248847,-5344.1342084436,-5340.4749341166,2038.6626525307,-4210.0618906724,2041.6234973702,4971.8285595689,-5341.3901980037,-6277.5133042612,3878.1230720728,-3883.1606299601,6280.4031390649,5086.7462956892,-6279.4412565917,4345.173158144,-3881.9015640109
1970,7188.5,5819.0519749307,-6837.5722069968,-4808.5974499259,1123.086025201,-5240.9910579746,2924.7161812053,4967.1003502883,-5465.7038038188,-4220.5646971768,2218.5893184872,-5343.3999302473,7100.2260548519,4920.0147337412,-6566.6252755427,5196.3878184914,-4669.1127828444
1971,5599.5,5599.4993154163,-5599.4998288541,-2798.9506574051,-0.6922180576,-4530.4161383018,2800.1496427745,3490.9218808707,-3959.1996776487,2.7688721246,-1.3844361046,-4849.7706613212,5599.4999572135,3290.8554911778,-4849.0784926695,4378.1119985284,-3959.6891497322
1972,3997.75,3233.8341771123,-3801.9774883638,-1235.1496885682,-625.55957286,-3503.322803368,2349.9133382985,2202.2645413874,-2596.2640736353,2350.3875377138,-1235.7071823352,-3802.1586381068,3948.5035498659,1925.8074664675,-3234.178777524,3336.4705831534,-3039.9700528871
1973,6181.75,1911.1040163768,-5001.3998198373,-646.461007013,-1910.0562460594,-5747.5808986598,4136.2889606746,2929.4484791718,-3633.6306129973,5878.92120215,-3633.184953265,-6147.8550104009,5879.2617052985,2275.8178476892,-4594.0338153198,5443.5617632556,-5001.0760472911
1974,6217.25,-1918.509201433,-3655.5674135413,648.9292106189,-2821.9338281275,-6021.7810433604,4619.9974403251,2443.9114606962,-3248.8097412418,5913.8413917281,-5029.0182389364,-6183.2910688488,5539.9356523492,1546.7225440673,-4160.5073265036,5716.7730700788,-5300.8898147116
1975,7488.75,-6055.0923865157,-2316.9272164853,2312.300021329,-4400.5958613605,-7429.55252732,6057.9540006188,2314.9442524869,-3400.4716074198,4406.4989224167,-7121.3218461189,-7122.8256453364,6059.3838488313,939.747735455,-4402.5640130368,7121.9666996117,-6672.1937479087
1976,6083,-6082.9963320338,-3.3400777075,3039.5714014066,-4300.1494920122,-6082.9998532813,5267.4757633404,1354.5252060666,-2328.6347545386,6.680154408,-6082.9990830084,-5269.1455375375,4302.5112836979,1.3360311394,-3042.4641464809,5930.2740633238,-5619.6395952014
1977,6480.25,-5248.0233136727,1998.1412592798,4333.8589661563,-5241.2829993213,-6429.3811610152,5919.3804417327,871.1647423328,-2003.5987505173,-3801.5643308575,-6164.500918198,-4817.811383187,3810.8519498304,-810.3690201894,-2637.1528678734,6421.4260140732,-6162.7292743902
1978,6514.25,-2023.7613944009,3824.4061891373,5267.9233545396,-5802.9557589253,-6310.1547014826,6194.8374786918,293.8739029796,-1522.095350154,-6191.917544754,-5273.4590510393,-3832.0277390953,2959.925256228,-1617.8382817379,-2014.8056171986,6507.6179352854,-6333.9307548741
1979,5535.5,1699.7478016477,4474.9700672754,5055.3883553164,-5263.6943802525,-5147.6143147954,5414.1417829077,-246.7268089191,-867.3465305495,-5268.0753279347,-3258.2822386941,-2254.9520675463,1713.2663894732,-2035.6392401685,-1152.7484567645,5529.9987460903,-5467.1263243082
1980,5696,4600.2053520367,5415.1262997829,5570.5905182558,-5625.343340791,-4992.7442335842,5664.5608652386,-762.6797415606,-448.5868538279,-3358.9472635177,-1766.5851684534,-1188.670382368,894.3871075873,-2741.7003880825,-597.6338377364,5644.7086383456,-5678.308360293
1981,6494.75,6494.7264873284,6494.7441218295,6494.7473874795,-6494.7485304572,-5256.4168153215,6494.7493468699,-1442.7837222161,-2.1845266231,-17.4761922252,-8.7381040212,-5.8254036569,4.3690529992,-3814.6900039329,-2.9127021214,6332.4681359963,-6494.7496326143
1982,5957,4829.8294539106,5668.2070823562,5828.0647167243,-5884.3588686277,-4344.9196625726,5924.6784941264,-1838.3784489143,465.1468690557,3486.9179006878,1832.2874969631,1232.6843300996,-927.453343949,-4075.2327695226,619.7045596384,5666.234523788,-5938.811951073
1983,8888.25,2774.7363931747,7199.4284081841,8123.8257125299,-8455.510262886,-5670.1407325173,8695.0440468089,-3489.4188053297,1386.7766526019,8444.0408579597,5212.4100623351,3606.1674746104,-2739.5865119994,-6844.7419334806,1843.1486881294,8174.6525591924,-8779.3985316933
1984,5970.75,-1824.3447630516,3518.3198453601,4834.7003690936,-5322.4460438404,-3202.9634969308,5679.6409565775,-2826.6120510605,1391.1974781174,5685.2107918727,4824.0316155935,3503.6449454228,-2705.8129412264,-5038.9364353829,1841.611839359,5259.2889134654,-5806.4124155437
1985,6142.25,-4954.8308776188,1909.6367592354,4115.996646007,-4972.7608753545,-2619.6492045648,5612.8742842432,-3380.8428802583,1895.1641849526,3629.9980766793,5837.8525598269,4559.145388399,-3605.3965578066,-5555.59835729,2494.569568439,5128.0733693569,-5842.5668823363
1986,3875.25,-3875.2144482021,8.2997621881,1942.4148968663,-2743.1483933538,-1200.6750871993,3357.4473854091,-2414.3243965865,1481.0767622165,16.5994863049,3875.2411120403,3353.2949364665,-2737.2795718633,-3684.554504615,1935.2285696293,3031.2704053824,-3581.057691091
1987,6353.5,-5157.2211450654,-1949.4303917846,1972.6064245553,-3740.4048080252,-1196.270865929,5142.9523217901,-4387.6464936371,2881.1716629014,-3710.7994166878,6047.0392257357,6039.5187013373,-5135.7895324966,-6239.8636415654,3730.5500486917,4595.162728008,-5662.6682843774
1988,7178.5,-2251.8447911088,-4205.1155998989,762.0660836363,-3266.8363837302,-457.791999404,5338.6025152367,-5402.602217838,3746.9906104361,-6816.1614774561,5817.8918038657,7137.9351029672,-6392.0765242554,-7163.8878226339,4798.9775405088,4726.8119833363,-6122.9832284029
1989,6390.5,1942.9045276126,-5160.1657741641,-656.8891811418,-1982.7318111894,394.5797572096,4280.224289562,-5167.2103401061,3752.8550871699,-6087.9891792432,3769.7718012031,6356.6490270975,-6075.1349626899,-6378.3067553388,4745.3314195158,3760.1100450785,-5172.4818940914
1990,6739.5,5430.2701932852,-6403.8334697916,-2070.742389223,-1063.5376298796,1255.4971924155,3966.4273545492,-5782.7694122001,4373.3938991032,-3991.6194555492,2100.4230862322,6413.4925124674,-6655.0543168204,-6621.524526107,5448.6984033881,3461.276957327,-5127.795437933
1991,5812.75,5812.6496463892,-5812.7249115432,-2896.5093082893,-8.5391137584,1789.7403489428,2911.3036668082,-5234.98780825,4107.2148001414,-34.1562707552,17.078209089,5039.6722502057,-5812.7437278824,-5530.3609326938,5031.140379887,2526.4530888132,-4113.2528670141
1992,5538,4500.4145973946,-5272.2262868911,-3697.1392893175,857.8621168921,2351.7557048661,2257.7296799838,-5183.1446445672,4208.3419777478,3227.338292085,-1695.0144482613,4123.1790011331,-5471.1531315072,-5013.8497289638,5056.8864622533,1950.5013697751,-3599.9030262392
1993,6564.25,2069.0831612663,-5323.126769289,-5302.2005317068,2018.2967035591,3510.078342339,2035.2405536255,-6326.0655844939,5307.4467589811,6229.6286353413,-3841.0544724826,3869.8898671755,-6246.2674037302,-5546.956651457,6240.7670963895,1752.2192451807,-3862.691673313
1994,5900,-1784.8236378328,-3484.2173107304,-5384.4394305024,2669.561562007,3754.5865918638,1233.2492367798,-5804.1536481638,5027.9425820032,5623.5580002196,-4761.3264676565,2412.0141001353,-5261.5055893399,-4551.1624365865,5769.6703822647,1059.150805366,-3087.0363444701
1995,4386.75,-3530.428047943,-1370.4871986243,-4288.7029905907,2572.1188584448,3193.5055069335,463.7389990751,-4368.6862892941,3906.841304992,2603.7767494156,-4167.1741505374,922.2809880934,-3553.5587993633,-3007.5069641957,4362.1693803929,397.6879030523,-1995.0354834209
1996,5359,-5358.8505309248,-20.0125557315,-5358.9833922564,3782.3031154202,4330.8119926786,6.6708656927,-5358.9969495968,4949.1536344883,40.0248323748,-5358.9626326009,13.3417210487,-3796.4541539551,-3156.4138645101,5358.9958480625,5.7178852712,-2055.4219280312
1997,5992.75,-4875.5197339569,1829.6559344355,-5865.0085162965,4841.36980428,5246.9840491794,-618.6771276135,-5969.2188618843,5697.6386098584,-3484.5889120953,-5706.61122945,-1230.7427295213,-3531.8820734427,-2895.2048200701,5960.7290807642,-530.5457015424,-1857.4086340788
1998,6534.75,-2069.6590550478,3819.5715108194,-5976.950946882,5816.4810019817,6071.9490219557,-1350.0143262875,-6431.0807248617,6352.6453855933,-6198.3440496925,-5302.2477343328,-2641.7825309943,-2978.507397353,-2415.4487444928,6393.7797022824,-1159.3783993212,-1531.9445706031
1999,5530,1664.4971931724,4460.1328163096,-4482.9740036467,5255.7318460036,5353.9401466944,-1701.4778517268,-5332.4813020702,5461.0025228157,-5273.5518480357,-3269.2683066519,-3237.876477358,-1719.9368485221,-1384.2777559486,5261.7367018964,-1464.7672726656,-870.8337647336
2000,6138.75,4934.6169334587,5829.9498824076,-4120.9030347162,6061.0583400562,6088.9894729647,-2488.6801781402,-5750.0013951683,6119.2962604993,-3651.54861429,-1922.4817115165,-4549.9900814141,-973.5622018829,-780.0376661579,5611.6595168838,-2149.8222061517,-488.3286175722
2001,4538.5,4538.3136740178,4538.4534182654,-2281.1114897229,4538.4883545514,4538.4925469118,-2263.3114847379,-4091.5928674724,4538.4970886369,-41.1247641147,-20.5625931054,-3923.5841550111,-10.2813229338,-8.2250608797,3933.8789220124,-1963.8864674031,-5.1406647645
2002,4695.75,3824.6636267953,4472.6799733507,-1465.0228406973,4639.6473490644,4659.8184951902,-2754.1502372143,-4034.284609738,4681.7033279496,2724.3377551929,1430.1055620087,-4461.3648291454,723.6992046557,579.7927684819,3803.2518366987,-2403.043018785,362.9352718672
2003,5817.5,1851.2805449863,4722.9826815508,-626.795100878,5537.1137788528,5637.5282047948,-3885.6740567527,-4711.1894797869,5746.9759725649,5515.0762999033,3396.5778130011,-5783.6350292455,1784.2862018295,1435.8210160541,4329.5315421739,-3412.9166317895,903.0910368075
2004,5500.5,-1647.2616351366,3255.3600128044,556.6900321558,4907.2195793764,5118.2819287102,-4081.5177184396,-4147.4441477836,5350.1243698796,5248.0500526774,4433.7491400658,-5472.2569802686,2484.8936093493,2014.6191571209,3687.3721488431,-3613.0606542121,1277.3681837356
2005,6507.75,-5225.0646836892,2042.9629667742,1989.670374828,5274.7465488649,5709.253277781,-5258.2833436535,-4504.2032025944,6191.8309858989,3879.3696799562,6178.7630136532,-6196.129587253,3811.5428513579,3123.3374893929,3834.2230425937,-4697.1229036761,2003.0075148542
2006,6103.75,-6103.4035860954,32.5147956329,3033.0832792845,4327.4834630732,4945.6709864378,-5280.5750694613,-3812.8846705544,5642.2354280123,65.0286685825,6103.6633959095,-5296.8075180645,4304.4919490374,3577.1640382302,3061.2564411176,-4766.3061747596,2328.2919570757
2007,7361.75,-6002.9013090623,-2236.4597414788,4905.9294971498,4343.4494103574,5377.5310880888,-6719.8061556172,-4065.1915663503,6563.9451459926,-4261.5183838813,7013.8157152327,-5488.8267263138,5943.8884816394,5027.6756517439,3006.5874830826,-6137.554935915,3333.1647398382
2008,6121,-1957.1015512169,-3569.8194915851,4938.4167535406,2794.2598207761,3912.3128008543,-5817.8471081845,-2909.2406941042,5223.519185519,-5799.6891742769,4972.22583935,-3616.4459028651,5445.9850398249,4707.4886668235,1902.4447497336,-5385.4395905783,3190.8444522594
2009,4885.25,1455.5844383713,-3935.5153055257,4455.1750292574,1523.10397153,2627.2181990379,-4776.5212955759,-1927.4731944146,3956.4132266118,-4663.3616099624,2894.3715798897,-2004.2662051687,4641.7477155065,4118.6638728044,1024.9448157877,-4488.9324618792,2865.739336156
2010,7272.25,5831.9691036668,-6902.7949910395,7107.2659149556,1159.0446904483,3112.0624611411,-7230.8863430611,-2259.0311893494,5536.8981755407,-4344.3936787975,2288.4582963601,-1540.2568865647,7179.2921286185,6572.7229745712,774.5338961156,-6912.4813307558,4714.6981511221
2011,7586.25,7585.681103919,-7586.1077746465,7586.1867886221,23.2266774173,2361.9450578171,-7586.2341971391,-1701.0364859542,5372.4944134013,-92.9045324331,46.4531371098,-30.9688655913,7586.2144435783,7209.1889007262,15.4844650512,-7393.0821675369,5356.0706530508
,,-68.3032660234,-210.0344485149,-56.4398410839,1082.6433614272,300.5808734922,-960.4718468558,209.0416274728,-269.2857874251,25.8788725131,-178.330589248,-437.7860625697,82.3264308877,-770.9064283773,1236.3621994333,-253.916257821,-1337.273766806
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,5335.0521920205,,,,,,,,,,,,,,,,
20,75916.2686244886,,,,,,,,,,,,,,,,
30,3185.4556615751,,,,,,,,,,,,,,,,
40,1178894.28926513,,,,,,,,,,,,,,,,
50,684645.582822812,,,,,,,,,,,,,,,,
60,2451097.65679025,,,,,,,,,,,,,,,,
70,108171.868002278,,,,,,,,,,,,,,,,
80,1860815.96269661,,,,,,,,,,,,,,,,
