Year,Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1896,6122.75,-6120.9298162926,74.647604765,3018.1754663282,-4355.7500034193,4970.9009668548,-5289.9717106503,5507.119632448,-2325.8223523159,-149.284113421,-6122.2949371623,5327.1647634511,4302.9651950966,-3574.6623812917,-3082.8991003631,2675.7617450749,-5663.7988972039
1897,7227.5,-5743.250463725,2315.9677808022,2178.2082992425,-5872.6234931991,6350.1918942922,-5830.0839073197,6191.6575460289,-2212.7324683413,-4387.6907777239,-6846.3895220975,6891.4559314496,4212.9620882612,-3451.3503380077,-4271.6364409454,3728.2882241994,-6880.4484790999
1898,6873,-1968.063158253,4105.5834489952,664.2953216478,-6142.3042925658,6402.2983356751,-5089.3924365137,5546.6368045491,-1584.6248131964,-6585.1997999398,-5512.0153794539,6840.8216411216,3083.8655900554,-2499.7409907852,-4619.1139439461,4058.6881080494,-6687.8317264568
1899,3049.5,1010.0314965638,2487.9249686005,-342.4343958428,-2905.7165589358,2957.2154812407,-2031.649152767,2289.7633043669,-468.2240935307,-2877.3749540074,-1763.4283656033,3030.2126880046,925.3440058305,-744.5312938422,-2274.1706114672,2014.0591500685,-3013.3397498851
1900,5710.25,4696.0157815531,5450.7971517528,-1806.3468588459,-5645.0141495968,5668.47036363,-3338.5822523772,3932.4927961452,-431.5744517257,-3248.7521976759,-1701.6948824461,5417.0163455576,860.6801457869,-689.4916962144,-4632.5828224234,4140.3448492566,-5693.9176807465
1901,5425.25,5423.8409644323,5424.8977296713,-2748.2411473705,-5425.161931703,5425.193636235,-2694.7580854066,3368.7596114972,15.4562694102,123.6396176228,61.8238231331,4677.6605433058,-30.912413369,24.7299788685,-4708.6745930926,4252.6222783649,-5425.2279828811
1902,5473.75,4354.9399232113,5186.5109402747,-3693.0225559342,-5401.4629185911,5427.4495011228,-2207.6295938127,3000.7907432584,444.7928798116,3316.0876538054,1749.8695176816,4040.238045445,-886.643897845,710.4442098165,-5008.8232788772,4577.9027925104,-5455.6482984673
1903,6007.25,1729.3228687071,4820.5563665173,-4885.9103155543,-5702.8650604438,5811.8445676217,-1835.2340204163,2829.8908994791,956.1685071548,5752.9553255928,3584.5904758745,3494.9868312857,-1887.9572730519,1519.708947235,-5720.0497071972,5298.9404657484,-5930.6655906758
1904,5338.75,-1760.2338545204,3090.6959630218,-4892.8668815707,-4743.5590348958,4955.2139205716,-1090.9762826282,2082.9384960212,1260.4712937926,5040.2210606183,4353.1425460994,2135.9085284086,-2449.6732935146,1986.9842887837,-5226.0905381789,4915.6503928059,-5187.8187786415
1905,3207,-2634.4748585855,958.146160175,-3141.6210565155,-2584.3397353755,2803.6406769484,-323.782544121,981.6372282621,999.2175610574,1828.7676778314,3060.5236375075,644.2562667593,-1898.9568536856,1557.0638890425,-3190.6133993517,3053.0701518455,-3047.3616893429
1906,5211.75,-5210.578971839,-55.2408635805,-5211.6198814285,-3665.6811435076,4203.3683135415,18.4139276796,1144.3305063045,2007.2025760775,-110.4755209515,5211.4572347368,-36.8276254938,-3704.7428813121,3081.2388552683,-5211.7174702556,5084.5693775226,-4809.7272148312
1907,5825,-4640.0103948656,-1857.7626933906,-5689.1424957651,-3399.2026499607,4229.5531711373,629.0349601446,764.6870542366,2658.0321258385,-3521.4952130507,5520.809974546,-1250.7128618829,-4730.3325828635,4005.1847613466,-5790.9360226924,5774.5890510999,-5183.1930523578
1908,5370.5,-1554.2092779142,-3201.2020650813,-4891.1090818634,-2413.5259020239,3406.2394223275,1134.5855908332,225.1860399248,2817.838656948,-5140.6909818083,4312.1428070646,-2217.9545079449,-4797.6205529679,4152.0842052856,-5249.2843118918,5365.7768773425,-4571.8765899147
