Year,Mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1912,1061.5,846.5782370842,-1006.3361885237,-321.5241618767,171.1087167302,194.8815261246,626.6914520591,-330.8019949158,808.8306846334,640.3807761758,-337.7420993415,-1011.6345502846,-1047.6182783147,1043.4574455987,-856.7613868027,1008.6388303847,-687.4410328133
1913,1413.25,411.1450013138,-1135.4131925442,-138.8348040842,443.0873887491,83.3869925658,948.9645081951,-558.9621525033,1145.3097429625,1352.1225352736,-841.4941738935,-1406.4140427609,-1341.9944591657,1410.7877841727,-1047.2544698811,1298.0126634856,-827.974127117
1914,2258.5,-737.852235348,-1310.4165323412,250.0368608196,1034.7092615096,-150.2192960682,1683.08206873,-1075.5275764738,1928.4337060318,2134.5716968029,-1839.4648030791,-2244.61663057,-2007.5355523991,2253.4987049228,-1506.0069720687,1985.9664353267,-1175.5703685617
1915,1863.25,-1527.2237658551,-559.5091066151,586.5936628018,1102.0878412358,-355.8463645906,1510.7400843155,-1030.5276933502,1662.1019422229,1067.3744101801,-1777.2591600875,-1768.5045765451,-1502.3657852535,1828.9543261951,-1090.5801025795,1552.3251063287,-842.0912635568
1916,2459.75,-2459.3509255893,22.1542691349,1242.6436979927,1747.1210642089,-768.527699484,2133.8888090336,-1538.5728535246,2274.6264638604,-44.3067410584,-2459.6502293739,-2122.782773234,-1731.4554714164,2336.6076345047,-1223.4739936677,1919.1570120491,-936.186152646
1917,2274.25,-1815.9657383175,721.8909135498,1531.7125894232,1845.8024640574,-975.6050985955,2080.3497805653,-1575.7995699642,2164.489468256,-1369.1170511527,-2156.6377932871,-1681.0917898504,-1328.6182018096,2054.3631018139,-918.8894672386,1639.8380340146,-697.9959916137
1918,798.25,-233.4442469607,474.7926875825,648.5046673859,712.8135539406,-430.063465966,759.8920690601,-602.4411857132,776.5972192627,-763.352373456,-641.6969427371,-465.4511347915,-359.3047450544,672.4942213441,-244.4731189305,523.7057191367,-184.6613699004
1919,1516.25,493.0760864152,1234.2286414046,1388.6475448511,1444.0244527067,-970.474252106,1484.0065536211,-1228.8401826452,1498.0848004897,-1433.8375206088,-880.7347632724,-608.8284312341,-462.3931687267,1164.9866044291,-311.0283127141,888.2375065356,-233.9999851319
1920,793.5,649.6721349222,756.6891994276,777.0685858743,784.2433071904,-580.2519059707,789.3814581339,-682.1504199954,791.1824423784,-455.5967154246,-238.8801068939,-160.6445232409,-120.8498453748,541.2485340557,-80.7413373333,405.3554668438,-60.6019213575
1921,1260.75,1260.5800232338,1260.7075050923,1260.7311133154,1260.7393762283,-1022.3964310436,1260.74527832,-1137.1766035111,1260.7473440543,20.701872475,10.3512851385,6.9008998337,5.1756861824,737.6964824975,3.4504628393,544.3527669875,2.5878485429
1922,1441.75,1152.6037415822,1367.5542963492,1408.6150534846,1423.0801926212,-1265.6454563931,1433.4423280798,-1350.9784003109,1437.0749685058,866.1106611691,456.550445227,307.3218078765,231.2700323632,690.4959385917,154.5514625271,503.4882564603,116.0111951245
1923,1678.25,493.3512709726,1349.9055213254,1529.5450534485,1594.0517563217,-1562.3398912555,1640.652621436,-1618.7732952608,1657.0667491907,1604.097124843,997.1349687957,690.6627194017,524.9019533854,612.876110394,353.2450116775,442.827371614,265.8060406134
1924,1425,-461.2553300319,828.6543775014,1148.5160005026,1267.1735255954,-1381.3205377333,1354.1160032871,-1402.6583954852,1384.9814572718,1348.2835460381,1159.2915606731,843.5259311897,651.8406676714,350.1122277732,443.841018431,251.3452318525,335.3376850479
1925,1133,-926.5979610485,341.9455440067,753.8641878413,914.0878790793,-1124.4909777366,1033.8803424053,-1128.6559958834,1076.8822050245,652.0009344938,1080.167692969,845.8000864805,669.4268812352,138.5966846249,463.4441040599,99.1193369456,352.1558128181
1926,1591,-1590.8250882709,-11.7958586174,788.6799057117,1120.82866419,-1590.9930034078,1375.8762171771,-1590.9964303088,1468.7612816122,-23.5910688179,1590.9562714668,1381.7615591435,1129.1696531213,-4.7183797587,798.9027694321,-3.370273676,611.572806489
1927,1439.5,-1152.1807856443,-454.7504860168,438.2032421506,841.8868467255,-1427.6195349525,1162.5303903717,-1433.4344465933,1281.4164752065,-862.9250762332,1365.7826494239,1371.1813040473,1167.6415491539,-184.5608664427,848.9307047469,-132.0073381289,655.8445448956
1928,1816.5,-536.7568519413,-1078.1125702933,181.3280973453,818.9263599562,-1758.1420563057,1347.0439374474,-1786.6468636814,1547.1347683477,-1735.3859316861,1461.9663251169,1807.4270029833,1621.4289583478,-456.7370795647,1218.6652044701,-327.9713928034,951.8646219761
1929,1220.25,393.1409133828,-992.1542879148,-133.1613135089,373.0507959193,-1133.3090502644,814.4077509733,-1175.630008417,985.9577314014,-1155.1840912705,710.3801316706,1212.962541501,1161.8275113648,-452.3501509769,908.7079165797,-326.9619944421,718.9557805524
1930,1374,1122.433545287,-1309.5991163758,-430.4890073209,210.341168224,-1202.2465654337,805.1037523019,-1285.4494669333,1043.2844207453,-792.476457956,415.7236514655,1304.8199931699,1357.8043279317,-665.1910972818,1113.4109519982,-485.2789589101,894.1105174586
1931,1866.25,1866.0865336913,-1866.2091329754,-940.2465036333,-6.1752767028,-1506.9188846298,929.5574283212,-1679.8990837546,1317.4529312946,24.7004306849,-12.3504857926,1612.0873347636,1866.2397832159,-1100.9471093772,1618.2744050231,-812.9133600209,1321.8195173031
1932,1750,1402.3750697347,-1660.8215394852,-1176.5673032171,-279.3405680357,-1272.5959971124,708.3456851602,-1500.6265284343,1134.3839751023,1046.8257561728,-551.5177367793,1295.4494899456,1727.5615320589,-1201.2491116057,1600.2332299746,-900.3443908634,1332.5438067963
1933,2191,650.750566853,-1764.4086108347,-1777.9489273665,-683.6160229476,-1392.3377371741,672.679307003,-1770.235505357,1285.0444143534,2092.1292263483,-1298.9777727169,1280.3822131209,2081.621995745,-1691.708197545,2085.1818985235,-1291.025660308,1774.5821629722
1934,2055.25,-659.062137664,-1197.8136549702,-1880.9703998917,-938.6815349528,-1096.9927518324,423.1950780211,-1545.3755311992,1071.1739676141,1946.712526594,-1670.1182624195,828.2529307109,1828.3679986367,-1738.0044490528,2011.2082160828,-1354.9417072593,1754.035032035
1935,2063.75,-1683.9989446334,-625.9837220379,-2020.3468780905,-1218.0291778411,-874.2322386843,211.6284395359,-1423.6295005791,934.1724537607,1192.9843322414,-1966.5219150174,421.0255986162,1665.9738846776,-1869.4336188657,2052.8705429422,-1494.1027767798,1840.2135444385
1936,1090.75,-1090.6760693292,6.3497983904,-1090.7417853985,-773.5184565007,-334.6437544555,-2.1166100905,-678.6521326406,415.9448918258,-12.6993815853,-1090.7315171757,-4.2332122107,769.0284519788,-1038.146964598,1090.7479463477,-853.9126684635,1008.3280267175
1937,1276.5,-1024.1472716319,401.3279567647,-1247.5946780807,-1034.8302727525,-236.3516947353,-135.8264396757,-701.4955926382,392.7412677778,-761.9544710866,-1211.7706553301,-270.1106610718,747.3811320838,-1254.4282069516,1269.2530985919,-1066.469026043,1214.5808110555
1938,2379.75,-710.4295341769,1409.3554162351,-2170.4441627796,-2123.3374218769,-144.1974122925,-499.0468746146,-1124.3926796463,552.357598295,-2271.2331319064,-1917.5315833719,-975.9007115255,1074.545604131,-2375.3772687277,2326.835249741,-2097.367675077,2314.7594143033
1939,1280.5,408.6889122381,1039.953461007,-1033.2583533428,-1218.8807687423,83.1347342442,-397.8648819289,-501.4702504882,198.6245523916,-1213.5294075603,-747.1124740891,-756.3447793483,392.4409784799,-1277.7984449678,1217.1211056126,-1178.2223210733,1265.001398097
1940,1798.25,1465.6962173715,1713.0953396394,-1198.6380563619,-1776.8338072266,340.6208560944,-734.2520608236,-553.1558663972,138.7653931188,-1041.8433955653,-546.8157091799,-1340.511048944,276.7032417533,-1765.6954705989,1641.5166687172,-1711.0586342877,1792.8879575067
1941,1193.25,1193.1897350079,1193.2349336569,-593.1596790208,-1193.2462334083,371.0149193506,-598.3551518573,-263.8525502496,-1.4990806487,11.9924464475,5.9962989349,-1035.377785006,-2.9981589314,-1134.1047095041,1032.3839764089,-1163.712762767,1193.2490583517
1942,2007,1612.139851157,1905.7300020297,-614.0018826683,-1981.5207687624,858.0720112436,-1182.3170517008,-266.6408896139,-159.9012462332,1195.4305083574,629.4776877412,-1910.7722753065,-318.7858889023,-1814.3212018605,1621.7815479459,-1989.2087964781,2000.6200517472
1943,1718.25,515.5623072663,1385.3245101709,-174.2431980411,-1632.8987877546,923.4140704498,-1151.7355789125,-74.7806122185,-270.7902513391,1639.0785734144,1016.4935140078,-1709.3923980282,-534.8126881904,-1449.0305438449,1275.1032188678,-1716.6219509654,1696.7780356546
1944,1438.75,-457.0243731311,840.3742456958,154.7274565205,-1280.4471891677,919.1087055763,-1070.6576695118,66.4166466879,-337.459752478,1364.2324893009,1167.8067861043,-1430.4058783082,-656.0918824773,-1106.9059354046,961.0898590744,-1437.2161951296,1398.6144851093
1945,1384.25,-1126.9793058332,421.9756855557,431.6062646105,-1118.0938925758,1010.7365211076,-1121.0707012243,187.5320551553,-429.2007640382,803.7821264023,1318.3643590828,-1315.2429793955,-816.0968753063,-945.8116870706,812.00279886,-1371.488166478,1316.0299261981
1946,1534.25,-1534.1951251177,-6.4881348695,770.8678839955,-1082.5822466622,1242.7580036368,-1329.7795143406,343.2097740341,-588.6302959237,-12.9761537093,1534.2362812181,-1326.531480186,-1087.1700610814,-899.7086233313,765.2512696755,-1495.3695575033,1416.8406534331
1947,1895.25,-1524.1716768537,-592.9950218775,1271.9863261978,-1110.877749189,1662.3043273614,-1732.4411457863,587.7599003112,-862.1431169909,-1126.4427468705,1800.0915161537,-1404.9994122653,-1535.553056347,-910.3388851058,768.5182098603,-1801.8076651203,1687.8038417794
1948,1779.25,-536.5678883505,-1051.4376222945,1442.1649303505,-804.6614732397,1655.3272766092,-1692.8825291239,701.1172362007,-931.1381842235,-1696.4154749622,1435.3429865101,-1042.0608792999,-1586.8996426944,-652.3972484717,547.6123675438,-1635.2874926454,1516.1504689116
1949,2219.75,701.7588923411,-1800.696998911,2030.093971231,-681.9798014484,2150.8383341453,-2171.8184955401,1053.9642860827,-1306.4198020229,-2105.9023053124,1297.990901591,-897.779778382,-2112.3904972605,-548.8028087312,458.796779555,-1953.5734811269,1794.5911410075
1950,1573.5,1279.5993346935,-1498.2242494267,1539.8942091308,-243.3581655987,1561.3742106416,-1565.0760026381,868.1835937826,-1022.9804925878,-915.7116318209,480.8600091814,-323.4626325953,-1554.5671594487,-194.9687778684,162.6018326045,-1312.3107473029,1195.5806797472
1951,1422.25,1422.2164850964,-1422.2416212494,1422.2462761088,2.4409709135,1422.2486593988,-1422.2490690269,887.8484748326,-1006.5452631109,9.763811753,-4.8819346369,3.2546266419,-1422.2479053108,1.9527770759,-1.6273143862,-1111.0896220546,1004.8192353897
1952,1375.5,1107.4861754625,-1306.7799134416,1344.8147536922,217.3988029649,1364.4268817166,-1367.8071764148,951.486061781,-1046.6690746072,815.7662785133,-429.3326307488,288.9178572738,-1358.2113276179,174.182474575,-145.2713948035,-993.3149169506,892.4595779423
1953,2088.5,632.9989181212,-1685.8010692985,1906.1720685548,648.4738686987,2022.2374081621,-2042.4094368144,1574.0117025169,-1690.5871649781,1990.2624499441,-1232.8450854637,853.4285529917,-1985.2742610569,521.9081480776,-436.3438350792,-1372.7051432627,1226.2737408962
1954,2257.25,-710.2027249391,-1321.3766422999,1823.5365337691,1027.7402727997,2097.7544070486,-2146.0842718018,1827.2730463155,-1925.4927023073,2142.6128096297,-1830.0659364308,1330.3729073118,-2009.7083107172,833.4290672925,-699.6426665269,-1325.2361211154,1177.9878674509
1955,2519.25,-2046.363161153,-771.7901815796,1682.2152726017,1483.625314484,2206.2771170568,-2300.4935761703,2163.6784650322,-2245.4669487674,1469.3598521724,-2398.1160268255,1875.3059321417,-2036.0443238599,1216.1257522361,-1026.8154013741,-1290.3937625609,1142.1465512329
1956,1845.75,-1845.7243453425,4.8658033269,920.0643000699,1306.8615303449,1492.098267076,-1597.6548038225,1663.5660148394,-1705.7157928761,-9.7315728381,-1845.7435863245,1600.0858558955,-1303.4208848276,1086.4786348055,-924.279281561,-799.5881294587,705.2139366412
1957,1738.5,-1401.3965757398,541.319823707,534.4950260388,1407.74052359,1266.1322206469,-1405.6318601911,1628.0762255958,-1653.7441081167,-1028.8196574253,-1652.0759965758,1654.2966230818,-1020.1219869421,1191.3401906424,-1023.0255732951,-609.7130912566,536.2020839846
1958,2162.5,-658.7086957149,1275.1369917614,222.7194975306,1927.9380169865,1376.8840576665,-1605.9323091915,2084.9501947004,-2103.0421074878,-2059.7352024446,-1746.5485685322,2151.0002964713,-979.5209301786,1667.5120814386,-1448.2360540654,-573.9241549357,503.6071327268
1959,2306.75,722.2888095647,1869.1221567842,-244.4218995644,2194.6176315775,1234.3364516542,-1542.2832660831,2269.9331543676,-2278.5444678722,-2190.7520256929,-1351.842418893,2293.7640457365,-710.4569048641,1948.7198584244,-1715.3594053901,-410.4863422852,359.6257366058
1960,1474.75,1196.554158418,1403.4788576297,-457.5917174892,1456.8232576036,626.8507420446,-866.0410432343,1468.8883591258,-1470.2614838271,-862.0589936151,-452.9179381373,1401.9619761553,-229.2456294138,1334.8953927923,-1193.6751961625,-131.3565792971,114.972743181
1961,1829.25,1829.2376151911,1829.2469037952,-916.5674591369,1829.2492259486,563.9888220673,-913.6532542146,1829.2497472485,-1829.2498064872,6.7312457902,3.3656285918,1583.0539015938,1.682815008,1740.1356760561,-1584.7376103201,0.9616086673,-0.841407593
1962,1855,1497.0531297862,1763.243964367,-1242.7810330145,1831.9173772172,346.3673201718,-753.5470070799,1847.4522575479,-1849.2203404054,1095.3798092888,576.1906994419,1377.1420783563,291.7254240714,1822.3761081393,-1695.0492347188,167.1680474288,-146.318599744
1963,2258.75,691.4525228618,1825.3451657857,-1828.712766762,2147.6673340765,140.4562182839,-696.9026476404,2222.275436812,-2230.8064857071,2150.3127612345,1330.4384947238,1325.805860291,699.626031992,2254.3787643707,-2148.5525970317,404.2813938854,-354.194841616
1964,1730,-539.0796140076,1014.9611489527,-1581.0719552831,1540.9060301797,-109.5682960867,-358.9188747894,1667.476508964,-1682.0623401365,1643.8653137534,1400.9831783846,702.2189631569,786.4531811595,1726.5267992396,-1692.3584848725,460.8927120854,-404.4332873226
1965,1643.25,-1331.7369108725,505.911990226,-1607.6144945151,1328.83603963,-308.6909288313,-171.1111398888,1538.2694280693,-1562.6708521986,962.677185104,1563.433279883,340.3618655563,966.6774758318,1613.9951898805,-1634.3168420799,577.9253664335,-508.2621077643
1966,1468.25,-1468.2468020425,-1.5322207955,-1468.2496446713,1037.6676682149,-454.2970539797,0.5107403476,1322.6575369826,-1356.339488542,-3.0644399223,1468.2492005104,-1.0214806333,1038.7511120771,1396.1992154579,-1468.2499111678,637.4441954895,-562.2288273664
1967,1557.25,-1258.2208870494,-482.5262097246,-1523.0292121467,914.7714529888,-663.5431690036,163.2334553401,1336.6175398079,-1387.3635802606,-917.5553181648,1480.6066389926,-324.6684176937,1260.2463058057,1408.807305975,-1548.671172831,799.0501328314,-707.2834358774
1968,1451.5,-446.5359242215,-854.0214739667,-1325.7257120902,658.4983221457,-778.1079864377,302.1269426095,1174.1114045289,-1237.4697096484,-1381.1074970399,1173.669277098,-591.0191082384,1293.5347732981,1225.3163719798,-1419.7082660003,853.4135338482,-758.6309825619
1969,1818.25,563.826527275,-1471.5995796612,-1470.591935326,561.3809432022,-1159.3131959284,562.1962629249,1369.0787942505,-1470.8439690323,-1728.6216213044,1067.9081138568,-1069.2952923557,1729.4173871884,1400.7233760619,-1729.1525162499,1196.5184150834,-1068.9485868185
1970,2285.75,1850.302295569,-2174.1643836882,-1529.0048857436,357.1112029079,-1666.4944440099,929.9812215608,1579.4045525035,-1737.9470640021,-1342.0262581306,705.4518376201,-1699.0577158744,2257.6812554605,1564.4325906168,-2088.0105339879,1652.3118113816,-1484.6525065572
