Year,Mean_wmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1906,2397.75,-2397.2112495279,-25.414454003,-2397.6901368437,-1686.4559815504,1933.8276728151,8.4716256715,526.4677836603,923.4460549316,-50.8260527388,2397.6153085989,-16.9431455898,-1704.4269666938,1417.5738408826,-2397.7350341642,2339.2384947388,-2212.7929062909
1907,1488.25,-1185.4927845766,-474.6464083156,-1453.5392822871,-868.4743937861,1080.6236063425,160.7143827356,195.3726194794,679.1100963569,-899.7193563644,1410.5314068014,-319.5490844115,-1208.5695221368,1023.2989220728,-1479.5468730939,1475.37032709,-1324.2724566818
1908,1990,-575.901026543,-1186.1823125429,-1812.365156486,-894.3145973424,1262.1574249012,420.4124989774,83.4410612513,1044.1297695422,-1904.8459275298,1597.8333834948,-821.8470292916,-1777.7236570908,1538.5248242284,-1945.0844019486,1988.2498810002,-1694.0758614524
1909,1921,630.4817530211,-1565.4706077652,-1546.4671458153,-584.3680186676,1022.7480855815,599.782299209,-91.7347417302,1133.0644368569,-1814.5891433345,1113.3475541012,-1139.596580775,-1829.9603872102,1626.1080386738,-1824.9663540886,1918.8084159602,-1551.2594824626
1910,2282.75,1873.1497151389,-2177.9439931657,-1516.1573498607,-345.8655172903,963.7090470178,935.3981430668,-312.8585713294,1486.8461677164,-1304.7059849542,683.7452194593,-1706.5211551468,-2256.3963761825,2069.3507279328,-2082.3011012933,2261.2092067842,-1732.1189439664
1911,1515.25,1514.9587721236,-1515.1771912817,-749.0327790405,7.4270926502,462.5835248058,761.9089985224,-341.3111794322,1074.0662141224,29.7065862335,-14.8540068612,-1317.1683485504,-1515.2317977111,1442.9133879337,-1309.7622839548,1476.3093311683,-1068.8144507729
1912,1823.25,1454.0968165461,-1728.4997227752,-552.25523141,293.8991688914,334.731740468,1076.4156287958,-568.1909912674,1389.2609945905,1099.9286388719,-580.1114296979,-1737.6002767841,-1799.40652467,1792.2598094091,-1471.5875633424,1732.454778614,-1180.7601159462
1913,1831.25,532.7502449361,-1471.236800882,-179.8982734684,574.1403011829,108.0505431708,1229.6417871094,-724.2875936824,1484.0604753583,1752.0427332176,-1090.3847202847,-1822.3921569473,-1738.9190541994,1828.059529288,-1357.0031827135,1681.9286679695,-1072.8658201189
1914,2098,-685.4168650698,-1217.2919569856,232.268024795,961.1777864277,-139.5439819132,1563.4740669451,-999.0953533062,1791.3898230041,1982.8786450708,-1708.7434832233,-2085.103250359,-1864.8703072541,2093.3541212876,-1398.9827883109,1844.8339965975,-1092.028617774
1915,1471.5,-1206.1235859148,-441.8718102155,463.2618139341,870.3728744819,-281.029344154,1193.1056133478,-813.8583124995,1312.6435035455,842.9579737448,-1403.5888120589,-1396.6748876351,-1186.492018248,1444.4150226733,-861.2846483004,1225.9473468202,-665.0408127325
1916,2606.25,-2605.827157157,23.4737529964,1316.6541875774,1851.1776699235,-814.3003625491,2260.9808755133,-1630.2085575764,2410.1007100055,-46.9456017415,-2606.1442871453,-2249.2133764574,-1834.5790516837,2475.7734108865,-1296.3427567828,2033.4598892786,-991.9443684658
1917,2712,-2165.5047080651,860.8412256994,1826.5382181008,2201.0844377371,-1163.3905803632,2480.7776651173,-1879.1111064055,2581.1126472069,-1632.6461218978,-2571.7496736923,-2004.6700820377,-1584.3520120073,2449.7890434734,-1095.7582654287,1955.4757604694,-832.3469843932
1918,1157,-338.3589022655,688.17430571,939.9560290203,1033.1666544431,-623.3428501381,1101.4032244316,-873.1906694271,1125.6160133879,-1106.4186609316,-930.0887726237,-674.6344665879,-520.7837018828,974.7269828941,-354.344376577,759.0698616238,-267.6519949574
1919,2802.25,911.2761504744,2281.0336094814,2566.4221484313,2668.7667090502,-1793.5772286655,2742.6594327351,-2271.0749558565,2768.6780756289,-2649.9397804623,-1627.7256325673,-1125.203278764,-854.5696666542,2153.0642784907,-574.8254504884,1641.5917907268,-432.4659247063
1920,1572,1287.0631330783,1499.0742551987,1539.447784492,1553.661599122,-1149.5349668379,1563.8407715016,-1351.4057469852,1567.4086949197,-902.5810165689,-473.244521786,-318.2522880084,-239.4151946177,1072.2655268249,-159.9563733937,803.0482594561,-120.0582487385
1921,1937,1936.738849894,1936.9347113732,1936.970982742,1936.9836777745,-1570.796658284,1936.9927456719,-1747.1434312917,1936.9959194393,31.80608922,15.903580657,10.602453284,7.9518573352,1133.3873381699,5.3012464959,836.336553365,3.9759370435
1922,2077.25,1660.6527637951,1970.3500343966,2029.50970685,2050.3508445447,-1823.5214317964,2065.2804411331,-1946.467752416,2070.5142905001,1247.8781833976,657.7904715434,442.7842728707,333.2101090526,994.8553413835,222.6752387962,725.4177081548,167.1470470417
1923,2456.25,722.0581315814,1975.6922012546,2238.6086921095,2333.0192918011,-2286.6064995658,2401.2232989139,-2369.2011955813,2425.2466573512,2347.7214734966,1459.3849349646,1010.8388526921,768.2350204099,896.9920727873,517.0016743232,648.1124573376,389.0279083907
1924,2226.25,-720.6103006902,1294.5907423948,1794.3043832414,1979.6807448117,-2158.0104190377,2115.5092998722,-2191.3461424202,2163.7298029834,2106.3973644683,1811.1388329462,1317.8242837271,1018.3580957217,546.9735768982,693.4042577418,392.6718052012,523.8915939214
1925,1599.25,-1307.9097874729,482.6623223766,1064.0929412226,1290.2515804216,-1587.2393611167,1459.3408098779,-1593.1183595909,1520.0387170216,920.311116054,1524.6762427014,1193.8621255992,944.9081551768,195.6317280551,654.1597382329,139.9087375201,497.0743015439
1926,2172.25,-2172.0111866728,-16.1053135648,1076.8132779273,1530.3080237503,-2172.2404472989,1878.5336975255,-2172.2451261712,2005.3530446148,-32.2097418225,2172.1902958477,1886.5691683529,1541.6962784367,-6.4421750037,1090.7709245122,-4.6015568778,835.0025323041
1927,1790,-1432.7221995855,-565.4764640293,544.9001760677,1046.8756204506,-1775.2267923341,1445.5918018516,-1782.4575612379,1593.4251411043,-1073.0363921205,1698.3334091482,1705.0465677281,1451.947462998,-229.4990975564,1055.6345685981,-164.1494513725,815.5343767719
1928,1814.25,-536.0920003493,-1076.7771707429,181.1034960686,817.9120003031,-1755.9643411244,1345.3754272029,-1784.4338411418,1545.2184164464,-1733.2364032819,1460.1554667455,1805.1882412125,1619.420582264,-456.1713441235,1217.1557099972,-327.5651524324,950.6855989101
1929,1718.75,553.7479572848,-1397.4719789826,-187.5607519717,525.4505679051,-1596.2916862462,1147.1119213156,-1655.9017225705,1388.7439875814,-1627.1031812098,1000.5866431541,1708.4854482318,1636.4605901727,-637.1455209928,1279.935858735,-460.5334381867,1012.6656405036
1930,2081,1699.9885063626,-1983.4612526768,-651.9997265173,318.5734869536,-1820.8697981568,1219.3747514849,-1946.8852552316,1580.1127216674,-1200.2500065549,629.6367676127,1976.2230027559,2056.4707470349,-1007.4691946459,1686.3232831937,-734.9821786695,1354.1804853212
1931,2534.5,2534.278001147,-2534.4444996791,-1276.9215075465,-8.3864641947,-2046.5028335402,1262.4049843698,-2281.4222251981,1789.1946172089,33.544938551,-16.772836566,2189.3290555705,2534.4861248818,-1495.1643395668,2197.7315362524,-1103.9940581235,1795.1247510273
1932,2370.75,1899.8175408991,-2249.9386655625,-1593.9125337726,-378.4266580975,-1724.003977231,959.6060189105,-2032.9201955918,1536.7661765564,1418.1498065409,-747.1489568397,1754.9639304506,2340.3522869306,-1627.3493321939,2167.8588171213,-1219.7094083653,1805.2161314071
1933,2864,850.6388057814,-2306.3743776497,-2324.0738146862,-893.5994019725,-1820.0161019017,879.3033022623,-2313.9910941772,1679.7659528563,2734.7595181476,-1697.9791606852,1673.6716834224,2721.0248269346,-2211.3428926375,2725.6782096628,-1687.5844322784,2319.6728958249
1934,2840.5,-910.8702114266,-1655.46268675,-2599.6333394441,-1297.3238778899,-1516.1211101228,584.8853517182,-2135.8176359914,1480.4377350726,2690.4935807275,-2308.2208609184,1144.7037828411,2526.9331225532,-2402.0443437706,2779.6311581477,-1872.6247023331,2424.1997365261
1935,2101.25,-1714.5985620405,-637.3583505425,-2057.058208401,-1240.1617492131,-890.1177427185,215.4738987643,-1449.4979954412,951.147119789,1214.6618185935,-2002.255202389,428.6759729097,1696.2459722248,-1903.4027336845,2090.1728544432,-1521.2518278418,1873.6517069661
1936,1932.75,-1932.6189988503,11.2514992794,-1932.7354441705,-1370.6328643609,-592.9706316056,-3.7505185903,-1202.5348699162,737.0318493479,-22.5026172442,-1932.7172494351,-7.5010230577,1362.6768192179,-1839.54026663,1932.7463610392,-1513.0870593379,1786.7027216487
1937,2418.75,-1940.5845775634,760.4480966899,-2363.9793400766,-1960.8270444342,-447.8461900831,-257.36796002,-1329.2146217734,744.1777841265,-1443.7738949791,-2296.0989209398,-511.8136791754,1416.1599006877,-2376.927712937,2405.018356615,-2020.7770910627,2301.4236872233
1938,2291.75,-684.1587918689,1357.2393214232,-2090.1840151487,-2044.8192190719,-138.8651831584,-480.5927828125,-1082.8141290386,531.9321466089,-2187.2459418201,-1846.6238076237,-939.8131970327,1034.81033229,-2287.5389665329,2240.7919670528,-2019.8097990787,2229.1626799998
