Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1965,5748,-4658.3439912948,1769.652895067,-5623.348921024,4648.1968999196,-1079.7842439813,-598.537551852,5380.7836132922,-5466.1384807164,3367.3929468905,5468.8054116947,1190.5674749538,3381.385748414,5645.668249769,-5716.7522947057,2021.5518066393,-1777.8734796467
1966,5490.5,-5490.4880412833,-5.7297178801,-5490.4986712533,3880.3434921395,-1698.8373743406,1.9099062682,4946.0590545226,-5072.0122335022,-11.4594295203,5490.49701032,-3.8198123052,3884.3950150584,5221.0671155946,-5490.4996678133,2383.7135061025,-2102.4467063885
1967,7204.25,-5820.8623056836,-2232.2937527103,-7045.9355926203,4231.9744679367,-3069.7260396818,755.1610984965,6183.5459374931,-6418.3105301603,-4244.8533638716,6849.6775591345,-1502.0018931899,5830.2324280625,6517.5148717744,-7164.5620785794,3696.6170617759,-3272.0800725125
1968,7174,-2206.9918845089,-4220.9783356784,-6552.3639397417,3254.6103775908,-3845.7779501925,1493.254348109,5803.0142721944,-6116.1610038012,-6826.0869333544,5800.8290691705,-2921.0961643144,6393.2610841478,6056.0934568262,-7016.870203435,4217.9736078724,-3749.5133785042
1969,6547.25,2030.2561422802,-5299.0129783784,-5295.3845997872,2021.4499548359,-4174.5157827813,2024.3858008719,4929.8507552078,-5296.2921359806,-6224.5114313682,3845.3795674131,-3850.3745925347,6227.3768669155,5043.7982257233,-6226.4231057429,4308.4862879992,-3849.1261570453
1970,9598,7769.5292279871,-9129.445370071,-6420.3823223744,1499.5311497363,-6997.7091429978,3905.0463806369,6632.0135163201,-7297.7429378942,-5635.2479604233,2962.2341627377,-7134.4442554794,9480.1376746844,6569.1453591776,-8767.680238528,6938.1554262893,-6234.1440480964
1971,7529.25,7529.2490794889,-7529.2497698722,-3763.5501807782,-0.930776464,-6091.7288524526,3765.1623712581,4693.9947444497,-5323.6546429032,3.7231057138,-1.8615529138,-6521.1422005094,7529.2499424681,4424.9796779981,-6520.2114904781,5886.9362916189,-5324.3128012539
1972,5534.5,4476.9320876063,-5263.4718052278,-1709.9458323759,-866.0270041882,-4850.0131462048,3253.2287838942,3048.8232391492,-3594.2776600675,3253.8852673322,-1710.7176288247,-5263.7225896071,5466.323030888,2666.0950342478,-4477.4091537006,4619.0223106653,-4208.5458714786
1973,7454,2304.4233975933,-6030.7249981101,-779.5074770534,-2303.1599883733,-6930.4756773746,4987.5679076101,3532.3507038858,-4381.4587437671,7088.8467894732,-4380.9213639564,-7413.1291701425,7089.2573706952,2744.19804047,-5539.5200484318,6563.8871489962,-6030.3345907725
1974,8004,-2469.8616990261,-4706.1259524685,835.4223172293,-3632.917827067,-7752.3560209186,5947.719572538,3146.2571605472,-4182.471859568,7613.3960351268,-6474.287182347,-7960.2817507847,7132.0350575259,1991.2287977344,-5356.1784778374,7359.6930560795,-6824.290816189
1975,11557,-9344.5104604857,-3575.5937694435,3568.4528588214,-6791.2116667993,-11465.6436065081,9348.9266413156,3572.5335638113,-5247.7717064865,6800.321555182,-10989.9671608207,-10992.2878962648,9351.1332520037,1450.2640064968,-6794.2490133421,10990.9623298163,-10296.8510291545
1976,6317.75,-6317.7461904828,-3.4689751663,3156.8719745581,-4466.0972305047,-6317.7498476193,5470.7537405628,1406.7978991661,-2418.4994608723,6.9379492867,-6317.7490476206,-5472.4879532759,4468.550166461,1.3875901251,-3159.8763540079,6159.1301929251,-5836.507981684
1977,6890,-5579.8588991482,2124.4849004958,4607.891404933,-5572.6923907756,-6835.9146945557,6293.6663313203,926.2489988307,-2130.2874720981,-4041.9394683242,-6554.2859189667,-5122.4444165208,4051.8143488803,-861.6091275962,-2803.9015870757,6827.4565390169,-6552.4022530841
1978,8525,-2648.4347219201,5004.883564861,6893.9703876041,-7594.150952886,-8257.9067168346,8106.9945896838,384.5838005758,-1991.9196929905,-8103.1733613275,-6901.2147845278,-5014.857654494,3873.5637731655,-2117.2155431271,-2636.7145698459,8516.3208194815,-8289.0217116785
1979,6418.25,1970.8077550222,5188.5966279993,5861.5746204516,-6103.0993507462,-5968.5079172497,6277.5387043894,-286.0725031785,-1005.662879541,-6108.1789311745,-3777.8827528676,-2614.5508278437,1986.4821613651,-2360.2640327362,-1336.5780476251,6411.871457338,-6338.9727271233
1980,7534.75,6085.2172184442,7163.2062653247,7368.8565497591,-7441.284363944,-6604.4732468396,7493.1618643533,-1008.8836346074,-593.3970851264,-4443.2633240503,-2336.8640445935,-1572.3901270273,1183.1080159574,-3626.7603579889,-790.5585601974,7466.9010556135,-7511.3472467903
1981,8178,8177.9703935289,8177.9925983789,8177.9967103903,-8177.9981495945,-6618.7269280109,8177.9991775976,-1816.7112329625,-2.7506922859,-22.0055121472,-11.0027660318,-7.3351785836,5.5013842607,-4803.3465263734,-3.6675896606,7973.6594043154,-8177.9995373986
1982,8439.75,6842.7989144943,8030.5943802779,8257.0772524717,-8336.8336010577,-6155.7891089805,8393.9575828106,-2604.5752080283,659.0101205494,4940.1905912926,2595.945677773,1746.4407545674,-1313.9960314912,-5773.7024956485,877.9841459137,8027.7997015511,-8413.9815618715
1983,9135.75,2852.0010130167,7399.9019019568,8350.0397438467,-8690.9602997397,-5828.0300618339,8937.1640818648,-3586.5842939601,1425.3924905361,8679.1715206149,5357.5535371955,3706.5839176635,-2815.872356988,-7035.3389158491,1894.4725483169,8402.2819022465,-9023.8674807659
1984,6226,-1902.3356353489,3668.7282765502,5041.3841641296,-5549.9810022108,-3339.8904211181,5922.4460236405,-2947.4499233602,1450.6712722453,5928.2539698027,5030.2593206356,3653.4260235653,-2821.4866427292,-5254.3513372179,1920.3408804337,5484.1238998845,-6054.6369717665
1985,6077.25,-4902.3966707654,1889.4281403497,4072.4393531598,-4920.1369253528,-2591.9269206629,5553.4763716743,-3345.0653089747,1875.1087212345,3591.583835158,5776.0738278657,4510.8985000037,-3567.2426604143,-5496.8065638554,2468.1709324427,5073.8058340061,-5780.738261334
1986,6174.75,-6174.6933524382,13.2246839742,3095.0071310045,-4370.8807281754,-1913.1329577921,5349.693114781,-3846.9387956448,2359.9196793746,26.4493072862,6174.7358380933,5343.0766812326,-4361.5294590964,-5870.8994071019,3083.5565732065,4829.9688886227,-5705.9895434009
1987,7063.25,-5733.334737213,-2167.2014188672,2192.9664481373,-4158.2457323183,-1329.9063813289,5717.4719425331,-4877.7908390938,3203.0275829052,-4125.3331203148,6722.5544678017,6714.1938250131,-5709.508997467,-6936.9193147536,4147.2900970208,5108.488728827,-6295.245417428
1988,8988.5,-2819.6290178842,-5265.4010684253,954.2148070997,-4090.5424301955,-573.2205038159,6684.6874288786,-6764.8241324841,4691.7636138337,-8534.8007856953,7284.8255873855,8937.7069963113,-8003.7862838016,-8970.2034817503,6009.0004350301,5918.6389234824,-7666.8433166399
1989,7729.75,2350.0768754109,-6241.5759944988,-794.5527185558,-2398.2507186513,477.2713994665,5177.2261485396,-6250.0968823152,4539.3367670842,-7363.842321924,4559.7986981221,7688.8049162361,-7348.2942614588,-7715.0014305735,5739.8052640641,4548.1121384783,-6256.4731900247
1990,6756.75,5444.1691710779,-6420.2243188685,-2076.042531105,-1066.2597938555,1258.7106840052,3976.5795723496,-5797.5706248065,4384.5877628557,-4001.8361534657,2105.7991969582,6429.908084222,-6672.088174965,-6638.4725635097,5462.6445488675,3470.1362239661,-5140.9202203804
1991,7874.5,7874.3640515232,-7874.4660128075,-3923.8850024729,-11.5678897752,2424.5512670853,3943.9268374317,-7091.8087817409,5564.0209786613,-46.2713094598,23.1357545863,6827.2158847782,-7874.4915031973,-7491.9491057585,6815.6578076504,3422.5719062165,-5572.2007141719
1992,7673.5,6235.8128228796,-7305.2416779449,-5122.7877097468,1188.6610606666,3258.6127485175,3128.3294870632,-7181.8093951041,5831.1145117818,4471.8274438993,-2348.6264660045,5713.1119655462,-7580.8764092851,-6947.2329171548,7006.8649815999,2702.6313219518,-4988.0563148874
1993,6752,2128.2628639784,-5475.3782909303,-5453.8535232638,2076.0238172572,3610.4732402746,2093.4522935719,-6507.0030584611,5459.2498025883,6407.8078296568,-3950.915915482,3980.5760571534,-6424.9224983793,-5705.6101322524,6419.2648718166,1802.3360389168,-3973.171981294
1994,8629.75,-2610.6070828114,-5096.2583622501,-7875.6552839624,3904.6862524966,5491.7192612097,1803.8360340849,-8489.5584652951,7354.2182198376,8225.4067207449,-6964.2469634337,3527.979437397,-7695.8437050179,-6656.8464469717,8439.1208442964,1549.1875699335,-4515.3138802866
1995,7474.25,-6015.2280930844,-2335.069001953,-7307.1951507204,4382.4378817419,5441.1713763487,790.1296435486,-7443.4726158902,6656.5700401975,4436.377356658,-7100.1313944615,1571.4044965537,-6054.6388228509,-5124.2625923838,7432.3689499974,677.5901998948,-3399.1893684297
1996,7067,-7066.8028927124,-26.3908810141,-7066.9780990998,4987.7843098852,5711.1118403171,8.7969785128,-7066.995977384,6526.5289671447,52.78139399,-7066.9507230063,17.5939433946,-5006.4455133421,-4162.4140288287,7066.9945247728,7.5402678133,-2710.5181499154
1997,7915,-6439.4040622867,2416.5411073475,-7746.2838273726,6394.3001127823,6930.0202326569,-817.1256042819,-7883.9209531207,7525.2279165708,-4602.3146700987,-7537.0786168448,-1625.5189527614,-4664.7777082807,-3823.8782113145,7872.7079678359,-700.724913889,-2453.195834756
1998,8279,-2622.0907175853,4839.0883412638,-7572.3136905369,7369.0112422673,7692.6685722898,-1710.3590202126,-8147.6594087195,8048.288174349,-7852.8008550296,-6717.5192612634,-3346.9249128279,-3773.528098655,-3060.1783014891,8100.4020284167,-1468.8387111948,-1940.8499330537
1999,7424.5,2234.730454016,5988.1114095281,-6018.7776654747,7056.2714449645,7188.1245242554,-2284.3801645833,-7159.3141821374,7331.8649603337,-7080.1963283438,-4389.2735158656,-4347.1272886337,-2309.1629533186,-1858.5117900615,7064.3334797883,-1966.5758799106,-1169.1691295235
2000,6706.25,5390.8002133997,6368.9026917363,-4501.8621016601,6621.3760933418,6651.8893346479,-2718.7475373085,-6281.5633241861,6684.997849232,-3989.1179628723,-2100.2065531024,-4970.6163279957,-1063.5636760541,-852.1486619705,6130.4323575812,-2348.5636603551,-533.4724156536
2001,6676.75,6676.47588917,6676.6814719408,-3355.8248626215,6676.7328679632,6676.7390354948,-3329.6386373744,-6019.288901156,6676.7457169894,-60.5001143116,-30.250367636,-5772.1252631862,-15.1252226282,-12.1001818285,5787.270263864,-2889.1437636297,-7.5626161654
2002,5180,4219.0826996325,4933.9258397394,-1616.1035648857,5118.1117538527,5140.3630527786,-3038.1724386456,-4450.3208813167,5164.5047625574,3005.2855394557,1577.585436023,-4921.4438194054,798.3308055405,639.5839941939,4195.4628151199,-2650.8572299007,400.3630321615
2003,7657.25,2436.7370783148,6216.5980469798,-825.0153478639,7288.1932931878,7420.3631879958,-5114.4955171585,-6201.0753148429,7564.4231656076,7259.1865917378,4470.725476339,-7612.6754323489,2348.5561699972,1889.8909282648,5698.7203096367,-4492.2313500249,1188.6882409273
2004,5713.25,-1710.9749180882,3381.271810409,578.2218573246,5097.0225001131,5316.2483827295,-4239.3838932597,-4307.8602449459,5557.0580958485,5451.0357173819,4605.2390281758,-5683.9145882228,2581.0050747413,2092.5412052397,3829.9934423012,-3752.8077052408,1326.7746160763
2005,6758.25,-5426.1908337817,2121.6018547427,2066.2578941541,5477.7850814592,5929.0170895568,-5460.6881652255,-4677.5815441486,6430.1704522226,4028.6965755544,6416.5994601855,-6434.6345177754,3958.2589182421,3243.5627655779,3981.8121282485,-4877.9272196641,2080.1084149304
2006,6617,-6616.6244569639,35.2488884216,3288.1281276306,4691.3713823724,5361.5408424754,-5724.6062231621,-4133.5011861656,6116.6777517358,70.4967765735,6616.9061135749,-5742.2036202389,4666.4465659276,3877.959359569,3318.6703044645,-5167.093665105,2524.072558668
2007,8409.75,-6857.4590666468,-2554.8364602032,5604.3251385411,4961.7718176729,6143.0627321024,-7676.420663185,-4643.9018949455,7498.3716767767,-4868.1772987191,8012.2846756787,-6270.2021342231,6790.0453232543,5743.4027659529,3434.5976277181,-7011.2816412281,3807.6655918571
2008,5934.5,-1897.4708635348,-3461.0510983192,4787.9487377694,2709.1218602183,3793.1090208577,-5640.5838365498,-2820.5993953866,5064.3644186347,-5622.9791545084,4820.7276986803,-3506.2568551794,5280.0519880478,4564.0567706689,1844.4793934478,-5221.3512906857,3093.6230030932
2009,7047.25,2099.7630486285,-5677.203876335,6426.8424799006,2197.1638019272,3789.9111515623,-6890.402681592,-2780.48932385,5707.3503119062,-6727.1634216893,4175.2950445479,-2891.267594161,6695.9841539539,5941.4060647093,1478.5409862464,-6475.5394896839,4133.9914102093
2010,7250.25,5814.3262393153,-6881.9126657891,7085.765024567,1155.5383501561,3102.6478543626,-7209.0114763353,-2252.1971715192,5520.1479593268,-4331.2510254325,2281.5352556891,-1535.5973036977,7157.5733446342,6552.8391826993,772.1907773126,-6891.5697024046,4700.4352532122
2011,8786.25,8785.5911154138,-8786.0852773094,8786.1767897882,26.9006946064,2735.5596986977,-8786.231697428,-1970.1080012806,6222.3205193274,-107.6002567923,53.8011370481,-35.8675492242,8786.2088192308,8349.545029363,17.9338119699,-8562.5267021943,6203.2988334641
,,150.7428171416,-206.4886779445,-355.5565708237,1144.311566065,236.7436540031,-801.0477120197,-12.2048117146,-76.8801879833,-68.2854048995,7.3704397263,-599.0219671785,-32.4617595689,-907.8793614058,1500.3595678272,-55.7667531361,-1779.068985375
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,27386.2934420851,,,,,,,,,,,,,,,,
20,42691.8975010441,,,,,,,,,,,,,,,,
30,485247.792218278,,,,,,,,,,,,,,,,
40,1310502.72606446,,,,,,,,,,,,,,,,
50,880292.492577426,,,,,,,,,,,,,,,,
60,2892756.26970256,,,,,,,,,,,,,,,,
70,3258.8881843289,,,,,,,,,,,,,,,,
80,3170997.01802768,,,,,,,,,,,,,,,,
