Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1889,9707.75,3244.485336393,-7928.967858015,8903.1499270566,2938.3645399146,661.1162441559,-9504.4716782913,9558.2637452349,-7834.7086233266,-9149.5204772945,5601.060503964,-3869.6681303249,9252.3739598588,-9685.2122007839,1976.2156205885,-1697.0575237828,-5732.1680758743
1890,6533.75,5385.0620158876,-6239.9734778605,6402.6332001433,979.6587037149,1258.0385494625,-6500.8881598569,6509.6012319799,-4954.3281137758,-3700.1346120844,1937.1680510728,-1302.3736663965,6459.888380362,-6411.4918755752,654.4785676643,-561.2315592564,-4259.6387174914
1891,5065.5,5063.7909924286,-5065.0727300873,5065.3101007779,-32.8963200299,1590.333530328,-5065.452524972,5065.4651203731,-3570.1998502107,131.5714064641,-65.7912526591,43.8615202411,5065.3931813956,-4809.3793271393,-21.9309656626,18.7979861484,-3593.4611838109
1892,7613.25,6042.4135905061,-7209.8537027606,7433.0719225256,-1239.184582691,3276.8718449575,-7568.0714312389,7580.0488612824,-4925.8173706669,4631.5023009567,-2445.3190277119,1646.516734522,7511.7239787229,-6871.9492485193,-828.1729132046,710.2357517553,-5804.9891294761
1893,5751.75,1638.2175059509,-4610.0567025989,5234.5374393245,-1812.0064049731,3106.5140173047,-5620.9598281403,5655.5621631968,-3366.0377465721,5513.5171592819,-3439.4774692275,2383.7461817086,5458.8699243375,-4840.6816382395,-1219.6059498595,1047.4944776547,-4663.948750914
1894,6293,-2093.7723638342,-3634.9511354619,5060.1164629422,-2891.9804204505,4035.5237438776,-5976.8370356442,6060.1952568791,-3271.2853906458,5934.4727051731,-5137.0204635376,3741.2658795468,5589.1232092101,-4828.7055317756,-1969.5857557752,1695.8426956825,-5375.9223295122
1895,6865.25,-5652.0823403621,-2040.6738195176,4551.5834016631,-4069.5160414389,5027.7093072011,-6260.1683488053,6418.9335804288,-3097.8551095082,3896.8734621831,-6554.9453029629,5139.5278090701,5529.0773869581,-4674.804454176,-2818.1465198099,2434.9433776875,-6126.5774526235
1896,6799,-6796.9787793024,82.8923383769,3351.5291324267,-4836.8370868071,5519.9306967696,-5874.2424009982,6115.3740363421,-2582.7064919188,-165.7723550936,-6798.4946760469,5915.5433794788,4778.2222631108,-3969.4793238989,-3423.4014100475,2971.2962483793,-6289.3583278901
1897,6163.5,-4897.7549959417,1975.021434379,1857.5422832765,-5008.0823106652,5415.3452425417,-4971.8052110363,5280.1496070493,-1886.9839596848,-3741.7547019718,-5838.494890273,5876.9268258027,3592.7487832581,-2943.2580848579,-3642.7853619878,3179.4264226708,-5867.5398410145
1898,7404.5,-2120.2566063268,4423.0747341896,715.6663333538,-6617.2984336248,6897.3982287948,-5482.9632323826,5975.5670332145,-1707.1663653881,-7094.4437536235,-5938.2682783597,7369.8332375505,3322.3458113728,-2693.0499296187,-4976.3173574784,4372.5529020882,-7205.012369933
