Year,Mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1908,3575.75,-1034.8131133976,-2131.4027156158,-3256.5651800527,-1606.9574982147,2267.919302558,755.4221071449,149.9318466178,1876.154283136,-3422.7401132485,2871.0817693625,-1476.743474869,-3194.3192798203,2764.5126332837,-3495.0429900842,3572.6052824052,-3044.0159605972
1909,5264.5,1727.835080052,-4290.1717931182,-4238.0928105906,-1601.4604030586,2802.8408623341,1643.7032348703,-251.3990358347,3105.162794291,-4972.8810750049,3051.1286822311,-3123.0641329983,-5015.0059648454,4456.3486567402,-5001.3198183757,5258.4939645094,-4251.2262079253
1910,6074,4984.1250113913,-5795.1294773797,-4034.230530305,-920.2878773502,2564.2618559133,2488.9314734367,-832.4621453312,3956.2385818461,-3471.5952919118,1819.3268921238,-4540.7554468783,-6003.8775989191,5506.1817200586,-5540.6404070772,6016.683702555,-4608.8667027278
1911,5499.75,5498.692959569,-5499.4857335432,-2718.688682744,26.9573686211,1678.9927342356,2765.4241970789,-1238.822741516,3898.4297384058,107.822997946,-53.914089579,-4780.793020914,-5499.683932989,5237.1970996788,-4753.9119757007,5358.4109843873,-3879.3679430048
1912,4634,3695.7546402713,-4393.1812507008,-1403.6203166619,746.9786088814,850.7592953948,2735.8343747921,-1444.1228868959,3530.966926605,2795.595399716,-1474.4200549678,-4416.3113575306,-4573.3990595479,4555.2348590714,-3740.209389019,4403.2334809255,-3001.037914326
1913,5375,1563.7037905974,-4318.3059684592,-528.0290620574,1685.1899625164,317.1449389995,3609.1874980002,-2125.8953261668,4355.9454225533,5142.514507055,-3200.4466192658,-5349.0008702208,-5103.9944935545,5365.6354784561,-3983.0127547222,4936.7189571802,-3149.025956663
1914,4289.25,-1401.2985169212,-2488.6890021451,474.8596879657,1965.077130808,-285.290288094,3196.4400103167,-2042.5975901662,3662.4017151194,4053.8904806339,-3493.4356460513,-4262.8832776942,-3812.6286774974,4279.7517467745,-2860.1462939763,3771.6655004318,-2232.5947325009
1915,4046.5,-3316.7374042843,-1215.1099422611,1273.9306354635,2393.4514689712,-772.8068237304,3280.939085567,-2238.0412242809,3609.6581291856,2318.0628207668,-3859.7500020362,-3840.7372971902,-3262.7522608497,3972.0186131482,-2368.4596189926,3371.2510627984,-1828.8057415713
1916,6415.5,-6414.4591373587,57.7825850736,3241.053214543,4556.8269895038,-2004.4677125886,5565.5914846448,-4012.8932378441,5932.6622944999,-115.5604826752,-6415.2397790622,-5536.6248121487,-4515.9681174395,6094.3210810713,-3191.0549472,5005.5297533493,-2441.7531303183
1917,5262.5,-4202.053291369,1670.4192294407,3544.3058159129,4271.0939725632,-2257.5010800742,4813.8246543804,-3646.3208692696,5008.5196555776,-3168.0679264333,-4990.3512750021,-3889.961765016,-3074.3556280193,4753.6927880821,-2126.2639645348,3794.5026509846,-1615.1275831008
1918,6111.5,-1787.2778143439,3635.0711057445,4965.0313494881,5457.3880800598,-3292.6186937069,5817.8269715761,-4612.3636786547,5945.7236523945,-5844.3194868483,-4912.9105738026,-3563.5510307278,-2750.8812394615,5148.6983197554,-1871.7162121438,4009.5552803057,-1413.7901185669
1919,4839.75,1573.8598445031,3939.5601432732,4432.4530619575,4609.2117691589,-3097.6770068458,4736.8314709893,-3922.3606093697,4781.7681208046,-4576.6958881229,-2811.2356607074,-1943.3321682212,-1475.9223995681,3718.5450412438,-992.7777585872,2835.1838234169,-746.9094331688
1920,6025.5,4933.3326389081,5745.9745068065,5900.7268609776,5955.2086294589,-4406.1850780418,5994.2255525973,-5179.9588603429,6007.9014575309,-3459.6068163715,-1813.9534771128,-1219.8658787497,-917.6820961633,4110.0101347858,-613.1152213001,3078.0962387741,-460.1851003649
1921,5684.75,5683.9835709523,5684.5583895089,5684.6648395159,5684.7020971754,-4610.0084167165,5684.7287098391,-5127.5547862857,5684.7380242812,93.3452068629,46.6741766338,31.1163119806,23.3372849697,3326.2899693657,15.5582142579,2454.4988238211,11.6686670665
1922,5938,4747.1205254137,5632.4171400877,5801.5302150802,5861.1064219071,-5212.6947945635,5903.7839737386,-5564.1475575141,5918.7453878877,3567.1684453074,1880.3513395233,1265.7373991125,952.5101107494,2843.8806196341,636.5365593798,2073.6696839684,477.8043881736
1923,4941.75,1452.7148180122,3974.9117294861,4503.8756251327,4693.8211034129,-4600.4428169891,4831.0413180286,-4766.6157794458,4879.3741145915,4723.4005462196,2936.1488050326,2033.715175691,1545.618488391,1804.6658832353,1040.1600098064,1303.9428950832,782.6885155378
1924,5938.75,-1922.301818405,3453.4534627274,4786.4908056034,5281.0012457049,-5756.7139252375,5643.3378347516,-5845.6403832895,5771.9709679809,5619.0308133571,4831.398425226,3515.4313149845,2716.5745720234,1459.1080650441,1849.7269110226,1047.4922776591,1397.5345102305
1925,5432.75,-4443.0494906322,1639.6334105934,3614.7887612487,4383.0634819668,-5391.9491255944,4957.4699295696,-5411.9204427497,5163.6644301385,3126.3531128606,5179.4183883295,4055.6226123803,3209.9107581909,664.5729376841,2222.220614591,475.2785329136,1688.5917847196
1926,5115,-5114.4376659369,-37.9232035373,2535.5736754968,3603.4183641306,-5114.9775062418,4423.3858270654,-5114.9885235886,4722.0075144227,-75.8443224409,5114.8594145522,4442.3069610426,3630.2343027753,-15.1693981557,2568.4397647048,-10.8352921764,1966.1815871725
1927,5130.75,-4106.6700701246,-1620.8482501777,1561.8695968489,3000.7022847078,-5088.4049523844,4143.5587359498,-5109.1308001795,4567.2994652072,-3075.6879714371,4868.0023122833,4887.2445124977,4161.7762266909,-657.8226227864,3025.8084149916,-470.5082668322,2337.5994433645
1928,4995.5,-1476.1182790381,-2964.8837571704,498.6647455481,2252.1038431937,-4835.0116390173,3704.463522994,-4913.4018208205,4254.7270769507,-4772.4307303815,4020.5079973142,4970.548633858,4459.0412119056,-1256.0583985497,3351.4131730969,-901.9438991188,2617.6932117158
1929,4395.75,1416.2255029729,-3574.0726991202,-479.6917384608,1343.8541578874,-4082.5595228025,2933.7700236352,-4235.0138164301,3551.7506230754,-4161.3607614853,2559.0276285933,4369.4981289105,4185.2925901099,-1629.5170466352,3273.4708660563,-1177.8268281654,2589.9199937418
1930,4060,3316.6522517214,-3869.7033569764,-1272.0417538012,621.5321273578,-3552.4898512814,2378.9819755062,-3798.3441308219,3082.7763815328,-2341.6698830432,1228.4119541122,3855.5816392065,4012.1437928696,-1965.5573908035,3289.9916048854,-1433.9392817867,2641.9859540625
