Year,Mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1967,4459,-3602.7657314839,-1381.6563616387,-4361.0128476238,2619.3391612631,-1899.9768762801,467.39956806,3827.2452143224,-3972.5504603512,-2627.3104278035,4239.5408593789,-929.6493655459,3608.5652769866,4033.952016274,-4434.4355496249,2287.9849364554,-2025.221923633
1968,4691.5,-1443.2816317499,-2760.3456735204,-4284.9756653608,2128.3809013754,-2514.9801022202,976.5267318307,3794.9319010315,-3999.716943035,-4463.9792093438,3793.5028684156,-1910.2763667244,4180.928962403,3960.4352457068,-4588.7435962385,2758.3807055107,-2452.0270442225
1969,4750.75,1473.1741369182,-3845.0167485633,-3842.383960814,1466.7842793443,-3029.0703509181,1468.9145585539,3577.1489518964,-3843.0424781412,-4516.5676707889,2790.2458253294,-2793.8702654525,4518.6468594446,3659.8303747154,-4517.9548008107,3126.2806877257,-2792.9643881909
1970,5148.5,4167.6829787759,-4897.1608134831,-3443.9819115175,804.3692565553,-3753.6680061184,2094.7209096384,3557.5038121248,-3914.6102850332,-3022.8249764784,1588.9833910039,-3827.01461235,5085.2770179321,3523.7804627762,-4703.104991463,3721.7225684778,-3344.0811243618
1971,4825.75,4825.7494100134,-4825.7498525034,-2412.186112148,-0.5965659954,-3904.3942636681,2413.2194193444,3008.5393814826,-3412.1096248617,2.3862638906,-1.1931319818,-4179.6197462043,4825.7499631258,2836.1185617558,-4179.0232227877,3773.1358115722,-3412.5314607233
1972,3943.5,3189.9506165824,-3750.3841474236,-1218.3885427725,-617.0706461318,-3455.782246284,2318.0247012895,2172.3795182193,-2561.0324243339,2318.4924657556,-1218.9384712748,-3750.5628389404,3894.9218307538,1899.6740026301,-3190.2905407207,3291.1942329223,-2998.7172543457
1973,4478.5,1384.5398693482,-3623.3702581213,-468.3423981733,-1383.780789902,-4163.9569789539,2996.6223335433,2122.3011305813,-2632.4608242502,4259.1092496184,-2632.1379565977,-4453.9440553372,4259.3559343518,1648.7645457801,-3328.2453094851,3943.7038632653,-3623.1356942279
1974,5704,-1760.1313257427,-3353.7909086557,595.358432968,-2588.9759227374,-5524.6675091604,4238.6047528432,2242.1602753325,-2980.6121298071,5425.6385537685,-4613.8598310979,-5672.8444660764,5082.5996961679,1419.0366144774,-3817.0467313324,5244.8387296199,-4863.2877080887
1975,5238.75,-4235.8357856597,-1620.804868017,1617.5679167735,-3078.4338599502,-5197.338448005,4237.8376258711,1619.4176868925,-2378.7976142041,3082.5633423215,-4981.715883339,-4982.7678650651,4238.8378752215,657.3998930549,-3079.8106791249,4982.166990164,-4667.528625853
1976,4474.25,-4474.2473020882,-2.4567388925,2235.7064512155,-3162.903808094,-4474.2498920835,3874.4046414805,996.2986031964,-1712.7887638491,4.9134770442,-4474.249325522,-3875.6328162629,3164.6409848899,0.9826955985,-2237.8341619912,4361.9149642983,-4133.4329210636
1977,4198.75,-3400.3530555586,1294.6561648703,2808.0383216927,-3395.9858019984,-4165.7905404595,3835.3456471163,564.4539889464,-1298.19223853,-2463.1485257803,-3994.1666186156,-3121.6057320561,2469.1662550597,-525.0626015232,-1708.6911159266,4160.6361601157,-3993.018717001
1978,3752.5,-1165.7772778892,2203.029393213,3034.5599858633,-3342.7626335138,-3634.9319595216,3568.5040701218,169.2845409573,-876.7951493193,-3566.8220572882,-3037.7487951836,-2207.4197476233,1705.0496256661,-931.94736957,-1160.6183487797,3748.6796334433,-3648.6280320321
1979,4036,1239.306680056,3262.7547992997,3685.9447930733,-3837.8232352451,-3753.1878555712,3947.5162561314,-179.8915004602,-632.3928456865,-3841.0174371862,-2375.6529880534,-1644.1128253305,1249.1632459424,-1484.2091903749,-840.4828419297,4031.9889692387,-3986.1479260966
1980,5043,4072.8292820086,4794.3261814967,4931.9676937437,-4980.4435511954,-4420.3667784349,5015.1651059337,-675.2447220312,-397.1600252553,-2973.8713219663,-1564.0605696121,-1052.3990060186,791.8529114401,-2427.386772665,-529.1199866055,4997.5887751364,-5027.3365626681
1981,4594.75,4594.7333658189,4594.7458414528,4594.7481517567,-4594.7489603631,-3718.6837310441,4594.7495379392,-1020.7060329731,-1.5454565151,-12.3636374344,-6.1818243121,-4.1212168987,3.0909128554,-2698.7254160007,-2.0606086565,4479.9427180213,-4594.7497400908
1982,4090.5,3316.5045125435,3892.1942370955,4001.9638616352,-4040.6194312778,-2983.5309517799,4068.305754612,-1262.3614311372,319.402932327,2394.3659010851,1258.1789501977,846.4487581454,-636.8554479475,-2798.3447446252,425.5332384087,3890.8397380485,-4078.0107916509
1983,5127.25,1600.6263518583,4153.0412967526,4686.2864326014,-4877.6210159911,-3270.8608635895,5015.7977767278,-2012.8959659806,799.9719395891,4871.0048084802,3006.8156827393,2080.2432632066,-1580.3498938091,-3948.4378902977,1063.2333824107,4715.6062592883,-5064.4582591201
1984,5790,-1769.1171424141,3411.8112305213,4688.3415210906,-5161.3218764537,-3106.0015320067,5507.7035780402,-2741.0432149463,1349.0823428044,5513.1048000575,4677.9957382718,3397.580577649,-2623.9010056862,-4886.3948349649,1785.861499793,5100.0766752861,-5630.6373380225
1985,5171,-4171.3428252134,1607.6733578096,3465.1501740408,-4186.4376224443,-2205.4143085685,4725.3323983591,-2846.243401655,1595.4892751662,3056.0006601015,4914.7357380219,3838.2255368002,-3035.2892833111,-4677.1132900072,2100.1130267244,4317.1911584426,-4918.7046031277
1986,4885.75,-4885.7051778088,10.463986352,2448.9138977781,-3458.4445552748,-1513.7599657529,4232.9265371944,-3043.8772777556,1867.2784442293,20.9279247052,4885.7387944394,4227.6913065844,-3451.0453953245,-4645.3292486738,2439.8536827473,3821.6965055409,-4514.8448782009
1987,6661.25,-5407.0259467328,-2043.8566455143,2068.1552759218,-3921.5820457162,-1254.2156772912,5392.0659720665,-4600.1747392367,3020.7294781619,-3890.5426323147,6339.9449189316,6332.0601163584,-5384.5562325243,-6542.1093385343,3911.2499428422,4817.7426177608,-5936.9558683103
1988,6118.25,-1919.2518483251,-3584.0284905038,649.5104570883,-2784.331225849,-390.1770426069,4550.1016701048,-4604.6487454604,3193.5676397995,-5809.4281478646,4958.6008955912,6083.6764566036,-5447.9796885875,-6105.7960118172,4090.1782179032,4028.6713682591,-5218.6309308597
1989,5455.5,1658.6363587185,-4405.1771193102,-560.7791139534,-1692.6364753843,336.8484258598,3653.9806919186,-4411.1909882558,3203.7713681333,-5197.2498188501,3218.2129819988,5426.6017944339,-5186.2763146788,-5445.0907603084,4051.0375650056,3209.9648464011,-4415.6912562734
1990,4735.25,3815.3701213374,-4499.4068458833,-1454.9273534488,-747.2537372041,882.1267275592,2786.8573530127,-4063.0401156051,3072.7967149979,-2804.557612121,1475.781351596,4506.1934000536,-4675.9174944319,-4652.3590789003,3828.3179931217,2431.9328900041,-3602.8478889343
1991,5941.75,5941.6474192822,-5941.7243547652,-2960.790363,-8.7286188421,1829.4593296341,2975.9130467089,-5351.1657665768,4198.3645501252,-34.9142870001,17.4572188473,5151.515649677,-5941.7435886879,-5653.0939868107,5142.7944350253,2582.5216361371,-4204.5366173637
1992,3824.25,3107.7483792138,-3640.7207254683,-2553.0489214829,592.3942218354,1623.9981499339,1559.068748407,-3579.2056531214,2906.0584702784,2228.6291916768,-1170.4873607373,2847.2494212862,-3778.0890868845,-3462.2995352094,3492.0184278209,1346.9131208672,-2485.9026991866
1993,4721.5,1488.2395012254,-3828.7912619413,-3813.7395453333,1451.7100789662,2524.7111084059,1463.8973643513,-4550.1799378738,3817.5130247217,4480.8152647696,-2762.7739180907,2783.5144925725,-4492.7831125738,-3989.7864691098,4488.8268797811,1260.327252332,-2778.3370126895
1994,3394.5,-1026.8786167158,-2004.6060442838,-3097.8779062441,1535.9028342768,2160.1600315393,709.5363617371,-3339.3558574054,2892.7713719678,3235.4521409738,-2739.3767278746,1387.7257394761,-3027.1492750872,-2618.4611679649,3319.5162902708,609.3707472568,-1776.0923510684
1995,6748,-5430.7467869196,-2108.177492749,-6597.1773592081,3956.6098037923,4912.469404636,713.3551640186,-6720.21316012,6009.7714996491,4005.3081449949,-6410.233354494,1418.7159303936,-5466.3280966783,-4626.3536774133,6710.1884034629,611.7508337144,-3068.9005396078
1996,5000.5,-5000.360529929,-18.673779611,-5000.4845032614,3529.2791059262,4041.0944895296,6.2246060639,-5000.4971536591,4618.0710485648,37.3472988039,-5000.4651323607,12.4492024826,-3542.4834851376,-2945.2598487559,5000.4961258139,5.3353769917,-1917.9207596791
1997,4888.75,-3977.3388009481,1492.5919568598,-4784.5413848475,3949.480060185,4280.3709933546,-504.7028171741,-4869.5538293833,4648.004798122,-2842.6488747246,-4655.3244583828,-1004.0121011134,-2881.2295668171,-2361.8426538931,4862.6280578342,-432.8071917593,-1515.2319819537
1998,6547.25,-2073.6180034679,3826.8777802077,-5988.3839606677,5827.6070607482,6083.5637528596,-1352.5967019069,-6443.3824210338,6364.7970466851,-6210.2005553922,-5312.3901417208,-2646.8358661085,-2984.2048368062,-2420.0691369035,6406.0100471737,-1161.5961169066,-1534.8749515867
1999,5605.75,1687.2974937841,4521.2277640194,-4544.3818301885,5327.7249178543,5427.2784769136,-1724.7847138007,-5405.5256888029,5535.8073946247,-5345.7890184677,-3314.0507793876,-3282.2289444755,-1743.4965621343,-1403.2396076689,5333.8120283283,-1484.8316706592,-882.7624550914
2000,5316.5,4273.6535820376,5049.0618692438,-3568.9319460914,5249.2146878288,5273.4046072925,-2155.335885495,-4979.8220187191,5299.6519762076,-3162.444831256,-1664.9764234213,-3940.5452686358,-843.1591849009,-675.5561396259,4860.0102336001,-1861.8659758103,-422.9198281935
2001,4433.25,4433.067995007,4433.2044985182,-2228.2114160657,4433.238624615,4433.2427197525,-2210.8242017658,-3996.7068590332,4433.2471561528,-40.171061036,-20.0857366717,-3832.5943494994,-10.0428941051,-8.0343177581,3842.6503758977,-1918.3429947372,-5.0214502737
2002,4974.75,4051.9076563701,4738.4261720548,-1552.0678010454,4915.3139859998,4936.6836094228,-2917.7892546626,-4273.9833599093,4959.8687389059,2886.2054512369,1515.0758972694,-4726.4387337041,766.6981032553,614.2414044626,4029.2236755826,-2545.8208502797,384.4992266883
2003,4524.25,1439.7345948697,3673.0475972508,-487.4564220279,4306.1945877051,4384.2865458604,-3021.8755223487,-3663.8760642761,4469.4037032878,4289.0561151418,2641.5070340301,-4497.9133272134,1387.6333216377,1116.6331296747,3367.0619818961,-2654.2136779327,702.3308333952
2004,4648.25,-1392.034159717,2750.973035091,470.4362225194,4146.892720632,4325.2529724802,-3449.1254858171,-3504.8372438751,4521.173639177,4434.914763632,3746.7820089648,-4624.3829667364,2099.8830505695,1702.473138276,3116.0490120643,-3053.2513745917,1079.4521698117
2005,4317.25,-3466.3148562341,1355.3043476326,1319.9499712998,3499.273871628,3787.5262131305,-3488.3521594081,-2988.0943915179,4107.6689061307,2573.5790020808,4098.9995959732,-4110.5206039826,2528.5825938343,2072.0262419548,2543.6286628463,-3116.0775776414,1328.7978477207
2006,4233.5,-4233.2597307778,22.5519373028,2103.7162503135,3001.49928174,3430.2679698684,-3662.5540948703,-2644.5787020753,3913.3981051796,45.1032346416,4233.4399322683,-3673.8127589967,2985.5525973786,2481.0852272533,2123.2568738024,-3305.8623290346,1614.8800328126
2007,4809.5,-3921.7514647924,-1461.1000273905,3205.0895393815,2837.6160476944,3513.1912613391,-4390.1120936518,-2655.8276005518,4288.2866410366,-2784.0897432373,4582.1912836502,-3585.9017407826,3883.1978337277,3284.6274387289,1964.2316704433,-4009.7219362629,2177.5876410163
2008,5636.75,-1802.2695913775,-3287.4007546467,4547.7243318935,2573.1978508021,3602.7984283966,-5357.5804095833,-2679.0822549406,4810.2714865176,-5340.8590023044,4578.8586832145,-3330.3384157776,5015.1374241517,4335.0656335105,1751.9368474205,-4959.3819003745,2938.4075259391
2009,3901.75,1162.5457412446,-3143.2161799979,3558.2578517794,1216.4722216708,2098.3058406624,-3814.9105910676,-1539.4337109272,3159.9069253226,-3724.5322474123,2311.6758224932,-1600.7667296488,3707.269668692,3289.4932226016,818.6026170615,-3585.219227908,2288.8078306835
2010,5674,4550.2551059446,-5385.7415214216,5545.2750938786,904.3170371761,2428.1126755151,-5641.7269910315,-1762.5553258439,4320.0330362705,-3389.6097814977,1785.5151257929,-1201.7487812394,5601.471833034,5128.2106855123,604.3116403534,-5393.299057473,3678.5310336507
2011,4662.25,4661.9003759099,-4662.1625931581,4662.2111524473,14.2743221999,1451.5707162047,-4662.2402881017,-1045.3988936088,3301.7514686282,-57.0959507446,28.5485105935,-19.0324064726,4662.2281482383,4430.5211339477,9.5162230595,-4543.5356514219,3291.6579867769
,,13.264347578,-39.7536330126,-257.7148862074,994.7824601777,173.9557719785,-526.8938505748,-127.2734692516,133.2990780857,-78.7972016187,44.5014682005,-448.9862177982,-87.0579385007,-621.7413951084,1095.934744805,-14.3659420525,-1259.6578624175
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,6384.9418996113,,,,,,,,,,,,,,,,
20,3560.7320096955,,,,,,,,,,,,,,,,
30,66416.9625728678,,,,,,,,,,,,,,,,
40,997171.227733241,,,,,,,,,,,,,,,,
50,416822.972995977,,,,,,,,,,,,,,,,
60,1478690.09464439,,,,,,,,,,,,,,,,
70,16404.9162663933,,,,,,,,,,,,,,,,
80,1604506.57456861,,,,,,,,,,,,,,,,
