Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1969,1420.75,440.5645750727,-1149.8831859225,-1149.0958295693,438.6536367686,-905.8678526689,439.2907139011,1069.7751667435,-1149.2927644728,-1350.7158908116,834.4454573145,-835.5293752864,1351.337688903,1094.5017112828,-1351.130723202,934.9393857994,-835.2584654049
1970,1728,1398.8066790958,-1643.6425921528,-1155.9096325342,269.9718510882,-1259.8501145135,703.0548182684,1194.0111852679,-1313.8674512066,-1014.5559987093,533.3132562212,-1284.4675633953,1706.780360685,1182.6925589351,-1578.5112994558,1249.1282117762,-1122.3797577736
1971,1673.5,1673.4997954012,-1673.4999488503,-836.5111036999,-0.2068804214,-1353.9872144742,836.8694396255,1043.3177547347,-1183.2700527806,0.8275216538,-0.4137608396,-1449.4314138264,1673.4999872126,983.5247190796,-1449.2245481708,1308.468689979,-1183.4163393297
1972,1346,1088.797649276,-1280.085472913,-415.8617924615,-210.6192696065,-1179.5316098639,791.1908832093,741.4791001707,-874.1345614691,791.3505411201,-416.0494946965,-1280.146464109,1329.419242854,648.3989368683,-1088.9136725777,1123.35423799,-1023.525655978
1973,1589,491.2434637478,-1285.5945830423,-166.1708319074,-490.9741375805,-1477.3981555337,1063.2204729263,753.0058047323,-934.0136763947,1511.1587803157,-933.8991209185,-1580.287396211,1511.2463056124,584.9920427028,-1180.8823929378,1399.2509632083,-1285.5113582959
1974,1804.25,-556.7526199985,-1060.8480446953,188.3196796428,-818.9270351681,-1747.5247814521,1340.7262667106,709.2246978907,-942.8067032266,1716.2006242351,-1459.4243689092,-1794.3950960586,1607.6929351001,448.8598898441,-1207.3819363616,1659.0112689195,-1538.3216773
1975,2154.5,-1742.0392651308,-666.5758221222,665.2445863399,-1266.0435697949,-2137.4689928374,1742.8625463974,666.0053269215,-978.3096081704,1267.7418699178,-2048.7915763596,-2049.2242167087,1743.2739111744,270.3637450893,-1266.609803517,2048.9770995578,-1919.5782246529
1976,1389.25,-1389.2491623012,-0.7628148866,694.1845420687,-982.0783629423,-1389.2499664921,1202.9986362355,309.3496864258,-531.8191406777,1.5256295432,-1389.2497905753,-1203.3799832359,982.6177545417,0.3051259675,-694.8451940652,1354.3700875345,-1283.4266492904
1977,1593,-1290.0892926478,491.1907759782,1065.3658937675,-1288.4323626278,-1580.4952261868,1455.1248861819,214.1530704118,-492.5323574822,-934.5151775095,-1515.3813452705,-1184.3329398429,936.7982957571,-199.2080319682,-648.2750694066,1578.5396613431,-1514.94583297
1978,1961.5,-609.3729861638,1151.5635322551,1586.2196968077,-1747.3228262858,-1900.0450469292,1865.3219809578,88.4881084844,-458.3167715895,-1864.4427622574,-1587.8865454371,-1153.8584503566,891.2604505647,-487.1458402163,-606.6763200883,1959.5030249165,-1907.2042331328
1979,1589.5,488.0768007802,1284.9724364437,1451.6375739817,-1511.4519406398,-1478.1199446061,1554.6524006742,-70.8467641183,-249.0556065953,-1512.7099148681,-935.6046641504,-647.5018176072,491.9586173006,-584.5268850597,-331.0077991197,1587.9203336484,-1569.8667315487
1980,1637,1322.0744665176,1556.2783976026,1600.957984267,-1616.6936532435,-1434.8880460634,1627.9645604627,-219.1900872427,-128.9214676468,-965.3435165693,-507.7071490095,-341.6175238652,257.0420813062,-787.9500588643,-171.7567753467,1622.2591364066,-1631.9155171699
1981,1988.5,1988.4928011167,1988.4982002784,1988.4992001237,-1988.4995500695,-1609.3590726767,1988.4998000309,-441.7376237156,-0.6688373209,-5.3506922114,-2.6753485271,-1.7835659836,1.3376745662,-1167.9450437385,-0.8917830815,1938.8141019175,-1988.4998875174
1982,1451,1176.4449450435,1380.6561149066,1419.5940748644,-1433.3061471175,-1058.3311113636,1443.1271604797,-447.7903524215,113.300001175,849.3399150408,446.3067245414,300.2559951275,-225.9081420295,-992.6410523044,150.9470062171,1380.1756410973,-1446.5697735449
1983,2112.75,659.5588911968,1711.3146422964,1931.0452309676,-2009.8871327778,-1347.8007293479,2066.8246628859,-829.439943854,329.6388347295,2007.1608384839,1238.9974808538,857.1912729709,-651.2037131299,-1627.0051494908,438.1191337828,1943.1268466159,-2086.875847083
1984,1431,-437.2377600681,843.2300295123,1158.7248215338,-1275.6220388956,-767.6490832991,1361.2303661789,-677.4495406888,333.4260505273,1362.5652795997,1156.1678586299,839.7129199682,-648.4978133224,-1207.673749367,441.3761323322,1260.4852715604,-1391.6134768066
1985,1489.5,-1201.550017048,463.0882743101,998.1321183975,-1205.8980542701,-635.2667980299,1361.1260118654,-819.8568065684,459.578664738,880.2771191687,1415.6834039419,1105.5960040735,-874.3112333189,-1347.2365587828,604.9348971777,1243.5614446916,-1416.8266305084
1986,1468.25,-1468.2365301781,3.1446037888,735.9397902907,-1039.3207221577,-454.9103146327,1272.0655760601,-914.7362867655,561.1485597379,6.2891931532,1468.2466325407,1270.4923012624,-1037.0971502196,-1395.999522973,733.21704338,1148.4840391466,-1356.7867763227
1987,1346.25,-1092.7691770747,-413.0669182246,417.9777129232,-792.5584280796,-253.4791301262,1089.7457406485,-929.7031702304,610.4945858473,-786.2853096271,1281.3136944435,1279.7201623791,-1088.2280094631,-1322.1714688687,790.4702924453,973.6740100072,-1199.8689191537
1988,2110.75,-662.1273793735,-1236.462736294,224.0761978178,-960.5732251805,-134.6081302141,1569.75068037,-1588.5690090272,1101.7566944317,-2004.2087955061,1710.6798251737,2098.8223888818,-1879.5118093713,-2106.453468221,1411.0805660833,1389.861167908,-1800.388221683
1989,1924.5,585.1059797184,-1553.9846698034,-197.822271983,-597.0999719324,118.8277509975,1288.9901643474,-1556.1061418565,1130.1728527124,-1833.3988225418,1135.2673235921,1914.3057746106,-1829.5277733662,-1920.8280026054,1429.0572438554,1132.3576843367,-1557.6936711022
1990,1404.75,1131.8602350349,-1334.785231351,-431.6159019602,-221.6788316008,261.6899890267,826.7436495738,-1205.3335309427,911.5698612308,-831.9945738085,437.8024082476,1336.7985172325,-1387.1485349883,-1380.1597415311,1135.7013253445,721.4524528237,-1068.8138053916
1991,1918.25,1918.2168825747,-1918.2417206258,-955.8692496023,-2.8179699741,590.6274008618,960.7514960827,-1727.5842524065,1355.4109140031,-11.2718190833,5.6359338669,1663.1286901995,-1918.2479301553,-1825.0595430975,1660.3131106134,833.7479915042,-1357.4035202185
1992,1717.75,1395.9167884931,-1635.3135977442,-1146.7607465195,266.087513776,729.4561867161,700.2916500166,-1607.6826856637,1305.3231188654,1001.0401500955,-525.7513666488,1278.9076795226,-1697.0157623053,-1555.1716092321,1568.5205345857,604.9970617427,-1116.6004736949
1993,1550.25,488.6462536852,-1257.1393950703,-1252.1973377429,476.6522397368,828.9597364834,480.6537941513,-1493.9990360455,1253.436316123,1471.2239466714,-907.1249108377,913.9348389517,-1475.1534512904,-1310.0003121333,1473.8544679404,413.8138987457,-912.2348732229
1994,1545.5,-467.5330393679,-912.6877718193,-1410.4493457358,699.2893888274,983.5107758857,323.048592448,-1520.3931293622,1317.0652983874,1473.0862524304,-1247.2254331802,631.8250494507,-1378.2469302245,-1192.1731433465,1511.3602670831,277.4436558802,-808.6465543014
1995,1497.75,-1205.3795198739,-467.9198043516,-1464.2742130637,878.1879569695,1090.3454432119,158.33249806,-1491.5825815901,1333.8967491997,888.996780404,-1422.7811213239,314.8906023632,-1213.2769571429,-1026.8407261923,1489.3575402025,135.7809441606,-681.1567550678
1996,2126.25,-2126.1906962827,-7.9402307565,-2126.2434106709,1500.6758722079,1718.3036013123,2.6467490538,-2126.2487897146,1963.6383495672,15.8803507813,-2126.235174019,5.2934940063,-1506.2904730075,-1252.3465160318,2126.2483526671,2.2686422015,-815.5142516284
1997,1786.75,-1453.645635918,545.5154546498,-1748.6636296346,1443.463768353,1564.3984397599,-184.4597818636,-1779.7341456713,1698.7619684059,-1038.936921895,-1701.4371722865,-366.9483245542,-1053.0374693962,-863.2109152326,1777.2029010146,-158.1832267708,-553.7899757107
1998,1982.25,-627.8100404558,1158.6281995978,-1813.0473261344,1764.3703992009,1841.864026745,-409.5131257177,-1950.802978975,1927.0104159444,-1880.2046738595,-1608.3829635994,-801.3578824077,-903.4999484912,-732.701828497,1939.488092865,-351.6856547006,-464.6998163783
1999,1376.25,414.2430853713,1109.9923668076,-1115.6768485567,1307.992939071,1332.4340193288,-423.4464545098,-1327.0935609356,1359.0786115778,-1312.427799432,-813.6221531699,-805.8096748578,-428.0403413704,-344.5049297693,1309.4873663626,-364.5363397841,-216.7242258074
2000,1717.75,1380.8085094602,1631.3413008358,-1153.1144268595,1696.0102567512,1703.8259689978,-696.3845043373,-1608.9700503442,1712.3064388471,-1021.779292559,-537.9503905449,-1273.1819120096,-272.4229643306,-218.2707719068,1570.2591138468,-601.5649919963,-136.6445095231
2001,1516.5,1516.437740806,1516.4844351216,-762.2134128379,1516.4961087754,1516.4975096159,-756.2656971698,-1367.1698983193,1516.4990271935,-13.7414795153,-6.8708102775,-1311.0312594633,-3.4354139537,-2.7483320093,1314.4711656344,-656.2154517609,-1.7177080788
2002,1084.25,883.1159106325,1032.743067903,-338.2741873026,1071.2958820685,1075.9534054006,-635.9340669115,-931.5174547428,1081.00661946,629.0503564005,330.2117778008,-1030.1303979132,167.1023505613,133.8743138426,878.1719222575,-554.8633111042,83.8018566836
2003,1444.25,459.5980966217,1172.5256102845,-155.6078769992,1374.6414396404,1399.5702810099,-964.6557381117,-1169.5978351839,1426.7417358619,1369.1704247762,843.2329190248,-1435.8426972046,442.9661103553,356.4562960784,1074.8476028852,-847.2891870154,224.2009849436
2004,1433.75,-429.3721242391,848.5360273354,145.1057783117,1279.1066397475,1334.1217553474,-1063.8807433529,-1081.0650026152,1394.5533706599,1367.9468708347,1155.6927242195,-1426.3882275175,647.7077015552,525.126846018,961.1434993916,-941.7736047589,332.9563918609
2005,1747.25,-1402.8649331299,548.5101676764,534.201769032,1416.2038965087,1532.8635533945,-1411.7837305057,-1209.322583955,1662.4296707943,1041.5625482392,1658.9210826485,-1663.5837918371,1023.3518876778,838.5773006556,1029.4412371668,-1261.1191261877,537.7826253819
2006,1529,-1528.9132227139,8.1450129056,759.7926412494,1084.0421404938,1238.8991911961,-1322.7932469722,-955.1342471886,1413.3897963434,16.2897946775,1528.9783055246,-1326.8595036036,1078.2827262057,896.0858184647,766.8500673305,-1193.9679936445,583.2411881825
2007,2213,-1804.5193869603,-672.2974031844,1474.76102519,1305.6750833866,1616.5281757653,-2020.0266271445,-1222.0285850964,1973.1735807494,-1281.0459718857,2108.4082151404,-1649.9845207094,1786.7796665016,1511.3588776187,903.8038645786,-1844.9973271545,1001.9755587003
2008,1540.25,-492.4727437121,-898.2869583261,1242.6721785069,703.1299932937,984.4698238059,-1463.9665101097,-732.0630581758,1314.4135640411,-1459.3973616533,1251.1796845383,-910.0197356458,1370.3934745287,1184.5628849984,478.7192494326,-1355.1581979069,802.9240594008
2009,1609.5,479.5584982465,-1296.5993315068,1467.8070128632,501.8035601407,865.5662844996,-1573.6781178506,-635.0275024636,1303.4843842652,-1536.3963996181,953.5829400404,-660.3278147933,1529.2754614621,1356.9396659902,337.6794802744,-1478.928774862,944.1497285795
2010,1864.5,1495.2327537952,-1769.777064979,1822.20046044,297.1623397629,797.8879244797,-1853.8949550191,-579.1830111096,1419.5808241322,-1113.8398726829,586.7276968701,-394.8996479769,1840.6669426669,1685.1513611452,198.5793185476,-1772.2605027597,1208.7805978572
2011,1696.5,1696.3727787508,-1696.4681943896,1696.4858641486,5.1941418011,528.197698545,-1696.4964660335,-380.3998547927,1201.441657253,-20.7760803128,10.3882349127,-6.9255139859,1696.4920485788,1612.1784768604,3.4627642062,-1653.3022108718,1197.7688400594
,,-9.3530603851,-30.7871603676,-76.7805766314,302.4982232256,69.6176852126,-193.4905535002,9.8606000864,-9.9406176617,-34.3757359298,-7.2924993145,-136.1791256909,-20.4483563188,-163.8996438482,312.8228600972,2.2169603417,-426.2180561096
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1269.1709592849,,,,,,,,,,,,,,,,
20,1001.0297897546,,,,,,,,,,,,,,,,
30,5895.2569478506,,,,,,,,,,,,,,,,
40,91923.3103307964,,,,,,,,,,,,,,,,
50,31709.7153479401,,,,,,,,,,,,,,,,
60,135296.736093197,,,,,,,,,,,,,,,,
70,102.1463472202,,,,,,,,,,,,,,,,
80,181760.647233334,,,,,,,,,,,,,,,,
