Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,1408.25,1407.6512285974,1408.1002991925,-692.2366844779,1408.2125743008,-1134.4510294784,-710.0442773461,882.6087451893,-1408.2406435441,41.0619182252,20.5331418414,-1226.3671697999,10.2668437727,-834.379364687,1216.1435715852,-1097.3467389187,-5.1334559932
1882,1872.25,1482.3144714643,1772.0868110365,-561.4107321501,1847.0394682387,-1357.3953722999,-1107.7497053107,1299.4071649947,-1865.9367227897,1143.7061992433,604.1757994578,-1786.095756763,306.2111449122,-1289.4951980364,1509.3742587192,-1347.9098938952,-153.6235953395
1883,1585,446.5989415007,1268.8743677525,-150.6821021381,1503.8934258929,-1003.3332656421,-1066.1599007914,1197.8579234637,-1564.591972375,1520.780847279,949.8330584164,-1577.8212522638,500.5292834152,-1227.0074808476,1172.8290864165,-1037.9602088689,-253.5290121069
1884,1325,-444.8245507319,763.6204784709,150.8836042526,1176.3124869638,-703.6480872676,-988.823992335,1075.0770609135,-1287.2915453049,1248.1010051539,1082.8244386141,-1316.3810762723,609.8474670055,-1122.7218574895,881.9592463275,-774.4897114214,-313.8558226104
1885,1597.75,-1318.2915649761,472.4958807013,507.8361726144,1286.0278682615,-672.2148200761,-1296.9580385068,1374.8405086045,-1517.8201621099,902.7249925713,1526.2872289384,-1514.8952057104,948.1230851291,-1449.4593123541,933.1156996068,-814.0139055325,-499.0260694519
1886,1833.75,-1833.0531433525,-25.277073381,931.4302654569,1287.6892538939,-557.0350733307,-1592.2702835545,1655.2724561348,-1691.7356814568,-50.5493436718,1833.5757775618,-1579.5811859765,1305.5632684425,-1747.0978763594,909.5682528591,-789.1211304113,-707.5799930651
1887,1622,-1285.7607371913,-522.1973210749,1096.2342209729,944.4257369472,-295.2443603991,-1484.7518153581,1520.780189925,-1442.6958351171,-988.7888180482,1535.641220423,-1195.4725144343,1318.6902696963,-1594.9027455154,652.9900816942,-564.0138419682,-741.2912567512
1888,1529.5,-433.2976530113,-915.5985718969,1245.4124611385,685.1869213155,-87.8143407353,-1456.7478521198,1475.9358414417,-1301.4153153686,-1466.8412981284,1225.1732551523,-887.87276771,1367.4388954751,-1526.9770435607,466.1072251579,-401.2276684725,-803.5474017903
1889,2084,696.5061359268,-1702.1420016073,1911.2734102121,630.7900081051,141.9243648447,-2040.3614614673,2051.9092112044,-1681.9070094525,-1964.1627230493,1202.4011836173,-830.7165289173,1986.2426754238,-2079.1617240281,424.2418019939,-364.3138605303,-1230.546549934
1890,1501.5,1237.5237217303,-1433.9881656029,1471.3684714008,225.132204879,289.1057787669,-1493.9481265774,1495.9504495608,-1138.5381538679,-850.3159931195,445.17433766,-299.2942888991,1484.5260995774,-1473.4042550107,150.4036073232,-128.9748132732,-978.8938257989
1891,1179.25,1178.8521424976,-1179.1505314294,1179.2057914011,-7.6582736937,370.2301481866,-1179.2389477985,1179.2418800119,-831.1436528202,30.6298649833,-15.3162244,10.2109757663,1179.2251325952,-1119.6250264592,-5.1055357334,4.3761771129,-836.5588986298
1892,2000.5,1587.7382704899,-1894.5013407379,1953.1554041983,-325.6150471446,861.0491085722,-1988.6286274841,1991.7758837547,-1294.3352247751,1216.9993567877,-642.5456559206,432.6479134944,1973.8224568266,-1805.7116831397,-217.615330229,186.6255044017,-1525.3512959008
1893,1549.5,441.329686699,-1241.9320833967,1410.1648649947,-488.1477679847,836.8832911399,-1514.2656154568,1523.5873554785,-906.7980159627,1485.3209611522,-926.5824033673,642.1723316482,1470.5991998541,-1304.0615809888,-328.5572946159,282.1911058593,-1256.4504002332
1894,1466,-487.7594605722,-846.7882352753,1178.790836592,-673.7078176355,940.1045301962,-1392.3475439781,1411.766446303,-762.0696619556,1382.4784658802,-1196.7061813994,871.5550261268,1302.0267955986,-1124.8819815006,-458.8292893638,395.0588577579,-1252.3601040942
1895,1664.75,-1370.569764556,-494.8416650584,1103.7104938522,-986.8142937235,1219.1659545047,-1518.024144594,1556.5230221796,-751.196867347,944.9503071511,-1589.5044161695,1246.2807501766,1340.742373539,-1133.5902866013,-683.3705136526,590.4478333644,-1485.6297752092
