Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1898,3294.5,-943.3703004313,1967.9680885661,318.4229502646,-2944.2487257177,3068.8741258376,-2439.5465418441,2658.7218030826,-759.5731772262,-3156.5460120619,-2642.12638842,3279.0756433399,1478.2184179307,-1198.2244571718,-2214.1235105966,1945.4893019015,-3205.741542676
1899,2061.75,682.8766807806,1682.0722426667,-231.5179916802,-1964.5388146863,1999.3569498108,-1373.5866996942,1548.096242918,-316.5637071117,-1945.377213125,-1192.2441163412,2048.7099555643,625.6199390133,-503.3734694472,-1537.5541099172,1361.69419664,-2037.3022558864
1900,3128.75,2573.0325951638,2986.5910579303,-989.7303506176,-3093.0060891469,3105.8581761232,-1829.2700358347,2154.6844421767,-236.4675041963,-1780.0505124081,-932.3896262779,2968.0819388229,471.5823310942,-377.7850609922,-2538.2765212832,2268.5703685673,-3119.8012247512
1901,2857.25,2856.5079204874,2857.0644740986,-1447.3825203123,-2857.2036181482,2857.2203155859,-1419.2152508231,1774.1833832451,8.1401641901,65.115763781,32.5599960641,2463.526213052,-16.2802623102,13.024235219,-2479.8600029702,2239.6765134986,-2857.2384045135
1902,2564.5,2040.3276424892,2429.9259751239,-1730.2135363678,-2530.6328668147,2542.8078092038,-1034.2938740959,1405.8968460537,208.3893747937,1553.6162207233,819.8292538195,1892.8870459089,-415.4004614795,332.8493584973,-2346.6777435361,2144.7877070369,-2556.0191936825
1903,2933.75,844.5463341911,2354.2065404753,-2386.1233323497,-2785.0980683469,2838.3201964726,-896.2699750129,1382.0287862744,466.9623135154,2809.5605620638,1750.6000763405,1706.840503772,-922.0183361465,742.1775561115,-2793.490503723,2587.8341323217,-2896.3486082059
1904,3026.5,-997.8642492542,1752.0939043944,-2773.7319816575,-2689.0904086373,2809.076081594,-618.4668170216,1180.8032513619,714.5523522666,2857.2660341768,2467.7660343282,1210.8315918948,-1388.7026406597,1126.4074830258,-2962.634139789,2786.6477946761,-2940.9381472364
1905,2820.75,-2317.179593812,842.747359312,-2763.2452744515,-2273.0827279577,2465.9711379801,-284.7862835451,863.4091710696,878.8721345034,1608.5115145753,2691.9152012782,566.6622589527,-1670.2471297267,1369.5316386083,-2806.3369960154,2685.3594109193,-2680.3384737181
1906,2998.25,-2997.5763231767,-31.7793292522,-2998.1751445278,-2108.8172856568,2418.1415160121,10.5932860681,658.3180199602,1154.7167695543,-63.5550881552,2998.0815760637,-21.1864398977,-2131.2889804565,1772.5954617563,-2998.2312860736,2925.0846905852,-2766.9716739805
1907,2738,-2181.0040276639,-873.228198198,-2674.1411422154,-1597.7711340073,1988.0715163217,295.6734284765,359.4357346781,1249.3891777761,-1655.2538872674,2595.0176326707,-587.8887237486,-2223.4593325116,1882.6087341746,-2721.9884686921,2714.3046904569,-2436.3231892456
1908,3073.75,-889.5355680083,-1832.1748156678,-2799.3755777633,-1381.3565294379,1949.5258215025,649.3683008702,128.8828954881,1612.7607432816,-2942.2211908264,2468.0102324206,-1269.4232694899,-2745.8683874285,2376.4023509909,-3004.3734575324,3071.0467697107,-2616.6661704218
1909,2612.25,857.3534405671,-2128.7873998619,-2102.94575828,-794.6462034172,1390.7723511506,815.607137485,-124.7444451247,1540.7847866629,-2467.5484069107,1513.973007913,-1549.6674482714,-2488.4508180582,2211.2445205755,-2481.6597389214,2609.2697993712,-2109.4625627606
1910,3538.25,2903.3718013756,-3375.801263309,-2350.0355900316,-536.0896578917,1493.74374575,1449.8619996522,-484.9290723935,2304.6034182115,-2022.2871323027,1059.8013460746,-2645.0984458211,-3497.4020273914,3207.4822968386,-3227.555304633,3504.8618884697,-2684.7748783218
1911,3507.25,3506.5759138958,-3507.0814744251,-1733.7371485165,17.191005245,1070.7118082,1763.5408909869,-790.0106477898,2486.0707668574,68.7598908216,-34.3815974683,-3048.7633660804,-3507.2078683532,3339.8171785715,-3031.6210330972,3417.1165825706,-2473.9148539667
1912,2713.75,2164.2974007415,-2572.7224037741,-821.9841679632,437.4435044997,498.2192572028,1602.1516043574,-845.7031688204,2067.7948849966,1637.1486870909,-863.4457108694,-2586.2677916484,-2678.2610483056,2667.6237804931,-2190.3308652245,2578.6091624648,-1757.4593526116
1913,2550.5,741.9956312407,-2049.086394894,-250.5559298191,799.6422324461,150.4889612871,1712.6014350976,-1008.7620519793,2066.9467535297,2440.1829302779,-1518.6491353372,-2538.1631106043,-2421.9047359648,2546.0564256377,-1889.9858662175,2342.5305488908,-1494.2494330175
1914,2841.75,-928.4000840382,-1648.8271776758,314.6080359682,1301.9194349767,-189.0129221172,2117.732330668,-1353.2789419723,2426.4451999628,2685.8176309009,-2314.5003781935,-2824.2812972869,-2525.9748310959,2835.4571373542,-1894.9281881232,2498.8355623599,-1479.157447359
1915,2689.25,-2204.259499437,-807.5458821761,846.6373313778,1590.655965138,-513.5971211459,2180.4684136565,-1487.3723866051,2398.9307114574,1540.5536737297,-2565.1384388918,-2552.5028485033,-2168.3816922007,2639.7506624018,-1574.0467145375,2240.4885507551,-1215.3999358756
