Year,Mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,2825,2823.7988430943,2824.699694812,-1388.6516127464,2824.9249227054,-2275.7494466724,-1424.3742826223,1770.5447932965,-2824.981230614,82.3716804446,41.1902188547,-2460.1365202803,20.5956567782,-1673.794926498,2439.6276156423,-2201.3169092457,-10.2978968086
1882,2591.75,2051.9634297864,2453.0944011237,-777.1591748165,2556.8511372988,-1879.0382994569,-1533.4545593479,1798.7653998531,-2583.010549494,1583.2290249105,836.3587278647,-2472.4869422302,423.8871597416,-1785.0442940371,2089.4222112621,-1865.9075804529,-212.6606773781
1883,2297.25,647.2866992823,1839.0672815895,-218.3939805279,2179.6966388848,-1454.2002173479,-1545.2592000587,1736.1382426984,-2267.6712356709,2204.1727453701,1376.6586709446,-2286.8453449609,725.4516696061,-1778.3867100171,1699.8622200443,-1504.3874383749,-367.4571123423
1884,3243.5,-1088.8969285274,1869.2852995626,369.3516757686,2879.5241897865,-1722.477412115,-2420.5665050103,2631.7075072249,-3151.1925488276,3055.2570643145,2650.6725031281,-3222.4015251993,1492.8605730056,-2748.3383734092,2158.9696720478,-1895.8923615058,-768.2953665185
1885,1750.75,-1444.5307196883,517.7419265453,556.4663928679,1409.1774622806,-736.5858840546,-1421.1543019344,1506.4947710463,-1663.1661078479,989.1696327611,1672.4439781341,-1659.9610586121,1038.9150313189,-1588.2590462237,1022.4705436311,-891.9636020097,-546.8126372041
1886,2385.25,-2384.3435638345,-32.8791488928,1211.5577590626,1674.9615775599,-724.5632767073,-2071.1452999855,2153.0953652327,-2200.5248993564,-65.7520501667,2385.0233801932,-2054.6399584733,1698.211198938,-2272.5372649414,1183.1207499017,-1026.4491759038,-920.3845553967
1887,2262.25,-1793.2874400192,-728.3236064129,1528.9493627595,1317.2177086367,-411.7857918082,-2070.8260137446,2121.075822847,-2012.1693298358,-1379.0921723981,2141.8029290394,-1667.3598617627,1839.2152050681,-2224.4566806672,910.7440273198,-786.6463094899,-1033.9002130614
1888,1415.75,-401.0729991832,-847.5048565956,1152.7902529302,634.2290839179,-81.2835259209,-1348.4084809667,1366.1694459111,-1204.6281351639,-1357.7512702355,1134.0562510506,-821.8410401343,1265.7414947819,-1413.4146776208,431.4425001747,-371.3880821444,-743.787011497
1889,2083.5,696.3390279287,-1701.7336182096,1910.8148513324,630.6386669323,141.8903138934,-2039.8719313662,2051.4169105299,-1681.5034808994,-1963.6914747952,1202.1126996481,-830.517220729,1985.7661296764,-2078.6628848429,424.1400165328,-364.2264531742,-1230.2513132378
1890,2026.75,1670.4303716396,-1935.6213883687,1986.0779549861,303.8872435821,390.2398515589,-2016.5563540065,2019.2591233083,-1536.8179842502,-1147.7708551815,600.9038220795,-403.9924742099,2003.8383432024,-1988.8258900053,203.0173234381,-174.0923761581,-1321.327380245
1891,2156.5,2155.7724361213,-2156.3181013588,2156.4191555281,-14.004720984,677.0416065842,-2156.4797887873,2156.4851509396,-1519.9162919711,56.0129776014,-28.0088513196,18.6728592241,2156.4545248602,-2047.4635315321,-9.3365171161,8.0027355896,-1529.8191773543
1892,3154.25,2503.4358608812,-2987.1186473494,3079.600316767,-513.407279408,1357.6426646908,-3135.5320411106,3140.4944170624,-2040.8182368143,1918.8803904762,-1013.1215372095,682.1692982453,3112.1866955488,-2847.1212579571,-343.120797488,294.2581840836,-2405.0683954487
1893,2885,821.7077419339,-2312.3420849303,2625.5731755468,-908.8779029595,1558.1854113833,-2819.3974189047,2836.7534821268,-1688.3590035833,2765.505629509,-1725.1953750982,1195.654841436,2738.0953156368,-2428.0204331414,-611.7378476715,525.4090612481,-2339.3736074042
1894,3091.25,-1028.5037056575,-1785.5621639118,2485.6324513062,-1420.5997894037,1982.331602298,-2935.9443010385,2976.8915601188,-1606.9221299593,2915.1340775252,-2523.4092655189,1837.7861354122,2745.4913587273,-2371.9586802958,-967.5007099221,833.0325334544,-2640.7627365493
1895,1763.25,-1451.663695662,-524.1204780983,1169.0148840876,-1045.202164534,1291.3016184294,-1607.8426628354,1648.6194436752,-795.6437160832,1000.8611677935,-1683.5522822111,1320.0207435043,1420.0714762833,-1200.6626057064,-723.80420976,625.3834763057,-1573.5315820019
1896,2565.25,-2564.4873972063,31.2751244332,1264.5256812704,-1824.9295980191,2082.6595410925,-2216.3406852714,2307.3192008717,-974.4503351073,-62.545599927,-2565.0593422164,2231.9234673052,1802.8143345264,-1497.6771342303,-1291.642957365,1121.0645243646,-2372.9631490837
1897,2091.75,-1662.1852864056,670.2768046341,630.4070854293,-1699.6278369975,1837.8434998112,-1687.3162245778,1791.9612136847,-640.3989125774,-1269.865400803,-1981.4507482321,1994.4936623465,1219.2962225002,-998.8740324493,-1236.2774853473,1079.024129086,-1991.3079358225
1898,2110.75,-604.4070000411,1260.8555601581,204.0100902325,-1886.3478518163,1966.1939781793,-1562.9907006215,1703.4138855233,-486.6501999788,-2022.3643936742,-1692.7813854478,2100.8677839368,947.0783201236,-767.6892617925,-1418.5646380306,1246.4536481981,-2053.8834303243
1899,527,174.5488108507,429.951289868,-59.1778739495,-502.1520336315,511.0518309932,-351.0998863775,395.705939138,-80.9162476769,-497.2541730651,-304.747253213,523.666859019,159.9135238802,-128.6663360731,-393.0112845526,348.0600662686,-520.7509585799
1900,1943,1597.8912768369,1854.7171955441,-614.6371781862,-1920.8025029844,1928.7838389796,-1136.003733001,1338.0908897001,-146.8498156303,-1105.4376813772,-579.0277407456,1843.2227589717,292.8595986627,-234.6101073937,-1576.3072411836,1408.8157334803,-1937.4426782874
1901,1143.5,1143.2030123641,1143.4257506805,-579.2569470565,-1143.4814375195,1143.4881200009,-567.984124356,710.0459178373,3.2577750464,26.05997931,13.0308357684,985.927806326,-6.515523651,5.2124290744,-992.4647522605,896.3409198305,-1143.4953593705
1902,2098,1669.1781610226,1987.9059059505,-1415.4759209591,-2070.2935287881,2080.253766313,-846.1487806018,1150.1546434083,170.4819295446,1271.0028586771,670.6967340664,1548.5580122117,-339.8362909667,272.3017953313,-1919.8010941465,1754.6362290362,-2091.0619100588
1903,2119.75,610.2180117261,1701.0070095177,-1724.068149552,-2012.3431207084,2050.7982058706,-647.5903807528,998.570266623,337.3986754407,2030.0182365351,1264.8775498331,1233.2595339994,-666.1945864666,536.2525350038,-2018.4069860304,1869.8121523609,-2092.7260203646
1904,892.75,-294.3476981734,516.8286248631,-818.1890720716,-793.2216957908,828.6147932738,-182.433917362,348.3106237083,210.7770072645,842.8297545056,727.935941565,357.1683144438,-409.6363067731,332.2650852375,-873.9109956374,821.9989488509,-867.5111617199
1905,1833.5,-1506.177004433,547.7895181418,-1796.1216735644,-1477.5138462148,1602.8921675039,-185.1123463193,561.219787346,571.2707821012,1045.5396125051,1749.7568099064,368.3329794522,-1085.6680359316,890.2016341002,-1824.1314835396,1745.4955171215,-1742.2318856907
1906,2298,-2297.4836623564,-24.357174559,-2297.9426272409,-1616.2968806601,1853.3775381625,8.1191933242,504.5659334173,885.0293125776,-48.7116126343,2297.8709119634,-16.2382852947,-1633.5202458397,1358.6006407457,-2297.9856567655,2241.9226612073,-2120.7373990852
1907,2634,-2098.1609236182,-840.0595595521,-2572.5667525915,-1537.0815072955,1912.5567472576,284.4425897031,345.7829529372,1201.9324668598,-1592.3808396868,2496.4486648848,-565.5583996909,-2139.0036091438,1811.0998560321,-2618.5966495745,2611.204731433,-2343.7820600705
1908,2572.25,-744.4027213695,-1533.2449514767,-2342.6413436036,-1155.9802628212,1631.4494654282,543.4201258767,107.8549094491,1349.6295475904,-2462.1808729088,2065.340161153,-1062.3095583393,-2297.8641592723,1988.6786327243,-2514.1926396544,2569.9878172878,-2189.7420274477
1909,2233.5,733.0458070655,-1820.1346186588,-1798.0397554287,-679.4304891692,1189.1243358388,697.3522984296,-106.6577541147,1317.386475648,-2109.7786838301,1294.4621353905,-1324.9812405835,-2127.6504554055,1890.6362854648,-2121.8440145013,2230.9518985149,-1803.6116887456
1910,2246,1842.9938715155,-2142.8812654256,-1491.7487275379,-340.2974271532,948.194291798,920.3391651858,-307.8218601274,1462.9094262144,-1283.7015188729,672.7376028498,-1679.0478652764,-2220.0706432618,2036.0362435383,-2048.7781287941,2224.8059920873,-1704.2335552069
1911,842,841.8381693635,-841.9595413689,-416.2254413147,4.1271156651,257.0502081415,423.3805489232,-189.6611206612,596.8412818288,16.5074711161,-8.2541321743,-731.9292192572,-841.9898852815,801.8037107013,-727.8137885431,820.3612980325,-593.922961591
1912,2599.75,2073.3789654824,-2464.6467320909,-787.4540177475,419.0672504185,477.2899176096,1534.8479533591,-810.1766239119,1980.9303555117,1568.3748684531,-827.1738320895,-2477.6231013682,-2565.7518785196,2555.56146415,-2098.3188086107,2470.2861981088,-1683.6314885129
1913,2851.5,829.5630435141,-2290.9115291277,-280.1255572943,894.012870347,168.2490778711,1914.7159349856,-1127.8121902446,2310.8796971927,2728.163742673,-1697.8741460161,-2837.7071593367,-2707.7284276038,2846.5320124312,-2113.0345804819,2618.9868104929,-1670.5948865906
1914,2559,-836.0256233144,-1484.7712668857,283.304993065,1172.3803410241,-170.2064107321,1907.0210378039,-1218.6296516257,2185.0174247224,2418.5826752794,-2084.2109502233,-2543.2694078498,-2274.644002032,2553.3332680529,-1706.3855840265,2250.2050511406,-1331.9834284478
1915,922.25,-755.927609317,-276.9393659336,290.3453672448,545.4987315603,-176.1327303065,747.7687067007,-510.0787147147,822.6880537851,528.3166777344,-879.6872456142,-875.3540028009,-743.6236927144,905.274722841,-539.8027637751,768.3519813829,-416.8086235423
1916,2326.75,-2326.3725037564,20.9563759364,1175.453287653,1652.6532924679,-726.9729951314,2018.5082981681,-1455.3813952387,2151.636192616,-41.9110518377,-2326.6556240251,-2008.0027716728,-1637.8347466686,2210.266008165,-1157.3200995086,1815.3871644619,-885.5660659291
1917,2905.5,-2320.0125107977,922.2618662499,1956.8609117596,2358.1308384385,-1246.3979834975,2657.7800538342,-2013.1848523825,2765.2738924999,-1749.1347002854,-2755.2428749679,-2147.7024053689,-1697.3948270233,2624.5804077478,-1173.9401328182,2094.9980907241,-891.7345734346
1918,942.5,-275.6294428568,560.5914288087,765.6945180222,841.6245218778,-507.7792880338,897.2104918122,-711.307005994,916.9343929284,-901.2961001971,-757.6565844406,-549.56178458,-424.2339144551,794.0191714586,-288.6513179981,618.3434266036,-218.0311194877
1919,2515.75,818.1079402466,2047.8223938095,2304.0330162962,2395.9139435429,-1610.2031985066,2462.2519289512,-2038.8819056815,2485.6104447367,-2379.0118664281,-1461.3081488558,-1010.1633146759,-767.1990860506,1932.9365540594,-516.0557148956,1473.7566410995,-388.2509233936
1920,1434.75,1174.6907316693,1368.191340742,1405.0398910941,1418.012709504,-1049.1700341417,1427.3031468905,-1233.4156459841,1430.559557911,-823.7774259047,-431.9259399697,-290.4659479771,-218.5120550113,978.6469240534,-145.9907167472,732.9347902383,-109.5760638534
1921,2938.75,2938.3537920113,2938.6509463335,2938.7059760108,2938.725236479,-2383.158843331,2938.7389939821,-2650.7061222036,2938.7438091132,48.2551082578,24.1283674009,16.0856786724,12.0642853608,1719.5364171641,8.0428694578,1268.8611493037,6.032155388
1922,2118.5,1693.6299819954,2009.4772164493,2069.8116808096,2091.0666815106,-1859.7328936145,2106.2927498089,-1985.1206804637,2111.6305328798,1272.658530041,670.852865069,451.5770764601,339.8269905056,1014.6111641453,227.0971204187,739.8230423521,170.4662506476
1923,1109.75,326.2306408234,892.6308072641,1011.4182172289,1054.0735507689,-1033.1039441804,1084.888572405,-1070.4207742682,1095.7424846801,1060.7160937254,659.3597685809,456.7036811298,347.0936646921,405.266952784,233.5847768266,292.821495992,175.7653827324
1924,1988.75,-643.7344123516,1156.4816794779,1602.8850498243,1768.4851572125,-1927.7903294155,1889.8232993243,-1957.5697431727,1932.8995601048,1881.6834401287,1617.9235728341,1177.2366285288,909.7179844431,488.6215389361,619.43075467,350.7809332258,468.0019797467
1925,1408.25,-1151.7048355221,425.0174866261,937.0072749581,1136.1555655018,-1397.6738035283,1285.0503020232,-1402.850667434,1338.498998434,810.3974545462,1342.582659862,1051.277998046,832.056845101,172.267238414,576.0327974778,123.1992994295,437.7082289506
