Year,Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1927,1215.25,-972.6903089644,-383.9079736936,369.938513389,710.7349708115,-1205.220312505,981.4276185476,-1210.129358265,1081.7932417469,-728.4957963824,1153.0165784734,1157.5742130903,985.7425443622,-155.809373355,716.6815136809,-111.4428049053,553.6749449006
1928,1004.25,-296.7454272293,-596.033332627,100.2470364762,452.7425251781,-971.9868758849,744.7117391586,-987.745726866,855.3317319643,-959.4061777571,808.2464530683,999.2340037137,896.4051920841,-252.5065852755,673.7376997463,-181.318618895,526.2372951387
1929,1152,371.1520854063,-936.6619460585,-125.7134465579,352.1856315501,-1069.9217585778,768.8569794069,-1109.8756563789,930.8119701491,-1090.5733031294,670.6477456951,1145.1201375203,1096.8451490205,-427.0496815615,857.8828272074,-308.6746302785,678.7437485732
1930,947.5,774.0216769719,-903.0896381121,-296.8619610164,145.0496775053,-829.0601315491,555.1934536434,-886.4362226487,719.4410397789,-546.4857670403,286.6798833796,899.7939909232,936.3315871291,-458.7107457602,767.7997649332,-334.6446969194,616.5718451907
1931,1301.5,1301.386000589,-1301.4714998352,-655.7164498212,-4.3065626946,-1050.9068604666,648.2620190007,-1171.5411426693,918.7756142424,17.2257792559,-8.6130782366,1124.2500555632,1301.4928749393,-767.787093291,1128.5648429404,-566.915867685,921.8208180951
1932,1331.75,1067.2074280681,-1263.8851915482,-895.3677177482,-212.5781722751,-968.4455538025,539.0510664069,-1141.9767881385,863.2662050528,796.6344004475,-419.7049976891,985.8370618486,1314.6743258968,-914.150573932,1217.7774880107,-685.162081447,1014.065836972
1933,1665,494.5229090873,-1340.8216965037,-1351.1113482726,-519.4982556858,-1058.0750033751,511.1871502328,-1345.2497108258,976.5399132353,1589.8654321633,-987.1282480939,972.9969807605,1581.880704206,-1285.5746914251,1584.5859703522,-981.0852233741,1348.5528531943
1934,864.75,-277.3015368179,-503.9821715779,-791.4215561642,-394.9518829098,-461.5616018231,178.0600626292,-650.2194334531,450.6983036099,819.0826699293,-702.7051538388,348.4888562619,769.2890046569,-731.2683845364,846.2193430763,-570.0940719389,738.013280113
1935,1406.25,-1147.4856527635,-426.5485689234,-1376.6748866455,-829.9714264514,-595.7064012839,144.2047210648,-970.0685573298,636.5499760635,812.9057382021,-1339.9982764352,286.8890360044,1135.2032830178,-1273.841805708,1398.8366812901,-1018.0894148257,1253.931094787
1936,1371.25,-1371.1570571328,7.9827284371,-1371.2396729111,-972.4383987866,-420.7015799194,-2.6609228389,-853.1760136451,522.9103212616,-15.9651863387,-1371.2267640864,-5.321835658,966.793733464,-1305.1194363557,1371.2474182253,-1073.5069875137,1267.6321857771
